loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,p_port_7.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
38,0,38,0,,,,,,,,,,,,,,,,,,,567.2510681003332,0.0006008995696902275,0.09706910001114011,573.25084660016,6.030363800004125,,573.4008418000303,0.05739509966224432,0.14704319974407554,579.4008401003666,6.013629599940032,579.467397000175,0.01634659944102168,0.11359439976513386,4.0,0.7648791996762156,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
39,0,39,0,,,,,,,,,,,,,,,,,,,580.2678833003156,0.0002684001810848713,0.09942750027403235,586.2841746001504,6.01565850013867,,586.4341163001955,0.07073590019717813,0.1656158003024757,592.4341465001926,6.0322926002554595,592.5007921000943,0.034756400156766176,0.1322185001336038,3.0,1.1651357002556324,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
40,0,40,0,,,,,,,,,,,,,,,,,,,593.7007798999548,0.0007070000283420086,0.09664979996159673,599.7006384003907,6.013297300320119,,599.8340774001554,0.030414400156587362,0.12993350019678473,605.817281300202,6.02989469980821,605.9339610002935,0.0326469000428915,0.12988639995455742,2.0,1.4649342000484467,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
41,0,41,0,,,,,,,,,,,,,,,,,,,607.4342760001309,0.00032880017533898354,0.0980624002404511,613.4507548999973,6.01467900024727,,613.5839035003446,0.053076500073075294,0.14806060027331114,619.5840255999938,6.014703300315887,619.6506153000519,0.01783799985423684,0.11446079984307289,3.0,1.1977856000885367,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
42,0,42,0,,,,,,,,,,,,,,,,,,,620.8844023002312,0.0002209995873272419,0.09885119972750545,626.8840580000542,5.999138199724257,6.099277299828827,627.0011529000476,0.014388699550181627,0.11579239973798394,633.0006498000585,6.0157887996174395,633.1007249001414,0.01715029962360859,0.11595139978453517,2.0,1.132978499867022,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
43,0,43,0,,,,,,,,,,,,,,,,,,,634.2675429000519,0.00022369995713233948,0.09892679983749986,640.2673361999914,5.999093499965966,6.098908000160009,640.3838949003257,0.0261115999892354,0.11555809993296862,646.3839338002726,6.015543399844319,646.4838785999455,0.018216499593108892,0.11551329959183931,0.0,1.2317201001569629,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
44,0,44,0,,,,,,,,,,,,,,,,,,,647.7510269000195,0.0006765997968614101,0.09701659996062517,653.7673050002195,6.013462199829519,,653.883815200068,0.028074499685317278,0.1301220995374024,659.8838927000761,6.030052699614316,659.9839145001024,0.03288389975205064,0.12997169978916645,0.0,1.1980357998982072,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
45,0,45,0,,,,,,,,,,,,,,,,,,,661.2175854002126,0.0005148998461663723,0.09704810008406639,667.2339203003794,6.013705600053072,,667.3505214001052,0.03108799969777465,0.13066509971395135,673.350547700189,6.030366399791092,673.4505138001405,0.03249419992789626,0.13024999992921948,3.0,2.098806600086391,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
46,0,46,0,,,,,,,,,,,,,,,,,,,675.5839973003604,0.0006482996977865696,0.09699579980224371,681.600680900272,6.013581399805844,,681.700460200198,0.02435469999909401,0.11358809983357787,687.7005348000675,6.013574899639934,687.8004173999652,0.015202899929136038,0.11363269947469234,3.0,0.7658327003009617,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
47,0,47,0,,,,,,,,,,,,,,,,,,,688.6007243003696,0.00046639982610940933,0.09729840001091361,694.6172810001299,6.014175499789417,,694.7343398001976,0.03357739979401231,0.13084180001169443,700.7338124001399,6.03060229960829,700.8337546000257,0.03342659957706928,0.13047639979049563,0.0,1.0647289999760687,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
