Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Roll_liquid_taste.stopped,spit_sound.stopped,p_port_18.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,905.816863700049,0.015187100041657686,0.11523150000721216,911.8168434000108,6.01450389996171,911.9168092000764,911.9168092000764,0.014650399796664715,0.11463519977405667,space,1.3640682001132518,913.316854899982,913.316854899982,3.460003063082695e-05,0.09794280002824962,num_9,1.3724506001453847,914.7501233200077,0.0019772001542150974,0.09817210002802312,915.0501548999455,915.5501012200024,915.8503042000812,916.3333184200804,916.650132099865,916.7501578999218,924.7501646000892,924.7501073198858,0.0014543000143021345,0.09810229996219277,926.7667942000553,926.9334430000745,927.4334350000136,10.014620100148022,934.850019000005,0.0013524999376386404,934.850019000005,0.09798799990676343,4.0,2.131016200175509,937.0171264000237,0.0015978999435901642,0.09942240011878312,943.016724999994,943.1832155199721,6.199207799974829,6.2827336001209915,944.1999866000842,963.1832108200528,963.1833192000631,26.199345000088215,26.29930719989352,964.1999894999899,966.200039899908,966.200039899908,0.016100000124424696,0.11597279994748533,996.2165711999405,29.999189600115642,924.7501646000892,925.7666821000166,10.098219600040466,,,,,,,30.099208500003442,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996.3166410999838,0.0002085000742226839,0.09917979990132153,1026.316468300065,29.999039399903268,,30.09900729986839,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1026.4165246998891,0.0015333998017013073,0.09929209994152188,1032.4330452999566,6.015805899864063,1032.5330499000847,1032.5330499000847,0.01579219987615943,0.11579849966801703,space,1.1805583001114428,1033.7664850000292,1033.7664850000292,1.3599870726466179e-05,0.09949139994569123,num_9,1.2754327999427915,1035.099714920018,0.0020816000178456306,0.09774220013059676,1035.3997140999418,1035.8829094200396,1036.199730699882,1036.6996461200529,1036.999619399896,1037.0829976999667,1045.0996657998767,1045.0996473199689,0.0009821001440286636,0.09771320014260709,1047.1164176000748,1047.2829692999367,1047.7831448998768,10.031132400035858,1055.23295399989,0.03384599997662008,1055.23295399989,0.13103389996103942,2.0,2.431392499944195,1057.6998433000408,0.0026305001229047775,0.09767860011197627,1063.699576199986,1063.882687819982,6.214191799983382,6.297694300068542,1064.8995101000182,1083.8827460199595,1083.8831551000476,26.214708799961954,26.314363500103354,1084.899523299886,1086.8830460000318,1086.8830460000318,0.014635000145062804,0.11429710010997951,1116.8995799999684,30.031117600155994,1045.0996657998767,,,,,,,,,,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1117.0160493000876,0.014670599950477481,0.11418160004541278,1123.0326706999913,6.030854200012982,1123.1327595999464,1123.1327595999464,0.030992999905720353,0.13082819990813732,space,0.9165372999850661,1124.0995239000767,1124.0995239000767,4.339986480772495e-05,0.09728390001691878,num_9,1.405282000079751,1125.549364719866,0.0021196999587118626,0.09794129990041256,,1126.3493430200965,1126.6492254999466,1127.1494572200813,1127.4492810000665,1127.5159018000122,1135.5326576998923,1135.5327458200977,0.014719799859449267,0.11467120004817843,1137.53273430001,1137.7495834999718,1138.2493052000646,10.014496499905363,1145.6492447999772,0.0012651998549699783,1145.6492447999772,0.09776039980351925,4.0,1.7644084000494331,1147.449534599902,0.002715399954468012,0.09806390013545752,1153.449280400062,1153.6492364200299,6.231200899928808,6.331142500042915,1154.649186699884,1173.6324768200052,1173.6325060999952,26.21448970003985,26.31427829992026,1174.6325131000485,1176.632648000028,1176.632648000028,0.014698400162160397,0.11444190004840493,1206.6325924000703,30.014575200155377,1135.5326576998923,1136.5325943999924,10.09791999985464,,,,,,,,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1206.765711700078,0.015072300098836422,0.11426170007325709,1212.7656526998617,6.014300700044259,1212.8656880999915,1212.8656880999915,0.014306999975815415,0.11425969982519746,space,1.2717072002124041,1214.1991033998784,1214.1991033998784,5.330005660653114e-05,0.09772299998439848,num_9,1.378359000198543,1215.6323369199877,0.00239140004850924,0.09797780006192625,1215.932272899896,1216.4323168199976,1216.7322805998847,1217.2155439200346,1217.5322636000346,1217.6324239999522,1225.6489871998783,1225.649054420041,0.017271999968215823,0.11451449990272522,1227.6655915998854,1227.8156125999521,1228.3155690999702,10.0314157998655,1235.7654581000097,0.033905799966305494,1235.7654581000097,0.13108969992026687,2.0,3.6316637999843806,1239.4323811000213,0.002446899889037013,0.0982232999522239,1245.4321965000127,1245.632205020031,6.231532400008291,6.331539199920371,1246.6321839999873,1265.61540792007,1265.6154827999417,26.214834100101143,26.314627300016582,1266.6320324998815,1268.632136200089,1268.632136200089,0.0003238001372665167,0.09808750008232892,1298.631983499974,30.03132520010695,,1226.6489301000256,,,,,,,,,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1298.765485299984,0.03250449988991022,0.131347700022161,1304.7652962000575,6.031478499993682,1304.8653408000246,1304.8653408000246,0.031395799946039915,0.1313570998609066,space,0.8637810000218451,1305.7652813999448,1305.7652813999448,1.8399907276034355e-05,0.09919219999574125,num_9,1.0523760002106428,1306.865322319884,0.0020834000315517187,0.09808470006100833,1307.181968800025,1307.648621919891,,1308.465297819907,1308.7821275999304,1308.8486810000613,1316.8652961000334,1316.8651729199105,0.0003505998756736517,0.09801489999517798,1318.8653535000049,1319.0652509999927,1319.5654726000503,10.014612099854276,1326.9818824999966,0.01658599986694753,1326.9818824999966,0.11484259995631874,5.0,3.6989585000555962,1330.7151637000497,0.002519699977710843,0.09801730001345277,1336.7318877000362,1336.8984980199953,6.214585900073871,6.314599000150338,1337.8984761999454,1356.9150937200525,1356.91512089991,26.231258400017396,26.331195200094953,1357.931781399995,1359.91509340005,1359.91509340005,0.0004713002126663923,0.09789570001885295,1389.9149790999945,30.03113350016065,1316.8652961000334,1317.8818502000067,,,,,,,,,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1390.0483311999124,0.03178910003043711,0.13106749998405576,1396.0483254999854,6.031100400025025,1396.1482311000582,1396.1482311000582,0.031151799950748682,0.13102789991535246,space,0.6688563001807779,1396.8816730999388,1396.8816730999388,4.3899985030293465e-05,0.09797370014712214,num_9,1.5513384002260864,1398.4983659198974,0.002181899966672063,0.09820810006931424,1398.7982870999258,1399.2814420199488,1399.5816160000395,1400.0983185200953,,1400.4815318000037,1408.4815892998595,1408.4815666199197,0.01485770009458065,0.1145993999671191,1410.4815781998914,1410.6982217999175,1411.1982515000273,10.031411700183526,1418.614892499987,0.017254600068554282,1418.614892499987,0.11465350002981722,5.0,1.9317499999888241,1420.581727300072,0.0015887999907135963,0.09926120005548,1426.5981620000675,1426.7646891200916,6.21565750008449,6.31571440002881,1427.781515199924,1446.7655432199595,1446.7647484999616,26.215676800115034,26.332290600053966,1447.7813442000188,1449.7812747000717,1449.7812747000717,0.0014870001468807459,0.09897790011018515,1479.7644573000725,30.015343599952757,1408.4815892998595,1409.4982108999975,,,,,,,,30.098798100138083,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479.881298399996,-0.00025509996339678764,0.11547209997661412,1509.8811955000274,30.032131700078025,,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1510.014389500022,0.03403379977680743,0.1320611999835819,1516.0311922000255,6.0153675999026746,1516.09781940002,1516.09781940002,0.01546739973127842,0.11536879977211356,space,0.9514017002657056,1517.0978135000914,1517.0978135000914,4.359986633062363e-05,0.09777259989641607,num_9,1.54337970004417,1518.6978111200501,0.0020379999186843634,0.09793699998408556,1518.9977684000041,1519.481029020017,1519.7811135998927,1520.2978422200308,1520.5979774999432,1520.69778580009,1528.7144037999678,1528.71441541994,0.017529299948364496,0.11449129995889962,1530.7310740998946,1530.8810940000694,1531.381097199861,10.01433839998208,1538.7976086998824,0.0013025000225752592,1538.7976086998824,0.09772279998287559,4.0,3.564144999952987,1542.3979211999103,0.0026657001581043005,0.09760620002634823,1548.4143491000868,1548.5808765199968,6.2141460001003,6.314165499992669,1549.5809973999858,1568.5808582199738,1568.5809772000648,26.214152900036424,26.314095600042492,1569.5976259999443,1571.5974826000165,1571.5974826000165,0.030587500194087625,0.13094990025274456,1601.6141484999098,30.01394320023246,,1529.7310943999328,10.097765099955723,,,,,,,,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1601.7143784998916,0.014566899975761771,0.11393620003946126,1607.7140220000874,6.013952699955553,1607.8141457000747,1607.8141457000747,0.013943800004199147,0.11394670000299811,space,0.6432389002293348,1608.5141785999294,1608.5141785999294,3.909994848072529e-05,0.09787199995480478,num_9,1.0793999000452459,1609.64757392006,0.0022499000187963247,0.09794590016826987,1609.9473653000314,1610.4310091199354,1610.7307589000557,1611.2306863200852,1611.530776700005,1611.6307653000113,1619.6307548000477,1619.6307465199848,0.014649500139057636,0.11461780010722578,1621.6473890999332,1621.8475206999574,1622.3305903999135,10.014514200156555,1629.763910499867,0.017782700015231967,1629.763910499867,0.11437690001912415,4.0,3.4642551001161337,1633.264420100022,0.0022461998742073774,0.09916800004430115,1639.2639891998842,1639.4639602199663,6.199087999993935,6.299095100024715,1640.4806760000065,1659.447117119888,1659.4472441999242,26.215734399855137,26.31577460002154,1660.447160599986,1662.4472107999027,1662.4472107999027,0.015718499897047877,0.11566279991529882,1692.447121300036,30.015606299974024,1619.6307548000477,1620.630700999871,,,,,,,,,,7152,Gustatory,2024-08-16_13h40.22.623,Gustatory_Condition_v2,2022.2.5,30.000543017455886,
