Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_1.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,p_port_14.stopped,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,946.19293309981,0.000989899504929781,0.09942439990118146,952.1929231001996,5.9995142999105155,952.2929456001148,952.2929456001148,0.00026239966973662376,0.09949879953637719,space,2.507564699742943,954.8596157999709,954.8596157999709,4.879990592598915e-05,0.09776980010792613,num_9,1.1889252001419663,956.0929108601995,0.0024321996606886387,0.0978401000611484,956.8762171599083,957.1760919000953,957.6763208601624,957.9929998000152,958.0928862001747,966.0928429001942,966.0928429001942,966.0928841601126,0.001291200052946806,0.097715700045228,967.1095282998867,968.109518900048,968.2761766999029,968.7595791998319,10.014286399818957,976.2093743002042,0.017552699893712997,976.2093743002042,0.11421719985082746,2.0,1.9309685002081096,978.1762855001725,0.0025874003767967224,0.09806310012936592,984.1760943001136,984.3594652600586,6.214640100020915,6.314743200317025,985.35940509988,1004.3592611597851,1004.3593708002008,26.214417700190097,26.31446240004152,1005.3595822998323,1007.3760159001686,1007.3760159001686,0.031090999953448772,0.13104869984090328,1037.3759353002533,30.030991199892014,956.4095453000627,,,,,,,,6.099437899887562,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037.4925830001011,0.014431300107389688,0.11427540006116033,30.014134099707007,1067.4925103001297,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1067.5924821002409,0.016283299773931503,0.11411079997196794,1073.609130800236,6.030792399775237,1073.6924490001984,1073.6924490001984,0.014214899856597185,0.1141042998060584,space,2.5959701002575457,1076.342476699967,1076.342476699967,4.449998959898949e-05,0.09777849959209561,num_9,1.9301426000893116,1078.3091266602278,0.0018504997715353966,0.09799899999052286,1079.1090881600976,1079.409278200008,1079.909106359817,1080.2091466002166,1080.3091115998104,1088.309049199801,1088.309049199801,1088.3090393599123,0.0010607000440359116,0.09805599972605705,1089.3089859001338,1090.325702600181,1090.4755775001831,1090.992382099852,10.014405299909413,1098.4089257000014,0.0010341997258365154,1098.4089257000014,0.09781729988753796,6.0,1.4646077998913825,1099.9090852998197,0.0021913000382483006,0.09807329997420311,1105.9092264999636,1106.1089795599692,6.2313390001654625,6.314679599832743,1107.1089305998757,1126.092205259949,1126.0921872998588,26.214554599951953,26.314620399847627,1127.108759699855,1129.1089172000065,1129.1089172000065,0.0007091998122632504,0.09793119970709085,1159.1254468001425,30.014505200088024,1078.6090128999203,10.097981299739331,,,,,,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1159.2254511998035,0.014918799977749586,0.1145726996473968,1165.2420955002308,6.031092599965632,1165.3421153002419,1165.3421153002419,0.0312581998296082,0.13115579960867763,space,2.08253340004012,1167.4755345000885,1167.4755345000885,4.3999869376420975e-05,0.09824199974536896,num_9,1.7095238999463618,1169.2254599598236,0.0019551999866962433,0.0980838998220861,1170.008873459883,,1170.8254173598252,1171.1420931001194,1171.2087419000454,1179.2254205001518,1179.2254205001518,1179.2253649597988,0.0013222997076809406,0.09806660003960133,1180.2420512000099,1181.2253594999202,1181.4087375998497,1181.9086814001203,10.031492100097239,1189.3586929999292,0.03452689992263913,1189.3586929999292,0.1315013999119401,3.0,3.797992999665439,1193.1922995001078,0.002547800075262785,0.09769169986248016,1199.1919535999186,1199.391981060151,6.230827699881047,6.330803500022739,1200.3920559999533,1219.3754348601215,1219.375282799825,26.21422819979489,26.314082900062203,1220.3918881001882,1222.375223199837,1222.375223199837,0.014137599617242813,0.11405049962922931,1252.3751103999093,30.014005499891937,1169.542090300005,,,,,,,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1252.5084088002332,0.014640199486166239,0.11398159945383668,1258.5084044001997,6.014146499801427,1258.6085287001915,1258.6085287001915,0.014081899542361498,0.11390409944579005,space,4.080017199739814,1262.7417629999109,1262.7417629999109,4.260009154677391e-05,0.09836929989978671,num_9,1.515044099651277,1264.3084036600776,0.002464700024574995,0.09814290003851056,1265.0915691601112,1265.391840300057,1265.8919253600761,1266.1917093000375,1266.2917204000987,1274.2916724998504,1274.2916724998504,1274.2916966602206,0.014706699643284082,0.11467889975756407,1275.29162620008,1276.2917768000625,1276.4916832000017,1276.9918039999902,10.031528399791569,1284.424854699988,0.017524399794638157,1284.424854699988,0.11457749968394637,5.0,3.1985213002189994,1287.6583442999981,0.002692499663680792,0.09783570002764463,1293.6582511002198,1293.8582342602313,6.231142799835652,6.330930999945849,1294.8581786998548,1313.8414679598063,1313.8416893002577,26.214575999882072,26.314334999769926,1314.8581003998406,1316.8581642000936,1316.8581642000936,0.000299699604511261,0.09788939962163568,1346.8747045001946,30.01422379957512,1264.6083897999488,,,,,,,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1346.9747023000382,0.01491289958357811,0.11420569941401482,1352.9748317999765,6.014391099568456,1353.074720799923,1353.074720799923,0.014353799633681774,0.11433319933712482,space,4.845968199893832,1357.9747791001573,1357.9747791001573,4.660012200474739e-05,0.09792170021682978,num_9,1.8504379000514746,1359.8746684598736,0.002135300077497959,0.09780530026182532,1360.6579753598198,1360.9578907000832,1361.4579543601722,1361.7579024001025,1361.8580026999116,1369.8579800999723,1369.8579800999723,1369.8579652598128,0.014481700025498867,0.11423990037292242,1370.857925800141,1371.8579529998824,1372.0411197999492,1372.5413524000905,10.014278300106525,1379.9744604998268,0.00047770002856850624,1379.9744604998268,0.09756840020418167,4.0,1.7980798999778926,1381.808089800179,0.0030319998040795326,0.09773379983380437,1387.8078931001946,1387.991115259938,6.214099599979818,6.297575599979609,1389.007808700204,1407.9909971598536,1407.991182900034,26.214388199616224,26.314224499743432,1409.0077157001942,1410.9911299999803,1410.9911299999803,0.014288199599832296,0.1143538998439908,1441.0076764002442,30.030809599440545,1360.1913250000216,10.097600200213492,,,,,,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1441.1409072000533,0.0314968996681273,0.1307658995501697,1447.1576729002409,6.014057499356568,1447.224355999846,1447.224355999846,0.014181499369442463,0.11407749960198998,space,4.824705800041556,1452.0909557002597,1452.0909557002597,3.83998267352581e-05,0.09807049995288253,num_9,1.5262124994769692,1453.6743259602226,0.0022641001269221306,0.09818099997937679,1454.4574837600812,,1455.257538360078,1455.574274300132,1455.674389100168,,1463.690915599931,1463.6909181601368,0.01747069973498583,0.11476279981434345,1464.707512699999,1465.6909278999083,1465.8407589998096,1466.34090499999,10.031382599845529,1473.8075088998303,0.03437520004808903,1473.8075088998303,0.13123769965022802,2.0,3.1313943997956812,1476.9742796001956,0.0016316999681293964,0.09863130003213882,1482.974176700227,1483.1574260601774,6.215080699883401,6.298536300193518,,1503.1573146600276,1503.1573820998892,26.215044499840587,26.315115300007164,,1506.1573910000734,1506.1573910000734,0.015158699825406075,0.11514499969780445,1536.1572484001517,30.014988099690527,1453.9910074998625,,,,,,,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536.2905859001912,0.015295099932700396,0.11496549984440207,30.03150469996035,1566.3072442002594,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1566.390720400028,0.016553399618715048,0.11522229947149754,1572.4072707002051,6.031650899909437,1572.5071260002442,1572.5071260002442,0.031574299558997154,0.1314884996972978,space,2.5175210000015795,1575.0740053998306,1575.0740053998306,4.700012505054474e-05,0.09783810004591942,num_9,2.2544729998335242,1577.390583360102,0.0018319999799132347,0.0979037000797689,1578.1740136598237,1578.490471799858,1578.9737951601855,1579.2904391000047,1579.3904412002303,1587.3905466999859,1587.3905466999859,1587.390582560096,0.0009546000510454178,0.09780760016292334,1588.3903117999434,1589.3904009000398,1589.5903787999414,1590.107088400051,10.01452500000596,1597.4903148999438,0.0010028001852333546,1597.4903148999438,0.09776809997856617,3.0,3.3978299000300467,1600.9240287002176,0.002576800063252449,0.0977281997911632,1606.9403467001393,1607.1069407598116,6.214265400078148,6.3142242999747396,,1627.1069056601264,1627.1068521998823,26.214082499966025,26.31413309974596,,1630.1069939001463,1630.1069939001463,0.014184499625116587,0.13077389961108565,1660.1067698001862,30.0140205998905,1577.690413999837,10.097809500060976,,,,,,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1660.240189400036,0.014571699779480696,0.11399629944935441,1666.2401415002532,6.0140396994538605,1666.3401051000692,1666.3401051000692,0.014034899417310953,0.1139775994233787,space,3.308529499452561,1669.706789799966,1669.706789799966,3.930041566491127e-05,0.09812820004299283,num_9,2.054259500000626,1671.8067433601245,0.0019307001493871212,0.0980159998871386,1672.5900172600523,1672.9234183002263,1673.3900214601308,1673.6899309,1673.790173199959,1681.8068996001966,1681.8068996001966,1681.8070966601372,0.00188770005479455,0.09797909995540977,,1683.8234319998883,1683.990192499943,1684.4900209000334,10.014635100029409,1691.923216999974,0.017175499815493822,1691.923216999974,0.11454389989376068,4.0,2.865256800316274,1694.8233504998498,0.0015520001761615276,0.09936080034822226,1700.8399518001825,1700.9900079602376,6.199338499922305,6.299358900170773,1702.0066331000999,1721.0065384600312,1721.0064950999804,26.215962199959904,26.31606310000643,1722.0231615998782,1724.0064877001569,1724.0064877001569,0.0159595999866724,0.11605700012296438,1754.0231699999422,29.99914319999516,1672.106694799848,,,,,,,30.09919029986486,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
