loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,13.396695368969812,0.001042699906975031,0.11533339973539114,13.711262899916619,13.977913970174267,14.294573400169611,14.561432269914075,15.177972069988027,15.494602600112557,15.494602600112557,0.0006732996553182602,0.09895379981026053,30.494677300099283,15.032447099685669,30.611253600101918,0.015708299819380045,0.11567149963229895,31.077885299921036,space,1.3992141000926495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.62771779997274,186.62771779997274,0.008713600225746632,0.11377499997615814,5.0,3.3392955996096134,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0111704999581,190.0111704999581,0.007607900071889162,0.1141780000180006,2.0,1.307566899806261,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.36125570023432,191.36125570023432,0.008726699743419886,0.11417469987645745,4.0,1.7736754002980888,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.16109499987215,193.16109499987215,0.0012459000572562218,0.09800729993730783,4.0,3.5645620999857783,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,196.76099630026147,0.0003863000310957432,0.0977250998839736,202.76106770010665,6.031179400160909,202.9775455999188,202.9775455999188,0.10479789972305298,0.2144051999785006,6.014354899991304,209.04419369995594,209.04419369995594,209.04419369995594,0.07981160003691912,0.18122119968757033,214.74428800027817,214.9444991000928,6.014604699797928,6.114643299952149,220.94430570024997,12.014406200032681,221.04432850005105,221.04432850005105,221.07785560004413,221.07785560004413,0.014554599765688181,0.11430719960480928,up,1.8146705999970436,222.92765709990636,5.25997020304203e-05,0.09777570003643632,,228.94413160020486,228.94413160020486,0.026312499772757292,0.11423979979008436,4.0,4.022503000218421,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.02778870007023,233.02778870007023,0.009319799952208996,0.11395480018109083,2.0,3.3391820997931063,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.394156599883,236.394156599883,0.006865799892693758,0.09832630027085543,2.0,1.6591837997548282,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.0940717998892,238.0940717998892,0.009521900210529566,0.09709750022739172,3.0,1.1552319996990263,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.29426839994267,239.29426839994267,0.0069806999526917934,0.09911199985072017,5.0,1.7605200000107288,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.09410410001874,241.09410410001874,0.006867799907922745,0.09917999990284443,4.0,2.1267601000145078,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.27787479991093,243.27787479991093,0.008801399730145931,0.11456790007650852,3.0,2.1067842999473214,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.4110670001246,245.4110670001246,0.000722699798643589,0.09921659994870424,4.0,3.0997448000125587,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,248.54438780015334,0.0002598999999463558,0.09770030016079545,254.52737550018355,6.014194299932569,254.7107617999427,254.7107617999427,0.052512799855321646,0.16444140020757914,6.031018000096083,260.84421369992197,260.84421369992197,260.84421369992197,0.08896399987861514,0.1977284997701645,266.54447680013254,266.74420240009204,6.031080699991435,6.131020999979228,272.74420080007985,12.031115899793804,272.8442357000895,272.8442357000895,272.87755249999464,272.87755249999464,0.03126569977030158,0.13104149978607893,up,0.7032094998285174,273.6441735001281,7.150042802095413e-05,0.0975207001902163,,279.6611390002072,279.6611390002072,0.024955100379884243,0.1140142004005611,4.0,4.456797800026834,,,,,,,6.09745809994638,260.71085199993104,260.71085199993104,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.1608008998446,284.1608008998446,0.007332599721848965,0.09799139993265271,4.0,1.8583510001190007,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0780434999615,286.0780434999615,0.00785099994391203,0.11429629987105727,2.0,3.040749099571258,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.14426420023665,289.14426420023665,0.007622700184583664,0.09859650023281574,2.0,1.1922635002993047,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.3775689001195,290.3775689001195,0.006519100163131952,0.09892909973859787,2.0,1.493614099919796,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.9109455002472,291.9109455002472,0.007164299953728914,0.0976997995749116,2.0,2.425113799981773,,,,,,,,,,,,3266,Moral,2025-02-24_10h27.55.533,MoralCondition_v2,2022.2.5,30.001965126215786,
