loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,p_port_9.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,175.3525002989918,0.0004321988672018051,0.09731020033359528,181.3522441983223,6.030730199068785,181.50215199962258,0.04512449912726879,0.1473756991326809,6.0139645002782345,187.50218829885125,,187.5688052996993,0.01666869968175888,0.11395519971847534,0.0,2.531540500000119,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
10,0,10,0,,,,,,,,,,,,,,,,190.13566249981523,0.0002269987016916275,0.09927709959447384,196.15221249870956,6.015649599954486,196.26879139989614,0.03149780072271824,0.13224050030112267,6.032189900055528,202.26886159926653,,202.36906539835036,0.0353900995105505,0.1323202010244131,3.0,3.1978644002228975,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
11,0,11,0,,,,,,,,,,,,,,,,205.60244739986956,0.0007522013038396835,0.0971240010112524,211.58531080000103,6.013623600825667,211.7190434988588,0.009454600512981415,0.11376010067760944,6.01371980085969,217.71901569887996,,217.81870429962873,0.0152204018086195,0.11363820172846317,4.0,1.9331244006752968,6.096852000802755,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
12,0,12,0,,,,,,,,,,,,,,,,219.78584099933505,0.0005855988711118698,0.09719849936664104,225.7856940999627,6.0307448003441095,225.9186669997871,0.027422700077295303,0.1303934995085001,6.0303891990333796,231.91871029883623,,232.0185755994171,0.033554499968886375,0.13035340048372746,3.0,4.664368899539113,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
13,0,13,0,,,,,,,,,,,,,,,,236.71902369894087,0.000492999330163002,0.09773639962077141,242.73537309840322,6.014018198475242,242.85192679986358,0.03460809960961342,0.13066279888153076,6.030538599938154,248.85212869942188,,248.95191089995205,0.03325810097157955,0.13052929937839508,3.0,1.9651800990104675,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
14,0,14,0,,,,,,,,,,,,,,,,250.95234639942646,0.000614900141954422,0.09723570011556149,256.96861859969795,6.013891000300646,257.08547769859433,0.037008101120591164,0.13090419955551624,6.03051619976759,263.0853220988065,,263.185319500044,0.0336954016238451,0.13068870082497597,4.0,2.0311862993985415,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
15,0,15,0,,,,,,,,,,,,,,,,265.2523305993527,0.0006783995777368546,0.09711300022900105,271.2684131991118,6.013745900243521,271.38518540002406,0.03707929886877537,0.13061629980802536,6.030304100364447,277.3684127982706,,277.48512949980795,0.033081499859690666,0.13029119931161404,2.0,2.531565599143505,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
16,0,16,0,,,,,,,,,,,,,,,,280.05215299874544,0.00044319964945316315,0.09749690070748329,286.05187509953976,6.031003100797534,286.18513969890773,0.0376117005944252,0.13115189969539642,6.031328201293945,292.18531519919634,,292.2686289995909,0.015089699998497963,0.11422530002892017,4.0,2.234121298417449,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
17,0,17,0,,,,,,,,,,,,,,,,294.535562498495,0.0004553999751806259,0.09736819937825203,300.55184119939804,6.014006299898028,300.65167069993913,0.02629600092768669,0.11402110010385513,6.0140239000320435,306.65181139856577,,306.75175199843943,0.01660120114684105,0.11406290158629417,4.0,2.0984161999076605,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
18,0,18,0,,,,,,,,,,,,,,,,308.8854209985584,0.0006636995822191238,0.09733640030026436,314.88512739911675,6.030738200992346,315.0184114985168,0.02751300111413002,0.13082960061728954,6.030651900917292,321.0184368994087,,321.10176369920373,0.016788000240921974,0.11397730186581612,0.0,1.6648846995085478,,6466,Visual,2024-07-03_10h39.41.700,Visual_Condition_v2,2022.2.5,30.00558400136076,
