Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,p_port_14.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,900.3501377999783,0.03187519987113774,0.13121549994684756,906.3501810000744,6.0310470999684185,906.4500931000803,906.4500931000803,0.031214799731969833,0.13120899978093803,space,2.5129290998447686,909.0167670999654,909.0167670999654,5.959998816251755e-05,0.09796239994466305,num_9,0.9384439000859857,909.9998462201096,0.0009947000071406364,0.09938309993594885,910.2999940000009,910.7667268201243,911.0834222999401,911.5667144200764,911.8667222999502,911.9668187999632,919.9834074000828,919.9834074000828,919.9833291199524,0.01604450005106628,0.11580309993587434,920.983283800073,922.0000601999927,922.1833304001484,922.7000287999399,9.999176000012085,930.0998831000179,0.002543199807405472,930.0998831000179,0.09915329981595278,4.0,3.764273500069976,933.9004905000329,0.0020800998900085688,0.09831720008514822,939.9000629000366,940.0833907200489,6.214923799969256,6.315038699889556,941.0831957000773,960.0998318200931,960.0998804999981,26.231547199888155,26.33153329999186,961.1165040000342,,963.1164993999992,0.01650080014951527,0.11485330015420914,993.1163896999788,30.014665300026536,,,10.099214599933475,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993.2163814001251,0.014941500034183264,0.11471339990384877,1023.2162544000894,30.014612699858844,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1023.316255300073,0.016662399750202894,0.11474249977618456,1029.3162186001427,6.014551599975675,1029.4162145999726,1029.4162145999726,0.014672999735921621,0.11448129988275468,space,2.827167100040242,1032.2995525000151,1032.2995525000151,4.1999854147434235e-05,0.09770389995537698,num_9,1.031460399972275,1033.3661610201002,0.002341300016269088,0.09741199994459748,1033.6661241999827,1034.1493556200062,1034.4661117999349,1034.94947971995,1035.2661955000367,1035.3661690999288,1043.3661935001146,1043.3661935001146,1043.3662616201677,0.0009685999248176813,0.09733009990304708,1044.366120700026,1045.3661311001051,1045.5661426000297,1046.0660838000476,10.013844799948856,1053.4661268999334,0.0011983998119831085,1053.4661268999334,0.09713009977713227,5.0,2.3302841999102384,1055.8329571001232,0.0035385999362915754,0.09721100004389882,1061.8327548000962,1062.015922420053,6.230490499874577,6.330527700018138,1063.015970800072,1082.015898420103,1082.0160193999764,26.21383889997378,26.313724899897352,1083.0158887000289,1085.0161314001307,1085.0161314001307,0.013957899995148182,0.1138094998896122,1115.0324826000724,30.030278000049293,,,10.09762639994733,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1115.1491863999981,0.013868799898773432,0.11358919995836914,1121.1491177999415,6.013575799996033,1121.2491291000042,1121.2491291000042,0.01366719976067543,0.11362899979576468,space,2.9137865998782218,1124.1991560999304,1124.1991560999304,1.6900012269616127e-05,0.09926789999008179,num_9,1.0840306000318378,1125.3324185200968,0.0019320999272167683,0.09818029985763133,1125.6324279999826,1126.1157405200415,1126.4158107000403,1126.91564162015,1127.215745399939,1127.315778200049,1135.332425400149,1135.332425400149,1135.332359819999,0.0012518998701125383,0.09811749984510243,,1137.3323737001047,1137.5157139999792,1137.998888600152,10.01472599990666,1145.4489182999823,0.017595199868083,1145.4489182999823,0.11460979981347919,3.0,2.731627200031653,1148.2160869999789,0.001599299954250455,0.09962909994646907,1154.2157701000106,1154.3823354200927,6.19933949992992,6.299386099912226,1155.382360999938,1174.3989186201711,1174.3989325000439,26.21591699984856,26.31580869993195,1175.4156456000637,1177.415570100071,1177.415570100071,0.0016876999288797379,0.09908610000275075,1207.4320714001078,30.015626299893484,,,,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1207.5320799001493,0.016285100020468235,0.11558229988440871,1213.5320288999937,6.015649099834263,1213.6487505999394,1213.6487505999394,0.032482699723914266,0.13229179987683892,space,2.2259188001044095,1215.9320376000833,1215.9320376000833,4.640012048184872e-05,0.09789490001276135,num_9,1.0630977000109851,1217.0319396200125,0.0012223999947309494,0.09877129993401468,1217.3317959001288,1217.8152670199984,1218.1153039000928,1218.6150290200953,1218.9153172001243,1218.9985762999859,1226.9985891999677,1227.0319801999722,1227.0318897199818,0.03217029990628362,0.1320410999469459,1228.0318710999563,1229.0486539001577,1229.2154872000683,1229.7152935999911,10.015265599824488,1237.144874199992,0.018038799753412604,1237.144874199992,0.11149409995414317,4.0,3.031617400003597,1240.2155514999758,0.002565900096669793,0.09793260018341243,1246.2152017001063,1246.3985298200046,6.214640500023961,6.3145252000540495,1247.4151878999546,1266.415161819989,1266.4151264000684,26.23113730014302,26.3311066001188,1267.4317382001318,1269.4151074001566,1269.4151074001566,0.00027640024200081825,0.09779020003043115,1299.4149665001314,30.030978000024334,,,,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1299.5482987000141,0.03160530002787709,0.1309130999725312,1305.5649395999499,6.014318200061098,1305.6315852000844,1305.6315852000844,0.014396999962627888,0.11425419989973307,space,3.0590929000172764,1308.7482509000693,1308.7482509000693,4.2400090023875237e-05,0.0980314000044018,num_9,0.8707201001234353,1309.6649764199742,0.0022964999079704285,0.09787330008111894,1309.9648895000573,1310.4481193200686,1310.7650156000163,1311.2480655201712,1311.5648948999587,1311.6649279000703,,1319.6815262001473,1319.6814968200401,0.017365199979394674,0.11448500002734363,1320.681471799966,1321.6981927999295,1321.8481960000936,1322.3481674001087,10.014310699887574,1329.7611569000874,0.00021859980188310146,1329.7611569000874,0.0938160999212414,1.0,2.04829250019975,1331.8484307001345,0.0026474001351743937,0.09806360001675785,1337.8647938999347,1338.048114420008,6.231514299986884,6.33125580009073,1339.0647756999824,1358.031209320156,1358.031384800095,26.214702400146052,26.31116560008377,,1361.0313163001556,1361.0313163001556,0.0146549001801759,0.11460440000519156,1391.0312342001125,30.014553599990904,,,10.097521499963477,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1391.1646660999395,0.015449299942702055,0.11457780003547668,1397.1644783001393,6.014423500047997,1397.2645110001322,1397.2645110001322,0.014582599978893995,0.11445149988867342,space,1.3948882999829948,1398.7144862001296,1398.7144862001296,5.929986946284771e-05,0.09796829987317324,num_9,1.0642534999642521,1399.8144710199908,0.001935100182890892,0.09783810004591942,1400.114438700024,1400.5976545201615,1400.9144786000252,1401.397801420046,1401.7144790999591,1401.8145324999932,1409.814482399961,1409.814482399961,1409.814522620151,0.001325300196185708,0.09775479999370873,1410.8310877000913,1411.831105499994,1412.0146772000007,1412.5145749000367,10.014397999970242,1419.9309565001167,0.017568100010976195,1419.9309565001167,0.11428439989686012,5.0,2.497816699789837,1422.4645581999794,0.002645100001245737,0.09943469986319542,1428.4643717000727,1428.6309567199555,6.199467899976298,6.299369599903002,,1448.6438349199948,1448.6272287999745,26.21608359995298,26.29963619983755,1449.6641849000007,1451.6475931000896,1451.6475931000896,0.016024099895730615,0.11597969988361001,1481.6641514999792,29.99915499985218,,30.099160299869254,,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481.764230400091,0.00015249988064169884,0.09915619995445013,1511.763960900018,30.032434799941257,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1511.897322700126,0.034398399759083986,0.13233259972184896,1517.8974136000033,6.032300799852237,1517.9806886001024,1517.9806886001024,0.015662999590858817,0.1155926997307688,space,2.8383744000457227,1520.8804848000873,1520.8804848000873,5.610007792711258e-05,0.09724720008671284,num_9,0.8025659001432359,1521.7472209200264,0.002407599939033389,0.09752589999698102,1522.063743200153,1522.5472025201657,1522.8639321001247,1523.3305767200422,1523.6305871000513,1523.7305503999814,1531.730530400062,1531.730530400062,1531.7305233200082,0.01404819986782968,0.11402289988473058,1532.747184399981,1533.7472224000376,1533.9471875000745,1534.46385499998,10.013842399930581,1541.8471345999278,0.00017829984426498413,1541.8471345999278,0.0971408998593688,5.0,2.198032399872318,1544.0805971999653,0.0024818999227136374,0.09732539998367429,1550.0971127001103,1550.2637808200438,6.214152500033379,6.314033400034532,1551.2637452001218,1570.2636340200902,1570.2636943000834,26.21400689985603,26.313977499958128,1571.2637136999983,1573.2636669001076,1573.2636669001076,0.01405770005658269,0.11395530006848276,1603.2802160000429,30.030523400055245,,,10.0972013999708,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1603.3968243999407,0.014552299864590168,0.11378299980424345,1609.3968351001386,6.013846599962562,1609.4968330999836,1609.4968330999836,0.013749699806794524,0.1138359997421503,space,3.193760999944061,1612.746832099976,1612.746832099976,5.550007335841656e-05,0.09792990004643798,num_9,0.999536800198257,1613.7802224199754,0.0021150000393390656,0.09781080018728971,1614.0800354001112,1614.580125819985,1614.8801498000976,1615.380167620117,1615.6800162000582,1615.7634984999895,1623.7634296999313,1623.7634296999313,1623.763400020171,0.014551800210028887,0.11445430014282465,1624.7633507000282,1625.7634130001534,1625.9633877000306,1626.4801370000932,10.014370900113136,1633.880046500126,0.0002967999316751957,1633.880046500126,0.09755060006864369,5.0,2.6316539000254124,1636.5469794000965,0.003896299982443452,0.09793110005557537,1642.5466508001555,1642.7299097199925,6.214498900109902,6.314543399959803,1643.7466802999843,1662.7297793201637,1662.729928900022,26.214443099917844,26.314432099927217,1663.7465643000323,1665.7466876001563,1665.7466876001563,0.0002475001383572817,0.09780430002138019,1695.7464570000302,30.030989299993962,,,10.09758729999885,,,,,,,1550,Gustatory,2025-03-11_13h17.00.022,Gustatory_Condition_v2,2022.2.5,30.00172208401925,
