loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.06416529975832,137.06416529975832,0.007366100326180458,0.11402099998667836,4.0,3.907696899957955,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.99728959985077,140.99728959985077,0.006716399919241667,0.09934149961918592,4.0,2.1934223999269307,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.23067789990455,143.23067789990455,0.006340800318866968,0.09917689999565482,5.0,2.3273891997523606,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.59732949966565,145.59732949966565,0.007613399997353554,0.0976451002061367,3.0,2.1243467000313103,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.76403449987993,147.76403449987993,0.007197499740868807,0.09791569970548153,3.0,3.558728300035,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.3639028999023,151.3639028999023,0.007616300135850906,0.09761880012229085,4.0,1.9912772001698613,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.3972454997711,153.3972454997711,0.0016886000521481037,0.09835310000926256,3.0,4.7644556001760066,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,158.19763309974223,0.0002978998236358166,0.09787820000201464,164.21395789971575,6.01478789979592,164.46424110000953,164.46424110000953,0.15112729975953698,0.2648898996412754,6.031327299773693,170.49731949996203,170.49731949996203,170.49731949996203,0.08637719973921776,0.19822069955989718,176.19730479968712,176.39732400001958,6.031305499840528,6.131107999943197,182.39728369982913,12.031320299953222,182.49740009987727,182.49740009987727,182.530512499623,182.530512499623,0.031481499783694744,0.13116899970918894,up,1.6002197000198066,184.18058559997007,4.1800085455179214e-05,0.0981111996807158,190.21385109983385,190.21385109983385,0.026047099847346544,0.1314338999800384,3.0,4.006240699905902,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.247327900026,194.247327900026,0.00670179957523942,0.09836489986628294,3.0,1.259488900192082,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.54723259992898,195.54723259992898,0.007331599947065115,0.098346299957484,4.0,3.7585611999966204,,,,,,,,,,,,,7451,Moral,2025-02-10_09h30.23.177,MoralCondition_v2,2022.2.5,29.95830101974062,
