loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_10.stopped,p_port_6.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.08864980004728,241.08864980004728,0.006864899769425392,0.0990303996950388,1.0,2.859988998621702,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0054899007082,244.0054899007082,0.007923100143671036,0.11406340077519417,4.0,10.073680199682713,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.10516340099275,254.10516340099275,0.007323898375034332,0.09759959951043129,7.0,3.2581652998924255,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.4222273007035,257.4222273007035,0.00793900154531002,0.11442260071635246,1.0,3.1742802001535892,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.62211340107024,260.62211340107024,0.000725800171494484,0.09895969927310944,7.0,6.299752900376916,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,266.9553773012012,0.0002918001264333725,0.09749529883265495,272.95527300052345,6.030877599492669,273.1718991007656,273.1718991007656,0.1036824993789196,0.21434959955513477,6.0141687002032995,279.2219424005598,279.2219424005598,279.2219424005598,0.065123800188303,0.16418210044503212,284.92195860110223,285.15527230128646,6.030862100422382,6.130917299538851,291.15522790141404,12.030813500285149,291.2886095009744,291.2886095009744,0.03096580132842064,0.1308149006217718,up,2.5417852979153395,293.88855370134115,9.940005838871002e-05,0.09796890057623386,,299.92197090014815,299.92197090014815,0.02510629966855049,0.1313664000481367,7.0,2.973837500438094,,,,,,,291.2220034003258,291.2220034003258,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.921959400177,302.921959400177,0.007538801059126854,0.0975464005023241,1.0,3.457804199308157,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.4217003006488,306.4217003006488,0.006990298628807068,0.09908209927380085,1.0,1.359646799042821,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.8217323999852,307.8217323999852,0.007712800055742264,0.09774630144238472,4.0,6.324142200872302,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.20553790032864,314.20553790032864,0.008185900747776031,0.11374320089817047,1.0,2.7064394000917673,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.95533649995923,316.95533649995923,0.008061900734901428,0.11380399949848652,1.0,2.9735691007226706,,,,,,,,,,,,,,676,Moral,2024-06-05_15h19.06.052,MoralCondition_v2,2022.2.5,29.998248061035376,
