loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,166.25450900010765,0.0002206992357969284,0.09858929924666882,172.2707748990506,6.0152049995958805,172.38747759908438,0.030916498973965645,0.1318725999444723,6.0320103988051414,178.38740029931068,178.48735339939594,0.03462409973144531,0.1318637002259493,3.0,3.3982881996780634,,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
10,0,10,0,,,,,,,,,,,,,,,,,181.92112549953163,0.00022109970450401306,0.09913289919495583,187.9374515004456,6.015718100592494,188.05406169965863,0.03075519949197769,0.1325972992926836,5.999024700373411,194.05402869917452,194.12064229883254,0.0025602001696825027,0.09898070059716702,1.0,3.364189999178052,,6.099022600799799,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
11,0,11,0,,,,,,,,,,,,,,,,,197.520942799747,0.0005807001143693924,0.09711429849267006,203.52069609984756,6.030375599861145,203.67051089927554,0.05222960002720356,0.14707989990711212,6.013578498736024,209.6706560999155,209.73723859898746,0.016334500163793564,0.11359089985489845,0.0,1.8650851007550955,,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
12,0,12,0,,,,,,,,,,,,,,,,,211.63753660023212,0.000585898756980896,0.0973121989518404,217.63724010065198,6.030471500009298,217.78722519986331,0.04466010071337223,0.14712340012192726,6.0137610007077456,223.78726400062442,223.8538453001529,0.016708800569176674,0.11367030069231987,2.0,5.064735300838947,,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
13,0,13,0,,,,,,,,,,,,,,,,,228.95434789918363,0.0005020983517169952,0.09784819930791855,234.9705752003938,6.014456398785114,235.0871644988656,0.036700598895549774,0.13105269894003868,6.030998699367046,241.08726700022817,241.18708449974656,0.03324639983475208,0.13069429993629456,0.0,1.0653726998716593,,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
14,0,14,0,,,,,,,,,,,,,,,,,242.28760430030525,0.0002755001187324524,0.09835630096495152,248.27039019949734,6.015007799491286,248.4203343000263,0.04228470101952553,0.1318214014172554,6.0319690015167,254.42047999985516,254.5204764995724,0.0336409006267786,0.13177470117807388,1.0,2.7323497012257576,6.0984672997146845,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
15,0,15,0,,,,,,,,,,,,,,,,,257.28705029934645,0.00021490082144737244,0.09906960092484951,263.3036933001131,6.015642801299691,263.4370536003262,0.04591950215399265,0.14883840084075928,6.015680801123381,269.43714619986713,269.5038347989321,0.01858610101044178,0.11584910191595554,2.0,1.3646305985748768,,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
16,0,16,0,,,,,,,,,,,,,,,,,270.9039984997362,0.00021810084581375122,0.09916650131344795,276.9037573989481,6.032371699810028,277.0701959002763,0.07158590108156204,0.16558090038597584,6.032240500673652,283.07037499919534,283.1369339991361,0.034879401326179504,0.13217300176620483,0.0,3.3650019001215696,,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
17,0,17,0,,,,,,,,,,,,,,,,,286.53740550018847,0.00022650137543678284,0.09912380017340183,292.5369923003018,6.032372800633311,292.6869216989726,0.05193920060992241,0.14894220046699047,6.015632100403309,298.686989299953,298.75352799892426,0.018378401175141335,0.11544200219213963,0.0,1.7315791994333267,,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
18,0,18,0,,,,,,,,,,,,,,,,,300.5202942993492,0.00023349933326244354,0.09891609847545624,306.520296799019,6.032278999686241,306.653727600351,0.028722500428557396,0.1325867995619774,6.03219909965992,312.65358209982514,312.75353170000017,0.034885099157691,0.13212830014526844,1.0,3.4982980005443096,,,6664,Visual,2024-07-08_10h35.09.430,Visual_Condition_v2,2022.2.5,29.942352076933915,
