loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,p_port_7.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,p_port_9.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,participant,session,date,expName,psychopyVersion,frameRate,
20,0,20,0,,,,,,,,,,,,,,,,,,363.91795030003414,0.00047719990834593773,0.0974622000940144,369.93440710008144,6.0141325001604855,,370.0510122999549,0.03417780017480254,0.1308388002216816,376.05106589989737,6.030790400225669,,376.1510727000423,0.034154499880969524,0.13075939984992146,0.0,1.2977172997780144,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
21,0,21,0,,,,,,,,,,,,,,,,,,377.4845194001682,0.00045590009540319443,0.09748940030112863,383.5010163001716,6.014001400209963,,383.61758530000225,0.04199580010026693,0.13077179994434118,389.61783420015126,6.0308207999914885,,389.71776639996096,0.033382900059223175,0.13050880003720522,2.0,5.931951900012791,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
22,0,22,0,,,,,,,,,,,,,,,,,,395.6845839000307,0.0004962999373674393,0.09731559967622161,401.684345100075,6.030588800087571,,401.81762510025874,0.030623899772763252,0.13069389993324876,407.8179703000933,6.030440699774772,,407.91772559983656,0.03337539965286851,0.13060999987646937,0.0,1.098076700232923,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
23,0,23,0,,,,,,,,,,,,,,,,,,409.0513697001152,0.0006268997676670551,0.09709890000522137,415.0508758998476,6.014085299801081,6.097170299850404,415.584528000094,0.28042190009728074,0.5306625999510288,,6.010179299861193,6.0972545999102294,421.28421169985086,0.03336199978366494,0.13072359981015325,0.0,0.9315529000014067,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
24,0,24,0,,,,,,,,,,,,,,,,,,422.2510663000867,0.0004719998687505722,0.09714019997045398,428.2342194998637,6.01344530005008,6.097096499986947,428.38439070014283,0.024973100051283836,0.13035919982939959,434.3844763999805,6.030358599964529,,434.4676231001504,0.01647819997742772,0.1137603996321559,0.0,1.131551899947226,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
25,0,25,0,,,,,,,,,,,,,,,,,,435.63455800013617,0.00021850038319826126,0.0992577001452446,441.6343264998868,5.999469300266355,6.099117600359023,441.7676944998093,0.028814699966460466,0.13260299991816282,447.7677656998858,5.999245400074869,6.099399699829519,447.83426389982924,0.0027071000076830387,0.099184799939394,0.0,0.964217399712652,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
26,0,26,0,,,,,,,,,,,,,,,,,,448.8345836000517,0.00022590020671486855,0.0991809000261128,454.85103299980983,6.015754899941385,,454.98460539989173,0.04419709974899888,0.14947349997237325,460.98457470024005,6.016101500019431,,461.0510173002258,0.01867150003090501,0.11584479967132211,2.0,8.1649299999699,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
27,0,27,0,,,,,,,,,,,,,,,,,,469.2511729001999,0.0006022998131811619,0.0966491000726819,475.2509779999964,6.030001100152731,,475.40103679988533,0.046384899877011776,0.14659669995307922,481.40112120006233,6.01339520001784,,481.4675837000832,0.01594969956204295,0.11325979977846146,2.0,3.9650759999640286,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
28,0,28,0,,,,,,,,,,,,,,,,,,485.4677677000873,0.0008348003029823303,0.09687629994004965,491.4843274001032,6.013634799979627,,491.6175895999186,0.042007800191640854,0.146760200150311,497.61778620025143,6.013648100197315,,497.6842315001413,0.01615609973669052,0.11352190002799034,0.0,1.0984734003432095,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
29,0,29,0,,,,,,,,,,,,,,,,,,498.81785860005766,0.00025640008971095085,0.09900580020621419,504.81765630003065,6.032358900178224,,504.98488629981875,0.07462099986150861,0.1659234999679029,510.98426999989897,6.032294500153512,,511.0508801001124,0.034874599892646074,0.132286099717021,1.0,1.9983063000254333,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
30,0,30,0,,,,,,,,,,,,,,,,,,513.0846926001832,0.00045129982754588127,0.09747530007734895,519.0675522000529,6.01401299983263,6.09721969999373,519.2008922002278,0.021815199870616198,0.1142052998766303,525.2010038001463,6.014072000049055,,525.3009450002573,0.016685799695551395,0.11390079976990819,0.0,1.164935499895364,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
31,0,31,0,,,,,,,,,,,,,,,,,,526.5011551999487,0.0005393000319600105,0.09733140002936125,532.484155099839,6.013827500399202,6.097180200275034,532.6009105001576,0.004576500039547682,0.09746470022946596,538.6009753998369,6.030663200188428,,538.734319599811,0.033140100073069334,0.13075010012835264,0.0,1.098484099842608,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
32,0,32,0,,,,,,,,,,,,,,,,,,539.8677405002527,0.00038739992305636406,0.09757870016619563,545.8675986998715,6.0309379999525845,,546.4509564000182,0.31245579989627004,0.5812144996598363,,6.014264899771661,,552.0804889001884,0.01940829958766699,0.11043369956314564,0.0,2.445791100151837,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
33,0,33,0,,,,,,,,,,,,,,,,,,554.56761249993,0.00038880016654729843,0.09781480021774769,560.5676282001659,6.031192800030112,,560.700817100238,0.03007319988682866,0.13126639975234866,566.7011826001108,6.031287900172174,,566.7841058000922,0.016859199851751328,0.11442299978807569,0.0,0.865166500210762,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
34,0,34,0,,,,,,,,,,,,,,,,,,567.6845920002088,0.0002355002798140049,0.0991758001036942,573.684221799951,6.03236970026046,,573.8341493001208,0.04713869979605079,0.1490142997354269,579.8342030001804,6.015695599839091,,579.9007635000162,0.018270100001245737,0.11575009999796748,1.0,1.431581599637866,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
35,0,35,0,,,,,,,,,,,,,,,,,,581.3676926000044,0.0002342001534998417,0.09918879996985197,587.3677366999909,5.999163900036365,6.0990806999616325,587.484113200102,0.019171900115907192,0.11591080017387867,593.4842261997983,6.015794000122696,,593.5842512999661,0.018225899897515774,0.11592369992285967,2.0,2.3651580000296235,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
36,0,36,0,,,,,,,,,,,,,,,,,,595.9841714999638,0.00022160029038786888,0.09906610008329153,601.9841779000126,5.999043399933726,6.099009499885142,602.1009010002017,0.017667400185018778,0.1158993998542428,608.1007976001129,6.015950200147927,,608.2175230002031,0.03471300005912781,0.13253049971535802,0.0,1.5318049998022616,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
37,0,37,0,,,,,,,,,,,,,,,,,,609.7843526001088,0.0002326001413166523,0.09917329996824265,615.7841778001748,5.999168499838561,6.0991234998218715,615.9007628001273,0.016456699930131435,0.1158338999375701,621.9007617998868,6.015911200083792,,622.0007271999493,0.01847169967368245,0.11564689967781305,1.0,2.064866699744016,6833,Visual,2025-02-11_11h13.54.851,Visual_Condition_v2,2022.2.5,30.001524103000058,
