loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.28501220000908,189.28501220000908,0.008189600077457726,0.11445240001194179,5.0,2.6738927999977022,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.98478339996655,191.98478339996655,0.006493000080808997,0.09896580001804978,5.0,4.826816199929453,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.8517017000122,196.8517017000122,0.008311800076626241,0.09716610005125403,4.0,5.390079599921592,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.28474969998933,202.28474969998933,0.006597100058570504,0.09930560004431754,5.0,1.6270782999927178,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.9516406999901,203.9516406999901,0.0006889000069350004,0.09908920002635568,2.0,2.6327638999791816,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,206.6184150999179,0.0003342999843880534,0.09793819999322295,212.63481499999762,6.014340299996547,212.8513730999548,212.8513730999548,0.11588370008394122,0.23104560002684593,6.031143400003202,218.9180289999349,218.9180289999349,218.9180289999349,0.09350070008076727,0.19766060006804764,224.6182350999443,224.81834040000103,6.031312000122853,6.1310104000149295,230.81834569992498,12.031297400128096,230.95132059999742,230.95132059999742,0.031342800124548376,0.1309610001044348,down,2.4775296000298113,233.48478139995132,4.4899992644786835e-05,0.09799440007191151,239.5014627999626,239.5014627999626,239.5014627999626,0.009652200038544834,0.11466349998954684,2.0,2.77248879999388,,,,,,,,,,230.918246599962,230.918246599962,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.30135680001695,242.30135680001695,0.006784799974411726,0.09926469996571541,3.0,4.159974099951796,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.5014891999308,246.5014891999308,0.0075882000382989645,0.09780440002214164,4.0,2.0243498999625444,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.56805719994009,248.56805719994009,0.0066639999859035015,0.09906599996611476,3.0,3.52678770001512,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.1347095000092,252.1347095000092,0.006535200052894652,0.09925139998085797,2.0,1.6601346000097692,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
