loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,p_port_7.started,cross.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
13,0,13,0,,,,,,,,,,,,,,,,,231.55099499993958,0.0002223001793026924,0.13264650013297796,6.015917400131002,237.55093119991943,237.68416639999487,0.04417839995585382,0.16595999989658594,5.9992696000263095,243.70079219993204,243.76756919990294,0.017738200025632977,0.1492550999391824,3.0,3.6324114000890404,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
14,0,14,0,,,,,,,,,,,,,,,,,247.4346407998819,0.0006767997983843088,0.13058519992046058,6.030543099856004,253.46767179993913,253.60104799992405,0.0639479998499155,0.19723139982670546,6.0308423996903,259.63433699985035,259.66757869999856,0.033546499675139785,0.16382099967449903,2.0,2.831209800206125,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
15,0,15,0,,,,,,,,,,,,,,,,,262.5345564999152,0.000704699894413352,0.130367900012061,6.013677999842912,268.55102479993366,268.73422820004635,0.09242689982056618,0.2303347997367382,6.030350799905136,,274.76753579988144,0.03330569970421493,0.16377969970926642,0.0,1.9311748000327498,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
16,0,16,0,,,,,,,,,,,,,,,,,276.73455940000713,0.0005529001355171204,0.11360420007258654,6.013865200104192,282.7510042998474,282.8842650000006,0.05198090011253953,0.180503899930045,6.013829099945724,288.9009379998315,288.9509244998917,0.015997099922969937,0.1471218999940902,1.0,2.2655070000328124,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
17,0,17,0,,,,,,,,,,,,,,,,,291.25108879990876,0.000573200173676014,0.11411570012569427,6.030804000096396,297.2843300998211,297.3842897999566,0.029226999962702394,0.1640663999132812,6.030796899925917,303.417659800034,303.46757989982143,0.01676429994404316,0.14740519993938506,2.0,3.6983860000036657,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
18,0,18,0,,,,,,,,,,,,,,,,,307.20128379995003,0.00022319983690977097,0.1324844998307526,5.999351699836552,313.2343009999022,313.3509074000176,0.05154619971290231,0.18244119989685714,6.015761999879032,319.38445909996517,319.41761799994856,0.018192499643191695,0.14891199977137148,1.0,1.9652922002132982,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
19,0,19,0,,,,,,,,,,,,,,,,,321.4176727999002,0.0006436998955905437,0.1301847998984158,6.03027640003711,327.45102189993486,327.58428379986435,0.06079029990360141,0.1967466997448355,6.03017589985393,333.6176986999344,333.65091049997136,0.03277949965558946,0.16348759969696403,4.0,2.5649033999070525,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
20,0,20,0,,,,,,,,,,,,,,,,,336.251352599822,0.0004851000849157572,0.1305996000301093,6.030541300075129,342.2843639999628,342.40111829992384,0.04227599990554154,0.1803564999718219,6.0136782000772655,348.41741409990937,348.467462599976,0.01416379981674254,0.1470058998093009,1.0,1.1170353000052273,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
21,0,21,0,,,,,,,,,,,,,,,,,349.6187501999084,0.0015770001336932182,0.12816500011831522,6.011766700074077,355.6343246998731,355.7510332998354,0.028072299901396036,0.16176309995353222,6.028446599841118,361.7843168999534,361.8510594998952,0.031148099806159735,0.16190189984627068,1.0,1.3315304999705404,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
22,0,22,0,,,,,,,,,,,,,,,,,363.2179709998891,0.00024780002422630787,0.13231820007786155,6.015625899890438,369.2342862000223,369.3510110999923,0.03277399996295571,0.1656700000166893,6.03229339979589,375.3843200998381,375.43424919992685,0.018329799873754382,0.1489081997424364,0.0,1.6314258000347763,,666,Visual,2024-09-19_16h08.45.938,Visual_Condition_v2,2022.2.5,59.921000082102864,
