Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_3.stopped,Roll_liquid_taste.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,927.6288146001752,0.015122100012376904,0.09823290002532303,933.6118938999716,6.014707199996337,933.7248708000407,933.7248708000407,0.011341699864715338,0.09810119983740151,space,3.6883138997945935,937.4618128000293,937.4618128000293,1.659989356994629e-05,0.09933190001174808,num_9,1.7119867999572307,939.211791970185,0.0010347000788897276,0.09964340017177165,939.5284623000771,939.9915884701768,940.3119734001812,940.7785442700842,941.1750400001183,949.1748938001692,949.1914448699681,0.012558000162243843,0.0994201002176851,950.1915529000107,951.1581494000275,951.3617497000378,951.8451426001266,9.999411000171676,959.2950940001756,0.016161599894985557,959.2950940001756,0.11624790006317198,4.0,1.600095400121063,960.9286152001005,0.002810399979352951,0.0973187000490725,966.9287751000375,967.1286424699938,6.230582599993795,6.330547099933028,968.1285076001659,987.1285123700509,987.1285125999711,26.230513300048187,26.330401599872857,,,990.1451497999951,0.015592300100252032,0.11380799999460578,1020.1282346001826,30.01352129993029,941.091503100004,949.1581093999557,10.082754200091586,,,,,,,6.094634700100869,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.2245122999884,0.01005969988182187,0.0931464999448508,1050.245116900187,30.013595799915493,,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1050.3449494000524,0.015675299800932407,0.11360429972410202,1056.3615844000597,6.030192199861631,1056.4615937001072,1056.4615937001072,0.030490299686789513,0.13008979964070022,space,3.623759599868208,1060.1281972001307,1060.1281972001307,3.0800001695752144e-05,0.09778249985538423,num_9,1.9253638999070972,1062.09469377005,0.0012626999523490667,0.09885680000297725,1062.4115606001578,1062.8781382701127,1063.194988900097,1063.6781424701912,1064.0782461999916,1072.0781730001327,1072.0781968700467,0.015568099915981293,0.11575970007106662,1073.0780835000332,1074.0948904000688,1074.2781402000692,1074.7947676000185,10.015505299903452,1082.2113302000798,0.01841139979660511,1082.2113302000798,0.11537439981475472,5.0,2.7647005999460816,1085.0118313999847,0.002428000094369054,0.09812549990601838,1091.0283808000386,1091.1947386701358,6.214718099916354,6.3146184999495745,1092.211421099957,1111.194674169994,1111.1946994001046,26.21470130002126,26.33130279998295,1112.2113320000935,1114.2114866001066,1114.2114866001066,0.0004931001458317041,0.09851359995082021,1144.2112316000275,30.031250200001523,1063.9781138000544,1072.0781730001327,,,,,,,,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1144.3444346000906,0.031823999946936965,0.13117609987966716,1150.361212000018,6.014483799925074,1150.4278460000642,1150.4278460000642,0.01459209993481636,0.11444419994950294,space,3.7218337999656796,1154.1944874001201,1154.1944874001201,3.660004585981369e-05,0.09809660003520548,num_9,2.219311299966648,1156.477819569991,0.00258390000090003,0.09783239988610148,1156.7777376000304,1157.2611625700956,1157.5610946000088,1158.061165870051,1158.4611573000439,1166.4611184999812,1166.461124769994,0.014544500038027763,0.1144516000058502,1167.4775909001473,1168.4611285000574,1168.6611836999655,1169.1610751000699,10.014320399845019,1176.5942993999925,0.016665599774569273,1176.5942993999925,0.1142930998466909,2.0,3.1988559998571873,1179.8279016001616,0.001604699995368719,0.09923669998534024,1185.8276770000812,1185.9943774699932,6.199125400045887,6.31589510012418,1187.0110212999862,1206.0275895701488,1206.0276415999979,26.19904880016111,26.299060200108215,1207.0274217000697,1209.0275987000205,1209.0275987000205,0.0016087000258266926,0.09909460018388927,1239.027430200018,30.03227010020055,1158.3612485001795,1166.4611184999812,,,,,,,,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1239.1609700999688,0.03297890000976622,0.132251099916175,1245.1609018000308,6.0323193001095206,1245.2441206001677,1245.2441206001677,0.015641999896615744,0.11564429989084601,space,3.321557599818334,1248.6108729001135,1248.6108729001135,3.150012344121933e-05,0.09798700013197958,num_9,2.051558299921453,1250.7278112700442,0.0019745000172406435,0.09772150008939207,1251.0272307000123,1251.5107598701725,1251.810756500112,1252.3107883700868,1252.7274511000142,1260.7275817000773,1260.7276613701833,0.0008245999924838543,0.0976537000387907,,1262.710535600083,1262.893917000154,1263.4107016001362,10.030744899995625,1270.843862600159,0.01624979986809194,1270.843862600159,0.11417539999820292,4.0,1.1990711998660117,1272.077540300088,0.0015934000257402658,0.09951830003410578,1278.0940827000886,1278.2439483701019,6.199203999945894,6.299359800061211,1279.260593000101,1298.260484470171,1298.2606528000906,26.215975899947807,26.315904299961403,1299.2604980999604,1301.2772491001524,1301.2772491001524,0.0017270001117140055,0.0991333001293242,1331.2936950000003,30.01578969997354,1252.6106452001259,1260.7275817000773,,,,,,,,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1331.3937527001835,0.0164468998555094,0.11569119989871979,1337.3935199000407,6.03240599995479,1337.493709600065,1337.493709600065,0.015656699892133474,0.11561369989067316,space,3.4235901997890323,1340.9770945000928,1340.9770945000928,4.800013266503811e-05,0.0981797999702394,num_9,1.40484459977597,1342.4269357701996,0.0006807998288422823,0.09955469984561205,1342.7270426000468,1343.1935956700472,1343.5103223000187,1343.9936110699782,1344.3937186000403,1352.4104176000692,1352.4103550700238,0.01642189989797771,0.11638149991631508,1353.4103604999837,1354.4103620001115,1354.593619100051,1355.0936197000556,10.017978699877858,1362.5601488000248,0.03577919979579747,1362.5601488000248,0.13264229986816645,2.0,2.5646379000972956,1365.1602476001717,0.0016737000551074743,0.09914719988591969,1371.16020449996,1371.3434537701542,6.215601800009608,6.3157659999560565,1372.360202100128,1391.3435782700544,1391.3435009999666,26.215759600047022,26.315698199905455,1392.3601347000804,1394.360120800091,1394.360120800091,0.001627699937671423,0.09899899992160499,1424.3432529000565,30.015510600060225,1344.3103158001322,1352.4104176000692,,,,,,,30.09879820002243,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1424.4600050000008,0.00021109986118972301,0.09914339985698462,1430.476726300083,6.015585999935865,1430.576889600139,1430.576889600139,0.015488299774006009,0.11548859975300729,space,3.3087088000029325,1433.9266191001516,1433.9266191001516,3.6700163036584854e-05,0.09808390005491674,num_9,2.039033099776134,1436.0097934700316,0.0014822999946773052,0.09864219999872148,1436.309974099975,1436.8099822701188,1437.1098699001595,1437.5931949700462,1437.9931999000255,1445.9932234999724,1445.993384270114,0.015259200008586049,0.1152484999038279,1446.993238199968,1448.009899100056,1448.1932233001571,1448.6932994001545,10.015159500064328,1456.1265150001273,0.01822700002230704,1456.1265150001273,0.11514899996109307,6.0,1.2978388001210988,1457.4602306999732,0.003000300144776702,0.09759870008565485,1463.4765676001552,1463.6430639700266,6.214239099994302,6.314094400033355,1464.6598231000826,1483.6597565700067,1483.6597717001569,26.230898400070146,26.330827899975702,,,1486.6763764000498,0.015965000027790666,0.11421160004101694,1516.6929364001844,30.030713299987838,1437.9099821001291,1445.9932234999724,,,,,,,,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516.7929510001559,0.03092979989014566,0.1306807000655681,1546.8094981000759,30.01388130011037,,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1546.876475200057,0.016618599882349372,0.11395589984022081,1552.87607330014,6.013823000015691,1552.976194200106,1552.976194200106,0.013788999756798148,0.11382679990492761,space,3.1175221998710185,1556.142778400099,1556.142778400099,5.139992572367191e-05,0.09787170006893575,num_9,2.150865700095892,1558.3594438700238,0.0024575998540967703,0.09786079986952245,1558.6594017001335,1559.1426953700138,1559.4427491000388,1559.9426644701743,1560.3427776000462,1568.3594158999622,1568.3593696701573,0.0009135999716818333,0.09788000001572073,,1570.3593691999558,1570.5593816000037,1571.042616300052,10.014373400015756,1578.4592278001364,0.000219699926674366,1578.4592278001364,0.09760619979351759,3.0,1.4319096999242902,1579.9259868999943,0.003086900105699897,0.09685760014690459,1585.9259751001373,1586.1259442701703,6.230461300117895,6.3301343999337405,1587.1424163000192,1606.1259194699815,1606.1259240000509,26.2301710001193,26.33006800012663,1607.142530699959,,1609.1425208,0.015171400038525462,0.11338880006223917,1639.1424037001561,30.013280000071973,1560.2427223999985,1568.3594158999622,10.097655599936843,,,,,,,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1639.2424989000428,0.014004800003021955,0.11341720004566014,1645.2424808000214,6.013272800017148,1645.3424327000976,1645.3424327000976,0.013421099865809083,0.11326109990477562,space,4.735403399914503,1650.1257253000513,1650.1257253000513,3.619980998337269e-05,0.09801919991150498,num_9,1.6960618000011891,1651.8757604701677,0.0021742000244557858,0.09855220001190901,1652.192371699959,1652.658952570171,1652.9591970001347,1653.4588470699964,1653.875682800077,1661.8756391000934,1661.875673570088,0.0013380998279899359,0.09802389983087778,1662.892296800157,1663.8756083000917,1664.0589923001826,1664.5589690001216,10.014467099914327,1671.9754494000226,0.0009547998197376728,1671.9754494000226,0.09784349985420704,5.0,1.264792799949646,1673.2756283001509,0.002662200015038252,0.09765850007534027,1679.2922611001413,1679.4587682700949,6.2140558999963105,6.314267599955201,1680.4587779000867,1699.4587120701326,1699.458844400011,26.214134299894795,26.314096299931407,1700.4587854000274,1702.4755019000731,1702.4755019000731,-0.00011450005695223808,0.09743009996600449,1732.4753317001741,30.030622699996457,1653.7589237000793,1661.8756391000934,10.097971899900585,,,,,,,,6569,Gustatory,2024-08-10_09h20.25.688,Gustatory_Condition_v2,2022.2.5,29.971158768075846,
