loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,p_port_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.85497509874403,175.85497509874403,0.0015584994107484818,0.09730399958789349,2.0,6.146673198789358,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,182.0381026994437,0.00015350058674812317,0.11565859988331795,188.05488769896328,6.015818299725652,188.23809949867427,188.23809949867427,0.09115340001881123,0.199371000751853,5.999152399599552,194.3047957997769,194.3047957997769,194.3047957997769,0.05219230055809021,0.16602140106260777,200.00491070002317,200.20499059930444,5.999365800991654,6.099121600389481,206.20487659983337,11.9991763997823,206.3382345996797,206.3382345996797,6.400048732757568e-05,0.09910690039396286,down,4.208360601216555,210.5882403999567,4.860013723373413e-05,0.09788009896874428,,216.62179229967296,216.62179229967296,0.026357600465416908,0.13129309937357903,6.0,4.872639300301671,,,,,,,206.30486919917166,206.30486919917166,194.3047957997769,194.3047957997769,6.099133500829339,12.099253300577402,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.5216841995716,221.5216841995716,0.007651099935173988,0.0978494007140398,5.0,2.724447399377823,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.30502169951797,224.30502169951797,0.008380500599741936,0.1148132998496294,5.0,1.7072788011282682,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.03824159875512,226.03824159875512,0.00731240026652813,0.09796190075576305,2.0,2.892010299488902,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.97153189964592,228.97153189964592,0.007419299334287643,0.09787460044026375,5.0,3.9250066988170147,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.93825200013816,232.93825200013816,0.006759399548172951,0.09899660013616085,5.0,2.660073898732662,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.63835329934955,235.63835329934955,0.008821800351142883,0.09750849939882755,4.0,4.723162600770593,,,,,,,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.4050331991166,240.4050331991166,0.0007236991077661514,0.09913199953734875,2.0,6.799544598907232,,,,,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,247.23853779956698,0.00024399906396865845,0.09821509942412376,253.23823279887438,6.031417598947883,253.42136759869754,253.42136759869754,0.07299979962408543,0.1815063003450632,6.014715500175953,259.5215843990445,259.5215843990445,259.5215843990445,0.07465000078082085,0.1813783012330532,265.22151709906757,265.42166509851813,6.014880200847983,6.1146943010389805,271.42155109904706,12.0147486012429,271.5548915993422,271.5548915993422,0.0150075014680624,0.11466610059142113,up,1.5522859003394842,273.17153059877455,4.909932613372803e-05,0.09796989895403385,,279.1880828998983,279.1880828998983,0.024728799238801003,0.1144580990076065,2.0,4.057692101225257,,,,,,,271.52162049897015,271.52162049897015,259.4215436987579,259.4215436987579,,,,6466,Moral,2024-07-03_09h26.51.931,MoralCondition_v2,2022.2.5,30.0036034217876,
