loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,p_port_10.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.08959340117872,236.08959340117872,0.007622798904776573,0.09793940000236034,4.0,3.324660299345851,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.4565244000405,239.4565244000405,0.007109999656677246,0.09804090112447739,5.0,2.425579000264406,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.9232153017074,241.9232153017074,0.0007828995585441589,0.09926459938287735,3.0,3.433022800832987,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,245.39012290164828,0.00031610019505023956,0.09811599925160408,251.4065753016621,6.01471340097487,251.58956970088184,251.58956970088184,0.08730020001530647,0.19827120006084442,6.031331701204181,257.68996430002153,257.68996430002153,257.68996430002153,0.08444320037961006,0.1982751004397869,263.38963680155575,263.5896912012249,6.031385600566864,6.131259201094508,269.58969180099666,12.03139310143888,269.7228937000036,269.7228937000036,0.031800100579857826,0.13129550032317638,up,1.8056703004986048,271.5730115007609,4.120171070098877e-05,0.0978259015828371,277.5729270000011,277.5729270000011,277.5729270000011,0.007042501121759415,0.09777830168604851,3.0,2.7251757998019457,,,,,,,257.58963710069656,257.58963710069656,269.6899039000273,269.6899039000273,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.33949080109596,280.33949080109596,0.007479799911379814,0.09781599976122379,2.0,1.79133159853518,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.18980470113456,282.18980470113456,0.008677298203110695,0.11449950002133846,3.0,1.740089699625969,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.9565516002476,283.9565516002476,0.007463900372385979,0.09778139926493168,3.0,3.3247560001909733,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.32310280017555,287.32310280017555,0.006890499964356422,0.09894070029258728,4.0,3.360605400055647,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.7229503002018,290.7229503002018,0.006528900936245918,0.09851700067520142,5.0,2.3928989991545677,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.1563364006579,293.1563364006579,0.007592100650072098,0.09768350049853325,6.0,2.5245469994843006,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
