loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,p_port_6.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,p_port_10.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.491736079007385,0.0008120997808873653,0.10970330005511642,20.09067146978341,20.390732700005174,20.70750426999293,21.29065326959826,21.60733149992302,21.60733149992302,0.02656749961897731,0.12634539976716042,41.60732849966735,20.026559599675238,41.74066059989855,0.026840599719434977,0.12653409969061613,42.20733989961445,space,1.6876517999917269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.12364099966362,199.12364099966362,0.007021599914878607,0.09934949968010187,5.0,1.5267097000032663,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.69056289969012,200.69056289969012,0.007508500013500452,0.09787350008264184,1.0,1.058138099964708,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.79068350000307,201.79068350000307,0.007182700093835592,0.09849700005725026,1.0,0.8587988996878266,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.70740940002725,202.70740940002725,0.00925770029425621,0.11401729984208941,1.0,1.206084799952805,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.94049579976127,203.94049579976127,0.0007262001745402813,0.09945320012047887,6.0,1.6999865998513997,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,205.67419099994004,0.00027410034090280533,0.09820390027016401,211.67365149967372,6.031253000255674,,211.8740576999262,211.8740576999262,0.09313110029324889,0.19836390018463135,6.031677899882197,217.97389909997582,217.97389909997582,217.97389909997582,0.08440829999744892,0.19824100006371737,223.67376109957695,223.87403649976477,6.0317236999981105,6.13182649994269,229.87385799968615,12.031553000211716,,230.0070682996884,230.0070682996884,0.0316079999320209,0.13152970001101494,up,1.4386398997157812,231.5071549997665,4.809955134987831e-05,0.09823999973013997,237.5237564998679,237.5237564998679,0.009604199789464474,0.11456469958648086,5.0,2.005996299907565,,,,,,,229.97376099973917,229.97376099973917,237.5237564998679,217.87377179972827,217.87377179972827,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.5740012000315,239.5740012000315,0.00884919986128807,0.11394849978387356,4.0,1.8727397001348436,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.4739562999457,241.4739562999457,0.007200099993497133,0.09814309980720282,5.0,1.2586656999774277,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.77377509977669,242.77377509977669,0.0076166000217199326,0.09761640010401607,1.0,1.2578019998036325,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0736978999339,244.0736978999339,0.007072499953210354,0.0980031001381576,1.0,0.4254159997217357,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
