loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,connecting_message.started,connecting_message.stopped,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
23,0,23,0,,,,,,,,,,,,,,,,,,,,365.9231863000314,0.0005890000029467046,0.09753259998979047,371.9228814999806,6.030709300015587,372.07273399998667,0.051662800018675625,0.14730479998979717,378.07291049999185,6.014052300015464,378.13957030000165,0.016531000030227005,0.11406200006604195,1.0,1.3316785999923013,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
24,0,24,0,,,,,,,,,,,,,,,,,,,,379.5062684000004,0.0004097999772056937,0.09756329999072477,385.5228831000277,6.014197500015143,385.639468999987,0.031788500025868416,0.1308767999871634,391.63959819998126,6.030964600038715,391.72268850001274,0.016465700056869537,0.11421870003687218,1.0,0.7652380000217818,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
25,0,25,0,,,,,,,,,,,,,,,,,,,,392.5231225999887,0.000526399991940707,0.09735749999526888,398.5228820000193,6.030611299967859,398.67289480002364,0.04481739999027923,0.14721829997142777,404.6728519999888,6.013894099975005,404.73948059999384,0.016558100003749132,0.11386730003869161,1.0,2.7984388999757357,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
26,0,26,0,,,,,,,,,,,,,,,,,,,,407.5730592000182,0.00022080005146563053,0.0991055000340566,413.572842900001,6.032260800013319,414.1062830000301,0.26019490003818646,0.5324267000542022,,6.015526100061834,419.7858669999987,0.018912400060798973,0.11172560008708388,1.0,1.2145233000046574,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
27,0,27,0,,,,,,,,,,,,,,,,,,,,421.039729000011,0.0002190999803133309,0.09891499998047948,427.03955829999177,5.99910189997172,427.2231933000148,0.05930880003143102,0.18247190001420677,433.22331169998506,6.015849200019147,433.25611309998203,0.01679100003093481,0.11563820001902059,2.0,1.6003105999552645,,6.099124200001825,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
28,0,28,0,,,,,,,,,,,,,,,,,,,,434.8895497000194,0.0006649999995715916,0.09700840001460165,440.88953799998853,6.030362899997272,441.0394358999911,0.04549580003367737,0.14689170004567131,447.039660200011,6.013860700011719,447.10620520001976,0.016389000054914504,0.1135453000315465,2.0,0.7649695000145584,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
29,0,29,0,,,,,,,,,,,,,,,,,,,,447.9064703999902,0.0005578999989666045,0.09759469999698922,453.9228162000072,6.014158400008455,454.039647800033,0.028675700013991445,0.130808700050693,460.0395988000091,6.030846000008751,460.13944479997735,0.033282300049904734,0.13104470004327595,2.0,0.6984961000271142,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
30,0,30,0,,,,,,,,,,,,,,,,,,,,460.8730269999942,0.00024129997473210096,0.09908269997686148,466.88945780001814,6.015776799991727,467.0061254000175,0.03333740000380203,0.13243260001763701,472.9894980000099,6.032068900007289,473.08932640001876,0.016361900023184717,0.11532500002067536,2.0,1.3668816999997944,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
31,0,31,0,,,,,,,,,,,,,,,,,,,,474.4893821000005,0.00016090000281110406,0.09900240000570193,480.4726469999878,5.999034499982372,480.5894854000071,-0.0008287999662570655,0.0993161000078544,486.5895115000312,5.99933320004493,486.689424399985,0.002556400024332106,0.09936300007393584,2.0,0.8977899000165053,6.0992648000246845,6.082607400021516,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
32,0,32,0,,,,,,,,,,,,,,,,,,,,487.6231498999987,0.0007210999610833824,0.09667349996743724,493.6394912999822,6.013404899975285,493.7560392000014,0.02945879998151213,0.1301763000083156,499.7561315000057,6.030089900013991,499.85601560003124,0.03265140001894906,0.12980010005412623,2.0,1.2316494999686256,,,667,Visual,2024-02-12_11h01.05.862,Visual_Condition_v2,2022.2.5,29.995548656366207,
