loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,p_port_7.started,cross.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,,180.28817059999983,0.00015720000010333024,0.11570099999971717,6.012015399999655,186.30114400000002,186.4214591,0.040263999999297084,0.16562749999957305,5.999027499999102,192.43806739999945,192.50479149999956,0.016513499998836778,0.14899839999907272,4.0,2.233357399999477,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
10,0,10,0,,,,,,,,,,,,,,,,,,194.7715060999999,0.00017720000050758244,0.11576960000002146,5.9990655000001425,200.7713475999999,200.88435539999955,0.025339800000438117,0.12873769999987417,6.015813400000297,206.90468239999973,206.9880381999992,0.016322099999342754,0.14908370000011928,0.0,2.1669817000001785,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
11,0,11,0,,,,,,,,,,,,,,,,,,209.18802869999945,0.00015760000042064348,0.1156423000002178,6.012007799999992,215.2010166,215.32134039999983,0.025076199999602977,0.16566520000014862,6.03232029999981,221.33793679999962,221.40470549999918,0.01669419999961974,0.1489875999996002,3.0,2.566758099999788,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
12,0,12,0,,,,,,,,,,,,,,,,,,224.00461919999998,0.0001571000002513756,0.11549850000028528,6.011762199999794,230.01765409999916,230.12128689999918,0.027181499999642256,0.14904119999937393,6.015442899999471,236.13787329999923,236.2212486999997,0.016101599999274185,0.14880619999894407,4.0,1.6671839000000546,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
13,0,13,0,,,,,,,,,,,,,,,,,,237.9212553999996,0.0002829999993991805,0.11569559999952617,6.015638199999557,243.9174779999994,244.03425679999964,0.02635999999984051,0.14896159999898373,6.015600899999299,250.05447949999962,250.13780289999977,0.016223299999182927,0.1489062999989983,2.0,1.4336927000003925,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
14,0,14,0,,,,,,,,,,,,,,,,,,251.60446879999927,0.00016070000037871068,0.11533400000007532,6.011679100000038,257.61748069999976,257.73781339999914,0.0355463999994754,0.16530770000008488,6.031938899999659,263.7543249999999,263.8211154999999,0.015952499999912106,0.14858789999925648,0.0,1.3005452999996123,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
15,0,15,0,,,,,,,,,,,,,,,,,,265.1544156,0.00016970000069704838,0.11576200000035897,5.999054500000057,271.15439629999946,271.26736809999966,0.028110799999922165,0.12880570000015723,5.999115599999641,277.27101700000003,277.3710281999993,0.016600999999354826,0.14915119999932358,1.0,1.2004691000001912,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
16,0,16,0,,,,,,,,,,,,,,,,,,278.6043356,0.00018030000046564965,0.11536750000050233,6.015330600000198,284.60421079999924,284.7672868999998,0.07401459999982762,0.17837059999965277,6.015402600000016,290.7709084999997,290.8209285999992,0.016171199999007513,0.14880369999900722,0.0,1.9002002999995966,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
17,0,17,0,,,,,,,,,,,,,,,,,,292.7542924999998,0.00026500000058149453,0.11532780000015919,6.015437400000337,298.7542021999998,298.88759519999985,0.0406115999994654,0.1654342000001634,6.031990100000257,304.9041708999994,304.9709428999995,0.015984399999069865,0.14862429999993765,3.0,1.8002634000004036,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
18,0,18,0,,,,,,,,,,,,,,,,,,306.8042519999999,0.00027969999973720405,0.1153214999994816,6.015315499999815,312.8041685999997,312.92080759999953,0.024360999999771593,0.14503199999944627,6.015413099999023,318.9374685999992,319.0207928,0.016048999998929503,0.14866129999882105,0.0,1.400170199999593,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
19,0,19,0,,,,,,,,,,,,,,,,,,320.4541210999996,0.0001658000001043547,0.11558719999993627,6.011881399999766,326.4670714999993,326.7040643999999,0.13359509999918373,0.28229429999919375,6.015520899999501,,332.67076109999925,0.016455499999210588,0.14893469999969966,2.0,1.6667907000000923,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
20,0,20,0,,,,,,,,,,,,,,,,,,334.3707594999996,0.0001837999998315354,0.11573339999995369,6.012133399999584,340.38741089999985,340.5540310999995,0.0799630999999863,0.21577029999934894,6.015716599999905,,346.58740469999975,0.01647149999917019,0.14908729999933712,0.0,2.233447600000545,,1902,Visual,2024-07-18_11h50.45.433,Visual_Condition_v2,2022.2.5,60.007512940631216,
