Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,spit_sound.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,902.9898340000072,0.03162840008735657,0.13065950002055615,6.030916900024749,908.9898386000423,909.0898591000587,909.0898591000587,0.03097910014912486,0.13092370005324483,space,1.8403516999678686,910.9899530999828,910.9899530999828,3.96000687032938e-05,0.09798740001861006,num_9,2.9652179999975488,913.9898220600793,0.001947099925018847,0.0980982999317348,914.3064128999831,914.7897801600396,915.0898250000319,915.5897708600154,915.8899582000449,915.9898508000188,923.9897708999924,923.9897708999924,923.9897987600183,0.0015703999670222402,0.0980045999167487,925.9729627000634,926.1897974000312,926.689749800018,10.014823899953626,,934.1064602000406,0.017835999955423176,934.1064602000406,0.11460219998843968,3.0,2.26436259993352,936.4064938999945,0.0024892999790608883,0.11452139995526522,942.3895751000382,942.589551060088,6.214408500003628,6.314626700012013,943.6062710999977,962.5897977599874,962.5896450000582,26.21450779994484,26.3142583000008,963.5895879000891,965.5898302000714,965.5898302000714,0.01468120003119111,0.11444230005145073,995.5893358000321,30.014136400073767,,925.0063491000328,,,,,,30.09758449997753,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995.7061489000916,0.031016800086945295,0.13098270003683865,1025.7060611000052,30.03090000001248,,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1025.8227124999976,0.016058100038208067,0.11412860010750592,6.014220000128262,1031.8226943000918,1031.9228256000206,1031.9228256000206,0.01431270013563335,0.1141312001273036,space,1.847901999950409,1033.8059984000865,1033.8059984000865,3.5400036722421646e-05,0.09770520008169115,num_9,3.3485462999669835,1037.206299560005,0.0011596999829635024,0.09844229998998344,1037.5058823000873,1038.0058552600444,1038.305969499983,1038.7893283599756,1039.0893462999957,1039.189398300019,1047.1891911000712,1047.1891911000712,1047.1893170600292,0.01479059993289411,0.09818620001897216,1049.2058985000476,1049.4060507999966,1049.905989299994,10.01497030002065,,1057.3224647000898,0.016298100003041327,1057.3224647000898,0.1147556999931112,5.0,2.16620000009425,1059.5230288000312,0.001542000100016594,0.0992923000594601,1065.539394600084,1065.7060004600557,6.215894200024195,6.315842800075188,1066.705789300031,1085.7056079599774,1085.689054000075,26.19911000004504,26.299141900031827,1086.7057588000316,1088.6722350000637,1088.7058043000288,0.01586080004926771,0.11587850004434586,1118.6888262000866,30.015560800093226,,1048.1893124000635,,,,,,30.09889280004427,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1118.8223475000123,-9.19983722269535e-06,0.0990150001598522,6.0157460001064464,1124.839049100061,1124.9390012000222,1124.9390012000222,0.01578680018428713,0.11578710016328841,space,1.7674143000040203,1126.7724074000726,1126.7724074000726,4.5599997974932194e-05,0.09811379993334413,num_9,3.5498207000782713,1130.355797360046,0.001975600025616586,0.09755299997050315,1130.6557260000845,1131.155597360083,1131.455577100045,1131.9558339600685,1132.2555116000585,1132.3556164000183,1140.3556349000428,1140.3556349000428,1140.3555835600478,0.0009353000205010176,0.09754079999402165,1142.3722370000323,1142.5390888000838,1143.0556061000098,10.014124499983154,10.097488799947314,1150.4554589000763,0.0009820000268518925,1150.4554589000763,0.09746409999206662,5.0,2.097707400098443,1152.5892679999815,0.002463499899022281,0.09780929994303733,1158.6055126000429,1158.7721181600123,6.214295299956575,6.314167100004852,1159.7887433000142,1178.7721700600582,1178.7721603000537,26.21435159991961,26.314211399992928,1179.7887470000423,1181.7721085000085,1181.7721085000085,0.014310200000181794,0.11424110003281385,1211.78864839999,30.030825400026515,,,,,,,,,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1211.9221866000444,0.031416699988767505,0.13079339999239892,6.0307528000557795,1217.921927700052,1218.0219462000532,1218.0219462000532,0.030923600075766444,0.13071530009619892,space,1.533094499958679,1219.6053624000633,1219.6053624000633,4.650000482797623e-05,0.09814939997158945,num_9,4.788665800006129,1224.455260860012,0.0020198000129312277,0.09804070007521659,1224.7551589000504,1225.2385005600286,1225.5551529000513,1226.0385773600779,1226.3385729000438,1226.4387480000732,1234.4551966000581,1234.4551966000581,1234.4551731600427,0.0013922000071033835,0.09802500007208437,1236.4718340000836,1236.638539900072,1237.1553824000293,10.031316500040703,,1244.571829500026,0.017009500064887106,1244.571829500026,0.1145568999927491,3.0,1.0985689000226557,1245.7053102999926,0.0026377999456599355,0.09746889991220087,1251.7218677999917,1251.8883417600068,6.21399780001957,6.297171899932437,1252.8884345000843,1271.8883797600633,1271.8883833000436,26.21405519999098,26.314032699912786,1272.8882495000726,1274.8883722000755,1274.8883722000755,0.014072700054384768,0.11384270002599806,1304.9049323999789,30.03070000000298,,1235.455104200053,,,,,,,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1305.0217531999806,0.014646600000560284,0.11357940000016242,6.0304941000649706,1311.038237700006,1311.1382044000784,1311.1382044000784,0.030682300101034343,0.1305014000972733,space,2.1605537000577897,1313.3381929000607,1313.3381929000607,2.7399975806474686e-05,0.09841480001341552,num_9,3.032268699957058,1316.4048883600394,0.0021280000219121575,0.09784729999955744,1316.704755700077,1317.188035660051,1317.4880675000604,1317.9880226599985,1318.3048116000136,1318.3881844000425,1326.4048102999805,1326.4048102999805,1326.4048252600246,0.0015359000535681844,0.09781340009067208,1328.4048145000124,1328.6049753000261,1329.1048240000382,10.014370999997482,,1336.521445600083,0.016800600104033947,1336.521445600083,0.11425380001310259,4.0,1.8322412999114022,1338.3884122000309,0.0030263999942690134,0.09762170002795756,1344.4048113999888,1344.5880843599793,6.230877400026657,6.330925500020385,1345.604657100048,1364.5711520600366,1364.554557900061,26.230832100030966,26.330861199996434,1365.5879961000755,1367.5546471000416,1367.5880068000406,0.030876000062562525,0.13063690008129925,1397.5710065000458,30.01382580003701,,1327.4047186999815,,,,,,30.097554100095294,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1397.6879976000637,0.03089620009995997,0.1306687000906095,6.013856500154361,1403.6710276000667,1403.787839800003,1403.787839800003,0.031280500115826726,0.13082390010822564,space,1.6946280000265688,1405.5211914000101,1405.5211914000101,3.6199926398694515e-05,0.09802339994348586,num_9,1.9130891000386328,1407.471246560081,0.0018428999464958906,0.09783449990209192,1407.787793800002,1408.271361060068,1408.5878714000573,1409.054443060048,1409.3543216000544,1409.4544790000655,1417.4544716000091,1417.4544716000091,1417.4544877600624,0.014559199917130172,0.11446049995720387,1419.454457200016,1419.6545274000382,1420.1544302999973,10.014436799916439,,1427.6044391000178,0.03365749993827194,1427.6044391000178,0.13101579993963242,3.0,2.031723099993542,1429.6714232000522,0.0030242999782785773,0.09780919994227588,1435.6710377000272,1435.8542846600526,6.2146245000185445,6.314602999947965,,1455.87116166004,1455.8709114000667,26.23120369995013,26.33120269991923,1456.8875975999981,1458.8709002999822,1458.8709002999822,0.0005376000190153718,0.09791660006158054,1488.8709345000098,30.031215299968608,6.097154500079341,1418.4542864999967,,,,,,,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1489.0040346999886,0.03136100003030151,0.1477762000868097,1518.9873741000192,30.014508199994452,,30.09747530007735,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1519.0709489000728,-0.00015389989130198956,0.097728900029324,6.014042200054973,1525.053843599977,1525.1706452000653,1525.1706452000653,0.03149320010561496,0.1308783000567928,space,1.864250099984929,1527.087487700046,1527.087487700046,1.680001150816679e-05,0.09953709994442761,num_9,3.139346999931149,1530.2706467599842,0.0021388999884948134,0.0979624999454245,1530.5875320000341,1531.054047260061,1531.3706278000027,1531.8539072600893,1532.1707860000897,1532.2706413000124,1540.270618700073,1540.270618700073,1540.27058635999,0.0011003999970853329,0.09780019999016076,1542.2872495000483,1542.4539767000824,1542.9538813000545,10.031163499923423,,1550.4037772000302,0.03370749996975064,1550.4037772000302,0.13092310004867613,5.0,2.1317594998981804,1552.5708210000303,0.0015196000458672643,0.09914499998558313,1558.5873059000587,1558.7373307600851,6.1991124000633135,6.298967199982144,1559.737166200066,1578.753604760021,1578.753762200009,26.215657499968074,26.315743900020607,1579.770495200064,1581.7537913999986,1581.7537913999986,0.015710400068201125,0.11568440007977188,1611.753605899983,30.01551710010972,6.097514300025068,1541.2704261000035,,,,,,,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1611.886959800031,0.016113400110043585,0.11546600004658103,6.015381800127216,1617.8701899000444,1617.9702667000238,1617.9702667000238,-0.00044499989598989487,0.09879600012209266,space,1.5362203000113368,1619.5701357000507,1619.5701357000507,1.3599987141788006e-05,0.09951730002649128,num_9,3.128199400031008,1622.7369085600135,0.0020010999869555235,0.09822340006940067,1623.0368411000818,1623.520243260055,1623.8367344000144,1624.3201709600166,1624.6369076999836,1624.7368908000644,,1632.7535630000057,1632.7535487600603,0.017663400038145483,0.11478340008761734,1634.7702033000533,1634.9368709999835,1635.4201245000586,10.031452000024728,,1642.870023400057,0.03473460010718554,1642.870023400057,0.13127040001563728,3.0,2.064284099964425,1644.9702735000756,0.00263440003618598,0.09784910001326352,1650.970180500066,1651.1533228599933,6.214401200064458,6.314479500055313,1652.170092000044,1671.153370660008,1671.1535831000656,26.214626600034535,26.31441440002527,1672.1699858000502,1674.1700094999978,1674.1700094999978,0.00016740011051297188,0.09769840002991259,1704.16993860004,30.030997900059447,6.098743100068532,1633.7868792000227,,,,,,,,2993,Gustatory,2024-07-25_10h31.42.757,Gustatory_Condition_v2,2022.2.5,29.94311407097426,
