Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_1.stopped,Finish_rinse.stopped,p_port_14.stopped,Roll_liquid_taste.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,946.2576566999778,-4.680035635828972e-05,0.09890969982370734,6.01557909976691,952.2744032000192,952.3742578998208,952.3742578998208,0.015646999701857567,0.11535199964419007,space,1.7471218006685376,954.1575451996177,954.1575451996177,5.170004442334175e-05,0.09796340018510818,num_9,2.619129900354892,956.8243007997983,0.002359200268983841,0.0980437002144754,957.6077661996708,957.9075577999465,958.4243071999401,958.740952800028,958.8075985996984,966.8075774996541,966.8075642998331,0.014695100020617247,0.11464030016213655,,968.8075627996586,969.007563999854,969.5075924000703,10.014545800164342,,976.94093469996,0.01735399989411235,976.94093469996,0.11471730004996061,6.0,4.565028799697757,981.5411144997925,0.0016371998935937881,0.09929369995370507,987.5240600998513,987.7074040996843,6.1992248999886215,6.299001900013536,988.7073965999298,1007.7203905999661,1007.7035888996907,26.211972299963236,26.295167199801654,1010.6871948000044,1010.6871948000044,0.01215369999408722,0.09534469991922379,1040.7073129997589,29.99909979989752,957.1407257998362,1008.7202589996159,30.099025399889797,966.8075774996541,,,,,,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.8406452997588,9.349966421723366e-05,0.09908659989014268,1070.857171899639,30.015647299587727,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1070.9572419999167,0.017643699422478676,0.11575479945167899,6.032251799479127,1076.9738709996454,1077.0738243996166,1077.0738243996166,0.03235989948734641,0.13235809933394194,space,1.7673882003873587,1078.890529199969,1078.890529199969,6.810016930103302e-05,0.09756720019504428,num_9,2.734156500082463,1081.6904773999006,0.0026014000177383423,0.09784020017832518,1082.490482599754,1082.7905085999519,1083.2738351000473,1083.590470300056,1083.6738025997765,1091.6904462999664,1091.6904368999415,0.0010593002662062645,0.09776810044422746,1092.6904764999636,1093.707218699623,1093.8906740997918,1094.4070897996426,10.010472600348294,10.093917699996382,1101.7902194997296,0.03085370035842061,1101.7902194997296,0.14767690002918243,5.0,3.4163413997739553,1105.240606899839,0.0015746001154184341,0.0993516999296844,1111.2404151996598,1111.406975599751,6.1992530999705195,6.299311200156808,1112.4070490999147,1131.406861099694,1131.4069978999905,26.199306500144303,26.299250000156462,1134.406938499771,1134.406938499771,-0.0007495000027120113,0.09922059997916222,1164.4068545000628,29.999153499957174,1081.9904666999355,1132.4069451997057,30.09920130018145,1091.6904462999664,,,,,,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1164.5402122000232,0.0004658997058868408,0.09911989979445934,5.9990765997208655,1170.540171700064,1170.6401744000614,1170.6401744000614,-0.00010470021516084671,0.0991262998431921,space,2.6163887004368007,1173.290148299653,1173.290148299653,4.33996319770813e-05,0.09752079984173179,num_9,2.175106500275433,1175.5234924999997,0.0022096997126936913,0.09791649971157312,1176.306955099851,,1177.12355279997,1177.4401459000073,1177.5067934999242,1185.5234468998387,1185.5234851998277,0.001351499930024147,0.09788679983466864,1186.5401300997473,1187.5400972999632,1187.7067750999704,1188.223491099663,10.014456999953836,10.097722900100052,1195.6234146999195,0.03125839959830046,1195.6234146999195,0.1311413999646902,3.0,3.9333990002050996,1199.5901120998897,0.0025277002714574337,0.09788689995184541,1205.5900539997965,1205.7900409999304,6.231176600325853,6.331401200033724,1206.8066529999487,1225.7732617997565,1225.773312299978,26.214485800359398,26.314442800357938,1228.7732837996446,1228.7732837996446,0.01448130002245307,0.11439060000702739,1258.7562942998484,30.014041599817574,1175.840128999669,1226.790075799916,30.097495399881154,1185.5234468998387,,,,,,6.099055799655616,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1258.8898637997918,0.03109249984845519,0.13095199968665838,6.014519799966365,1264.9066301998682,1265.0064763999544,1265.0064763999544,0.014487899839878082,0.11430869996547699,space,1.5310102002695203,1266.5732092000544,1266.5732092000544,7.92001374065876e-05,0.0974817001260817,num_9,2.556086000520736,1269.1731903998182,0.002188699785619974,0.09801060007885098,1269.9568393000402,1270.2563737998717,1270.7564394998365,1271.0564333996736,1271.1731572998688,1279.1731034000404,1279.173120899871,0.0013355999253690243,0.09791240002959967,1280.1897795996629,1281.1897225999273,1281.3396761999466,1281.8564309999347,10.014414299745113,10.097797600086778,1289.2693314999342,0.0007888996042311192,1289.2693314999342,0.09406829997897148,4.0,4.114544200245291,1293.4233311996795,0.0032691997475922108,0.09763270011171699,1299.4396835998632,1299.6063520999626,6.214225799776614,6.314311999827623,,1319.6061785996892,1319.606300999876,26.214232599828392,26.31423699995503,1322.6229164996184,1322.6229164996184,0.00010249996557831764,0.09750889986753464,1352.6228572996333,30.030807899776846,1269.4898333996534,1320.6062831999734,,1279.1731034000404,,,,,,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1352.73953899974,0.014801199547946453,0.11405819980427623,6.0140227996744215,1358.7226588996127,1358.8228115998209,1358.8228115998209,0.031303299590945244,0.13072049943730235,space,1.8104552002623677,1360.6729106996208,1360.6729106996208,3.749970346689224e-05,0.09795669978484511,num_9,2.3276354004628956,1363.0395660999231,0.002195699606090784,0.09816709998995066,1363.8226639999077,1364.1394290998578,1364.6227354000323,1364.9394435998984,1365.0228464999236,1373.0228035999462,1373.0227633996867,0.014824199955910444,0.11474379990249872,1374.0394441997632,1375.0227681999095,1375.205983699765,1375.7060810998082,10.01468119956553,,1383.17277309997,0.03435249952599406,1383.17277309997,0.13116779970005155,2.0,2.6645136000588536,1385.872993899975,0.0025136000476777554,0.09778539976105094,1391.8892894997261,1392.072704999987,6.230997100006789,6.330913099925965,1393.0893485997804,1412.073013000004,1412.072610499803,26.231014899909496,26.33090559998527,1415.0725868996233,1415.0725868996233,-4.820013418793678e-05,0.0975901996716857,1445.089129399974,30.014113099779934,1363.3394354996271,1413.0893029998988,,1373.0228035999462,,,,,,6.097331999801099,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1445.1892084996216,0.014858899638056755,0.11421739961951971,6.0140813998878,1451.1891435999423,1451.2891317000613,1451.2891317000613,0.01435199985280633,0.11409269971773028,space,1.823969800490886,1453.1558085000142,1453.1558085000142,3.71001660823822e-05,0.09800620004534721,num_9,1.7011421001516283,1454.905811899621,0.00204729987308383,0.09812540002167225,1455.689122999832,1455.9891186999157,1456.488946399931,1456.8057212997228,1456.8891022996977,1464.9057847000659,1464.905751599744,0.0013346001505851746,0.09818190010264516,1465.9224650999531,1466.9225964997895,1467.0891032996587,1467.5722221997567,10.031483400147408,,1475.0389109998941,0.03413029992952943,1475.0389109998941,0.13133609993383288,5.0,3.2980188000947237,1478.372610699851,0.0025981999933719635,0.09783080033957958,1484.3890117998235,1484.5556790999137,6.214468399994075,6.314568600151688,1485.555491199717,1504.5555040997453,1504.5556460996158,26.214498500339687,26.314386800397187,1507.5555690000765,1507.5555690000765,0.014425099827349186,0.11438480019569397,1537.572164000012,30.030993800144643,1455.2057159999385,1505.5556348999962,,1464.9057847000659,,,,,,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537.7054595998488,0.031312800012528896,0.13091959990561008,1567.7220200998709,30.01414840016514,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1567.7887606997974,0.016210199799388647,0.11416130000725389,6.030869499780238,1573.8053391999565,1573.9054586999118,1573.9054586999118,0.030892199836671352,0.13078759983181953,space,1.4311597002670169,1575.3719788999297,1575.3719788999297,4.329998046159744e-05,0.0973319998010993,num_9,2.412669100333005,1577.82204879988,0.0019971998408436775,0.09791389992460608,1578.6051881995984,1578.9053491000086,1579.4053373996169,1579.7052229000255,1579.8053307998925,1587.8052413999103,1587.8052877996117,0.014538699761033058,0.11472970014438033,,1589.8219285998493,1590.0052717998624,1590.5054434998892,10.014504499733448,,1597.9385389997624,0.01670619985088706,1597.9385389997624,0.11435309983789921,3.0,6.399000100325793,1604.3721890999004,0.0039047999307513237,0.09785440005362034,1610.3885959996842,1610.5550719995983,6.214377200230956,6.31441400013864,1611.55508369999,1630.5549477998168,1630.5550970998593,26.21435120003298,26.314417799934745,1633.5551963998005,1633.5551963998005,0.014484100043773651,0.11432870011776686,1663.5382320997305,30.03084889985621,1578.138796299696,1631.554987799842,,1587.8052413999103,,,,,,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1663.7049759998918,0.031649400014430285,0.13077779999002814,6.030828199815005,1669.7049738997594,1669.8050234997645,1669.8050234997645,0.0309512997046113,0.1307982997968793,space,2.07618570048362,1671.9216068997048,1671.9216068997048,4.040030762553215e-05,0.09799440018832684,num_9,1.8793386002071202,1673.8383773996495,0.0019817999564111233,0.09788869973272085,1674.6383275997825,1674.938158399891,1675.421578199882,1675.7383089996874,1675.8384130997583,1683.8383088000119,1683.8382640996017,0.0012367996387183666,0.09785929974168539,1684.83837139979,1685.8383471998386,1686.0382769000717,1686.538100599777,10.014389100018889,10.097708199638873,1693.9381077997386,0.0001096995547413826,1693.9381077997386,0.09794659959152341,5.0,3.731921400409192,1697.7051532999612,0.0015384997241199017,0.09910420002415776,1703.705073399935,1703.8882001999766,6.215886399615556,6.315653599798679,1704.8881572000682,1723.8881057997235,1723.8880773996934,26.215739999897778,26.31560539966449,1726.9048565998673,1726.9048565998673,0.001418599858880043,0.09890419943258166,1756.9213135996833,30.015711799729615,1674.1382872997783,,,1683.8383088000119,,,,,,,3599,Gustatory,2024-11-20_13h46.31.699,Gustatory_Condition_v2,2022.2.5,29.949158312208056,
