Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Begin_Rinse.stopped,p_port_14.stopped,p_port_18.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,1177.1654403000139,0.03105450002476573,0.1309311999939382,1183.1486233000178,6.014096200000495,1183.2654668999603,1183.2654668999603,0.031556100118905306,0.13086270005442202,space,4.995651799952611,1188.2987535999855,1188.2987535999855,3.970006946474314e-05,0.09787860000506043,num_9,1.3701746999286115,1189.7154743800172,0.0023172999499365687,0.09801179997157305,1190.0153184999945,1190.498648880003,1190.7987745000282,1191.2988075799774,1191.5986613000277,1191.698649900034,1199.7153791999444,1199.7153791999444,1199.715434179944,0.0015228999545797706,0.09799559996463358,1200.7320443999488,1201.7153476999374,1201.8819085999858,1202.3820260999491,12.014688599971123,1211.8318431000225,0.016931600053794682,1211.8318431000225,0.11441190005280077,6.0,8.431887999991886,1220.2987909000367,0.0024974000407382846,0.09769209998194128,1226.3152782999678,1226.4820142799988,6.214452999993227,6.314373500063084,1256.4819108800264,1256.4818663999904,36.21434790000785,36.31429600005504,1257.4985129999695,1259.4984900000272,1259.4984900000272,1.9200029782950878e-05,0.09764440008439124,1289.4983706999337,30.03085470001679,1227.498760699993,,,6.097449199995026,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289.6316917999648,0.031225500046275556,0.1309901000931859,1319.631640000036,30.0309463001322,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
2,0,2,0,0,0,0,0,,,,,,,1319.731599099934,0.033562500146217644,0.13075700006447732,1339.748312599957,20.014056100160815,1339.8150144999381,0.015865900088101625,0.11399340012576431,1345.8149916999973,6.013936700182967,1345.9148861999856,1345.9148861999856,0.014064500108361244,0.1139513001544401,space,4.242024600040168,1350.1981619999278,1350.1981619999278,3.729993477463722e-05,0.09796369995456189,num_9,1.9991356999380514,1352.248222380015,0.0021328000584617257,0.09817240003030747,1352.548141999985,1353.0315744799561,1353.3481679999968,1353.8314645799808,1354.1482963999733,1354.2481292999582,,1362.2649423999246,1362.264861479937,0.017134399968199432,0.11452140007168055,,1364.2648119999794,1364.431570900022,1364.9145633999724,12.014473899966106,1374.3646327999886,0.01726670004427433,1374.3646327999886,0.11433130002114922,2.0,6.964860299951397,1381.3650933000026,0.0025682999985292554,0.09771529992576689,1387.3646903999615,1387.5647399799898,6.230791399953887,6.3141699999105185,1417.5478596799774,1417.5477959000273,36.21401739993598,36.297253599972464,,1420.564596900018,1420.564596900018,-0.0001860000193119049,0.09741659997962415,1450.5811723999213,30.013973299995996,1388.5646011999343,,,,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
2,0,2,0,1,0,1,0,,,,,,,,,,,,1450.6811320999404,0.01468999998178333,0.11400020006112754,1456.6812341000186,6.014032599981874,1456.7811313000275,1456.7811313000275,0.013897700002416968,0.11401540006045252,space,4.232027900055982,1461.0644241999835,1461.0644241999835,4.39999857917428e-05,0.09799089992884547,num_9,1.460872899973765,1462.581143279979,0.0024145999923348427,0.09780809993389994,1462.8977438999573,1463.364306979999,1463.6810880999546,1464.164595180028,1464.481094699935,1464.5811189999804,,1472.5977259000065,1472.5977587799541,0.016932599944993854,0.11430100002326071,1473.5976578999544,1474.5976958000101,1474.7810406000353,1475.281072499929,12.014179299934767,1484.6809041999513,0.0008568000048398972,1484.6809041999513,0.09738329995889217,4.0,4.264461899991147,1488.980943899951,0.003028700011782348,0.0972796999849379,1494.9809978000121,1495.164182780031,6.213916699984111,6.313932899967767,1525.1640671799657,1525.164230800001,36.21392360003665,36.313893700018525,1526.1808875999413,1528.1808096999303,1528.1808096999303,-0.00014649995137006044,0.09728120011277497,1558.1973759999964,30.013690200052224,1496.1811398999998,,12.097542400006205,,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
2,0,2,0,2,0,2,0,,,,,,,,,,,,1558.297513299971,0.014448600122705102,0.11369660007767379,1564.3140648999251,6.030356500064954,1564.4141825999832,1564.4141825999832,0.03049470006953925,0.13036530010867864,space,6.710567899979651,1571.180771299987,1571.180771299987,4.379998426884413e-05,0.0975847999798134,num_9,3.735774999950081,1574.9806774799479,0.0024978999281302094,0.09773049992509186,1575.2805604999885,1575.764034780045,1576.0807326999493,1576.5639431799761,1576.8806967999553,1576.96400789998,1584.9639649000019,1584.9639649000019,1584.9640707800397,0.014593099942430854,0.11454719991888851,1585.9806104999734,1586.9637674000114,1587.1639403000008,1587.6639463999309,12.014357600011863,1597.0803969999542,-9.119999594986439e-05,1597.0803969999542,0.09766099997796118,5.0,3.6990258999867365,1600.814276900026,0.002638799953274429,0.09803829994052649,1606.8138568999711,1607.0139159799553,6.231122699915431,6.347823399933986,1637.0138045800384,1637.0137330000289,36.23110039997846,36.33102689997759,1638.0304534999887,1640.0138508999953,1640.0138508999953,0.0003480999730527401,0.09771939995698631,1669.9968426999403,30.01408510003239,1608.0307362999301,30.097448499989696,12.097663299995475,,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
2,0,2,0,3,0,3,0,,,,,,,,,,,,1670.1136115000118,0.030957099981606007,0.13088479998987168,1676.1302927000215,6.014222600031644,1676.2302701999433,1676.2302701999433,0.014477200107648969,0.11421040003187954,space,4.262236400041729,1680.5469215000048,1680.5469215000048,5.1200040616095066e-05,0.09814120002556592,num_9,2.4344193999422714,1683.0303284800145,0.0022586999693885446,0.09806749993003905,1683.330202799989,1683.8135226800339,1684.1302693999605,1684.6304213800001,1684.9302314999513,1685.0302137000253,1693.0302071999758,1693.0302071999758,1693.030241979938,0.0015601000050082803,0.09806749993003905,1694.0303559999447,1695.0302915000357,1695.213520899997,1695.7136914000148,12.031254400033504,1705.1467332999455,0.017172900028526783,1705.1467332999455,0.11458559997845441,2.0,5.831750800018199,1711.013672400033,0.0015683999517932534,0.09918240003753453,1717.0135658000363,1717.180179879954,6.199127699946985,6.299260500003584,1747.1965028800303,1747.1798126000213,36.21557719993871,36.315648399991915,1748.1966216999572,1750.1631190000335,1750.1966153000249,0.015649800072424114,0.13224710000213236,1780.196505800006,30.015561199979857,1718.17997009994,,,,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
2,0,2,0,4,0,4,0,,,,,,,,,,,,1780.3298694000114,0.016133900033310056,0.1154013000195846,1786.330023800023,6.0155620001023635,1786.4130096000154,1786.4130096000154,0.015398900024592876,0.09879960003308952,space,4.152039999957196,1790.6298437999794,1790.6298437999794,4.64998884126544e-05,0.0981303999433294,num_9,1.4557102000107989,1792.1464641800383,0.0013237999519333243,0.11547960003372282,1792.4462209999328,1792.9296869800426,1793.246871799929,1793.729742080043,1794.0297625999665,1794.129840199952,1802.129910400021,1802.129910400021,1802.1298387799877,0.015630100038833916,0.11540380003862083,1803.1298831999302,1804.12978139997,1804.329873599927,1804.829761800007,12.01524179999251,1814.2629922999768,0.018310599960386753,1814.2629922999768,0.11533980001695454,5.0,3.9982942999340594,1818.2965898999246,0.001535800052806735,0.09930880006868392,1824.2963303999277,1824.479704679991,6.21580400003586,6.315819300012663,1854.4795352799817,1854.4795392999658,36.215694800019264,36.31571640004404,1855.4795371999498,1857.4962348999688,1857.4962348999688,0.0017590001225471497,0.09898800007067621,1887.512879399932,30.015536700142547,1825.4796783999773,,,,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887.612734699971,0.01590110012330115,0.11558600014541298,1917.6126488000154,30.01543610007502,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
3,0,3,0,0,0,0,0,,,,,,,1917.7126405999297,0.01832760008983314,0.11541020020376891,1937.7125433000037,20.015511700185016,1937.8125709999586,0.01696800021454692,0.11539100017398596,1943.8125333000207,6.015342700178735,1943.9125175999943,1943.9125175999943,0.015449700178578496,0.1153419001493603,space,3.6440092999255285,1947.5957587999292,1947.5957587999292,4.3199979700148106e-05,0.09764689998701215,num_9,1.520818099961616,1949.1792160799494,0.002628499991260469,0.09787880000658333,1949.4957913999679,1949.9792201800271,1950.2791557000019,1950.7625027800211,1951.0791736999527,1951.1791917999508,,1959.1958375999238,1959.195884479978,0.017371300025843084,0.11450150003656745,1960.1957127000205,1961.1957997999853,1961.3624605999794,1961.8791503999382,12.01445270003751,1971.2956236000173,0.017224200069904327,1971.2956236000173,0.11441290006041527,5.0,4.098196499980986,1975.4293911999557,0.0025637999642640352,0.09788739995565265,1981.4290541999508,1981.61242137996,6.214473100029863,6.314280000049621,2011.6123350800015,2011.6122521000216,36.21435610007029,36.3143243000377,2012.6289162000176,2014.6289449000033,2014.6289449000033,-2.7999049052596092e-06,0.09764730010647327,2044.6454780999338,30.014156700111926,1982.6290892999386,,,,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
3,0,3,0,1,0,1,0,,,,,,,,,,,,2044.7455809999956,0.01487560011446476,0.11415670008864254,2050.745434899931,6.014142900123261,2050.8454364000354,2050.8454364000354,0.014317300054244697,0.11413550016004592,space,4.19093070004601,2055.078788799932,2055.078788799932,4.5199994929134846e-05,0.098066599923186,num_9,1.5741348000010476,2056.6954869799783,0.001871999935247004,0.09801790001802146,2056.995365299983,2057.478614279954,2057.795327799977,2058.278801480029,2058.578634100035,2058.678764799959,2066.6953788999235,2066.6953788999235,2066.6954085799634,0.0011882999679073691,0.09793499996885657,2067.695235899999,2068.6953765000217,2068.895510699949,2069.412044500001,12.014421200030483,2078.7952383999946,0.00015860004350543022,2078.7952383999946,0.09779410006012768,1.0,6.098950400017202,2084.9289703000104,0.0015804999275133014,0.09998229995835572,2090.9288432999747,2091.095291580027,6.199240899994038,6.29936559998896,2121.1120130799945,2121.111967399949,36.21598889993038,36.31575980002526,2122.1284638999496,2124.1284775999375,2124.1284775999375,0.0017654000548645854,0.09904580004513264,2154.1450426999945,30.015651899972,,,12.097793499939144,,,,,,,670,Gustatory,2024-02-29_11h37.34.420,Gustatory_Condition_v2,2022.2.5,29.979775639429935,
