loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,p_port_7.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
12,0,12,0,,,,,,,,,,,,,,,,,226.69930469989777,0.0006266999989748001,0.0971455997787416,232.7159326998517,6.0140390996821225,,232.8322000997141,0.039877899922430515,0.13069669995456934,6.030499499756843,238.83232779987156,238.9323396999389,0.03332179971039295,0.13048099959269166,1.0,3.498108500149101,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
13,0,13,0,,,,,,,,,,,,,,,,,242.46596689987928,0.000521200243383646,0.09698740020394325,248.46564689977095,6.030544599983841,,248.64895859966055,0.08292700024321675,0.1806398001499474,6.013776599895209,254.64893089979887,254.6822893996723,0.016517600044608116,0.1140348999761045,1.0,7.398290999699384,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
14,0,14,0,,,,,,,,,,,,,,,,,262.11584739992395,0.00021979957818984985,0.09931929968297482,268.13221829989925,6.015777099877596,,268.2488417997956,0.03477759985253215,0.13239319948479533,5.999101699795574,274.24890080001205,274.3154889997095,0.0011163996532559395,0.09914899943396449,0.0,2.3005413003265858,6.099035399500281,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
15,0,15,0,,,,,,,,,,,,,,,,,276.64917059987783,0.00047980016097426414,0.09787849988788366,282.6655141999945,6.014490999747068,,282.79872389975935,0.05156069993972778,0.14776069996878505,6.014455100055784,288.7988440999761,288.86544139962643,0.01728619961068034,0.11433429969474673,3.0,2.898112599737942,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
16,0,16,0,,,,,,,,,,,,,,,,,291.79896999988705,0.0005812002345919609,0.09708790015429258,297.7988393995911,6.030488500371575,,297.94895779993385,0.046312599908560514,0.14727549999952316,6.01376389991492,303.94879479985684,304.0154678998515,0.01583460019901395,0.11367349978536367,3.0,2.8654248998500407,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
17,0,17,0,,,,,,,,,,,,,,,,,306.9157485999167,0.00043869996443390846,0.09772290010005236,312.9154434995726,6.031051100231707,,313.0652628997341,0.04483349993824959,0.14767450001090765,6.014218700118363,319.06541409995407,319.1320157996379,0.015265400055795908,0.11410109978169203,1.0,2.766399399843067,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
18,0,18,0,,,,,,,,,,,,,,,,,321.9321349998936,0.0006777001544833183,0.09645160008221865,327.94870729977265,6.013177600223571,,328.08193479990587,0.048322100192308426,0.14651009999215603,6.013213799800724,334.08202929981053,334.14860259974375,0.01578520005568862,0.11332179978489876,4.0,3.8650747002102435,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
19,0,19,0,,,,,,,,,,,,,,,,,338.04872009996325,0.00023350026458501816,0.09903670009225607,344.0319121996872,5.999023600015789,6.082408900372684,344.1484937998466,0.004560499917715788,0.09903550008311868,6.032422400079668,350.14866929966956,350.2818571999669,0.035001200158149004,0.1322984998114407,2.0,3.3315648999996483,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
20,0,20,0,,,,,,,,,,,,,,,,,353.6488586999476,0.00022489996626973152,0.09920280007645488,359.66524469992146,6.015656600240618,,359.81523939967155,0.06424860004335642,0.16568889981135726,5.9990126001648605,365.81528029963374,365.84844439988956,0.0025623999536037445,0.09896269999444485,3.0,2.49733280017972,6.099071899894625,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
21,0,21,0,,,,,,,,,,,,,,,,,368.38213179958984,0.0006216997280716896,0.0971451997756958,374.3819319996983,6.0307725998573005,,374.53180679958314,0.05157619947567582,0.14710519975051284,6.013746799901128,380.5318328998983,380.59855069965124,0.016487499698996544,0.11375989951193333,0.0,2.8649646998383105,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
22,0,22,0,,,,,,,,,,,,,,,,,383.4986736997962,0.00023870030418038368,0.0994531000033021,389.4988359999843,5.9996283003129065,6.098913700319827,389.6818667999469,0.09097279980778694,0.18228030018508434,6.0156101998873055,395.66503129992634,395.7149820998311,0.016049299854785204,0.11540280003100634,0.0,1.8005282999947667,,3599,Visual,2024-11-20_14h55.22.609,Visual_Condition_v2,2022.2.5,29.966596235489234,
