Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Finish_rinse.stopped,p_port_14.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,1006.4012393001467,0.01660590060055256,0.11577860079705715,1012.4010680001229,6.015635401010513,1012.5011889990419,1012.5011889990419,0.015838000923395157,0.11567410081624985,space,5.755663400515914,1018.317756799981,1018.317756799981,4.04994934797287e-05,0.09742579981684685,num_9,1.634755501523614,1020.0178945690393,0.0020721014589071274,0.09771810099482536,1020.3177250996232,1020.8010166689753,1021.1178264990449,1021.6011854700744,1021.9177413992584,1022.0177148990333,,1030.034507099539,1030.0344055697321,0.0173599012196064,0.11466530151665211,1031.050868999213,1032.0342129003257,1032.2009961996228,1032.701043099165,10.014407200738788,10.097709400579333,1040.117568898946,0.00015750154852867126,1040.117568898946,0.09799820184707642,6.0,4.1319513991475105,1044.284318400547,0.0022449996322393417,0.09813539870083332,1050.2844083998352,1050.484313070029,6.231527099385858,6.331345399841666,1051.500923499465,1070.4675905697047,1070.467569399625,26.214679699391127,26.314567198976874,1073.4841839987785,1073.4841839987785,0.0004021991044282913,0.09792689979076385,1103.4672697987407,30.014344599097967,1071.4675390999764,,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.6009018998593,0.01523360051214695,0.1145223006606102,1133.617288298905,30.031092999503016,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1133.7006425000727,0.01570430025458336,0.11435740068554878,1139.7172811999917,6.030971700325608,1139.8172722999007,1139.8172722999007,0.03128810040652752,0.13095800206065178,space,3.7590473014861345,1143.6339472997934,1143.6339472997934,3.749877214431763e-05,0.09792529977858067,num_9,4.134444700554013,1147.8173356700688,0.0019124001264572144,0.09806320071220398,1148.1170527990907,1148.6173187691718,1148.917123099789,1149.400821468979,1149.7174800001085,1149.8005637992173,1157.8005435988307,1157.8005435988307,1157.8005798693746,0.014641299843788147,0.11460450105369091,1158.800489898771,1159.8005401995033,1160.000534599647,1160.5005431994796,10.031342700123787,,1167.9504195991904,0.0343393012881279,1167.9504195991904,0.13138030096888542,6.0,4.664560800418258,1172.6506166998297,0.001641198992729187,0.09929969906806946,1178.6674130987376,1178.8171552691608,6.199192699044943,6.299209099262953,1179.8169688005,1198.8338232703506,1198.8337248992175,26.215810099616647,26.31579279899597,1201.8336797989905,1201.8336797989905,0.015855001285672188,0.11574969999492168,1231.8336893990636,30.015820801258087,1199.8503833003342,,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1231.9835870992392,0.03304380178451538,0.13246120139956474,1238.000350099057,6.015646401792765,1238.066892100498,1238.066892100498,0.0157547015696764,0.11559480056166649,space,4.077757600694895,1242.2002536002547,1242.2002536002547,8.63000750541687e-05,0.09787019900977612,num_9,3.0569001007825136,1245.3003488697111,0.0025065001100301743,0.11474470049142838,1245.6169394999743,1246.1002752698957,1246.4002145994455,1246.9002452690154,1247.200168998912,1247.2669249996543,1255.283493500203,1255.283493500203,1255.2834627695381,0.014682900160551071,0.11452430114150047,1256.300230300054,1257.2667299993336,1257.4666795991361,1257.983462098986,10.03115720115602,,1265.4333059992641,0.03385000117123127,1265.4333059992641,0.1309535000473261,5.0,5.031894698739052,1270.5001234002411,0.001660998910665512,0.09935219958424568,1276.5000999998301,1276.6667732700705,6.199442299082875,6.2993203997612,1277.6666216999292,1296.6668858688324,1296.6666707005352,26.199245899915695,26.299168100580573,1299.6833066996187,1299.6833066996187,0.01590299978852272,0.11584329977631569,1329.6832209993154,30.015787601470947,,,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1329.8165412005037,0.016509100794792175,0.1325169000774622,1335.8165297005326,6.015693200752139,1335.9165481999516,1335.9165481999516,0.015827400609850883,0.11555820144712925,space,4.292417000979185,1340.2498486991972,1340.2498486991972,3.409944474697113e-05,0.09789389930665493,num_9,1.455664400011301,1341.7665880687534,0.0022746995091438293,0.09801159985363483,1342.0664840005338,1342.5666245698928,1342.8663980998099,1343.3498033706098,1343.6497421003878,1343.7664919998497,,1351.7832541000098,1351.783186069876,0.01719450019299984,0.11464140005409718,1352.799808299169,1353.7997760996222,1353.966473000124,1354.4664465002716,10.014554899185896,,1361.8830900993198,0.017498500645160675,1361.8830900993198,0.11473819985985756,1.0,5.96488800086081,1367.8833533003926,0.0030744001269340515,0.09775499999523163,1373.8996759988368,1374.0663835696876,6.214295299723744,6.314359299838543,,1394.0663535699248,1394.0662967003882,26.214235799387097,26.314163699746132,1397.0662568993866,1397.0662568993866,0.014249300584197044,0.11417820118367672,1427.082817999646,30.030746901407838,1395.066187299788,,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1427.2160851005465,0.031390001997351646,0.1476735007017851,1433.232788098976,6.014016201719642,1433.2994911000133,1433.2994911000133,0.01408260129392147,0.11410580202937126,space,6.621753001585603,1439.96609829925,1439.96609829925,3.680028021335602e-05,0.09821080043911934,num_9,1.331342700868845,1441.3328650698065,0.002425398677587509,0.0981856994330883,1441.649400100112,1442.116155070439,1442.4159610997885,1442.9328461691737,1443.2494040001184,1443.3160656001419,1451.332672899589,1451.332672899589,1451.3328026693314,0.0012697987258434296,0.09813719987869263,1452.3494166005403,1453.3326108995825,1453.5160542987287,1454.01607519947,10.031416298821568,,1461.4492096994072,0.017504699528217316,1461.4492096994072,0.11452670022845268,5.0,4.064968299120665,1465.549639498815,0.0015960000455379486,0.09906000085175037,1471.5664572995156,1471.7327704701572,6.21574280038476,6.315730100497603,1472.7492904998362,1491.7325379692018,1491.732556099072,26.21564520150423,26.31557339988649,1494.7492334004492,1494.7492334004492,0.001267600804567337,0.09884040057659149,1524.7657734993845,30.01543820090592,1492.7492532990873,,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1524.8657904993743,0.016089901328086853,0.11554030142724514,1530.8657427001745,6.015629701316357,1530.9825884997845,1530.9825884997845,0.03216690197587013,0.1320912018418312,space,3.722215401008725,1534.7490618992597,1534.7490618992597,4.719942808151245e-05,0.09805379994213581,num_9,3.3636422995477915,1538.149112469703,0.0022331997752189636,0.09800289943814278,1538.4489833991975,1538.932243970409,1539.2490055989474,1539.7323091693222,1540.0490426998585,1540.1490775998682,,1548.1656764987856,1548.1657325692474,0.017200099304318428,0.11465499922633171,,1550.1823382005095,1550.3323292005807,1550.8324031997472,10.01460780017078,,1558.2655787002295,0.01618880033493042,1558.2655787002295,0.11463570035994053,3.0,4.599339500069618,1562.8992320988327,0.0017249993979930878,0.0991836991161108,1568.8990979995579,1569.0656512688845,6.19910559989512,6.299132399260998,,1589.0657299693673,1589.0656575988978,26.199232699349523,26.299061499536037,1592.0658406987786,1592.0988189000636,-0.0005741007626056671,0.09900240041315556,1622.081985399127,30.015524700284004,1590.065444400534,30.09901879914105,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622.198726899922,4.990026354789734e-05,0.09916630014777184,1652.2153185997158,30.015460800379515,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1652.3153951987624,0.017733300104737282,0.11546150036156178,1658.3152804002166,6.015449400991201,1658.4152555000037,1658.4152555000037,0.015589401125907898,0.11542010121047497,space,6.185900500044227,1664.66521750018,1664.66521750018,4.759989678859711e-05,0.09788589924573898,num_9,4.376730300486088,1669.0820319700986,0.00213409960269928,0.09805640019476414,1669.3986297994852,1669.865133569762,1670.1651147995144,1670.665208569914,,1671.0652028992772,1679.0651601999998,1679.0651601999998,1679.0653738688677,0.01456419937312603,0.1145792007446289,1680.0650359988213,1681.0818539001048,1681.2818487994373,1681.7985168993473,10.014343300834298,10.097733499482274,1689.181783400476,0.0009321011602878571,1689.181783400476,0.09770220145583153,2.0,2.431054301559925,1691.6488997004926,0.0025971010327339172,0.09754990041255951,1697.6651834994555,1697.8318060703575,6.214190300554037,6.314178200438619,1698.8483355995268,1717.8317528694868,1717.8316894993186,26.214139599353075,26.314090499654412,1720.8316815998405,1720.8316815998405,0.014142900705337524,0.11413460038602352,1750.831437299028,30.013808600604534,1718.8483754005283,30.097546001896262,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1750.9482311997563,0.030760901048779488,0.13074560090899467,1756.948194598779,6.030621701851487,1757.0816484987736,1757.0816484987736,0.030797701328992844,0.1305555012077093,space,3.430715201422572,1760.5481879003346,1760.5481879003346,2.5199726223945618e-05,0.0986056998372078,num_9,2.1486375015228987,1762.748246570304,0.0021230988204479218,0.09782079979777336,1763.0482783988118,1763.5315856702625,1763.8482434991747,1764.348224369064,1764.6482378002256,1764.7482861988246,1772.7481153998524,1772.7481153998524,1772.7482312705367,0.000950399786233902,0.09786029905080795,1773.7480782996863,1774.764829300344,1774.9147137999535,1775.431496700272,10.014329198747873,,1782.8646483998746,0.017134200781583786,1782.8646483998746,0.11426660045981407,5.0,4.664940100163221,1787.5647151991725,0.0015444997698068619,0.09921910054981709,1793.5815376993269,1793.7314767699688,6.199176300317049,6.2991381995379925,1794.7480474989861,1813.7313622694462,1813.731324199587,26.199084900319576,26.299105800688267,1816.74802570045,1816.74802570045,0.015953801572322845,0.11590640060603619,1846.7481188997626,30.01586040109396,1814.7479701004922,30.09883140027523,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
