Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_3.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,898.2622984996997,0.00038899946957826614,0.09910779958590865,904.2623052001,5.999091399367899,904.3622745997272,904.3622745997272,-2.400064840912819e-05,0.09906769962981343,space,0.8772630002349615,905.2956348001026,905.2956348001026,4.1400082409381866e-05,0.09806510014459491,num_9,1.1918223998509347,906.529073330015,0.0015992997214198112,0.09844089997932315,906.8287724996917,907.3122881300748,907.628944600001,908.1122245298699,908.5289193000644,,916.5455534998327,916.5455824298784,0.01752019999548793,0.11526610003784299,917.5455084000714,918.5455801999196,918.7289165998809,919.2455827998929,10.015050999820232,,926.6454052999616,0.017855499871075153,926.6454052999616,0.11508919997140765,2.0,2.764762499835342,929.4457558998838,0.0016846000216901302,0.09960249997675419,935.4455182999372,935.6289530297742,6.215877200011164,6.31581879965961,936.6455096998252,955.6287159299478,955.6287485999055,26.215782299637794,26.31576479971409,956.6453623999842,958.628975099884,958.628975099884,0.01602079952135682,0.11572459945455194,988.6286299997009,30.01566039957106,908.4290451998822,,,,,,,6.099126299377531,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988.7620101999491,0.015878599602729082,0.11562439939007163,1018.7618331997655,30.01553459931165,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
2,0,2,0,0,0,0,0,,,,,,,,,,,,1018.8618926997297,0.017180299386382103,0.11553189950063825,1024.8618112998083,6.0155210993252695,1024.978519700002,1024.978519700002,0.03238579956814647,0.1321858991868794,space,0.7575888000428677,1025.7784950998612,1025.7784950998612,3.460003063082695e-05,0.09805950010195374,num_9,1.6690175998955965,1027.495226029679,0.0018458999693393707,0.09803840005770326,1027.7951043997891,1028.2784891299902,1028.5786967999302,1029.0784648297354,1029.478465499822,1037.4951231000014,1037.4951231000014,1037.49521312993,0.0011601997539401054,0.09790659975260496,1038.4950542999431,1039.4951253999025,1039.6784552996978,1040.1784449997358,10.014530600048602,,1047.6117127998732,0.016698199789971113,1047.6117127998732,0.11451079975813627,2.0,1.9322766000404954,1049.5785149000585,0.0023874002508819103,0.09845839999616146,1055.5615666001104,1055.778411829751,6.231752099934965,6.3319443999789655,1056.794940599706,1075.7615850296802,1075.7616508998908,26.215048999991268,26.31511199986562,1076.778318699915,1078.7616332001053,1078.7616332001053,0.01505909999832511,0.1150628998875618,1108.7781847999431,30.031579500064254,1029.378567100037,,,,,,,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
2,0,2,0,1,0,1,0,,,,,,,,,,,,1108.9115027999505,0.03226229967549443,0.13156129978597164,1114.9113280000165,6.014934499748051,1114.9948311001062,1114.9948311001062,0.014832899440079927,0.11489829979836941,space,1.0926298997364938,1116.1281869998202,1116.1281869998202,3.7800054997205734e-05,0.09783860016614199,num_9,1.3194156000390649,1117.5115257300436,0.0022908002138137817,0.09789150021970272,1117.8281656997278,1118.2948411297052,1118.5946442997083,1119.111513929814,1119.49480269989,1127.5114659997635,1127.5114659997635,1127.511482729949,0.0013864999637007713,0.097966100089252,1128.5282536000013,1129.5280817998573,1129.7114005996846,1130.2114413999952,10.031251899898052,,1137.6279413998127,0.015918100252747536,1137.6279413998127,0.11465549981221557,5.0,2.833004899788648,1140.4949831999838,0.0015114000998437405,0.09940790012478828,1146.4946150998585,1146.67796002971,6.215795900207013,6.315835600253195,1147.6780639998615,1166.6779541297815,1166.6780411000364,26.215854099951684,26.315760599914938,1167.6780532998964,1169.678051599767,1169.678051599767,0.01590179977938533,0.1158487000502646,1199.6945309997536,29.999072699807584,1119.4280910999514,30.09894279995933,,,,,,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
2,0,2,0,2,0,2,0,,,,,,,,,,,,1199.7945880996995,0.0004398999735713005,0.09904459957033396,1205.7944982997142,6.032303999643773,1205.911200299859,1205.911200299859,0.01578669948503375,0.11559999966993928,space,1.1850892002694309,1207.144626100082,1207.144626100082,4.469975829124451e-05,0.09778369963169098,num_9,1.4228365998715162,1208.6112104299477,0.0019215000793337822,0.09814499970525503,1208.9278326998465,1209.394402429834,1209.6943469997495,1210.2111638299189,1210.5945167997852,1218.594568700064,1218.594568700064,1218.5944821298121,0.01498629990965128,0.11462569981813431,1219.611114599742,1220.6111330999993,1220.7777065997943,1221.2777729998343,10.014705499634147,,1228.7277029999532,0.017333099618554115,1228.7277029999532,0.11465299967676401,3.0,2.5316250999458134,1231.2946194000542,0.002973499707877636,0.09796239994466305,1237.294415900018,1237.4943926300853,6.231133199762553,6.33121129963547,1238.4943043999374,1257.4943033297545,1257.494349599816,26.231094799935818,26.33107059961185,,1260.4943987000734,1260.4943987000734,0.00012979982420802116,0.09767619986087084,1290.4941964000463,30.030958299525082,1210.527811399661,,,,,,,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
2,0,2,0,3,0,3,0,,,,,,,,,,,,1290.6274186000228,0.0317780994810164,0.13088299939408898,1296.6273810998537,6.030876599717885,1296.71085269982,1296.71085269982,0.01429429929703474,0.11432249937206507,space,2.3370562000200152,1299.1108532999642,1299.1108532999642,4.08003106713295e-05,0.09817390004172921,num_9,0.944684499874711,1300.1108341299928,0.002350100316107273,0.09805450029671192,1300.4275197000243,1300.894153529685,1301.2107895999216,1301.6939949299208,1302.094155299943,1310.0942873000167,1310.0942873000167,1310.0939282299018,0.01484640035778284,0.11456430004909635,1311.1108021996915,1312.094087000005,1312.2940754997544,1312.7940718000755,10.014461799990386,10.097925800364465,1320.2107335999608,0.0012823999859392643,1320.2107335999608,0.09783540014177561,4.0,2.3975875000469387,1322.6443338999525,0.0027033002115786076,0.09755050018429756,1328.6273207999766,1328.82735902993,6.2141642002388835,6.314241100102663,,1348.8272931300103,1348.8274411000311,26.214288000017405,26.314080700278282,1349.8272814000957,1351.8273020996712,1351.8273020996712,0.014154300093650818,0.11407430004328489,1381.8438288997859,30.030682200100273,1301.99398319982,,,,,,,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
2,0,2,0,4,0,4,0,,,,,,,,,,,,1381.960464200005,0.0141142001375556,0.11394369974732399,1387.9771837000735,6.030843599699438,1388.0773915001191,1388.0773915001191,0.030829299706965685,0.13065929990261793,space,1.5626889001578093,1389.6771581997164,1389.6771581997164,3.2899901270866394e-05,0.09816819988191128,num_9,1.0504151000641286,1390.7606554300523,0.0018905997276306152,0.09743089973926544,1391.0604580999352,1391.5437985299154,1391.8605738999322,1392.3440570299513,1392.7439107000828,1400.76042769989,1400.76042769989,1400.7604761299676,0.0006283996626734734,0.09736069990321994,1401.7603496001102,1402.7603973997757,1402.9269773000851,1403.4270786000416,10.013898399658501,10.097255599685013,1410.86033029994,0.0005914997309446335,1410.86033029994,0.09722439991310239,5.0,2.430944399908185,1413.3272738996893,0.0021552997641265392,0.09933990007266402,1419.3437673998997,1419.5103834298438,6.215770099777728,6.315761699806899,1420.510360899847,1439.5104107297025,1439.5102685997263,26.215712199918926,26.315682199783623,1440.5102699999698,1442.5102801998146,1442.5102801998146,0.015750999562442303,0.1156852999702096,1472.4933039997704,30.01534829987213,1392.6436175000854,30.098904399666935,,,,,,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472.6268186001107,-0.00020210025832057,0.09900499973446131,1502.6270500998944,30.03248729975894,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
3,0,3,0,0,0,0,0,,,,,,,,,,,,1502.7600445998833,0.03416119934991002,0.13213369948789477,1508.7767051998526,6.015404099598527,1508.8433244996704,1508.8433244996704,0.015636899508535862,0.11539469938725233,space,4.012329599820077,1512.8933334997855,1512.8933334997855,3.3400021493434906e-05,0.09780369978398085,num_9,3.210210899822414,1516.1601172298192,0.0022712997160851955,0.09790079994127154,1516.476593399886,1516.9433451298623,1517.2599495998584,1517.7432744297198,1518.1433318001218,1526.1600711001083,1526.1600711001083,1526.1600085300392,0.0009726998396217823,0.09786719968542457,1527.1598896998912,1528.1767895999365,1528.343306099996,1528.8432595999911,10.014442299958318,10.097700799815357,1536.26001060009,0.001158799510449171,1536.26001060009,0.09762219991534948,2.0,2.430832900106907,1538.7268838998862,0.002428700216114521,0.0988264000043273,1544.726765600033,1544.9097364297136,6.215203099884093,6.298544900026172,1545.9099304000847,1564.9097827299497,1564.9099106998183,26.21556879999116,26.315380200278014,1565.9097266998142,1567.909731300082,1567.909731300082,0.015370999928563833,0.11536919977515936,1597.9264336996712,30.032065299805254,1518.0599683998153,,,,,,,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
3,0,3,0,1,0,1,0,,,,,,,,,,,,1598.0596700999886,0.032670799642801285,0.13192289974540472,1604.0764965997078,6.015276399906725,1604.1261364999227,1604.1261364999227,0.015092399902641773,0.09852509992197156,space,0.6016135001555085,1604.7931753001176,1604.7931753001176,4.700012505054474e-05,0.0977668003179133,num_9,1.134522999636829,1605.9930420298128,0.002818299923092127,0.09800220001488924,1606.30956099974,1606.7762223299592,,1607.592964630015,1607.9762793998234,1615.976235399954,1615.976235399954,1615.9763301298021,0.014592200051993132,0.11453799996525049,,1617.9594503999688,1618.1929347999394,1618.6929493998177,10.01443549990654,,1626.1094412999228,0.01689480012282729,1626.1094412999228,0.1143507999368012,4.0,2.331849300302565,1628.476468199864,0.0016513997688889503,0.0993559998460114,1634.492891999893,1634.6427779299206,6.199284499976784,6.299405199941248,1635.6596282999963,1654.6593296298756,1654.659455299843,26.215912899933755,26.315907899755985,1655.6595450998284,1657.6762343998998,1657.6762343998998,0.0017350995913147926,0.09924169955775142,1687.6759895998985,29.999062799848616,1607.9096205998212,30.099058599676937,,,,,,,3777,Gustatory,2024-10-08_13h01.23.553,Gustatory_Condition_v2,2022.2.5,30.004107555178997,
