Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Finish_rinse.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,967.8659695000388,0.016263099387288094,0.1154867997393012,973.8661662000231,6.0155058996751904,973.9660658002831,973.9660658002831,0.015462199691683054,0.11547349952161312,space,2.528964300174266,976.549358300399,976.549358300399,5.430029705166817e-05,0.09802370006218553,num_9,3.4664957001805305,980.0493782401551,0.0021739001385867596,0.09741519996896386,980.3493350003846,980.8327051402536,981.1328459000215,981.6325893403497,981.9326336001977,982.0158832003362,990.0160788004287,990.0492495000362,990.0494178404566,0.030656200367957354,0.11403550021350384,,992.0491848001257,992.2326437002048,992.7493085004389,10.013939999975264,10.097227999940515,1000.1491726003587,0.03060529986396432,1000.1491726003587,0.13052979996427894,3.0,2.1000251001678407,1002.2825916004367,0.0023302999325096607,0.09818540001288056,1008.2992391004227,1008.4659202402923,6.214825700037181,6.314835899975151,1009.4825836000964,1028.465764840273,1028.4658391000703,26.214755699969828,26.294333500321954,1031.4825210003182,1031.4825210003182,0.0006862999871373177,0.0980230001732707,1061.4823610000312,30.03129079984501,1029.4823342002928,,,,,,,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061.5990391001105,0.014908500015735626,0.11459419969469309,30.01447890000418,1091.598933600355,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1091.698963700328,0.016344799660146236,0.11446609999984503,1097.7155901002698,6.031188499648124,1097.8155961004086,1097.8155961004086,0.0313209998421371,0.13107299990952015,space,3.4799040998332202,1101.34890500037,1101.34890500037,4.1099730879068375e-05,0.09795389976352453,num_9,3.46655449969694,1104.8655899401288,0.002126900013536215,0.09753170004114509,1105.198851000052,1105.6487124400678,1105.9488659002818,1106.4488937404471,1106.7488494003192,1106.8488579001278,1114.8488296000287,1114.8488296000287,1114.848827340314,0.014284500386565924,0.11425270000472665,1115.8487941003405,1116.848822900094,1117.0320225004107,1117.5488402000628,10.013929300010204,10.097309899982065,1124.9986793003045,0.002173100132495165,1124.9986793003045,0.13066169992089272,4.0,1.546249400358647,1126.548721300438,0.0010907999239861965,0.09874599985778332,1132.5486909002066,1132.732003540406,6.215691899880767,6.315700199920684,1133.7320475000888,1152.731941240048,1152.7320322003216,26.21566369989887,26.31564350007102,1155.7320142001845,1155.7320142001845,0.015671299770474434,0.11561049986630678,1185.7485319003463,30.03216509986669,1153.7320024003275,,,,,,,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1185.881892700214,0.03289759950712323,0.1321475994773209,1191.8820045003667,6.032141799572855,1191.9819766003639,1191.9819766003639,0.032374199479818344,0.13212449941784143,space,4.753359399735928,1196.78184590023,1196.78184590023,4.100007936358452e-05,0.09806820005178452,num_9,3.3619053000584245,1200.182083940273,0.0015153996646404266,0.09788060002028942,1200.481796800159,1200.9650466401595,1201.2818369003944,1201.7651725403498,1202.0818470004015,1202.1651365002617,1210.1817798004486,1210.1817798004486,1210.181796440063,0.0015641995705664158,0.0977960997261107,1211.1984004001133,1212.1818144000135,1212.3651155000553,1212.8650882001966,10.014420100022107,10.097588799893856,1220.2817435003817,-0.0008501000702381134,1220.2817435003817,0.09780669957399368,2.0,1.799578099977225,1222.1153812003322,0.0015511000528931618,0.09952200017869473,1228.1151649001986,1228.2815450403373,6.199194999877363,6.299322700127959,1229.298247200437,1248.298160340311,1248.2814726000652,26.199109999928623,26.299257699865848,1251.2982788002118,1251.2982788002118,0.015924999956041574,0.11593770002946258,1281.2980275000446,30.015642199665308,,30.099110399838537,,,,,,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1281.4150051004253,0.0005543995648622513,0.09908049972727895,1287.4147998001426,5.9991509998217225,1287.5148573000915,1287.5148573000915,-0.00015850039198994637,0.09909269958734512,space,4.644981199875474,1292.2148298001848,1292.2148298001848,4.350021481513977e-05,0.09793459996581078,num_9,2.888296900317073,1295.1647812404203,0.002327000256627798,0.09809820028021932,1295.481449200306,1295.9649416400584,1296.2813099003397,1296.748152540205,1297.0480844001286,1297.1481194002554,1305.1481004003435,1305.1481004003435,1305.1480782401281,0.014788900036364794,0.11467930022627115,1306.147983000148,1307.1480869003572,1307.3480467000045,1307.8480821000412,10.014600799884647,,1315.2812340999953,0.01769609982147813,1315.2812340999953,0.11465020012110472,5.0,4.098106600344181,1319.4148388002068,0.002921100240200758,0.0973210004158318,1325.4312144001015,1325.5978911404031,6.213816900271922,6.297321400139481,,1345.5978776404168,1345.5979257002473,26.213900200091302,26.31386570027098,1348.5980587000959,1348.5980587000959,0.014192999806255102,0.11384710017591715,1378.5978350001387,30.013804099988192,1346.5978666003793,,,,,,,6.09906499972567,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1378.7311615003273,0.014741899911314249,0.11373869981616735,1384.7477833000012,6.030390199739486,1384.847791200038,1384.847791200038,0.030472399666905403,0.13038339978083968,space,2.2398872999474406,1387.1477667000145,1387.1477667000145,4.559988155961037e-05,0.09814699972048402,num_9,2.1638647001236677,1389.3643424400593,0.0013752002269029617,0.09879520023241639,1389.6811225004494,1390.1476729401852,1390.4478298001923,1390.9476687401998,1391.2476681000553,1391.347970700357,1399.3643886004575,1399.3643886004575,1399.3643405401613,0.0010629999451339245,0.09878750005736947,1400.3810509000905,1401.381057200022,1401.5477173002437,1402.0477259000763,10.015170400030911,10.098657200112939,1409.4642404001206,0.001491399947553873,1409.4642404001206,0.09859579987823963,3.0,1.2650550999678671,1410.7645860002376,0.0029922001995146275,0.09802930010482669,1416.7643240001053,1416.9475746402982,6.214614400174469,6.314662199933082,,1436.9475060404743,1436.9476692001335,26.214722100179642,26.314703200012445,1439.9475479000248,1439.9475479000248,0.014603199902921915,0.11456870008260012,1469.9476140001789,30.014573600143194,,30.097683699801564,,,,,,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1470.064143600408,-0.0009614001028239727,0.09778419975191355,1476.0807576002553,6.014429399743676,1476.1808834001422,1476.1808834001422,0.01455879956483841,0.11445709969848394,space,3.9791894000954926,1480.2140422002412,1480.2140422002412,4.060007631778717e-05,0.09810170019045472,num_9,3.096920399926603,1483.347438040329,0.002165299840271473,0.09782829973846674,1483.647287200205,1484.1306518401484,1484.4472766001709,1484.9473867403808,1485.2473476002924,1485.347434299998,,1493.3640793003142,1493.3640420401002,0.017074199859052896,0.11446529999375343,1494.3808006001636,1495.380748800002,1495.547410900239,1496.0306462002918,10.031101699918509,,1503.4808118999936,0.03373779961839318,1503.4808118999936,0.13121879985556006,3.0,4.465042899828404,1507.9806813001633,0.001542199868708849,0.09915199968963861,1513.9806055002846,1514.163918140484,6.21572669968009,6.315743799787015,1515.180535600055,1534.163717440469,1534.1470000003465,26.21550349984318,26.299168599769473,1537.1638188003562,1537.1638188003562,0.015686499420553446,0.11564189940690994,1567.1804035003297,30.03243829961866,1535.197197700385,,,,,,,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567.297075100243,0.015574499499052763,0.11551969964057207,30.03209319943562,1597.3136452003382,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1597.4143794002011,0.034940099343657494,0.13215169962495565,1603.4135480001569,6.032078799325973,1603.5136864003725,1603.5136864003725,0.03244959935545921,0.1320044994354248,space,1.334272800013423,1604.91358470032,1604.91358470032,4.460010677576065e-05,0.0979224001057446,num_9,3.0380996000021696,1608.0135694403666,0.002274900209158659,0.09799030004069209,1608.3301944001578,1608.7967502401675,,1609.613567540096,1609.930224600248,1609.996947400272,1618.0135115003213,1618.0135115003213,1618.013548540091,0.0012424001470208168,0.09796979976817966,1619.030303100124,1620.0136249000207,1620.2135362001136,1620.7135069002397,10.014371099881828,10.097655599936843,1628.1133130001836,0.03099749982357025,1628.1133130001836,0.13098719995468855,4.0,1.8999994001351297,1630.047085400205,0.0016611996106803417,0.0993836997076869,1636.0299500003457,1636.2134409403893,6.19920549960807,6.299179499968886,1637.230033900123,1656.213506440306,1656.2133579002693,26.199201500043273,26.29907809989527,1659.2300474001095,1659.2300474001095,0.015887399669736624,0.11578289978206158,1689.2466903002933,29.9990282994695,1657.2299448000267,30.098862799815834,,,,,,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1689.3465778003447,-0.0001226002350449562,0.09894789941608906,1695.3297194000334,6.015450799372047,1695.4465555003844,1695.4465555003844,-0.000327900517731905,0.09890269953757524,space,1.06498230015859,1696.5465785004199,1696.5465785004199,3.589969128370285e-05,0.09760209964588284,num_9,1.9170575998723507,1698.5131503400858,0.0011342000216245651,0.09909840021282434,1698.813200400211,1699.2964128401595,1699.5964125003666,1700.0963599403854,1700.3963970001787,1700.4965533004142,1708.4965197001584,1708.4965197001584,1708.4965309404301,0.015832799952477217,0.11569679994136095,1709.4962712000124,1710.4962979000993,1710.696456800215,1711.1965044001117,10.015482500195503,,1718.629734300077,0.018474699929356575,1718.629734300077,0.11561150010675192,3.0,1.298094100318849,1719.9633663003333,0.003937199711799622,0.09747499972581863,1725.963068400044,1726.163060940476,6.230926599819213,6.330903899855912,1727.1632035002112,1746.1462976403068,1746.1464347001165,26.21435010014102,26.31416040007025,1749.1629765001126,1749.1629765001126,4.249950870871544e-05,0.09756479971110821,1779.1628295001574,30.030748199671507,1747.1629480002448,,,,,,,6.098883499391377,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
