Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,Palatability_Score.started,p_port_17.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,Begin_Rinse.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,p_port_16.stopped,p_port_14.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,1158.3471575999865,0.016516000032424927,0.11573479999788105,1164.330346899922,6.015533600002527,1164.430437300005,1164.430437300005,-0.00019519997294992208,0.09914120007306337,space,1.1491785000544041,1165.6305041000014,1165.6305041000014,4.400010220706463e-05,0.09805760008748621,num_9,3.421607399941422,1169.1138284199637,0.0026276999851688743,0.09805879998020828,1169.4303502999246,1169.8971497200196,1170.2137635999825,1170.697087819944,1171.0137794999173,1171.0972683000145,1179.0970592999365,1179.0970592999365,1179.0971063199918,0.014737299992702901,0.11472660000436008,1180.0970203999896,1181.1137470999965,1181.3137106000213,1181.8304387999233,12.014526500017382,12.097962300060317,1191.213661900023,0.002907400019466877,0.0980818000389263,1197.213749699993,1197.3970309199299,6.214580400031991,6.314404500066303,1227.3968219199683,1227.3968502000207,36.2145069000544,36.314524900051765,,1230.4133748000022,1230.4133748000022,0.001335600041784346,0.0977234001038596,5.0,5.6307022999972105,1236.0803869999945,0.0004934000317007303,0.0993597999913618,1266.0800250999164,29.999257400049828,6.09895650006365,1198.3969167999458,,,,,,,30.09921520005446,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266.180168599938,0.0003258000360801816,0.09922530001495034,29.999020100105554,1296.1798476999393,30.09915110003203,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
2,0,2,0,0,0,0,0,,,,,,,,1296.2798648999305,0.0027355001075193286,0.09908740012906492,1316.2964096999494,20.01561770006083,1316.3964642999927,0.01722100016195327,0.115742800058797,1322.4131060999352,6.032322800136171,1322.513077499927,1322.513077499927,0.032424400094896555,0.132249400136061,space,2.0670438000233844,1324.613086999976,1324.613086999976,4.12999652326107e-05,0.09726860001683235,num_9,1.3748909999849275,1326.0298652199795,0.002218899899162352,0.09781249996740371,1326.3297042999184,1326.8130292200017,1327.1297335999552,1327.6130956199718,1327.9297315999866,1328.0296214999398,1336.0296496999217,1336.0296496999217,1336.0297512199263,0.0016079999040812254,0.09800569992512465,1337.0297851000214,1338.0296575999819,1338.213037999929,1338.713005199912,12.01437889994122,,1348.1463093999773,0.018915300024673343,0.11440049996599555,1354.1463843999663,1354.312930819951,6.21427459991537,6.297653499990702,1384.3128826199331,1384.3128010999644,36.21429449995048,36.31429000000935,1385.3294797999552,1387.3293113999534,1387.3293113999534,0.0012808999745175242,0.09746890002861619,5.0,7.097259700065479,1394.4629141999176,0.0008843999821692705,0.09767309995368123,1424.4625945999287,30.030760499997996,,1355.3295737999724,,,,,,,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1424.5959369000047,0.030894799972884357,0.13073169998824596,1430.612685799948,6.014000599971041,1430.679478899925,1430.679478899925,0.014207500033080578,0.11417670000810176,space,0.9800574999535456,1431.6959414000157,1431.6959414000157,4.509999416768551e-05,0.09809139999561012,num_9,1.684365599998273,1433.4293330199084,0.002183699980378151,0.09812009998131543,1433.7292375999968,1434.2128640199312,1434.5291192999575,1435.0125659199198,1435.3125124999788,1435.4292165000224,1443.4292474999093,1443.4292474999093,1443.4292832199949,0.0013704999582841992,0.09802210005000234,1444.429173899931,1445.4458909999812,1445.612650499912,1446.1291705999756,12.01467980002053,,1455.5457906000083,0.019156199996359646,0.11467040004208684,1461.545919099939,1461.7125290199415,6.2146669999929145,6.314633700065315,1491.7290363199077,1491.728998699924,36.23124019999523,36.3313979000086,,,1494.7454325999133,0.01752040011342615,0.11446370009798557,4.0,2.764599099988118,1497.5457917000167,0.0008073999779298902,0.09833309997338802,1527.545355499955,30.03120199998375,,1462.7124731999356,,,,,,,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1527.6787804999622,0.031639200053177774,0.1313794000307098,1533.6619932999602,6.014426200068556,1533.7454920000164,1533.7454920000164,0.03196440008468926,0.13134550000540912,space,3.937881499994546,1537.7287447999697,1537.7287447999697,3.450002986937761e-05,0.09932549996301532,num_9,1.763047100044787,1539.5455143199301,0.0021868000039830804,0.09803340001963079,1539.8621130000101,1540.3288374199997,1540.628717100015,1541.1286572199547,1541.4286942000035,1541.5287945999298,1549.5287517999532,1549.5287517999532,1549.5289737199432,0.014745699940249324,0.11465130001306534,,1551.5286848999094,1551.7287145999726,1552.22871689999,12.031268400023691,,1561.678630999988,0.03605210001114756,0.13128720002714545,1567.6787513999734,1567.8453815200132,6.231216300046071,6.331256799981929,1597.8284110200125,1597.8284839999396,36.214495999971405,36.31458530004602,1598.8283815999748,1600.8450231999159,1600.8450231999159,0.0015147000085562468,0.09766480000689626,1.0,5.097206000005826,1605.978468599962,0.0015027000335976481,0.09745580004528165,1635.9783039999893,30.03069659997709,6.097870800062083,1568.8620782999787,,,,,,,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1636.095009499928,0.014620200032368302,0.11397369997575879,1642.1115849999478,6.030626600026153,1642.2116396999918,1642.2116396999918,0.030902700033038855,0.13065639999695122,space,2.2805536999367177,1644.5449534999207,1644.5449534999207,4.190008621662855e-05,0.09786199999507517,num_9,1.5629140998935327,1646.1617738199652,0.0020608999766409397,0.09790429996792227,1646.4616190999513,1646.9450166200054,1647.2616232999135,1647.761680919933,1648.0615195999853,1648.1449303999543,1656.1449217000045,1656.1449217000045,1656.1449549199547,0.014651099918410182,0.1145877999952063,1657.1616834999295,1658.1615437999135,1658.3617031999165,1658.8447258999804,12.031210399931297,,1668.294838199974,0.0355671999277547,0.1311736999778077,1674.2948426000075,1674.4615591200068,6.231100399978459,6.331131999962963,1704.4448050199076,1704.4446681999834,36.21435439994093,36.31437639996875,1705.4613591999514,1707.4612207999453,1707.4612207999453,0.0012489999644458294,0.09746610000729561,7.0,3.6640874000731856,1711.161600099993,0.0005330999847501516,0.0993356000399217,1741.1611471999204,29.999182099942118,,1675.461392599973,,,,,,,30.09901699994225,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1741.2611633000197,0.0002975000534206629,0.09907080000266433,1747.2611334999092,6.032354300026782,1747.394484099932,1747.394484099932,0.03247560001909733,0.132374000037089,space,5.113424099981785,1752.5611089000013,1752.5611089000013,5.2900053560733795e-05,0.09809470002073795,num_9,0.6428586000110954,1753.2612134199821,0.0023541999980807304,0.09783339989371598,1753.5611108000157,1754.044639520021,1754.3610909999115,1754.8611408199881,1755.160990000004,1755.2610745999264,1763.261142399977,1763.261142399977,1763.2613073199987,0.0010210999753326178,0.09777199989184737,1764.2780704000033,1765.2612660999876,1765.444389399956,1765.927852199995,12.014340099995025,12.097648199996911,1775.3609952999977,0.0020395999308675528,0.09782449994236231,1781.3609833000228,1781.5610297199105,6.231053699972108,6.331051499932073,1811.5608691199682,1811.5608343000058,36.23096139996778,36.33091569994576,1812.5607569999993,,1814.577372699976,0.016929500037804246,0.11427410005126148,3.0,4.264967399998568,1818.8777902999427,0.0009741000831127167,0.09792990004643798,1848.8940465999767,30.014427000074647,,1782.5608414999442,,,,,,,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848.993976400001,0.014624000061303377,0.11437570000998676,30.014205200015567,1878.9938862000126,,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
3,0,3,0,0,0,0,0,,,,,,,,1879.093806299963,0.017027100082486868,0.11420020007062703,1899.0938759999117,20.014208000036888,1899.1937337999698,0.015964000136591494,0.11413710005581379,1905.210410199943,6.03076770005282,1905.310364899924,1905.310364899924,0.030943900113925338,0.13073100009933114,space,2.469017400057055,1907.8270490999566,1907.8270490999566,3.5899924114346504e-05,0.09785929997451603,num_9,1.5848311999579892,1909.4772703199646,0.0026313000125810504,0.09753949998412281,,1910.2771211199229,1910.5769214999164,1911.0604739199857,1911.360277300002,1911.477017599973,1919.4769651999231,1919.4769651999231,1919.4769247200106,0.030964999925345182,0.1308606999227777,,1921.4601922999136,1921.6602948999498,1922.1435695999535,12.014036300010048,12.09755830001086,1931.576893899939,0.0027610999532043934,0.0975215999642387,1937.5935718999244,1937.7602985200006,6.214159299968742,6.314155100029893,1967.7564749199896,1967.7399426000193,36.21033859997988,36.29359859996475,1968.7600946999155,1970.7599433999276,1970.7599433999276,0.013882500003091991,0.1138362999772653,1.0,3.663964799954556,1974.4600946999853,0.0011517000384628773,0.09722130000591278,2004.460055799922,30.030627500033006,,1938.7602266999893,,,,,,,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,2004.593245199998,0.031015500077046454,0.13043590006418526,2010.5930277999723,6.013765800045803,2010.6596896999981,2010.6596896999981,0.013522600056603551,0.09679010009858757,space,0.3760863000061363,2011.0597217999166,2011.0597217999166,1.1499971151351929e-05,0.08615129999816418,num_9,3.512010300066322,2014.6097187199862,0.0010372999822720885,0.09939939994364977,2014.9098515999503,2015.376433120016,2015.6894519999623,2016.1931587199447,2016.509761299938,2016.5597510000225,2024.55983189994,2024.59318299999,2024.5932314199395,0.0162207999965176,0.11613789992406964,2025.60989959992,2026.5930578999687,2026.7596655999077,2027.2430358999409,11.999375599902123,12.099428999936208,2036.7096990999999,0.004417699994519353,0.09942330000922084,2042.7097240999574,2042.8762430199654,6.199209199985489,6.282770099933259,2072.892961819912,2072.8929066999117,36.21592200000305,36.31589690002147,2073.909609799972,2075.892885999987,2075.892885999987,0.015886100009083748,0.11597520008217543,7.0,2.9975743000395596,2078.926540900022,0.00047850003466010094,0.09936840005684644,2108.9427702999674,30.015714499983005,,,,,,,,,,668,Gustatory,2024-02-15_16h45.52.049,Gustatory_Condition_v2,2022.2.5,29.96618315946862,
