loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.390081846714018,0.0007764995098114014,0.11737019941210747,15.987801649048924,16.587860448658468,16.887840200215578,17.187851949036123,17.50457390025258,17.50457390025258,0.017585398629307747,0.11754489876329899,32.50433939881623,15.000581700354815,32.62131579965353,0.0011030007153749466,0.10082560032606125,33.07099529914558,space,1.2579705007374287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.75410049967468,208.75410049967468,0.008036799728870392,0.09924570098519325,2.0,2.392154600471258,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.187386399135,211.187386399135,0.007365800440311432,0.09746289998292923,5.0,1.7249537017196417,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.9542038999498,212.9542038999498,0.007758699357509613,0.0979153998196125,3.0,2.7244029995054007,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.72074569948018,215.72074569948018,0.0070379991084337234,0.09815610013902187,3.0,1.7255454994738102,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.48759419843554,217.48759419843554,0.0006748009473085403,0.09898200072348118,5.0,5.099542999640107,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,222.62109379842877,0.0003437995910644531,0.09770629927515984,228.637372398749,6.014265498146415,228.80405540019274,228.80405540019274,0.07815410010516644,0.18113460019230843,6.01436460018158,234.90385549888015,234.90385549888015,234.90385549888015,0.07369690015912056,0.1809128001332283,240.60406919941306,240.8040418997407,6.014275100082159,6.114222899079323,246.80412700027227,12.014363400638103,246.93734859861434,246.93734859861434,0.014535600319504738,0.11413330025970936,down,1.9994700010865927,248.97094909846783,0.00011310167610645294,0.09763270057737827,254.98749299906194,254.98749299906194,0.025588801130652428,0.11458440124988556,2.0,5.156529199331999,,,,,,,234.80403910018504,234.80403910018504,246.90409079939127,246.90409079939127,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.1873856987804,260.1873856987804,0.008400499820709229,0.09730410017073154,6.0,3.0230669006705284,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.25387809984386,263.25387809984386,0.006819600239396095,0.09921560063958168,6.0,2.926885599270463,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.2207067999989,266.2207067999989,0.006759699434041977,0.09929319843649864,5.0,2.0603216998279095,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.33735840022564,268.33735840022564,0.0089820995926857,0.11384519934654236,5.0,1.9729420002549887,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.3374145999551,270.3374145999551,0.006909700110554695,0.09917780011892319,3.0,2.1933896001428366,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.58750739879906,272.58750739879906,0.008715100586414337,0.11414599977433681,4.0,4.5064247995615005,,,,,,,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.12097909860313,277.12097909860313,0.0014978982508182526,0.09733689948916435,2.0,2.4972083996981382,,,,,,,,,5010,Moral,2024-07-08_19h33.09.540,MoralCondition_v2,2022.2.5,29.993461473378428,
