Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,912.8914616000839,0.0006498999428004026,0.0992030999623239,918.8914053998888,5.999249299988151,918.9913671000395,918.9913671000395,-0.00033010030165314674,0.09928619978018105,space,1.257850900059566,920.2913839998655,920.2913839998655,4.810001701116562e-05,0.09815520001575351,num_9,0.6299751000478864,920.9580642299028,0.001934099942445755,0.09819009993225336,921.2746915000025,921.7413960299222,922.0580537000205,922.541335829976,922.858016199898,922.9414049999323,930.9414764000103,930.9414764000103,930.9413587299408,0.014871400082483888,0.1145418998785317,931.941217900021,932.9579999998678,933.1245677000843,933.6246929999907,10.01449660002254,941.0580364998896,0.0003800999838858843,941.0580364998896,0.09800069988705218,1.0,3.3316214000806212,944.4245919999667,0.002628500107675791,0.0979037000797689,950.4412767998874,950.6079610299552,6.214517600135878,6.314433800056577,951.6246066999156,970.6078016299056,970.6078872000799,26.21451189997606,26.31441990006715,971.6245510999579,973.6078603998758,973.6078603998758,0.01451090001501143,0.11444430006667972,1003.6080622998998,30.014708400005475,,10.097804700024426,,,,,,6.099030299810693,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003.7410710998811,0.014684699941426516,0.11433409992605448,1033.7576439999975,30.030884800013155,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1033.8409811998717,0.015878799837082624,0.1142444999422878,1039.8409072000068,6.01436989987269,1039.9409604000393,1039.9409604000393,0.014240199699997902,0.11416979972273111,space,6.1635139000136405,1046.1577979999129,1046.1577979999129,4.970002919435501e-05,0.09778660000301898,num_9,0.5708987000398338,1046.7908086299199,0.000806800089776516,0.09942290000617504,1047.1074904000852,1047.5574739300414,1047.8742903999519,1048.3575156300562,1048.6575927999802,1048.7576355000492,1056.7575753999408,1056.7575753999408,1056.7575674298919,-0.0005542999133467674,0.0994726000353694,1057.757653000066,1058.774251200026,1058.9742650999688,1059.4908793999348,9.999341000104323,1066.890707100043,0.0028522999491542578,1066.890707100043,0.0992933998350054,2.0,3.264160899911076,1070.191103399964,0.0015476001426577568,0.09912379994057119,1076.2074778999668,1076.3740179301008,6.215697800042108,6.315772700123489,1077.374118299922,1096.374147430039,1096.374071399914,26.21580360014923,26.315682100132108,1097.3740530000068,1099.390731099993,1099.390731099993,0.0013900999911129475,0.09901370014995337,1129.4074633000419,30.01580430008471,,10.099355000071228,,,,,,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1129.5073061999865,0.016330600017681718,0.11556200007908046,1135.5240193998907,6.032197399996221,1135.6239567000885,1135.6239567000885,0.03240419994108379,0.13223290001042187,space,1.312400900060311,1136.9906037999317,1136.9906037999317,6.069988012313843e-05,0.09805810009129345,num_9,0.6825521001592278,1137.7239474300063,0.0022408999502658844,0.09808219992555678,1138.0239609999117,1138.5071971299826,1138.8072551998775,1139.3239463299747,1139.6238519998733,1139.7238892999012,,1147.7405653998721,1147.740557830059,0.017246099887415767,0.11471510003320873,1148.7572709999513,1149.7405600000639,1149.9071915000677,1150.3904605999123,10.014645499875769,1157.8404055000283,0.017334599746391177,1157.8404055000283,0.11466149985790253,2.0,13.031519500073045,1170.9073578999378,0.0019586000125855207,0.09875719994306564,1176.9071478000842,1177.0903949299595,6.215256899828091,6.3151479999069124,1178.1070647998713,1197.090384429996,1197.0903930000495,26.21511789993383,26.315018699970096,1198.107185299974,1200.090355399996,1200.090355399996,0.015107899904251099,0.11516629997640848,1230.106958999997,30.03167869988829,,,,,,,,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1230.223616000032,0.015353299910202622,0.11493539996445179,1236.2402049000375,6.0316208999138325,1236.3235450999346,1236.3235450999346,0.014926299685612321,0.11496799974702299,space,1.8457392998971045,1238.2235880000517,1238.2235880000517,5.510007031261921e-05,0.09804529999382794,num_9,0.2972520999610424,1238.5569784298773,0.0023358999751508236,0.09778740000911057,1238.8568599000573,1239.3402404300637,1239.6571829998866,1240.1403938298813,1240.456881100079,1240.5570211999584,1248.5568861998618,1248.5568861998618,1248.5568515299587,0.0014833000022917986,0.09777979995124042,1249.556799300015,1250.5735048998613,1250.7401900000405,1251.240210100077,10.014296600129455,1258.6566963000223,0.0008052999619394541,1258.6566963000223,0.09762849984690547,2.0,2.064457500120625,1260.7567793999333,0.0030185000505298376,0.0970351998694241,1266.7734576000366,1266.940126729873,6.213673599995673,6.313773500034586,1267.956792099867,1286.9399514300517,1286.9232961998787,26.230522299883887,26.330309099983424,1287.9567201999016,1289.9399943000171,1289.9399943000171,0.01362490002065897,0.11361090000718832,1319.9399629000109,30.01357339997776,,10.097637600032613,,,,,,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1320.0732821000274,0.014150999952107668,0.11373650003224611,1326.0733137999196,6.013483999995515,1326.1732671998907,1326.1732671998907,0.013641299912706017,0.11347139975987375,space,2.011432900093496,1328.223239999963,1328.223239999963,2.2900057956576347e-05,0.09892390016466379,num_9,1.0171433999203146,1329.2732599300566,0.002190799918025732,0.11439440003596246,1329.5730224999133,1330.0565580299358,1330.3565418999642,1330.8564058299876,1331.173191800015,1331.2566742000636,1339.273207299877,1339.273207299877,1339.2732271300397,0.0007163998670876026,0.09743479988537729,1340.2731389000546,1341.2564343998674,1341.4731548000127,1341.9731741000433,10.030954599846154,1349.3896729000844,0.015949499793350697,1349.3896729000844,0.11421609972603619,2.0,6.7324123999569565,1356.1567450999282,0.002709300024434924,0.0977827999740839,1362.1730931000784,1362.339830229967,6.214410600019619,6.314409200102091,1363.3565611999948,1382.3395758298925,1382.3396789999679,26.214323400054127,26.314515500096604,1383.3563770998735,1385.3563834000379,1385.3563834000379,0.00014590006321668625,0.09763079998083413,1415.3729556000326,30.014180300058797,,,,,,,,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1415.4727127000224,0.03106619999743998,0.1309811999090016,1421.4895774999168,6.030828499933705,1421.5729169000406,1421.5729169000406,0.014137899735942483,0.114143299870193,space,6.340256000170484,1427.9728681999259,1427.9728681999259,4.4899992644786835e-05,0.09815420000813901,num_9,0.6115216999314725,1428.6395669299877,0.0021685000974684954,0.09824390010908246,1428.9561975998804,1429.422809730028,1429.722732400056,1430.222738529998,1430.5226511000656,1430.602454900043,1438.6061521000229,1438.639525400009,1438.6394970300375,0.031567800091579556,0.13151840004138649,1439.6560933999717,1440.6395169000607,1440.8228670000099,1441.3227983999532,10.031454400159419,1448.756032000063,0.017038699937984347,1448.756032000063,0.11476420005783439,2.0,3.3319278999697417,1452.1230681999587,0.0015634000301361084,0.09966720012016594,1458.1394217999186,1458.2893752299483,6.199386100051925,6.299233000027016,1459.3060989999212,1478.3060336299009,1478.3060349000152,26.215915800072253,26.31585319992155,1479.322681199992,1481.3226351998746,1481.3226351998746,0.001617700094357133,0.09917700011283159,1511.3392304999288,30.015865300083533,,,,,,,,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1511.439230100019,0.01594349998049438,0.1157080999109894,1541.439143900061,30.01569000002928,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1541.5391388998833,0.017239399952813983,0.11563019989989698,1547.5558285000734,6.032304899999872,1547.6391040999442,1547.6391040999442,0.015658999793231487,0.11559599987231195,space,2.7533746999688447,1550.439111100044,1550.439111100044,2.2399937734007835e-05,0.09904170013032854,num_9,0.561581099871546,1551.0557943300578,0.0018760000821202993,0.09778680000454187,1551.3557440000586,1551.8390983300983,1552.1557603999972,1552.639063929883,1552.955782199977,1553.039206800051,1561.039191100048,1561.039191100048,1561.039072530088,0.014668399933725595,0.11439609993249178,1562.0557150999084,1563.0390558000654,1563.2391141999979,1563.7390314999502,10.014266700018197,1571.1555890999734,0.00120419985614717,1571.1555890999734,0.09747459995560348,3.0,20.69743449985981,1591.8892733000685,0.00420060008764267,0.09752060007303953,1597.8889466999099,1598.0721641299083,6.214093599934131,6.314174500061199,1599.0721944000106,1618.0721330300207,1618.0517605999485,26.21035649999976,26.293753100093454,1619.072067799978,1621.0720627999399,1621.0720627999399,0.013957800110802054,0.11423459998331964,1651.055238199886,30.013807900017127,30.097251099999994,10.09770889999345,,,,,,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1651.1887856998947,0.03086189995519817,0.1306598000228405,1657.188726699911,6.030656700022519,1657.305347400019,1657.305347400019,0.014079899759963155,0.11393299978226423,space,1.358938300050795,1658.7054244000465,1658.7054244000465,4.3899985030293465e-05,0.09836539998650551,num_9,0.6148688001558185,1659.3554157300155,0.0017566001042723656,0.09847409999929368,1659.6553527999204,1660.155421729875,1660.4720737999305,1660.9387353299885,1661.255384299904,1661.3554125998635,1669.3553569999058,1669.3553569999058,1669.355357530038,0.001244500046595931,0.09826790005899966,1670.3552548999432,1671.3555874999147,1671.5553329999093,1672.0553272999823,10.014776700176299,1679.4718955999706,0.0178787000477314,1679.4718955999706,0.11479269992560148,3.0,2.5646561000030488,1682.0723282999825,0.001538099953904748,0.09946619998663664,1688.0887392999139,1688.2554115298904,6.215887499973178,6.315898800035939,1689.271836699918,1708.2551525300137,1708.2551980998833,26.215848499909043,26.332852100022137,,1711.2552201999351,1711.2552201999351,0.015903699910268188,0.11568420007824898,1741.2550627999008,30.015714700100943,,,,,,,,,,666,Gustatory,2024-09-19_16h50.40.160,Gustatory_Condition_v2,2022.2.5,30.022411736747223,
