Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,914.5256178999553,0.014281600015237927,0.11344340001232922,6.01357040007133,920.5255778999999,920.6256014999235,920.6256014999235,0.01365760003682226,0.11368520010728389,space,1.7357025999808684,922.4089513999643,922.4089513999643,3.8899946957826614e-05,0.09823729994241148,num_9,2.4804955000290647,924.9256100500119,0.001899499911814928,0.0980124999769032,,925.7089192499756,926.0088539000135,926.5255558499251,926.8255580000114,926.9090509999078,934.9255315000191,934.9255315000191,934.9255045500234,0.0012412999058142304,0.0979689999949187,935.9254667999921,936.9255454000086,937.0920848000096,937.592206900008,10.014632599893957,945.0421131999465,0.017611199989914894,945.0421131999465,0.11460380000062287,1.0,2.198234000010416,947.2758296999382,0.001355400076135993,0.09924910007975996,953.275505599915,953.4422367499559,6.199133400106803,6.299228399991989,954.4587935999734,973.4586531499284,973.4588844999671,26.21592830005102,26.31569529999979,974.458876599907,976.4588072999613,976.4588072999613,0.015887200133875012,0.11571690009441227,1006.4752511999104,30.03230570012238,,,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006.6086731000105,0.03248990012798458,0.13207150006201118,1036.6084757000208,30.03212470014114,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1036.708436399931,0.03411280014552176,0.13223790016490966,6.032101800199598,1042.7084195999196,1042.7917308999458,1042.7917308999458,0.015501500107347965,0.11551160016097128,space,1.5376005999278277,1044.391765999957,1044.391765999957,3.360002301633358e-05,0.0987938999896869,num_9,2.1610768000828102,1046.5917538500275,0.00205960008315742,0.09767920000012964,1046.9083807999268,1047.3749931499246,1047.674925499945,1048.174962549971,1048.4749941999326,1048.5917465999955,1056.5917045999086,1056.5917045999086,1056.5918644499384,0.0010849001118913293,0.09779750008601695,1057.6084042999428,1058.6084094999824,1058.7750204999465,1059.275217199931,10.030965100042522,1066.7249163999222,0.03258800006005913,1066.7249163999222,0.13085500011220574,5.0,1.399445699993521,1068.1585513999453,0.002655699965544045,0.09741230006329715,1074.174971099943,1074.3416318499135,6.214032700052485,6.314078900031745,1075.3582473999122,1094.3415449499503,1094.3415729999542,26.214055499993265,26.313962499960326,1095.358127299929,1097.3582100999774,1097.3582100999774,-0.00035069999285042286,0.09730090002994984,1127.374740500003,30.013886100030504,,,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1127.474747399916,0.01444580010138452,0.1138521000975743,6.0304375000996515,1133.491339399945,1133.5746756999288,1133.5746756999288,0.01392280007712543,0.11375510005746037,space,2.9624371000099927,1136.5913437999552,1136.5913437999552,6.3000014051795e-05,0.09802639996632934,num_9,1.289273799979128,1137.9247110499186,0.0021774000488221645,0.09804270009044558,1138.241354699945,1138.7079921500176,1139.007913999958,1139.524712250021,,1139.907984499936,1147.9246822999557,1147.9246822999557,1147.924855649972,0.0014546000165864825,0.09798329998739064,1148.9412634000182,1149.9246277000057,1150.108087199973,1150.608091800008,10.014375900034793,1158.0244960999116,0.002004800015129149,1158.0244960999116,0.09796280006412417,1.0,2.230478800018318,1160.2913981999736,0.0024455999955534935,0.0980271000880748,1166.291124899988,1166.4912386499695,6.231274100020528,6.3311604000627995,1167.4911581999622,1186.4744369499736,1186.4744736999273,26.214576300000772,26.314670899999328,1187.4910945999436,1189.4744023999665,1189.4744023999665,0.01446520013269037,0.1145823000697419,1219.4910780999344,30.031180400052108,,10.098045699996874,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1219.6243210999528,0.03206420014612377,0.13101010012906045,6.031038100132719,1225.6242948999861,1225.7242809999734,1225.7242809999734,0.031126900110393763,0.13101340015418828,space,1.9012958999956027,1227.6909662999678,1227.6909662999678,4.770001396536827e-05,0.09795159997884184,num_9,1.7583673999179155,1229.4909700500198,0.00192910002078861,0.09797150001395494,1229.7909258999862,1230.2742782499759,1230.5909454999492,1231.0741338499706,1231.3908928999444,1231.4909320999868,,1239.5076216999441,1239.5075484499453,0.01729190000332892,0.11460259999148548,1240.5074527999386,1241.5075542000122,1241.6908968000207,1242.1909104000079,10.014509000000544,1249.607508599991,0.01751699997112155,1249.607508599991,0.11442280001938343,4.0,2.498005900066346,1252.1408621999435,0.002207599929533899,0.0983586999354884,1258.1573196999962,1258.3240312500043,6.214816499967128,6.314821899984963,1259.3407956999727,1278.3239739499172,1278.324086699984,26.21484829997644,26.31497359997593,1279.3407541000051,1281.3407368999906,1281.3407368999906,0.0006045999471098185,0.09806889994069934,1311.3405988999875,30.03132089995779,,,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1311.4739385999274,0.03204209997784346,0.1312684000004083,6.0145643999567255,1317.473810399999,1317.5572728000116,1317.5572728000116,0.014554699999280274,0.11454810004215688,space,2.6115265999687836,1320.2072141999379,1320.2072141999379,3.799994010478258e-05,0.09807499998714775,num_9,1.049507200019434,1321.307179849979,0.0019466999219730496,0.09828029992058873,1321.6071265999926,1322.0905241499772,1322.4071938999696,1322.8904993499514,1323.1904887999408,1323.273899499909,1331.2904813999776,1331.2904813999776,1331.2904886500096,0.014928299933671951,0.11507109995000064,1332.2904130999232,1333.2737070999574,1333.4736669999547,1333.9904304000083,10.015051999944262,1341.4236485000001,0.01766799995675683,1341.4236485000001,0.11473020003177226,1.0,2.4651378999697044,1343.9239905999275,0.002375400043092668,0.09811640006955713,1349.9404375000158,1350.107050749974,6.2145739999832585,6.314671200001612,,1370.123693149921,1370.123779000016,26.23144050000701,26.331461400026456,1371.1402976999525,,1373.1403321999824,0.01641620008740574,0.1146573000587523,1403.1568195999134,30.03123470011633,,,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1403.2401687999954,0.015140300150960684,0.13113530015107244,6.014481300138868,1409.2401577999117,1409.3401698999805,1409.3401698999805,0.014429900096729398,0.11442640016321093,space,1.756611300050281,1411.1401519000065,1411.1401519000065,5.110003985464573e-05,0.09780200000386685,num_9,1.5570353999501094,1412.7567904499942,0.0021391999907791615,0.09808339993469417,1413.0567400999134,1413.5400149500115,1413.8400997999124,1414.3399918499986,1414.6567656999687,1414.7401083000004,1422.7400955000194,1422.7400955000194,1422.7401151500294,0.014788199914619327,0.11470209993422031,1423.7400270999642,1424.7567089999793,1424.9400883999187,1425.440093299956,10.031419800012372,1432.8733307999792,0.017232100013643503,1432.8733307999792,0.11475980002433062,5.0,2.6484586999285966,1435.5569478999823,0.003598000039346516,0.09787070006132126,1441.556671599974,1441.756665349973,6.231170500046574,6.331332400091924,1442.7566361000063,1461.7565889499733,1461.7565669999458,26.231144900084473,26.3310983000556,1462.7565791999223,,1464.7732447999297,0.01623740012291819,0.11441150004975498,1494.7898575,30.030940900091082,,,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1494.8731026999885,0.014505500090308487,0.1142601000610739,1524.889619299909,30.03078220016323,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1524.989464399987,0.03285440010949969,0.13084570015780628,6.014092100085691,1531.006350099924,1531.0730047000106,1531.0730047000106,0.014404800138436258,0.11410870018880814,space,1.2719127000309527,1532.4062761999667,1532.4062761999667,4.109996370971203e-05,0.09791929996572435,num_9,2.7224685000255704,1535.189604349935,0.002299400046467781,0.09770280006341636,1535.4894934999757,1535.9727940499201,1536.289559399942,1536.772871049971,1537.0895679999376,1537.189583499916,1545.1895264999475,1545.1895264999475,1545.189538150013,0.0010536001063883305,0.09761550009716302,1546.2061176999705,1547.2061791999731,1547.3561102999374,1547.8561827999074,10.014142900006846,1555.2894556999672,0.000835200073197484,1555.2894556999672,0.09767740010283887,4.0,1.3645269999979064,1556.689808199997,0.0030654999427497387,0.09730879997368902,1562.6894567999989,1562.8728071499268,6.214122099918313,6.313912099925801,1563.8896099999547,1582.8725598500228,1582.8727221000008,26.21390039997641,26.3138445999939,1583.8893139999127,1585.8726847999496,1585.8726847999496,0.013963200035504997,0.113812500028871,1615.872528799926,30.01373180001974,,10.097526300000027,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1616.005891299923,0.014264700002968311,0.13035069999750704,6.0136722000315785,1622.0058022999438,1622.0890387999825,1622.0890387999825,0.013482600101269782,0.09694340010173619,space,1.4235764000331983,1623.5560128999641,1623.5560128999641,4.980002995580435e-05,0.09768340003211051,num_9,1.6209284000797197,1625.2225229499513,0.0023161000572144985,0.09794430003967136,1625.5391625999473,1626.0224858499482,1626.339333800017,1626.8057179500233,,1627.2058417999651,1635.2224896999542,1635.2224896999542,1635.222443449928,0.0012184000806882977,0.09786970005370677,1636.238995899912,1637.222473599948,1637.4057506999234,1637.9058004999533,10.014390100026503,1645.3389728999464,0.01798090012744069,1645.3389728999464,0.11447190004400909,5.0,2.364217200083658,1647.739186599967,0.0022296999813988805,0.09872779995203018,1653.7556987999706,1653.9223809499877,6.2153558999998495,6.315404099994339,1654.9389848000137,1673.9186226500083,1673.9019240000052,26.211484499974176,26.29486799996812,1674.9389274999266,1676.9222836999688,1676.9222836999688,0.01540430006571114,0.11523910006508231,1706.9388122999808,30.031819300027564,,,,,,,,,2635,Gustatory,2025-03-07_16h51.51.680,Gustatory_Condition_v2,2022.2.5,29.998509076715386,
