loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,p_port_3.started,textbox.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,p_port_7.started,cross.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
48,0,48,0,,,,,,,,,,,,,,,,719.8520186003298,0.0005060997791588306,0.13074199995025992,6.013852700125426,725.8686767001636,725.9853948000818,0.02937089977785945,0.16382079990580678,6.030405200086534,732.0184755004011,732.0849765003659,0.033099399879574776,0.16366299986839294,2.0,1.8650062000378966,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
49,0,49,0,,,,,,,,,,,,,,,,733.9854790000245,0.000516899861395359,0.1306660999543965,6.014193199574947,740.0019625001587,740.1183193000033,0.0321102999150753,0.16414889972656965,6.03048549965024,746.1517517999746,746.2182419002056,0.03318379959091544,0.16400309978052974,0.0,1.498241199646145,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
50,0,50,0,,,,,,,,,,,,,,,,747.7517427001148,0.000645000021904707,0.13032009964808822,6.013638099655509,753.7683691000566,753.9017283003777,0.03816849971190095,0.18032999988645315,6.013584399595857,759.9351688004099,759.9685379001312,0.016111899632960558,0.14708229945972562,2.0,1.1650471999309957,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
51,0,51,0,,,,,,,,,,,,,,,,761.1685757003725,0.0004803999327123165,0.13059790013357997,6.0305344997905195,767.2015984002501,767.3182486002333,0.04705099994316697,0.1808043997734785,6.013826999813318,773.3517133002169,773.3847728003748,0.016734799835830927,0.1471438999287784,0.0,1.6648030001670122,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
52,0,52,0,,,,,,,,,,,,,,,,775.0851480001584,0.0005293996073305607,0.1306987996213138,6.0144727998413146,781.1015993002802,781.2182679004036,0.028689199592918158,0.1638234998099506,6.030527599621564,787.2347090002149,787.3014438003302,0.01564669981598854,0.14718479942530394,0.0,1.165676100179553,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
53,0,53,0,,,,,,,,,,,,,,,,788.5017400002107,0.0006519998423755169,0.13051269995048642,6.0301696001552045,794.5348486001603,794.6514758002013,0.045036399737000465,0.180275599937886,6.01362879993394,800.6682342002168,800.7181258001365,0.01516649965196848,0.14674009988084435,1.0,2.1992910001426935,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
54,0,54,0,,,,,,,,,,,,,,,,802.9517164002173,0.00033530034124851227,0.13143210019916296,6.014875800348818,808.9682813002728,809.0846804003231,0.02883179998025298,0.16479030018672347,6.031356600113213,815.1181140001863,815.1846255003475,0.034103000070899725,0.1645924998447299,0.0,1.3647688999772072,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
55,0,55,0,,,,,,,,,,,,,,,,816.5849855002016,0.0002206997014582157,0.13237820006906986,5.999069000128657,822.6180215002969,822.7180091002956,0.04267429979518056,0.16570620005950332,5.999022599775344,828.7513769003563,828.8179075000808,0.03455269988626242,0.16561669996008277,0.0,1.598606999963522,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
56,0,56,0,,,,,,,,,,,,,,,,830.451677300036,0.0005346997641026974,0.13067629979923368,6.030737599823624,836.4846562002786,836.6012879000045,0.04674190003424883,0.18090689973905683,6.013995599932969,842.6346065001562,842.6678452002816,0.016573899891227484,0.14732029987499118,0.0,0.9650179999880493,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
57,0,57,0,,,,,,,,,,,,,,,,843.6680415002629,0.00047610001638531685,0.11386650009080768,6.030480199959129,849.7012062002905,849.8011616002768,0.02715629991143942,0.16378609975799918,6.030279899947345,855.8345751999877,855.9013299001381,0.0330209000967443,0.16373249981552362,0.0,2.1650430001318455,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
