Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_2.started,taste_sound_3.started,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,spit_sound.stopped,Finish_rinse.stopped,taste_sound_1.stopped,p_port_18.stopped,taste_sound_2.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,taste_sound_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,912.4918054000009,0.01558659999864176,0.11534609999944223,6.011739399998987,918.5085378000003,918.5917805000008,918.5917805000008,0.015405399997689528,0.11528479999833507,space,1.6454194999987521,920.2750147000006,920.2750147000006,1.5499999790336005e-05,0.11594329999934416,num_9,2.5389684999991005,922.8415653200012,0.0006898999999975786,0.12901620000047842,923.6249028200003,924.4249184200002,924.8248944000006,932.8379912,932.8379912,932.8379430200006,0.012432999999873573,0.11589210000056482,934.8379229000002,935.0249470000017,935.5248249000015,9.99923630000012,942.9377974000017,0.01226180000048771,942.9377974000017,0.1326664999996865,2.0,3.1368894999995973,946.1248310999999,0.0015143999989959411,0.11550910000005388,952.1247163000007,952.3080609200009,6.2154922999998234,6.328604899999846,,972.3079860200017,972.3080042000001,26.215437899998506,26.31537339999886,975.3246325,975.3246325,-0.000504300001921365,0.12834979999934149,1005.3243987000005,30.015109199997823,,,,10.095607299999756,923.9416551000013,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005.4207841000007,0.011610799998379662,0.11157299999831594,1035.4242137,30.01502419999815,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1035.540895600001,0.015785699997650227,0.13170649999847228,6.0149013999980525,1041.5408319000016,1041.6241680000003,1041.6241680000003,0.014958699997805525,0.1279659999981959,space,1.9974964999983058,1043.6742085000005,1043.6742085000005,1.5199999324977398e-05,0.1159231000001455,num_9,2.4750745999990613,1046.1742008200004,0.0006311999986792216,0.0954236999987188,1046.957558820001,1047.7741193200004,1048.1742219000007,,1056.1872679000007,1056.1871064200009,0.012667299999520765,0.1156684999987192,1058.1871340000016,1058.3741363000008,1058.8740777000003,10.0156238999989,1066.2871744000004,0.012785099999746308,1066.2871744000004,0.11193179999827407,5.0,3.153925300000992,1069.4907002,0.0010862999988603406,0.11566759999914211,1075.5036671000016,1075.6574573200019,6.199016099999426,6.2989560999994865,1076.6740773000001,1095.6738393200017,1095.6701933000004,26.211910399999397,26.31199259999994,1098.6905389000003,1098.6905389000003,-0.00043820000064442866,0.11549229999945965,1128.6903793000001,30.015399899999466,1057.2038427000007,1096.6905045000003,1046.4908871000007,,1047.2741652000004,,,,,,1048.0908321000006,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1128.7866966000001,0.011904599998160847,0.11166939999930037,6.015263999997842,1134.7902575000007,1134.8865881000002,1134.8865881000002,0.015547899998637149,0.11165869999786082,space,1.8785960999975941,1136.8070887000013,1136.8070887000013,1.8799999452312477e-05,0.128858100000798,num_9,2.2940697999983968,1139.1199335200004,0.0006446000006690156,0.09921349999967788,1139.9068708200016,1140.7069075200002,1141.1068621000013,1149.1198710000008,1149.1198710000008,1149.1198551200018,4.70000013592653e-05,0.1027763000001869,1151.1198507000008,1151.3067937000014,1151.8068539000014,9.99910650000129,1159.2401479,0.003633500000432832,1159.2401479,0.13622299999951792,4.0,3.4669193999998242,1162.7401544000004,0.0011032000002160203,0.11581050000131654,1168.753102300001,1168.9066693200007,6.1990885000013805,6.299102900000435,1169.9233721,1188.9066438200011,1188.9065641000016,26.215675100000226,26.315647200000967,1191.9195827000003,1191.9195827000003,0.01203679999889573,0.11205560000053083,1221.9194560000014,30.01189720000002,,1189.9232417000003,,,1140.2235520000013,,,,,,1141.0235948000009,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1222.0360692000013,0.012062799998602713,0.11547719999907713,6.015399599999,1228.0397341000007,1228.1360296000003,1228.1360296000003,0.011981099998592981,0.11192549999941548,space,1.7732616999983293,1229.9360494000011,1229.9360494000011,1.3800001397612505e-05,0.09936360000028799,num_9,1.293538299998545,1231.252658420001,0.0009671999996498926,0.0992340000011609,1232.0396743200004,1232.8360362200006,1233.2360341000003,1241.2563040000005,1241.2563040000005,1241.2395529200007,0.019538100001227576,0.132495600000766,1243.2561856000011,1243.4359845000017,1243.9360103000017,9.99912519999998,1251.3561566000008,6.949999988137279e-05,1251.3561566000008,0.11939600000005157,2.0,4.020421600000191,1255.4228827000006,0.001179700000648154,0.11582850000013423,1261.4227810000011,1261.6024528200019,6.212115599999379,6.315744800000175,,1281.5894070200015,1281.5892821000016,26.215632899999036,26.315577999999732,1284.5893220000016,1284.6023392000006,-0.0009951000010914868,0.09537039999850094,1314.6187042000001,30.015591599998515,,,,10.09911160000047,,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1314.7188810000007,0.012114899998778128,0.11538459999792394,6.015359599998192,1320.722375700001,1320.8224628000007,1320.8224628000007,0.01543879999917408,0.13203639999846928,space,1.2471510999985185,1322.1020916000016,1322.1020916000016,1.449999945180025e-05,0.1030371999986528,num_9,1.8317349999979342,1323.9557175200011,0.0007614999994984828,0.11582780000026105,1324.7390678200013,1325.5521008200017,1325.9521203000004,1333.9723900000008,1333.9723900000008,1333.9556288200006,0.0002736999995249789,0.11582230000021809,1335.9723462000002,1336.1520648000005,1336.6520057000016,10.012064999998984,1344.0889623000003,0.01660489999812853,1344.0889623000003,0.14915989999826706,5.0,2.9667653999986214,1347.0888984000012,0.0011926000006496906,0.11555860000044049,1353.0888919000008,1353.2685497200005,6.211841199999981,6.311903199999506,,1373.2720595200012,1373.2719918000003,26.215345099999467,26.31535310000072,,1376.2887026000008,0.012377099999866914,0.11535469999944326,1406.2885497000007,30.015328999999838,1334.9722710000005,,,,,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1406.3884676000016,0.015456099999937578,0.11515619999954652,6.015161799999987,1412.388452000001,1412.4884409000006,1412.4884409000006,0.015120799998840084,0.11513359999844397,space,1.7493699999995442,1414.2718364000011,1414.2718364000011,1.8000000636675395e-05,0.10286070000074687,num_9,2.0214954000002763,1416.3181174200004,0.0009329000004072441,0.10276359999988927,1417.1051522200019,1417.9050835200019,1418.3050826000017,1426.321743300001,1426.321743300001,1426.3050017200007,0.019449100000201724,0.11934549999932642,1428.3180381000002,1428.5049949000004,1429.0050219000004,10.00260359999993,1436.4347632000008,0.0033512999998492887,1436.4347632000008,0.11571720000029018,6.0,2.5838664999992034,1439.0550265000002,0.001137699999162578,0.1157151999996131,1445.067944800001,1445.2215984200016,6.199080000000322,6.299127500000395,,1465.2381358200005,1465.2381462000012,26.21564269999908,26.315609799999947,1468.2549280000003,1468.2549280000003,-0.0003643000000010943,0.11560399999871152,1498.2545452000013,30.015408799999932,1427.3217873000012,1466.2548653000013,,,1417.4217796000012,,,,,,1418.2217587000014,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1498.3545439000009,0.015524299999015057,0.12845739999829675,1528.3506678000012,30.01515769999969,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1528.4507366000016,0.012262399997780449,0.115165999997771,6.0115267999990465,1534.4507841000013,1534.5543476000003,1534.5543476000003,0.015226999998048996,0.11519619999853603,space,1.746834099998523,1536.354446200001,1536.354446200001,2.519999907235615e-05,0.11575379999885627,num_9,2.282983899998726,1538.6543062200003,0.0006290000001172302,0.1156914000002871,1539.4507119200011,1540.2376529200014,1540.6376552000002,1548.6505862000013,1548.6505862000013,1548.650577320001,0.012015799999062438,0.11562899999989895,1550.6542234000008,1550.8506085000008,1551.3542180000004,10.011947699998927,1558.7875835000013,0.016429499999503605,1558.7875835000013,0.14905669999825477,2.0,3.700434899999891,1562.5208711000014,0.0015844999998080311,0.11554729999988922,1568.5207904000017,1568.700570720001,6.211938000000373,6.311848999999711,,1588.7040668200011,1588.7039582000016,26.215359800000442,26.328411399999823,1591.7206669000007,1591.7206669000007,-0.0005627999998978339,0.11532590000024356,1621.7204544000015,30.015149999999267,,1589.7206879000005,,,,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1621.8167990000002,0.011849999998958083,0.11148270000012417,6.015205399999104,1627.8204010000009,1627.9167638000017,1627.9167638000017,0.011720399999830988,0.11151679999966291,space,2.16824429999906,1630.1205532000004,1630.1205532000004,2.0500001483014785e-05,0.10259700000096927,num_9,1.9425136999980168,1632.0834352200004,0.0007161000012274599,0.1028483000009146,1632.8668126200014,1633.6703721200015,1634.0703685000008,1642.0870278000002,1642.0870278000002,1642.0703046200001,0.019546300000001793,0.11943190000056347,1644.0999961000016,1644.2703809000013,1644.7702735000003,9.999169300001086,1652.1832805000013,0.00039370000013150275,1652.1832805000013,0.10278090000065276,4.0,2.903457600001275,1655.1369082,0.0013236999984655995,0.11573689999931958,1661.1368077000006,1661.3165681200012,6.212104799998997,6.312075499999992,1662.3369611000016,1681.3164854200008,1681.3164603000005,26.212022599998818,26.31556730000011,1684.336850400001,1684.336850400001,-2.860000131477136e-05,0.11557999999786261,1714.3531426000009,30.032161899998755,,1682.3367509,1632.4036768000005,10.099116200000935,,,,,,,,1902,Gustatory,2024-07-18_12h29.57.378,Gustatory_Condition_v2,2022.2.5,59.99487643760745,
