Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,taste_sound_2.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_18.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,950.0641671996564,0.014271700754761696,0.11362110078334808,956.0473918002099,6.013403000310063,956.1641841996461,956.1641841996461,0.013781901448965073,0.11359080113470554,space,2.839205998927355,959.0474855005741,959.0474855005741,7.770024240016937e-05,0.09755329973995686,num_9,4.043250599876046,963.1475018201396,0.0022889990359544754,0.09805069863796234,963.4475992005318,963.9474620198831,964.730790620111,965.0474667996168,965.1474651005119,973.1477276012301,973.1477276012301,973.1475181201473,0.0016674995422363281,0.09803069941699505,974.1639943011105,975.1640988010913,975.3310006000102,975.8307622000575,10.014474298804998,983.2474320009351,0.0003963988274335861,983.2474320009351,0.0979629997164011,5.0,1.6654332000762224,984.9477456007153,0.0016505010426044464,0.09920160099864006,990.964194200933,991.1306822201237,6.215775800868869,6.315791601315141,992.1473478004336,1011.1141176199541,1011.1139558013529,26.199109500274062,26.2990407012403,1012.1138423010707,1014.1139094997197,1014.1472420003265,-0.0008464977145195007,0.09904320165514946,1044.147111600265,29.999040100723505,,964.2640441004187,30.098872002214193,,,,,,10.097764300182462,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044.247165100649,1.940131187438965e-05,0.09895700216293335,1074.2469833008945,30.03212860226631,,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1074.3803582005203,0.03417820297181606,0.13217570260167122,1080.3803749997169,6.0322467014193535,1080.4636730011553,1080.4636730011553,0.01553320325911045,0.11522830277681351,space,1.8598899990320206,1082.3802941013128,1082.3802941013128,4.209950566291809e-05,0.09779500029981136,num_9,3.6951369009912014,1086.1134667204692,0.0010028015822172165,0.09904010035097599,1086.413553699851,1086.8969571212306,1087.6969795202835,1087.9969263002276,1088.096947900951,1096.0972076002508,1096.0972076002508,1096.0970705201848,0.0161903016269207,0.11583570018410683,1097.0969337001443,1098.096910500899,1098.2969212010503,1098.797120001167,10.015850501134992,1106.2302126009017,0.0183321014046669,1106.2302126009017,0.11573540046811104,5.0,3.198515998199582,1109.4639400001615,0.0024434998631477356,0.09798559918999672,1115.4636081010103,1115.6635112198069,6.231059400364757,6.3310514986515045,1116.6633737999946,1135.6466026207431,1135.6467505004257,26.214350398629904,26.314496399834752,1136.6466582007706,1138.64675970003,1138.64675970003,0.014416400343179703,0.11432169936597347,1168.646585000679,30.014186900109053,,1087.196875700727,,,,,,,,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1168.7799204010516,0.015140000730752945,0.11444510146975517,1174.796609699726,6.030887100845575,1174.8966758009046,1174.8966758009046,0.031008200719952583,0.13079040125012398,space,1.3387546986341476,1176.2966187000275,1176.2966187000275,4.5301392674446106e-05,0.09793890081346035,num_9,4.426631700247526,1180.7799210207536,0.0022051986306905746,0.09808459877967834,1181.0965749006718,1181.5799168212338,1182.379889919795,1182.6965629998595,1182.7631903998554,1190.76319110021,1190.76319110021,1190.7632248209788,0.014786498621106148,0.11470519937574863,1191.7630602996796,1192.7798431999981,1192.9798396006227,1193.479842601344,10.01446590013802,1200.8796394001693,0.00020959973335266113,1200.8796394001693,0.09788229875266552,4.0,3.4319698996841908,1204.346826300025,0.0027288999408483505,0.09787849895656109,1210.3630750011653,1210.546459219791,6.231040298938751,6.34774199873209,1211.546393699944,1230.529830419831,1230.529705900699,26.21434209868312,26.314233798533678,1231.529420800507,1233.5463803000748,1233.5463803000748,0.0001433994621038437,0.09781680069863796,1263.5461870003492,30.030856100842357,,1181.8965095002204,,,,,,,10.097826099023223,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1263.6797803007066,0.0317596010863781,0.13084799982607365,1269.6795514002442,6.03090950101614,1269.7795142997056,1269.7795142997056,0.031018100678920746,0.13083850033581257,space,1.2000201996415854,1271.0294987000525,1271.0294987000525,4.039891064167023e-05,0.09798499941825867,num_9,3.6458540000021458,1274.7129485210403,0.002586299553513527,0.09769279882311821,1275.0127458013594,1275.5128333209082,1276.2961781205609,1276.5960419997573,1276.6962777003646,1284.7127906996757,1284.7127906996757,1284.712825619988,0.0011237002909183502,0.0976256001740694,,1286.7128295004368,1286.912781899795,1287.4294643010944,10.01410030014813,1294.8126940000802,0.0012043006718158722,1294.8126940000802,0.0978264007717371,5.0,3.797213399782777,1298.6463866010308,0.0024381987750530243,0.09813079982995987,1304.646076099947,1304.8293962212279,6.214810699224472,6.314775299280882,1305.8463056012988,1324.8292624199762,1324.8292600996792,26.214735498651862,26.314616000279784,1325.846030600369,1327.8458884004503,1327.8458884004503,0.00047820061445236206,0.09804669953882694,1357.8455698005855,30.01439020037651,,1275.8294703997672,30.097846299409866,,,,,,10.097612299025059,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1357.9460169002414,-0.0008549001067876816,0.09788119979202747,1363.9457302000374,6.0312371999025345,1364.0792148001492,1364.0792148001492,0.0313493013381958,0.1312762014567852,space,2.6676432006061077,1366.8124179001898,1366.8124179001898,4.200078547000885e-05,0.09810730069875717,num_9,3.5748778004199266,1370.4291838197037,0.001967400312423706,0.09820199944078922,1370.745807301253,1371.2123387208208,1372.0289875207468,1372.3456370010972,1372.3955664001405,1380.395681200549,1380.429066900164,1380.4290251204743,0.03150090016424656,0.13157309964299202,1381.4456104002893,1382.42901340127,1382.6290670000017,1383.1289904005826,10.01470860093832,1390.5455322004855,0.017159201204776764,1390.5455322004855,0.1146210003644228,3.0,2.6317742001265287,1393.2125477008522,0.0015401002019643784,0.09937319904565811,1399.2289953008294,1399.3956108199432,6.215913899242878,6.315972300246358,,1419.3789719207211,1419.3788630012423,26.19930090010166,26.299173299223185,1420.3955125007778,1422.395557301119,1422.395557301119,0.015903400257229805,0.11611109972000122,1452.4120052997023,29.999082600697875,,1371.5289644002914,30.09909830056131,,,,,,,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1452.5120465010405,0.0005034003406763077,0.09906920045614243,1458.5286536011845,6.015647800639272,1458.6286570001394,1458.6286570001394,0.015902699902653694,0.11576100066304207,space,2.021943399682641,1460.7120555005968,1460.7120555005968,5.3199008107185364e-05,0.09780639968812466,num_9,4.64257650077343,1465.395363320969,0.0023453999310731888,0.09791970066726208,1465.6952189002186,1466.1785456197335,1466.9786676200106,1467.278517300263,1467.3788783997297,1475.3785720001906,1475.3785720001906,1475.3784601198508,0.01462789997458458,0.11471600085496902,1476.3787348009646,1477.3620418999344,1477.578572999686,1478.078571099788,10.014461601153016,1485.511833500117,0.016297701746225357,1485.511833500117,0.11430980078876019,5.0,2.9325122013688087,1488.4788323007524,0.002200700342655182,0.09827720001339912,1494.4785485006869,1494.661723020859,6.214841799810529,6.315046900883317,1495.6616727001965,1514.6784577196463,1514.6784354001284,26.231522500514984,26.33158910088241,1515.6784803010523,,1517.695055499673,0.016512900590896606,0.11492060124874115,1547.7116026002914,30.031418401747942,,1466.495281400159,,,,,,,,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1547.7949059996754,0.014900201931595802,0.11462830193340778,1577.778197299689,30.01456700079143,,30.097846200689673,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1577.8781218007207,0.0004895012825727463,0.09788940101861954,1583.8946999013424,6.014489401131868,1583.9949363004416,1583.9949363004416,0.014708802103996277,0.11447640135884285,space,7.9759553000330925,1592.0116106998175,1592.0116106998175,5.050003528594971e-05,0.0978872012346983,num_9,2.5113484002649784,1594.5780982201918,0.0025340989232063293,0.09762760065495968,1594.8780096005648,1595.3612478202208,1596.1780471200123,1596.4946848005056,1596.5613823011518,1604.5782334003597,1604.5782334003597,1604.5780180202796,0.0013030003756284714,0.09761069901287556,1605.577961601317,1606.5779927000403,1606.7780121006072,1607.2778402008116,10.014186199754477,1614.694563999772,0.017149100080132484,1614.694563999772,0.11419199965894222,5.0,2.064691500738263,1616.7949120998383,0.0025618989020586014,0.09795969910919666,1622.7777226995677,1622.994587821327,6.231180598959327,6.331230400130153,,1642.9944574212655,1642.9776406995952,26.21424620039761,26.297789299860597,1643.9943284001201,1645.994450500235,1645.994450500235,-0.000824199989438057,0.09778810106217861,1675.9941974002868,30.01423710025847,,1595.6780283004045,30.09753050096333,,,,,,,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1676.0943251997232,0.031009001657366753,0.1309289000928402,1682.1109669003636,6.014241201803088,1682.210990499705,1682.210990499705,0.014375802129507065,0.1142302006483078,space,2.7915893997997046,1685.0442926008254,1685.0442926008254,3.380142152309418e-05,0.09821760095655918,num_9,4.303057899698615,1689.3943314211442,0.0022045988589525223,0.09760669991374016,1689.6942702997476,1690.1775002213194,1690.9942325199022,1691.2942124996334,1691.3775995001197,1699.3775542005897,1699.3775542005897,1699.377718921192,0.01428220048546791,0.11421320028603077,1700.377502501011,1701.3942288011312,1701.5942299012095,1702.07744500041,10.014126298949122,1709.510813999921,0.016939399763941765,1709.510813999921,0.11395869962871075,5.0,2.1317452993243933,1711.6777890007943,0.0015383008867502213,0.09943369962275028,1717.6941202003509,1717.860797520168,6.215786499902606,6.315842000767589,1718.8774888012558,1737.8607026202603,1737.8607030007988,26.215725800022483,26.31579180061817,1738.877520000562,1740.8774718996137,1740.8774718996137,0.0015756003558635712,0.09930840134620667,1770.8772465009242,29.999002100899816,,1690.4777416996658,30.098981700837612,,,,,,,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
