loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.90962890000083,242.90962890000083,0.006441599922254682,0.09845019993372262,2.0,1.7598095000721514,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.70997780002654,244.70997780002654,0.0017672998365014791,0.09760759980417788,6.0,11.19680260005407,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,255.94321669987403,0.0001534000039100647,0.0992282999213785,261.9262457001023,5.999194300035015,262.0930973000359,262.0930973000359,0.04124039993621409,0.1491497999522835,6.015755899948999,268.22643720009364,268.22643720009364,268.22643720009364,0.07538079982623458,0.1827051998116076,273.9263808000833,274.1262896999251,6.015736899804324,6.115789499832317,280.1263524000533,12.015810999786481,280.2597292000428,280.2597292000428,0.0159490997903049,0.1157215996645391,down,0.6540787999983877,280.959714199882,3.869994543492794e-05,0.09795079985633492,,286.9761628000997,286.9761628000997,0.0259249999653548,0.11462519993074238,7.0,2.956432599807158,,,,,,,280.22634480008855,280.22634480008855,,6.082677399972454,268.09303170000203,268.09303170000203,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.9763448999729,289.9763448999729,0.008607700001448393,0.09807220008224249,2.0,1.6237748998682946,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.6431493998971,291.6431493998971,0.006679699989035726,0.09927120013162494,5.0,3.426933499984443,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.10961259994656,295.10961259994656,0.007436300162225962,0.09764120006002486,6.0,1.2912909998558462,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.4598926000763,296.4598926000763,0.007704500108957291,0.11426310008391738,2.0,1.7741557999979705,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.25980639993213,298.25980639993213,0.007449700031429529,0.09769910015165806,3.0,1.824734500143677,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.12626759987324,300.12626759987324,0.007209499832242727,0.09780729981139302,4.0,2.324970099842176,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.49304919992574,302.49304919992574,0.0014183002058416605,0.0977392999920994,3.0,7.930780500173569,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,310.45990350004286,0.00013079983182251453,0.09927550004795194,316.45962459989823,5.999266400001943,316.7094753999263,316.7094753999263,0.14220009976997972,0.2493399998638779,6.01596639980562,322.7260314999148,322.7260314999148,322.7260314999148,0.07011619978584349,0.1660554998088628,328.4261880000122,328.6262368001044,5.999303799821064,6.099388099741191,334.6262332999613,11.999318399699405,334.7595651000738,334.7595651000738,0.000548199750483036,0.09925919957458973,down,2.6905757000204176,337.49291360005736,3.979983739554882e-05,0.09791449992917478,,343.5262786000967,343.5262786000967,0.027602299815043807,0.13125109998509288,2.0,2.337938900105655,,,,,,,334.7264845999889,334.7264845999889,12.099577299784869,6.099322499940172,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.8927112999372,345.8927112999372,0.006240100134164095,0.09919210011139512,3.0,3.260628999909386,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
