loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,p_port_6.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.23379017964471,0.0010952999582514167,0.11198569997213781,17.813622170081363,18.113765400019474,18.414146469975822,18.713892100029625,19.01366837003734,19.347032300080173,0.014492499991320074,0.1119173999177292,34.36370420001913,15.02847959997598,34.44706849998329,0.011882200022228062,0.11191710003186017,34.91383840003982,space,0.9959328999975696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.7469957000576,183.7469957000576,0.007057799957692623,0.09859199996571988,2.0,1.5926072000293061,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.37997020001058,185.37997020001058,0.00684940000064671,0.09736650006379932,1.0,1.3913900000043213,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.83024690009188,186.83024690009188,0.00877120008226484,0.11398070002906024,7.0,1.60644079989288,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.47999540006276,188.47999540006276,0.00919319991953671,0.11396899993997067,6.0,1.4725793999386951,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.98003960005008,189.98003960005008,0.0007051000138744712,0.09924440004397184,7.0,4.999347500037402,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,195.01344640005846,0.000372599926777184,0.09730749996379018,201.0300164000364,6.013949499931186,,201.22999910009094,201.22999910009094,0.10799169994425029,0.21411119995173067,6.013948899926618,207.29656370007433,207.29656370007433,207.29656370007433,0.06774009997025132,0.18091580003965646,212.9967776000267,213.19679670000914,6.014116200036369,6.113940499955788,219.19665420008823,12.014020300004631,219.33008420001715,219.33008420001715,0.014169699978083372,0.1138936000643298,up,0.5948394999140874,219.980072400067,2.1799933165311813e-05,0.09920009993948042,225.9967913000146,225.9967913000146,0.010119799990206957,0.11584009998477995,1.0,1.5734294999856502,,,,,,,,,219.2966789000202,219.2966789000202,225.9967913000146,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.5967285000952,227.5967285000952,0.008649799972772598,0.09732749999966472,7.0,1.5234226000029594,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.16337850003038,229.16337850003038,0.006553999963216484,0.09914050006773323,2.0,1.3270182000705972,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.52994740009308,230.52994740009308,0.007397799985483289,0.09794010000769049,6.0,1.5248635000316426,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0965285000857,232.0965285000857,0.007202900014817715,0.09827379998750985,2.0,1.89204529998824,,,,,,,,,,,,,,2993,Moral,2024-07-25_11h35.38.430,MoralCondition_v2,2022.2.5,29.97335967744891,
