loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
12,0,12,0,,,,,,,,,,,,,,,,,276.1208351999521,0.00043950043618679047,0.09764249995350838,282.12060660123825,6.03099500015378,282.2540671005845,0.026759400963783264,0.13096070103347301,288.2539266999811,6.030927101150155,288.35381910018623,0.034017400816082954,0.13078170083463192,0.0,1.9646792989224195,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
13,0,13,0,,,,,,,,,,,,,,,,,290.3541928008199,0.0007086005061864853,0.09703619964420795,296.35382460057735,6.030343798920512,296.504197999835,0.04478579945862293,0.14738089963793755,302.50384910032153,6.013710800558329,302.570453800261,0.016594700515270233,0.1136183999478817,3.0,10.631280798465014,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
14,0,14,0,,,,,,,,,,,,,,,,,313.23749000020325,0.0004743989557027817,0.09769169986248016,319.25390559993684,6.014335598796606,319.3707832004875,0.027895599603652954,0.13103829883038998,325.3704759012908,6.03129549883306,325.45377330109477,0.016660600900650024,0.1141842994838953,4.0,5.431968100368977,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
15,0,15,0,,,,,,,,,,,,,,,,,330.92074480094016,0.0007128007709980011,0.0971818994730711,336.9370604008436,6.013898499310017,337.05370810069144,0.026799701154232025,0.13046159967780113,343.0538236014545,6.030460501089692,343.1535621006042,0.03331040032207966,0.13028280064463615,4.0,5.031419798731804,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
16,0,16,0,,,,,,,,,,,,,,,,,348.22075680084527,0.0006408989429473877,0.09706109948456287,354.2369653005153,6.0137013997882605,354.3537533003837,0.025297699496150017,0.13043119944632053,360.3536288999021,6.030353799462318,360.45352790132165,0.033091600984334946,0.13047279976308346,3.0,9.431509299203753,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
17,0,17,0,,,,,,,,,,,,,,,,,369.9205825999379,0.00025910139083862305,0.09918319992721081,375.9202083013952,5.999094899743795,376.0205784011632,0.010178901255130768,0.09907570108771324,382.0202071014792,5.999276701360941,382.12006460130215,0.0009886007755994797,0.09900510124862194,0.0,1.4991560000926256,6.098847400397062,6.098983900621533,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
18,0,18,0,,,,,,,,,,,,,,,,,383.65391210094094,0.00022619962692260742,0.09923280030488968,389.67018430121243,6.015760799869895,389.7868193015456,0.028366800397634506,0.1323847994208336,395.78674760088325,5.999006099998951,395.8533711005002,0.0018741004168987274,0.09912780113518238,1.0,7.0980243999511,6.09900370053947,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
19,0,19,0,,,,,,,,,,,,,,,,,402.9870577007532,0.000506499782204628,0.09777399897575378,408.9867818001658,6.0306348986923695,409.1199446003884,0.04187610000371933,0.13078419864177704,415.12035830132663,6.030694600194693,415.2200851999223,0.03307629935443401,0.13048769906163216,0.0,2.2651301994919777,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
20,0,20,0,,,,,,,,,,,,,,,,,417.5203180015087,0.00023540109395980835,0.09913340024650097,423.5200597010553,6.032376499846578,423.67014729976654,0.047080300748348236,0.14895329996943474,429.66999810002744,6.015669900923967,429.73663970083,0.018563300371170044,0.11547900177538395,3.0,6.965719100087881,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
21,0,21,0,,,,,,,,,,,,,,,,,436.73714780062437,0.0004252009093761444,0.09757050126791,442.75329120084643,6.014085100963712,442.8700131010264,0.026977000758051872,0.13076880015432835,448.86995720118284,6.030743500217795,448.96982690133154,0.03441840037703514,0.1307029016315937,0.0,1.5303432997316122,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
