Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Roll_liquid_taste.stopped,Begin_Rinse.stopped,p_port_5.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,922.5656695000362,0.00046240014489740133,0.0991130000911653,928.5656376000261,6.032363600097597,928.6824530999875,928.6824530999875,0.015801300178281963,0.1156251000938937,space,3.8484243999700993,932.5822602000553,932.5822602000553,7.059995550662279e-05,0.09821540000848472,num_9,2.172440299997106,934.7989140799618,0.0023385999957099557,0.09786770003847778,935.0989060000284,935.5822100800578,935.8822372000432,936.3820369799505,936.6988997999579,936.782272099983,944.7990449999925,944.7988197800587,0.0013536999467760324,0.09784840000793338,,946.798907999997,946.9989240999566,947.5155596999684,10.0144980000332,10.097785399993882,954.8987890999997,0.0015853999648243189,954.8987890999997,0.09770210005808622,3.0,2.6636182999936864,957.599140199949,0.0029130999464541674,0.09815659990999848,963.5988164000446,963.7987734800554,6.2316212999867275,6.331426999997348,983.782078480057,983.7821700000204,26.214862899971195,26.314730599988252,984.7821363999974,986.7821585000493,986.7821585000493,0.014871399966068566,0.1146918999729678,1016.7986062000273,30.031274399952963,944.7990449999925,964.7987310000462,,,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.9319647999946,0.03156260005198419,0.13122960005421191,1046.9485344999703,30.014444299973547,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1047.015226699994,0.016317900037392974,0.11452310008462518,1053.0149789999705,6.031114000012167,1053.1151154000545,1053.1151154000545,0.014566100086085498,0.1145522000733763,space,4.056210099952295,1057.2151288000168,1057.2151288000168,3.779993858188391e-05,0.09785569994710386,num_9,1.4753209999762475,1058.7315685799695,0.0011020000092685223,0.09914199996273965,1059.0316846000496,1059.5318048799527,1059.831753400038,1060.31490577996,1060.6319061999675,1060.7319209000561,1068.7318688000087,1068.7318283799686,0.0010745999170467257,0.09895779995713383,,1070.7484103000024,1070.91507550003,1071.4150633000536,9.99901609995868,10.098902400000952,1078.8316352999536,0.0024314000038430095,1078.8316352999536,0.09892709995619953,5.0,3.6307655998971313,1082.4983814000152,0.003182999906130135,0.09707229991909117,1088.4815237000585,1088.681611380016,6.2137293999549,6.313757599913515,1108.6818127800361,1108.6816890999908,26.21380309993401,26.31360529991798,1109.6814927000087,1111.6982438999694,1111.6982438999694,-0.0007001999765634537,0.0969064999371767,1141.7148044999922,30.013490800047293,1068.7318688000087,,,,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1141.831457399996,0.03100840002298355,0.13011020002886653,1147.8314387999708,6.030148399993777,1147.931412099977,1147.931412099977,0.03021770005580038,0.1301026000874117,space,5.8239603999536484,1153.798343500006,1153.798343500006,3.600004129111767e-05,0.09819169994443655,num_9,2.084373899968341,1155.9313437799574,0.0021080999867990613,0.09808509994763881,1156.2313571999548,1156.7145687799784,1157.031246199971,1157.5315135799465,1157.8313306999626,1157.9147319999756,1165.9146936000325,1165.9147183800233,0.014757800032384694,0.11475189996417612,1166.9314157000044,1167.9147137999535,1168.0979005000554,1168.598036600044,10.014592099934816,,1176.0478997000027,0.017840699991211295,1176.0478997000027,0.1145329000428319,2.0,2.9312680999282748,1179.0150099999737,0.0015617999015375972,0.09926019993145019,1185.0313154000323,1185.1813698800397,6.199323899927549,6.282530299969949,1205.1812086799764,1205.1813113000244,26.199434699956328,26.29924909991678,1206.1811727000168,1208.1814147999976,1208.1814147999976,-0.00046090001706033945,0.09925079997628927,1238.1977703999728,30.015872000018135,1165.9146936000325,1186.1812686000485,,,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1238.3310865999665,0.016524599981494248,0.1158044000621885,1244.314264900051,6.0157642000122,1244.4143714000238,1244.4143714000238,-0.00022559997159987688,0.09913960006088018,space,3.660686600022018,1248.1145330000436,1248.1145330000436,4.339998122304678e-05,0.09806999994907528,num_9,1.5121893000323325,1249.6810018800315,0.0030269999988377094,0.09810249996371567,1249.9809994000243,1250.4642310799682,1250.76436869998,1251.2643260800396,1251.5643402000424,1251.6644244999625,1259.681014599977,1259.6809710800298,0.001732999924570322,0.0980950000230223,1260.680917300051,1261.6976628999691,1261.8476547000464,1262.3476380000357,10.014736299985088,10.098018400021829,1269.7808787999675,0.0011335000162944198,1269.7808787999675,0.0980124999769032,6.0,3.064500499982387,1272.8811180000193,0.003167400020174682,0.09756350005045533,1278.8975915999617,1279.0641263799625,6.214128000079654,6.3141393000259995,1299.0640671799774,1299.064189500059,26.21414990001358,26.314055400085635,1300.0641289999476,1302.080798799987,1302.080798799987,-0.00024289987049996853,0.09732130006887019,1332.097398999962,30.013934700051323,1259.681014599977,1280.064257399994,6.0990393999964,,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1332.197484400007,0.014671600074507296,0.11395000014454126,1338.2140208999626,6.0305779001209885,1338.28102460003,1338.28102460003,0.013891900074668229,0.09745330014266074,space,3.433920399984345,1341.7806509999791,1341.7806509999791,5.349994171410799e-05,0.09804049995727837,num_9,1.2462991999927908,1343.0806312800269,0.0019265000009909272,0.09803530003409833,,1343.8639139800216,1344.1639976999722,1344.6638846799615,1344.9639630999882,1345.063995399978,1353.0639697000152,1353.0639038800145,0.014761599944904447,0.11468659993261099,1354.0639300999464,1355.0806136999745,1355.28064370004,1355.7806097000139,10.031333299935795,,1363.2139764999738,0.0341964999679476,1363.2139764999738,0.13125219999346882,4.0,3.915683800005354,1367.164073599968,0.0025243000127375126,0.09770419995766133,1373.1638875999488,1373.3471131800325,6.214172999956645,6.297501799999736,1393.3470140799764,1393.3470997000113,26.214237399981357,26.314111899933778,1394.3637909999816,1396.3637275999645,1396.3637275999645,-7.589999586343765e-05,0.09762630006298423,1426.380304499995,30.014096300001256,1353.0639697000152,1374.3638590000337,,,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1426.4803295000456,0.014797299983911216,0.11405730003025383,1432.4972074000398,6.0307136999908835,1432.5805732000154,1432.5805732000154,0.014273700071498752,0.11417750001419336,space,3.725923200021498,1436.3469750999939,1436.3469750999939,2.3799948394298553e-05,0.09884730004705489,num_9,1.9841258999658749,1438.3969139799592,0.0026856999611482024,0.09807119995821267,1438.7138529999647,1439.1970849800273,1439.5135935000144,1439.996879280021,1440.3135325999465,1440.3969351999694,1448.4135771000292,1448.413509880018,0.01743999996688217,0.11469459999352694,1449.4135212999536,1450.4135429000016,1450.580316800042,1451.0969163000118,10.014528500032611,10.097918199957348,1458.4968277999433,0.0008584000170230865,1458.4968277999433,0.09794300002977252,1.0,2.697948900051415,1461.2304886999773,0.0015846999594941735,0.09928950003813952,1467.2302897999762,1467.396784880024,6.199250799953006,6.2990972000407055,1487.4132380800438,1487.4134295999538,26.2158537999494,26.315788900014013,1488.4300549000036,1490.4133904000046,1490.4133904000046,0.015836399979889393,0.11576259997673333,1520.4132828000002,30.01569869997911,,1468.413475499954,,,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520.5467465999536,0.01595080003608018,0.11567300010938197,1550.5631474000402,30.032237200066447,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1550.6632733000442,0.034101700061000884,0.13223950006067753,1556.6631106999703,6.032181200105697,1556.7632647999562,1556.7632647999562,0.03238390013575554,0.132492900127545,space,3.9919058999512345,1560.8131299000233,1560.8131299000233,4.270009230822325e-05,0.09754770004656166,num_9,1.806097500026226,1562.6631014800514,0.0023045999696478248,0.0979157000547275,1562.963177699945,1563.4462755800341,1563.7632092999993,1564.246199479967,1564.5631274000043,1564.6631178000243,1572.663458300056,1572.6630301799742,0.001253900001756847,0.09773260005749762,1573.6630210999865,1574.6630981999915,1574.8630632000277,1575.3631049999967,10.014226499944925,,1582.779607299948,0.017285600071772933,1582.779607299948,0.11419720004778355,1.0,1.8313753000693396,1584.6466204000171,0.0016702000284567475,0.09925660002045333,1590.6463404999813,1590.8295266799978,6.215698400046676,6.315820100018755,1610.8295033800532,1610.8295685000485,26.21564000006765,26.31575310009066,,1613.8297041000333,1613.8297041000333,0.01580450008623302,0.11561670014634728,1643.8461058000103,30.03217380004935,1572.663458300056,1591.8295933000045,,,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1643.9795430999948,0.03369150008074939,0.13237260014284402,1649.9795875999844,6.032132200081833,1650.0627122999867,1650.0627122999867,0.015313900192268193,0.11543650017119944,space,3.2362188000697643,1653.3627463999437,1653.3627463999437,3.970006946474314e-05,0.09801000007428229,num_9,1.8960219000000507,1655.2961776799639,0.002064800006337464,0.09767589997500181,1655.6126957000233,1656.0960042799707,1656.4127160999924,1656.8793511799886,1657.1792905000038,1657.2960831000237,1665.3126877000323,1665.3127577800187,0.016889799968339503,0.11427440005354583,1666.3126215999946,1667.3126804999774,1667.4794187999796,1667.9793366000522,10.030948500032537,,1675.4292413999792,0.03392680000979453,1675.4292413999792,0.13091110007371753,4.0,4.031467600027099,1679.4960212999722,0.0033147999783977866,0.09713249991182238,1685.512649100041,1685.6791896799696,6.213783800019883,6.313778499956243,1705.6791303799837,1705.6791730000405,26.213741199928336,26.313717699958943,1706.6789829999907,1708.6959683999885,1708.6959683999885,-0.0004959999350830913,0.09701769996900111,1738.7124244000297,30.013662099954672,,1686.6792581999907,,,,,,,,,5317,Gustatory,2024-08-06_12h56.43.714,Gustatory_Condition_v2,2022.2.5,30.053395869176864,
