Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_2.stopped,Roll_liquid_taste.stopped,p_port_14.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,1059.42270929995,0.032168799778446555,0.13140869978815317,1065.42265209998,6.031336699845269,1065.5226537000854,1065.5226537000854,0.0316167997661978,0.13137289974838495,space,1.3247439998667687,1066.8893365999684,1066.8893365999684,3.1700124964118004e-05,0.0980031001381576,num_9,1.918145899893716,1068.8560230901232,0.002202000003308058,0.09776400006376207,1069.1558751000557,1069.6391832900001,1070.4560370900901,1070.7559154999908,1070.856012100121,1078.8560363999568,1078.8559717900819,0.000838099978864193,0.09774870006367564,1079.8557105001528,1080.8390027999412,1081.0223797000945,1081.5188835000154,12.014141999883577,,1090.9723899001256,0.017137999879196286,1090.9723899001256,0.11396429990418255,3.0,3.0651555999647826,1094.072624300141,0.0020789001137018204,0.09826610004529357,1100.089153900044,1100.2558774900856,6.215204300126061,6.315017299959436,1101.2557266999502,1130.2555566899712,1130.255762200104,36.214885000139475,36.314913999987766,1131.2555955999997,1133.2556609001476,1133.2556609001476,0.014840400079265237,0.11455020005814731,1163.2554635999259,30.014562900178134,1069.955950200092,1078.8560363999568,30.09787580021657,,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163.372234400129,0.03140279999934137,0.13140690000727773,1193.3720980000217,30.031248100101948,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
2,0,2,0,0,0,0,0,,,,,,,,1193.5055339999963,0.03410829999484122,0.13119270000606775,1213.5220882000867,20.014543999917805,1213.5888303001411,0.01612719986587763,0.11446579988114536,1219.588708900148,6.014537999872118,1219.688719399972,1219.688719399972,0.014567899750545621,0.11444649985060096,space,4.926680899923667,1224.6553708999418,1224.6553708999418,4.2899977415800095e-05,0.0970946999732405,num_9,4.296421099919826,1228.9888220901369,0.002530100056901574,0.09788600006140769,1229.2885996000841,1229.7886873899727,1230.5718957899837,1230.8887430999894,1230.9721870999783,1238.9886610000394,1238.9886642900995,0.0013454998843371868,0.11448220000602305,1240.0052104000933,1241.005553400144,1241.1886613001116,1241.6886076999363,12.014509700005874,,1251.1051374000963,0.017235599923878908,1251.1051374000963,0.11425979994237423,5.0,58.731237899977714,1309.8719017000403,0.0016870999243110418,0.09923060005530715,1315.8717314000241,1316.0383639900713,6.199194399872795,6.299064799910411,1317.0549230999313,1346.0715490900213,1346.071526600048,36.23230389994569,36.34895469993353,1347.088320299983,1349.0715233001392,1349.0715233001392,0.0008904000278562307,0.0991134000942111,1379.0714000000153,30.03217149991542,1230.0886355999392,1238.9886610000394,,,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1379.204674999928,0.032854999881237745,0.13215989992022514,1385.1878686000127,6.01523909997195,1385.271321499953,1385.271321499953,0.03261019987985492,0.13211199990473688,space,1.2639742998871952,1386.571444900008,1386.571444900008,1.4899997040629387e-05,0.09965280001051724,num_9,2.259360799798742,1388.8880543901353,0.001820300007238984,0.09793110005557537,1389.1881761001423,1389.6880309900037,1390.4878886900144,1390.8046464000363,1390.8713486001361,1398.8713044000324,1398.8715589900269,0.014521899865940213,0.09831640007905662,1399.887991500087,1400.8713014000095,1401.0713949999772,1401.5712920001242,12.014362999936566,,1411.0045903001446,0.017371599795296788,1411.0045903001446,0.11433199979364872,4.0,2.331430000020191,1413.371469900012,0.001837400021031499,0.09824270009994507,1419.3713158001192,1419.554435389978,6.214952300069854,6.315062999958172,,1449.5544058901025,1449.5544674999546,36.21501180017367,36.31495250016451,1450.554354300024,1452.5712023000233,1452.5712023000233,0.0008242002222687006,0.09846640005707741,1482.587625300046,30.01499730022624,1389.9880566000938,1398.8713044000324,,6.098535599885508,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1482.6877069999464,0.015616799937561154,0.11481530009768903,1488.704292899929,6.0314839000348,1488.804309300147,1488.804309300147,0.031605100026354194,0.1314184998627752,space,1.3153281998820603,1490.1709767000284,1490.1709767000284,4.910002462565899e-05,0.09788540005683899,num_9,2.188682299805805,1492.4209888900398,0.002614400116726756,0.0977980000898242,1492.7376042001415,1493.2043315900257,1494.0041949899635,,1494.404284399934,1502.404394699959,1502.4042342900532,0.014622800052165985,0.11438439995981753,1503.4043825999834,1504.4208784999792,1504.6208916001488,1505.1208918001503,12.014228600077331,12.097808399936184,1514.520827600034,0.0015077998396009207,1514.520827600034,0.09750829986296594,4.0,3.3974185998085886,1517.9542519999668,0.0015978999435901642,0.09892980009317398,1523.9707925000694,1524.1373823901406,6.215631500119343,6.315787700004876,1525.154374100035,1554.1373434899608,1554.116889399942,36.21193649992347,36.29522299999371,1555.1374954001512,1557.120694299927,1557.154006600147,-0.0008449999149888754,0.09893970005214214,1587.153902699938,29.999112700112164,1493.5040577000473,1502.404394699959,30.09885079995729,,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1587.2539377999492,0.00017559994012117386,0.09901169990189373,1593.2538966001011,6.03223120002076,1593.387286900077,1593.387286900077,0.032235699938610196,0.13218079996295273,space,0.5397763999644667,1593.987191400025,1593.987191400025,7.71000050008297e-05,0.09796230006031692,num_9,2.171729799825698,1596.2039031900233,0.0019375002011656761,0.09819140005856752,1596.5038012999576,1597.0038194900146,1597.7870243901154,1598.0871683000587,1598.187258800026,1606.1872748001479,1606.1871313901386,0.014823400182649493,0.11528610019013286,1607.1871436999645,1608.1871261999477,1608.3871409001295,1608.887078100117,12.014586300123483,,1618.320331600029,0.017580199986696243,1618.320331600029,0.11450790008530021,5.0,2.9322862001135945,1621.2870412999764,0.0015924000181257725,0.09861360001377761,1627.2871133999433,1627.4703176900978,6.215228599961847,6.315276399953291,1628.4871003001463,1657.4701586900512,1657.470189300133,36.215003499994054,36.298436500132084,1658.4870943001006,1660.486906700069,1660.486906700069,0.0008496001828461885,0.09822180005721748,1690.5034455999266,30.015034400159493,1597.303755100118,1606.1872748001479,,,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1690.6034357999451,0.015679999953135848,0.11498209997080266,1696.6034397000913,6.014948500087485,1696.7034458999988,1696.7034458999988,0.015032599912956357,0.11494439980015159,space,1.480251899920404,1698.2367285001092,1698.2367285001092,4.0899962186813354e-05,0.09794860007241368,num_9,2.1301124000456184,1700.4034628900001,0.0017663000617176294,0.0978685999289155,1700.7032997000497,1701.1866694899975,1701.9866371901473,1702.3033094999846,1702.3867554001044,1710.4033946001437,1710.4033789899433,0.0014919000677764416,0.09810040006414056,,1712.4200466000475,1712.5867143999785,1713.0867014001124,12.014508899999782,12.097993399947882,1722.5032190000638,0.0012802998535335064,1722.5032190000638,0.09784049983136356,3.0,2.664195500081405,1725.2036463001277,0.0029752999544143677,0.09931690013036132,1731.2032407999504,1731.369986890047,6.199248699937016,6.299262100132182,1732.3865855999757,1761.3865755900508,1761.3865205999464,36.215862000128254,36.31579739996232,1762.3864680000115,1764.38648310001,1764.38648310001,0.015852299984544516,0.1158009001519531,1794.3864672000054,30.015825600130484,1701.4867740001064,1710.4033946001437,,,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1794.519843300106,0.015784099930897355,0.11564760003238916,1824.536215200089,30.032213700003922,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
3,0,3,0,0,0,0,0,,,,,,,,1824.636235400103,0.03537619998678565,0.13209909992292523,1844.6361114000902,20.032120399875566,1844.736173399957,0.03375979978591204,0.13211999973282218,1850.7361225001514,6.032246199902147,1850.8194365000818,1850.8194365000818,0.015478099696338177,0.11540659982711077,space,1.5072820999193937,1852.3861166001298,1852.3861166001298,3.6899931728839874e-05,0.09807219984941185,num_9,3.8286776000168175,1856.2525938899955,0.0012095000129193068,0.09907809994183481,1856.5526692999993,1857.0359410901322,1857.8527885900578,1858.1526651000604,1858.2361238000449,1866.2360420001205,1866.236038590013,0.01573060010559857,0.11581779993139207,1867.2694020001218,1868.2528840999585,1868.4528840000276,1868.9359242999926,12.032315900083631,,1878.3859197001439,0.034884999971836805,1878.3859197001439,0.13232390000484884,4.0,2.831781999906525,1881.2530219999608,0.00203300011344254,0.0984682000707835,1887.2525049000978,1887.4359435899416,6.214943200116977,6.315238100010902,1888.4360177000053,1917.435939990147,1917.4359695999883,36.21502710017376,36.31483990000561,1918.4359174999408,1920.4528328001034,1920.4528328001034,0.0007281000725924969,0.09817340015433729,1950.452375400113,30.03141130018048,,1866.2360420001205,,,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1950.5856848000549,0.032120499992743134,0.1313426000997424,1956.5856554999482,6.0313742000143975,1956.6856762999669,1956.6856762999669,0.03147389995865524,0.1311003000009805,space,1.2973517999053001,1958.0357510000467,1958.0357510000467,3.460003063082695e-05,0.09795810002833605,num_9,1.7156611999962479,1959.8023677900667,0.0019483999349176884,0.09765629982575774,,1960.5856844900875,1961.3856035901001,1961.6855977000669,1961.785617900081,1969.785706799943,1969.7858147899854,0.014654899947345257,0.11459359992295504,1970.7856054999866,1971.8022628999315,1971.9687509001233,1972.4855947000906,12.014272899832577,12.097450699890032,1981.9020311001223,0.030858099926263094,1981.9020311001223,0.13105999981053174,4.0,3.8337102001532912,1985.7691677999683,0.001602899981662631,0.09929979988373816,1991.7690137999598,1991.935517789959,6.199147399980575,6.299415299901739,1992.9354873001575,2021.9520578900585,2021.9519746000879,36.21565999998711,36.31570479995571,2022.968711799942,2024.9520091000013,2024.9520091000013,0.015702500008046627,0.11578559991903603,2054.951827800134,30.015501799993217,,1969.785706799943,,,,,,,,,671,Gustatory,2024-03-15_17h45.32.653,Gustatory_Condition_v2,2022.2.5,29.999445009533755,
