loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,p_port_3.started,textbox.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,188.84364539990202,0.0002164999023079872,0.09907210012897849,194.84324220009148,5.999122499953955,194.95997099997476,0.012269699946045876,0.11573229962959886,6.015782800037414,200.95997489988804,201.05995759973302,0.018012099899351597,0.11565819988027215,0.0,2.465431199874729,6.099093399941921,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
10,0,10,0,,,,,,,,,,,,,,,,,203.56013910006732,0.00021860003471374512,0.09904230013489723,209.57660349970683,6.01561150001362,209.72684619994834,0.06883500004187226,0.16583519987761974,5.999095299746841,215.7265987000428,215.75989819969982,0.002353699877858162,0.09901649970561266,0.0,2.0976609997451305,,6.098991199862212,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
11,0,11,0,,,,,,,,,,,,,,,,,217.8932948000729,0.0006140000186860561,0.11349309980869293,223.87645159987733,6.013290400151163,224.00978509988636,0.011054799892008305,0.11347219999879599,6.013461799826473,230.00992809981108,230.10984029993415,0.015973499976098537,0.11353019997477531,1.0,3.765989899635315,6.096630999818444,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
12,0,12,0,,,,,,,,,,,,,,,,,233.90991099970415,0.0004072999581694603,0.09737960016354918,239.90993529977277,6.030934600159526,240.04319889983162,0.03076020022854209,0.13089280016720295,6.030871199909598,246.04325409978628,246.1265904000029,0.017018099781125784,0.11438980000093579,0.0,3.4981907000765204,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
13,0,13,0,,,,,,,,,,,,,,,,,249.6601476999931,0.0004930999130010605,0.09731470001861453,255.67658119974658,6.013897099997848,255.7932249000296,0.0306041999720037,0.13077179994434118,6.03054039971903,261.7932878998108,261.89325510011986,0.033460399601608515,0.1305587994866073,2.0,2.731306599918753,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
14,0,14,0,,,,,,,,,,,,,,,,,264.6599566000514,0.00014859996736049652,0.09700899990275502,270.65995089989156,6.0303610996343195,270.80997049994767,0.04788139974698424,0.1470148996450007,6.0136249996721745,276.80993219977245,276.876585399732,0.016303799580782652,0.11373609956353903,0.0,2.0316837998107076,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
15,0,15,0,,,,,,,,,,,,,,,,,278.943489999976,0.0002391999587416649,0.0992518998682499,284.95990599971265,6.015692699700594,285.0931792999618,0.05117059964686632,0.14900819957256317,6.0156977996230125,291.0932702999562,291.1598326000385,0.01883919956162572,0.11559849977493286,2.0,2.3312086001969874,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
16,0,16,0,,,,,,,,,,,,,,,,,293.52691329969093,0.0004898002371191978,0.09693370014429092,299.5265679000877,6.030392700340599,299.6765513997525,0.045215200167149305,0.14724710024893284,6.013741200324148,305.6765876999125,305.74326679995283,0.016761899925768375,0.11371150007471442,3.0,2.1647870000451803,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
17,0,17,0,,,,,,,,,,,,,,,,,307.9436164996587,0.00023570004850625992,0.09900230029597878,313.92645449982956,6.015529100317508,314.0598435997963,0.012126000132411718,0.11596889980137348,6.015614599920809,320.05991739965975,320.15980059979483,0.018342299852520227,0.11561869969591498,2.0,3.331599300261587,6.09887359989807,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
18,0,18,0,,,,,,,,,,,,,,,,,323.526972099673,0.0006102998740971088,0.09724019980058074,329.5432849000208,6.013872799929231,329.65982390008867,0.03667119983583689,0.1305626998655498,6.0305347996763885,335.65990349976346,335.75982500007376,0.03328139940276742,0.13048829976469278,0.0,2.0648902002722025,,,3081,Visual,2024-08-26_10h09.36.557,Visual_Condition_v2,2022.2.5,30.013373949459275,
