Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_2.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,p_port_5.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,930.792819199618,0.030992399901151657,0.1309202997945249,936.8095363997854,6.014408599585295,936.9094487996772,936.9094487996772,0.014357699546962976,0.11424749949947,space,3.211665500421077,940.1763650998473,940.1763650998473,4.0500424802303314e-05,0.09796980023384094,num_9,0.9363119006156921,941.1761145997327,0.0024989000521600246,0.09800910018384457,941.4760916996747,941.9594651996624,942.7593838000205,943.076099799946,943.1426009000279,951.1594438999891,951.1594438999891,951.1594137000386,0.014707900118082762,0.11475499998778105,952.1761181997135,953.1760648000054,953.3425563997589,953.8427672996186,10.031224499922246,961.2926499997266,0.01731989998370409,961.2926499997266,0.11456659995019436,2.0,5.231632999610156,966.5595883997157,0.0017697000876069069,0.09934369986876845,972.576015399769,972.7426036997233,6.19906899984926,6.299210399854928,973.742702699732,992.7424810999539,992.7426473000087,26.21588099980727,26.315877600107342,993.7425155998208,995.759274599608,995.759274599608,0.001458900049328804,0.0991843999363482,1025.7592094996944,29.99904629960656,942.2761101997457,,,,,,,30.09907709993422,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.8591697998345,2.8299633413553238e-05,0.0990443998016417,1055.8590583996847,30.032362999860197,,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1055.9924201997928,0.03436819976195693,0.1322684995830059,1062.0090528000146,6.01573499944061,1062.0757438000292,1062.0757438000292,0.01567479968070984,0.11558019975200295,space,5.213273700326681,1067.3423882997595,1067.3423882997595,6.229989230632782e-05,0.09792529977858067,num_9,1.4188038003630936,1068.8090672996361,0.00235210033133626,0.09774210024625063,1069.12572250003,1069.592379799625,1070.409046199685,1070.725939099677,1070.7924628998153,1078.7923614997417,1078.7923614997417,1078.7921682997141,0.014339200221002102,0.11425830004736781,1079.792248599697,1080.7923355000094,1080.9923984999768,1081.475512899924,10.014248700346798,1088.9088748996146,0.0007923003286123276,1088.9088748996146,0.09744930034503341,3.0,5.431045700330287,1094.3757778997533,0.0024096001870930195,0.09799350006505847,1100.3922847998329,1100.5589572997299,6.214577200356871,6.314589499961585,1101.5756015996449,1120.5588528998662,1120.5588443996385,26.214522799942642,26.314493800047785,1121.5755076999776,1123.5588097996078,1123.5588097996078,0.01474469993263483,0.11449170019477606,1153.558749599848,30.014424100052565,1069.8922816999257,10.097526900004596,,,,,,,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1153.6921077999286,0.015073100104928017,0.11457289988175035,1159.6918424996547,6.030749399680644,1159.7918705996126,1159.7918705996126,0.014346499927341938,0.1142774997279048,space,3.257173900026828,1163.0919679999352,1163.0919679999352,1.3499986380338669e-05,0.1147473999299109,num_9,1.2207806003279984,1164.3587645995897,0.0021949000656604767,0.09770769998431206,1164.6753879999742,1165.1419674000238,1165.9420383000281,1166.2419606000185,1166.3420539996587,1174.3420095997863,1174.3420095997863,1174.3421779997182,0.014408899936825037,0.11434020008891821,,1176.342003799975,1176.5420033996925,1177.058701499831,10.030993800144643,1184.4752000998706,0.01629470009356737,1184.4752000998706,0.11423749988898635,4.0,3.532348499633372,1188.0423408998176,0.002454499714076519,0.09786639967933297,1194.0419258996844,1194.2251726999414,6.214580599684268,6.314815899822861,1195.225217399653,1214.241895599803,1214.241919099819,26.231268600095063,26.33118849992752,1215.2417899998836,1217.2418364998884,1217.2418364998884,0.00027799978852272034,0.09796549985185266,1247.2417906997725,30.031135299708694,1165.442091099918,,,,,,,,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1247.3750846995972,0.03196629974991083,0.1310544996522367,1253.375088099856,6.031044299714267,1253.4584282999858,1253.4584282999858,0.014267499558627605,0.1143897995352745,space,3.285774300340563,1256.7915904996917,1256.7915904996917,2.9600225389003754e-05,0.09829910006374121,num_9,1.1368092000484467,1257.9917363999878,0.0028381003066897392,0.09813050040975213,1258.2916425997391,1258.7749837995973,1259.5750581999775,1259.874951899983,1259.9750695996918,1267.9917127997614,1267.9917127997614,1267.9916983996984,0.001653200015425682,0.0981470001861453,1268.9915665998124,1270.0083665000275,1270.1750076999888,1270.6750532998703,10.014594200067222,1278.0915461997502,0.0003521000035107136,1278.0915461997502,0.09794280026108027,2.0,3.9659992000088096,1282.0916281999089,0.002490399871021509,0.09843100002035499,1288.0915951998904,1288.2749202996959,6.215152999851853,6.315027199685574,1289.2915202998556,1308.2748767999467,1308.2748910998926,26.214986899867654,26.314944399986416,1309.2914183000103,1311.2916796999052,1311.2916796999052,0.0007201996631920338,0.09837299957871437,1341.30810379982,30.014821799471974,1259.075050499756,10.097934700082988,,,,,,,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1341.3912215000018,0.015003199689090252,0.11482409946620464,1347.3913991996087,6.031493599526584,1347.5081078000367,1347.5081078000367,0.014845799654722214,0.1147583993151784,space,3.444218100514263,1350.9914380996488,1350.9914380996488,3.5200268030166626e-05,0.0979118999093771,num_9,1.1620519002899528,1352.1914211996366,0.0018885000608861446,0.09796780021861196,1352.49129239982,1352.9746246999596,1353.7746730996762,1354.074694499839,1354.1747265998274,1362.174809599761,1362.174809599761,1362.174707499845,0.014781699981540442,0.1145906001329422,1363.1746839997359,1364.174704299774,1364.3749375999905,1364.8913801000454,10.014482200145721,1372.2912144996226,0.0013795001432299614,1372.2912144996226,0.09780200012028217,6.0,4.2307358998805285,1376.5583548997529,0.0025273002684116364,0.09787419997155666,1382.574599699583,1382.7579725999851,6.231042699888349,6.331008600071073,1383.7746109999716,1402.7412353996654,1402.7412393996492,26.214411000255495,26.31435320014134,,1405.7412365996279,1405.7412365996279,0.014427999965846539,0.11441309982910752,1435.741079799831,30.014290099963546,1353.2747068000026,10.097887800075114,,,,,,,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1435.8744002999738,0.014987699687480927,0.11428149975836277,1441.874375099782,6.014192599803209,1441.9743732996285,1441.9743732996285,0.014362199697643518,0.11422939971089363,space,3.6341812005266547,1445.657746899873,1445.657746899873,4.1400082409381866e-05,0.09812350012362003,num_9,0.9744257004931569,1446.691074499907,0.0021913000382483006,0.09801810001954436,1446.9909680997953,1447.4910913999659,1448.274302099878,1448.5743152997456,1448.691048400011,,1456.7078040000051,1456.7077233996708,0.017294100020080805,0.11452830024063587,1457.7243096996099,1458.72435519984,1458.874343500007,1459.3909871997312,10.014442299958318,1466.8075313000008,0.017347199842333794,1466.8075313000008,0.11433540005236864,5.0,4.631471899803728,1471.4746857997961,0.0017940998077392578,0.0991571000777185,1477.4909087000415,1477.6576047996525,6.215940499678254,6.315643100067973,1478.674133699853,1497.6742487997283,1497.6743144998327,26.199134999886155,26.29910760000348,1498.674279499799,1500.6742575997487,1500.6742575997487,0.0006698998622596264,0.09901309991255403,1530.6738970996812,30.015572199597955,1447.790991900023,,,,,,,30.098785899579525,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530.7740070996806,-0.0003629005514085293,0.09911959944292903,1560.790674699936,30.015519299544394,,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1560.8906720997766,0.017383199650794268,0.1154875997453928,1566.8905988996848,6.01550899958238,1566.9907016996294,1566.9907016996294,0.015397599432617426,0.11552209965884686,space,3.1937261004932225,1570.2406066996045,1570.2406066996045,4.4700223952531815e-05,0.09762040013447404,num_9,1.3687917003408074,1571.6574140997138,0.0025152000598609447,0.09773669997230172,1571.9741054000333,1572.4405943998602,1573.240537599707,1573.5406473996118,1573.6405841996893,1581.6573378997855,1581.6573378997855,1581.657340899622,0.0011009001173079014,0.09766170009970665,1582.673874499742,1583.6572169000283,1583.8238595998846,1584.340582799632,10.014258099719882,1591.7738785999827,0.017016899771988392,1591.7738785999827,0.11411929968744516,5.0,3.931881899945438,1595.7405174998567,0.002615099772810936,0.0974271995946765,1601.7405127999373,1601.9405093999114,6.230680000036955,6.314204099588096,,1621.940393099608,1621.940407099668,26.23067049961537,26.330833700019866,,,1624.9569661999121,0.01573079964146018,0.11410179967060685,1654.956808499992,30.01396569982171,1572.7405193997547,,,,,,,,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1655.0569265997037,0.014286899473518133,0.11388689931482077,1661.0735909999348,6.0305134993977845,1661.156906799879,1661.156906799879,0.013929999433457851,0.11379969958215952,space,4.259101900737733,1665.4735786998644,1665.4735786998644,4.220008850097656e-05,0.09804070042446256,num_9,1.1914052003994584,1666.7068361999002,0.0016954001039266586,0.0983381001278758,1667.023564499803,1667.4902789998334,1668.3069198998157,1668.623537399806,1668.6902243997902,1676.690220199991,1676.690220199991,1676.6901754998137,0.015238599851727486,0.11542279971763492,1677.7068536998704,1678.6902087000199,1678.8902361998335,1679.390154299792,10.0317712998949,1686.8400989999063,0.034450999926775694,1686.8400989999063,0.1318890997208655,2.0,4.764971099793911,1691.6400731997564,0.0036603002808988094,0.09732840023934841,1697.656754199881,1697.823571299715,6.213988000061363,6.314046300016344,,1717.8232696997468,1717.8233742997982,26.213956899940968,26.31402159994468,,1720.8233309998177,1720.8233309998177,0.013935099821537733,0.11403180006891489,1750.8232211000286,30.013803400099277,1667.8070445000194,,,,,,,,,,5854,Gustatory,2025-02-20_19h07.34.214,Gustatory_Condition_v2,2022.2.5,30.00115505675736,
