Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,p_port_3.stopped,p_port_5.stopped,p_port_14.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,1108.4113002000377,0.014879300026223063,0.11413039988838136,1114.3944824000355,6.013968700077385,1114.4946496998891,1114.4946496998891,0.03149039996787906,0.13090719981119037,space,2.6683820001780987,1117.2112765999045,1117.2112765999045,4.91999089717865e-05,0.09803039999678731,num_9,1.9285345999523997,1119.1779405100503,0.002083699917420745,0.09796190005727112,,1119.9779369098367,1120.2778437000234,1120.7779206098755,1121.0945432998706,1121.1612670000177,1129.1612287999596,1129.1612287999596,1129.1612145100487,0.014676999999210238,0.11470480007119477,1130.1778875999153,1131.1778948998544,1131.3778572999872,1131.8778576999903,12.014459100086242,1141.2776506999508,0.0011249999515712261,1141.2776506999508,0.09799879998899996,5.0,3.0644106999970973,1144.377782800002,0.0032581998966634274,0.09728319989517331,1150.3944884999655,1150.5611663100542,6.21399539988488,6.297265300061554,1151.5777938000392,1180.5610907099442,1180.5610636000056,36.21388230007142,36.31379729998298,1181.5777966999449,1183.5777366999537,1183.5777366999537,-0.00036249984987080097,0.09714760002680123,1213.594161399873,30.01370929996483,12.097907499875873,,,,,,,,6.097446900093928,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213.6942407998722,0.013768599834293127,0.11368349986150861,1243.6773581998423,30.013555399840698,30.09681009990163,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
2,0,2,0,0,0,0,0,,,,,,,,1243.777451899834,-0.0004156001377850771,0.09700989979319274,1263.7943181998562,20.013800699962303,1263.894097799901,0.01511039980687201,0.11362399975769222,1269.9107027999125,6.030231399694458,1270.0107521000318,1270.0107521000318,0.030411399668082595,0.13001539977267385,space,1.3522767999675125,1271.4107062998228,1271.4107062998228,3.7400051951408386e-05,0.09788429993204772,num_9,3.1844277000054717,1274.660779909999,0.0024785997811704874,0.0977254998870194,1274.97715219995,1275.4440173099981,1275.7606887000147,1276.2441355100134,1276.560721399961,1276.660865599988,1284.6608364998829,1284.6608364998829,1284.6606931100366,0.0014909999445080757,0.09807379986159503,1285.6607583998702,1286.6772833999712,1286.860841799993,1287.3607112998143,12.031122299842536,1296.793934599962,0.03397919982671738,1296.793934599962,0.13124079979024827,2.0,2.431279700016603,1299.2608441000339,0.002571099903434515,0.0976587999612093,1305.277246600017,1305.444079809892,6.214293699944392,6.314448499819264,1306.4437551999,1335.4438315099803,1335.443855999969,36.2142736997921,36.314276499906555,1336.4605068999808,1338.4438109998591,1338.4438109998591,0.014273899840191007,0.11428539990447462,1368.4603867998812,30.030816099839285,,,,,,,,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1368.5936810998246,0.03145399992354214,0.13076039985753596,1374.6104685999453,6.01413769973442,1374.677029100014,1374.677029100014,0.014018599642440677,0.11407589982263744,space,2.3576256001833826,1377.0769288998563,1377.0769288998563,1.1899974197149277e-05,0.09927319991402328,num_9,3.4147002999670804,1380.543692709948,0.0024496999103575945,0.09803820005618036,1380.8602779000066,1381.3268875098554,1381.6270043000113,1382.1269378099357,1382.4269785999786,1382.5269710000139,1390.5270833999384,1390.5270833999384,1390.5269669099478,0.014830900123342872,0.11460359999909997,1391.5268657999113,1392.5269845998846,1392.7269389999565,1393.2101666999515,12.031265000114217,1402.6602499999572,0.017316999845206738,1402.6602499999572,0.11444389983080328,5.0,2.6315188999287784,1405.3272991999984,0.0036855998914688826,0.0973821000661701,1411.343552700011,1411.5102677099173,6.213994399877265,6.3139577999245375,1412.5102126998827,1441.5100792099954,1441.5101065998897,36.213926299940795,36.31384369987063,1442.5100795000326,1444.5267948999535,1444.5267948999535,-0.0004308999050408602,0.09743029996752739,1474.5433022999205,30.01386980013922,,,,,,,,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1474.6433453999925,0.014631500001996756,0.11377960001118481,1480.6433131999802,6.0137332999147475,1480.743331399979,1480.743331399979,0.013894499745219946,0.11378639983013272,space,2.051715500187129,1482.8602446999867,1482.8602446999867,5.419994704425335e-05,0.0980704000685364,num_9,2.479376600123942,1485.3933184098685,0.0020110998302698135,0.09804029995575547,1485.709973799996,1486.1932590099284,1486.5099076000042,1486.9767490099882,1487.276836700039,1487.376616399968,1495.39329479984,1495.39329479984,1495.393236209941,0.001128499861806631,0.0980407998431474,1496.4100191998295,1497.409931999864,1497.5766110999975,1498.0599100999534,12.014523799996823,1507.5264067999087,0.03436109982430935,1507.5264067999087,0.13118639984168112,4.0,3.931194599950686,1511.493586299941,0.0015573999844491482,0.0992953001987189,1517.4931544000283,1517.693187909969,6.199009400093928,6.299142900155857,1518.7098616999574,1547.6930477098329,1547.693052599905,36.23243009997532,36.332348600029945,1548.7098776998464,,1550.7097032999154,0.01726420014165342,0.11551550007425249,1580.7094009998254,30.03201840003021,,,,,,,,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1580.8096292999107,0.01618240005336702,0.1153927999548614,1586.7928170999512,6.015227900119498,1586.8928994999733,1586.8928994999733,-0.0004149000160396099,0.09871189994737506,space,3.358202700037509,1590.2928806999698,1590.2928806999698,3.6899931728839874e-05,0.09787769988179207,num_9,2.1586627000942826,1592.4930399100529,0.002320899860933423,0.0980204998049885,1592.809418299934,1593.2929045099997,1593.6095415998716,1594.0761140099028,1594.3760834999848,1594.476210199995,1602.4929172999691,1602.4929172999691,1602.4928848099196,0.0016500998754054308,0.097706199856475,1603.5096141998656,1604.4928802999202,1604.6928256999236,1605.2095031999052,12.014496899908409,1614.6095276998822,0.017941199941560626,1614.6095276998822,0.11458799988031387,1.0,2.964334699790925,1617.6098042000085,0.0033815999049693346,0.09792249999009073,1623.6094247999135,1623.792756510037,6.214390999870375,6.314319999888539,1624.809415699914,1653.79267521,1653.7926800998393,36.214370699832216,36.31436159997247,1654.8094482999295,1656.7926125999074,1656.7926125999074,0.01431080000475049,0.13094020006246865,1686.8093424998224,30.031026599928737,,,,,,,,,6.098718299996108,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1686.942529699998,0.031124099856242537,0.13100489997304976,1692.9424974999856,6.030920599820092,1693.0424980998505,1693.0424980998505,0.030888399807736278,0.13079949980601668,space,2.20874880021438,1695.3091752999462,1695.3091752999462,4.360009916126728e-05,0.09795580012723804,num_9,1.997874400112778,1697.3592111098812,0.0025845998898148537,0.0979687999933958,1697.6590837999247,1698.159182909946,1698.4591363000218,1698.9423861099174,1699.2591403999832,1699.3424759998452,1707.3424998000264,1707.3424998000264,1707.3424651099601,0.014741299906745553,0.11460789991542697,1708.359121099813,1709.3591038000304,1709.5424555998761,1710.0424224999733,12.014572499785572,1719.4755984998774,0.017630199901759624,1719.4755984998774,0.11472089984454215,6.0,2.1983127000276,1721.7093050000258,0.0023738001473248005,0.09821980004198849,1727.6922263999004,1727.892411709833,6.214863199973479,6.298339100088924,1728.9089942998253,1757.8922848099144,1757.8922800999135,36.21475029992871,36.31490060011856,1758.9088387000374,1760.8923839000054,1760.8923839000054,0.014844899997115135,0.11463770014233887,1790.892090599984,30.01453520008363,,,,,,,,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791.025483199861,0.014695300022140145,0.11481419997289777,1821.0086091998965,30.014372400008142,30.097567700082436,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
3,0,3,0,0,0,0,0,,,,,,,,1821.1086187998299,-5.240016616880894e-05,0.09775829990394413,1841.108541399939,20.030988399870694,1841.2419219999574,0.032504099886864424,0.13101139990612864,1847.2585989998188,6.014282199786976,1847.325271199923,1847.325271199923,0.014576999703422189,0.11430839961394668,space,3.6938182001467794,1851.0753625000361,1851.0753625000361,4.5999884605407715e-05,0.09769130009226501,num_9,1.7915503000840545,1852.9085759099805,0.0021193998400121927,0.09737609978765249,1853.2085426999256,1853.6918747099814,1854.0084396998864,1854.508600409911,1854.8085135000292,1854.8918872999493,1862.891874199966,1862.891874199966,1862.8918279100442,0.013980199815705419,0.11406619986519217,1863.9084881998133,1864.9084975998849,1865.074956699973,1865.575150599936,12.01385649992153,1875.0250664998312,0.016976099694147706,1875.0250664998312,0.11388149973936379,5.0,3.398013799916953,1878.4584288999904,0.0030138001311570406,0.09721800009720027,1884.475105599966,1884.64167400992,6.21383269992657,6.313824099954218,1885.65842969995,1914.658298609848,1914.6583302998915,36.230509700020775,36.33041510009207,1915.6749525999185,,1917.6748693999834,0.015418500173836946,0.11371270008385181,1947.6916443000082,30.030337000032887,,,,,,,,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1947.7748090999667,0.013973899884149432,0.113575299968943,1953.7914915999863,6.030316399876028,1953.8750249999575,1953.8750249999575,0.01360069983638823,0.11358419992029667,space,3.1679214001633227,1957.0914894999005,1957.0914894999005,4.5800115913152695e-05,0.09828089992515743,num_9,1.9595117000862956,1959.1081447099102,0.002132600173354149,0.09809310012497008,1959.4080658999737,1959.891264809831,1960.2080826999154,1960.691476809862,1961.0081399998162,1961.0746321999468,1969.091413399903,1969.091413399903,1969.091479909909,0.014747800072655082,0.11467180005274713,1970.1080914998893,1971.0746167998295,1971.2914468999952,1971.7914221000392,12.014513600151986,1981.208001999883,0.0003895999398082495,1981.208001999883,0.09782940009608865,2.0,2.165184299927205,1983.4083302998915,0.002711900044232607,0.09765590005554259,1989.4246809999458,1989.5913249098928,6.213898500194773,6.314107600133866,1990.6080086999573,2019.5910282098455,2019.5744823999703,36.21390430000611,36.31399659998715,2020.6078994998243,2022.591233199928,2022.591233199928,0.01404910022392869,0.11406970024108887,2052.5911872999277,30.01407070015557,12.097830699989572,,,,,,,,,,669,Gustatory,2024-02-20_11h24.34.127,Gustatory_Condition_v2,2022.2.5,29.940998272662426,
