loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,p_port_10.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.57433500001207,222.57433500001207,0.007599599892273545,0.09839989989995956,2.0,2.3586633999366313,,,,,,,,,,,,,,,3419,Moral,2025-02-04_13h30.29.340,MoralCondition_v2,2022.2.5,29.985546974991944,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.974475099938,224.974475099938,0.0068107000552117825,0.0984633001498878,5.0,3.259592399932444,,,,,,,,,,,,,,,3419,Moral,2025-02-04_13h30.29.340,MoralCondition_v2,2022.2.5,29.985546974991944,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.27507130010054,228.27507130010054,0.006942400010302663,0.09708029986359179,2.0,1.991253999993205,,,,,,,,,,,,,,,3419,Moral,2025-02-04_13h30.29.340,MoralCondition_v2,2022.2.5,29.985546974991944,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.30800070008263,230.30800070008263,0.008016300154849887,0.09730420005507767,5.0,4.457062499830499,,,,,,,,,,,,,,,3419,Moral,2025-02-04_13h30.29.340,MoralCondition_v2,2022.2.5,29.985546974991944,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.80772310006432,234.80772310006432,0.0009907998610287905,0.0983661999925971,3.0,4.965568299870938,,,,,,,,,3419,Moral,2025-02-04_13h30.29.340,MoralCondition_v2,2022.2.5,29.985546974991944,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,239.80788829992525,0.00013679987750947475,0.09922069986350834,245.7909647000488,5.9991222999524325,246.0412930001039,246.0412930001039,0.11532099987380207,0.23259789985604584,5.999204899882898,252.10783810005523,252.10783810005523,252.10783810005523,0.08940819976851344,0.19905959977768362,257.8077480001375,257.9744327000808,5.999283199664205,6.099329999880865,263.9745968999341,11.999399799853563,264.1077994001098,264.1077994001098,0.0006000995635986328,0.09919499978423119,up,1.5138590999413282,265.6540258999448,2.8900103643536568e-05,0.08390829991549253,271.6747274999507,271.6747274999507,0.012185300001874566,0.10053710010834038,2.0,3.656136500183493,,,,,,,264.1077994001098,264.1077994001098,6.099236199865118,12.09942439966835,,6.099353299941868,,,3419,Moral,2025-02-04_13h30.29.340,MoralCondition_v2,2022.2.5,29.985546974991944,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.3743173999246,275.3743173999246,0.007189299911260605,0.09781800000928342,2.0,1.2920069999527186,,,,,,,,,,,,,,,3419,Moral,2025-02-04_13h30.29.340,MoralCondition_v2,2022.2.5,29.985546974991944,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.7076753999572,276.7076753999572,0.008016100153326988,0.09900570008903742,5.0,4.858476500026882,,,,,,,,,,,,,,,3419,Moral,2025-02-04_13h30.29.340,MoralCondition_v2,2022.2.5,29.985546974991944,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.60777750005946,281.60777750005946,0.007083799922838807,0.09780470002442598,3.0,3.5255479000043124,,,,,,,,,,,,,,,3419,Moral,2025-02-04_13h30.29.340,MoralCondition_v2,2022.2.5,29.985546974991944,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.174357800046,285.174357800046,0.007371699903160334,0.09827219997532666,5.0,3.191899900091812,,,,,,,,,,,,,,,3419,Moral,2025-02-04_13h30.29.340,MoralCondition_v2,2022.2.5,29.985546974991944,
