Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_3.stopped,Begin_Rinse.stopped,Finish_rinse.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,951.0191846000962,0.03313319943845272,0.1325414995662868,957.0358551000245,6.015733199659735,957.1024687997997,957.1024687997997,0.015743999276310205,0.11573739955201745,space,3.518211199901998,960.6691446998157,960.6691446998157,5.579972639679909e-05,0.09803449967876077,num_9,2.59205129975453,963.3024911498651,0.001979200169444084,0.09820060012862086,963.6191044999287,964.1024399497546,964.4189769998193,964.8856768500991,965.285756399855,973.3024043999612,973.3024043999612,973.3024124498479,0.0015865000896155834,0.09808950033038855,974.3190639000386,975.3190020998009,975.4858745997772,975.9857652997598,10.031455700285733,,983.4356483998708,0.034489700105041265,983.4356483998708,0.1312982002273202,3.0,2.8978359000757337,986.3690069001168,0.002909800037741661,0.09744409983977675,992.3522399999201,992.5523048499599,6.213959299959242,6.314087499864399,1012.5522857499309,1012.5523147997446,26.214065399952233,26.31401490001008,1015.5525398999453,1015.5525398999453,0.014312099665403366,0.1139728999696672,1045.55220239982,30.0139501998201,,993.5689980997704,1013.5689646997489,,,,,,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045.6855017999187,0.014274499844759703,0.11390099953860044,1075.7020851997659,30.03046689974144,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1075.7854518997483,0.014883499592542648,0.11394779942929745,1081.7854661000893,6.0138394995592535,1081.8853365001269,1081.8853365001269,0.013853199314326048,0.11376759968698025,space,3.1359724001958966,1085.068750699982,1085.068750699982,3.929995000362396e-05,0.09755959967151284,num_9,3.0562230003997684,1088.1853739498183,0.002445199992507696,0.09812179999426007,1088.48534870008,1088.968742549885,1089.2687087999657,1089.7686901497655,1090.1687377998605,1098.1686931997538,1098.1686931997538,1098.1687523499131,0.014709300361573696,0.11456820042803884,1099.1686752000824,1100.1855700998567,1100.3688328000717,1100.8519389997236,10.03120470000431,,1108.3186518000439,0.03419789997860789,1108.3186518000439,0.1313068000599742,5.0,2.7321879998780787,1111.0855845999904,0.0024533001706004143,0.09785069990903139,1117.0853218999691,1117.285283749923,6.23120620008558,6.331177500076592,1137.2852324498817,1137.2852350999601,26.231170299928635,26.33113279985264,1140.285385500174,1140.285385500174,0.00023979973047971725,0.0980261997319758,1170.3017695001327,30.014707199763507,1090.0686973999254,1118.285358299967,1138.2851991998032,,,,,,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1170.4018179997802,0.014956699684262276,0.11438749963417649,1176.4184436001815,6.031035099644214,1176.5184304998256,1176.5184304998256,0.03115379950031638,0.13100329972803593,space,3.206975500099361,1179.7851346000098,1179.7851346000098,3.700004890561104e-05,0.09816610021516681,num_9,3.3959670001640916,1183.2351135499775,0.002472999971359968,0.11426659999415278,,1184.0183088500053,1184.3350514001213,1184.8183186501265,1185.218309099786,1193.2350758998655,1193.2350758998655,1193.235023249872,0.00055350037291646,0.09731300035491586,1194.2351285000332,1195.235059400089,1195.4351455997676,1195.9350318000652,10.013858400285244,10.097417400218546,1203.3350170999765,0.0005304999649524689,1203.3350170999765,0.09716870030388236,3.0,3.1648287000134587,1206.5350401997566,0.0015429998748004436,0.09923579962924123,1212.5181053001434,1212.7183194500394,6.21584999980405,6.315852399915457,1232.7181300497614,1232.7182428999804,26.2158288997598,26.315841699950397,1235.7182133998722,1235.7182133998722,0.01582409953698516,0.11580669973045588,1265.718047699891,29.999147799797356,1185.1350023001432,1213.7182582998648,1233.7348385001533,,,,,,30.09924429981038,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1265.8348467997275,0.00013279961422085762,0.09899109927937388,1271.8514831997454,6.0156678995117545,1271.9514629999176,1271.9514629999176,0.015741199254989624,0.11564469942823052,space,3.1177971996366978,1275.1346840001643,1275.1346840001643,4.8900023102760315e-05,0.09806879982352257,num_9,3.055535600055009,1278.2347688497975,0.002344100270420313,0.09825270017609,1278.5346356001683,1279.0181466499344,1279.3180531999096,1279.8180692498572,1280.2182228001766,1288.2347380998544,1288.2347380998544,1288.2347143497318,0.001650600228458643,0.09818249987438321,1289.2346243998036,1290.2179438997991,1290.4180829999968,1290.9180564000271,10.014843900222331,10.098137500230223,1298.3345972998068,0.0015245997346937656,1298.3345972998068,0.09828499983996153,4.0,2.364246199838817,1300.7347173998132,0.0016296999529004097,0.0994250001385808,1306.734657399822,1306.901244950015,6.199316299986094,6.299443199764937,1326.9012318500318,1326.9012301997282,26.199218799825758,26.299189399927855,1329.91789040016,1329.91789040016,0.015894099604338408,0.11581759992986917,1359.934432900045,29.99905959982425,1280.1180698000826,1307.9180087000132,1327.9179206001572,,,,,,30.099194899667054,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1360.034537000116,0.0004991996102035046,0.09903149958699942,1366.0511225000955,6.015697899740189,1366.1511069997214,1366.1511069997214,0.01572479959577322,0.1156860995106399,space,3.5734321996569633,1369.7844568998553,1369.7844568998553,3.820005804300308e-05,0.09813060006126761,num_9,2.676153500098735,1372.5178025499918,0.0022663003765046597,0.09806010033935308,1372.817756799981,1373.3177685500123,1373.617732099723,1374.1009295498952,1374.517755100038,,1382.5344066000544,1382.534529550001,0.017262200359255075,0.1147017003968358,1383.5342610999942,1384.5510530998,1384.7010304997675,1385.2177351000719,10.01465590018779,,1392.6341801998205,0.017540500033646822,1392.6341801998205,0.1146967001259327,4.0,2.3647435000166297,1395.034199600108,0.0019221999682486057,0.098626300226897,1401.0509520000778,1401.2176180500537,6.215263300109655,6.315300200134516,1421.2175043500029,1421.2176688998006,26.215354999992996,26.315231800079346,1424.234374300111,1424.234374300111,0.0010640998370945454,0.09853619989007711,1454.2508001998067,30.0151475998573,1374.4177675000392,1402.217603399884,1422.2175472001545,,,,,,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1454.3507790998556,0.01570919994264841,0.11512670014053583,1460.350822399836,6.015029899775982,1460.450847200118,1460.450847200118,0.015208799857646227,0.11511379992589355,space,3.3544993000105023,1463.8674706001766,1463.8674706001766,4.559988155961037e-05,0.09791369969025254,num_9,2.9455384998582304,1466.8507445501164,0.002015900332480669,0.09791470039635897,1467.1674214997329,1467.6507267500274,1467.967438600026,1468.4340442498215,1468.8340567001142,1476.8507348001003,1476.8507348001003,1476.850704249926,0.0012394003570079803,0.0978417000733316,1477.8675226997584,1478.8506891001016,1479.0340364999138,1479.53405869985,10.014482900034636,,1486.9672742998227,0.017106400337070227,1486.9672742998227,0.1143531003035605,5.0,3.1984887002035975,1490.2009971998632,0.002420899923890829,0.09783220011740923,1496.1838230998255,1496.3839305499569,6.214402799960226,6.314545199740678,1516.3838215498254,1516.3839067001827,26.214476599823684,26.31436609989032,1519.4005575999618,1519.4005575999618,-4.29004430770874e-05,0.09768709959462285,1549.4171074000187,30.014431899879128,1468.7339973999187,1497.3838809998706,1517.3841475001536,,,,,,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1549.5172292999923,0.014473999850451946,0.11431659944355488,1579.5336572998203,30.030943399760872,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1579.6338291000575,0.03275429969653487,0.13080829940736294,1585.6337013999,6.030807799659669,1585.7337118000723,1585.7337118000723,0.030910799279808998,0.13080309936776757,space,3.462875199969858,1589.2338423999026,1589.2338423999026,4.329998046159744e-05,0.09752550022676587,num_9,3.4834444001317024,1592.7503874497488,0.002487600315362215,0.0974278999492526,1593.0670326999389,1593.5502968500368,1593.866938299965,1594.3335887501016,1594.7336340001784,1602.7502600001171,1602.7502600001171,1602.7502626497298,0.0008318000473082066,0.09736560005694628,1603.7669099001214,1604.750222899951,1604.9335996001028,1605.4336365000345,10.013888500165194,10.097345200367272,1612.8501741997898,0.0008371002040803432,1612.8501741997898,0.09720769990235567,4.0,2.397330599837005,1615.2838711999357,0.0034503000788390636,0.09741860022768378,1621.3003511000425,1621.4668392501771,6.214082499966025,6.314120400231332,1641.4835399501026,1641.4834565999918,26.23072799993679,26.330651700031012,,1644.5000831000507,0.015688699670135975,0.11398749984800816,1674.5000030999072,30.013872599694878,,1622.4834719998762,1642.5001095999032,,,,,,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1674.6000390001573,0.014475899748504162,0.11384669970721006,1680.6167544997297,6.0306433998048306,1680.716648499947,1680.716648499947,0.030750599689781666,0.1305556995794177,space,3.8560810000635684,1684.6167648001574,1684.6167648001574,4.189973697066307e-05,0.09802909987047315,num_9,2.948204600252211,1687.5999762499705,0.002092799637466669,0.09807609999552369,1687.9166262997314,1688.383187950123,,1689.1832318501547,1689.5833199997433,1697.5833092997782,1697.5833092997782,1697.5832518497482,0.014749199617654085,0.11466289963573217,1698.583181799855,1699.5832980000414,1699.7832828997634,1700.2832129001617,10.031316800042987,,1707.716436599847,0.017431999556720257,1707.716436599847,0.11448319954797626,3.0,3.0313440999016166,1710.783398900181,0.0024406001903116703,0.09808360040187836,1716.7832077997737,1716.9831967498176,6.23133260011673,6.3312604003585875,1736.9831448500045,1736.9831352001056,26.23131510009989,26.331235600169748,1739.9831985998899,1739.9831985998899,0.00026720017194747925,0.09787969989702106,1769.982978399843,30.031123700086027,,1717.9832453997806,,,,,,,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
