loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,p_port_6.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.7347058004234,0.0008743000216782093,0.11599399999249727,22.06329389999155,22.330016049963888,22.663314900011756,22.92990445002215,23.23007329995744,23.546692250005435,23.863204599940218,23.863204599940218,0.032708700047805905,0.1327598000643775,38.86328749998938,14.99942990008276,15.099389300099574,38.96336469997186,0.00018380011897534132,0.09967040014453232,39.429945699987,space,1.7079038999509066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,255.9468650999479,0.00027030007913708687,0.09789370000362396,261.9465994000202,6.03104270005133,,262.1298570999643,262.1298570999643,0.07670790003612638,0.18103490001522005,6.014396300073713,268.2300094999373,268.2300094999373,268.2300094999373,0.07179280009586364,0.18103380012325943,273.9300693999976,274.12985359993763,6.014289100072347,6.114528200123459,280.1300329999067,12.014495900133625,280.26322959992103,280.26322959992103,0.014452200150117278,0.11449720012024045,up,1.709182900027372,282.01332109991927,3.8499943912029266e-05,0.09799699997529387,,288.03022580000106,288.03022580000106,0.025835499982349575,0.11468489991966635,3.0,3.589714300003834,,,,,,,280.2131363999797,280.2131363999797,268.1301744999364,268.1301744999364,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.66324009990785,291.66324009990785,0.007064400007948279,0.09796039992943406,3.0,1.4586088000796735,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.163551799953,293.163551799953,0.0074174999026581645,0.0979108999017626,1.0,1.3917141000274569,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.5963820000179,294.5963820000179,0.007543900050222874,0.09770669997669756,7.0,2.2913116000127047,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.9299071999267,296.9299071999267,0.006258699926547706,0.09937359998002648,5.0,1.3606835999526083,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.33001539995894,298.33001539995894,0.007572700036689639,0.0985719000454992,1.0,1.491541999974288,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.86343369993847,299.86343369993847,0.00654580001719296,0.09898060001432896,1.0,1.4269676000112668,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.3300375000108,301.3300375000108,0.0007013999857008457,0.09914559999015182,7.0,5.3327757000224665,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,306.69697099993937,0.00013599998783320189,0.09942280000541359,312.6965589999454,5.999145700014196,6.099143599974923,312.9134979000082,312.9134979000082,0.10433200001716614,0.21624099998734891,6.015844900044613,318.996914899908,318.996914899908,318.996914899908,0.0843608999857679,0.19919060007669032,324.69647869991604,324.86323739995714,5.999186599976383,6.099232800072059,330.86344200000167,11.999379600048997,330.99657540000044,330.99657540000044,0.00014870008453726768,0.09918060002382845,down,2.1274809000315145,333.16351539990865,5.1600043661892414e-05,0.09753960010129958,339.16352389997337,339.16352389997337,339.16352389997337,0.008778100018389523,0.09739190002437681,7.0,3.3230713000521064,,,,,,,330.99657540000044,330.99657540000044,,,,12.099125200067647,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.53007009997964,342.53007009997964,0.006769199972040951,0.09975379996467382,2.0,1.9935079000424594,,,,,,,,,,,,,5317,Moral,2024-08-06_12h33.09.715,MoralCondition_v2,2022.2.5,30.003351371924467,
