loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.580411699484102,0.002488899976015091,0.1082882999908179,18.17586820999859,18.49247870000545,18.792538510018495,19.10918839997612,19.3758776100236,19.709155300050043,19.709155300050043,0.04171430005226284,0.14179070002865046,34.70901520003099,15.024867999949493,34.80907399998978,0.008137500029988587,0.12513840000610799,35.29248709999956,space,0.6995129000861198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7925944000017,224.7925944000017,0.007424000068567693,0.09782030002679676,6.0,2.858188399928622,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.70944320003036,227.70944320003036,0.008217500057071447,0.11422260000836104,4.0,2.5403622000012547,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.27592020004522,230.27592020004522,0.006763000041246414,0.09905690001323819,1.0,1.5933902999386191,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.90926989994477,231.90926989994477,0.008733700029551983,0.09786159999202937,5.0,1.8902885999996215,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.84268650005106,233.84268650005106,0.0007254999363794923,0.09923209995031357,2.0,7.233181899995543,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,241.10955439996906,0.0002533999504521489,0.09790829999838024,247.12602720002178,6.0146005999995396,247.32592890004162,247.32592890004162,0.1147126000141725,0.21460449998266995,6.01459649996832,253.39255480002612,253.39255480002612,253.39255480002612,0.07288869994226843,0.18129129998851568,259.09284669999033,259.29273089999333,6.014701499952935,6.114682800020091,265.29274069995154,12.014747999957763,265.40919010003563,265.40919010003563,0.014657999970950186,0.09795079997275025,up,0.3265603999607265,265.77608390001114,5.18999295309186e-05,0.097760200034827,,271.79268449998926,271.79268449998926,0.025544799980707467,0.11433589993976057,1.0,3.9231597000034526,,,,,,,,,265.39268239995,265.39268239995,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.77640810003504,275.77640810003504,0.008167299907654524,0.11439339991193265,1.0,5.707306500058621,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.5262721000472,281.5262721000472,0.007944599958136678,0.11461299995426089,4.0,1.9076925000408664,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.4591943999985,283.4591943999985,0.007325800019316375,0.0991532999323681,4.0,7.326338000013493,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.8430473000044,290.8430473000044,0.008586799958720803,0.11387000000104308,4.0,4.706396299996413,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
