Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,p_port_5.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Begin_Rinse.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,p_port_14.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,936.9731784998439,0.016543500125408173,0.11596249998547137,6.015790299978107,942.973394599976,,943.073230399983,943.073230399983,0.01587649993598461,0.11579629988409579,space,2.427614599931985,945.5402220999822,945.5402220999822,4.409998655319214e-05,0.09759300015866756,num_9,2.5200342000462115,948.1232839500299,0.0027362999971956015,0.09840149991214275,948.4231709998567,948.9065570499515,949.2232282999903,949.7064647498773,950.0233775998931,950.1236066999845,958.1232437000144,958.1232437000144,958.1232061499031,0.0011981998104602098,0.09830029984004796,959.1231590998359,960.1399509999901,960.2896954999305,960.7898470999207,10.014712099917233,968.2230209999252,-0.00015400024130940437,968.2230209999252,0.09815219976007938,6.0,4.065967499976978,972.3235203998629,0.00350580015219748,0.09760050009936094,978.3397970998194,978.5064706498524,6.2140456000342965,6.297462400048971,998.5063358499901,998.5063809999265,26.214115499984473,26.31404640013352,999.5231059999205,1001.5230286000296,1001.5230286000296,-0.00015309988521039486,0.09739850019104779,1031.5228834999725,30.030610400019214,979.522945899982,10.098121099872515,,,,,,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031.6563676998485,0.031108400085940957,0.1305551000405103,30.01381799997762,1061.672786799958,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1061.7394262999296,0.016096499981358647,0.11395459994673729,6.030431099934503,1067.7560721999034,,1067.8561136999633,1067.8561136999633,0.030576399760320783,0.1304392998572439,space,1.5649113999679685,1069.4561063,1069.4561063,3.6499928683042526e-05,0.09759070002473891,num_9,1.9488173997960985,1071.4561243498465,0.0021861998829990625,0.09792189998552203,1071.772743999958,1072.2393986500101,1072.539554100018,1073.039436849882,1073.3393689999357,1073.4393912998494,1081.4562245998532,1081.4562245998532,1081.456050949986,0.001119100023061037,0.09784299996681511,1082.4727254000027,1083.4726797998883,1083.6226752998773,1084.1226931000128,10.014252899913117,1091.5558138999622,0.0001409999094903469,1091.5558138999622,0.09768209978938103,6.0,6.098943299846724,1097.6892700998578,0.0030465000309050083,0.09743049996905029,1103.6892993999645,1103.8892572500044,6.23066969984211,6.330702599836513,1123.889519649907,1123.8893827998545,26.230853899847716,26.330606600036845,1124.8891580998898,1126.889146399917,1126.889146399917,0.030624100007116795,0.13060420006513596,1156.88907080004,30.030528800096363,1104.8891338999383,10.09773419983685,,,,,,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1157.0057259998284,0.014477399876341224,0.11388459987938404,6.0137476997915655,1163.0056984999683,,1163.1058153999038,1163.1058153999038,0.014000399736687541,0.1136934997048229,space,1.5469907999504358,1164.6889933999628,1164.6889933999628,2.3499829694628716e-05,0.09889059979468584,num_9,1.6439274000003934,1166.372355749947,0.0021581000182777643,0.09795830002985895,1166.672344399849,1167.1557115499163,1167.472314100014,1167.9723105499288,1168.2722567999735,1168.355688399868,1176.3555479999632,1176.3555479999632,1176.3556776499609,0.014229800086468458,0.1143217000644654,1177.3724368999247,1178.3554392999504,1178.572289899923,1179.0723166000098,10.01407889998518,1186.4887842999306,0.01576539990492165,1186.4887842999306,0.11405539978295565,5.0,5.699355399934575,1192.2224005998578,0.0021158999297767878,0.09864499978721142,1198.2222615999635,1198.4055472499458,6.214978799922392,6.315093899844214,1218.4053828498581,1218.4055726998486,26.215037499787286,26.314879199955612,1219.4222179998178,1221.422117699869,1221.422117699869,0.0007821000181138515,0.09814999997615814,1251.4386966999155,30.01482649985701,1199.422194799874,,,,,,,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1251.5386729999445,0.015483899740502238,0.11472579976543784,6.014719299739227,1257.5386801999994,,1257.6386643999722,1257.6386643999722,0.014826599741354585,0.11468459968455136,space,2.4540805998258293,1260.155406799866,1260.155406799866,6.129988469183445e-05,0.09764950000680983,num_9,1.2328985000494868,1261.4220448498381,0.0022160999942570925,0.09766400000080466,1261.7219561999664,1262.2219229500042,1262.5219155999366,1263.0052144498331,1263.3219891998451,1263.421948599862,,1271.4386044000275,1271.4385913499864,0.01720290002413094,0.11438319995068014,,1273.4384941000026,1273.6052196000237,1274.1052279998548,10.031207900028676,1281.5551060000435,0.03367069992236793,1281.5551060000435,0.1306892998982221,3.0,4.6316154999658465,1286.22180379997,0.0021020001731812954,0.09864790015853941,1292.221929299878,1292.4218537498964,6.2318906001746655,6.331568100024015,1312.4052302498603,1312.405310299946,26.21521360008046,26.31495500006713,1313.421748999972,1315.405102299992,1315.405102299992,0.01505920011550188,0.1149248001165688,1345.4048988998402,30.01481320010498,1293.4383853999898,,,,,,,30.09800220024772,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1345.521851999918,-0.0006406998727470636,0.09816120006144047,6.014791100053117,1351.504883899819,,1351.6382471998222,1351.6382471998222,0.014989699935540557,0.11473149992525578,space,2.8698714999482036,1354.5715905998368,1354.5715905998368,6.189988926053047e-05,0.09777690004557371,num_9,1.1852422000374645,1355.8216397500364,0.0024400001857429743,0.09805450006388128,1356.1215339000337,1356.6215850500157,1356.9381337999366,1357.4050623498624,1357.7215280998498,1357.804896199843,1365.8215194998775,1365.8215194998775,1365.8215027499245,0.0012719000224024057,0.09799250005744398,1366.8551695998758,1367.8381880999077,1368.0048513999209,1368.5048835999332,10.014588600024581,1375.9380087000318,0.017636599950492382,1375.9380087000318,0.11463540000841022,6.0,2.4983206000179052,1378.4716890999116,0.0015644000377506018,0.09915390005335212,1384.4882267999928,1384.6546611498343,6.215768000110984,6.315817900002003,1404.6545456500025,1404.6547191999853,26.215784100117162,26.31565190013498,1405.6713902999181,1407.6546632000245,1407.6546632000245,0.015759100206196308,0.11564730014652014,1437.6545587000437,30.01558900019154,1385.671615500003,,,,,,,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1437.787984599825,0.016140100080519915,0.11549940006807446,6.015480499947444,1443.7877696000505,,1443.8878537998535,1443.8878537998535,0.015503800008445978,0.11563959997147322,space,1.8841899998951703,1445.8042456000112,1445.8042456000112,1.1599855497479439e-05,0.08272970002144575,num_9,1.505182299995795,1447.3712861499516,0.0023733999114483595,0.09730280004441738,1447.6710445999634,1448.1543730498524,1448.4711765998509,1448.9543637499446,1449.2714040998835,1449.3544252000283,1457.3375299999025,1457.3375299999025,1457.3542932498967,0.013525999849662185,0.0969696999527514,1458.3675459998194,1459.3339480999857,1459.5375478998758,1460.020922999829,10.009982599876821,1467.450697900029,0.010065499925985932,1467.450697900029,0.0968910998199135,2.0,10.237018399871886,1477.7374631999992,0.0011613999959081411,0.09916669991798699,1483.720801899908,1483.9172074500239,6.212337899953127,6.295836400007829,1503.9210317499237,1503.9210625998676,26.216336499899626,26.31607469986193,1504.9209228998516,1506.9375982999336,1506.9375982999336,0.0016962001100182533,0.09923749999143183,1536.9541761998553,30.016227199928835,1484.9207492999267,10.093247399898246,,,,,,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537.0541487999726,0.016442699823528528,0.11568109993822873,30.011942999903113,1567.0500967998523,,30.09522240003571,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1567.116767599946,0.011852199910208583,0.09885319974273443,6.011984499869868,1573.1000478998758,6.098838199861348,1573.2370637999848,1573.2370637999848,-0.0008020002860575914,0.09879419975914061,space,2.214816300198436,1575.483421599958,1575.483421599958,2.1900050342082977e-05,0.08636189997196198,num_9,1.7770432000979781,1577.3038479498355,0.0006695999763906002,0.11269300011917949,1577.6204536999576,1578.070416750037,1578.370420999825,1578.8704239499057,1579.1703490999062,1579.266728800023,1587.253608699888,1587.253608699888,1587.270277949865,-0.0005749000702053308,0.08268050011247396,1588.2703656000085,1589.2537934998982,1589.453697499819,1589.9500777998473,9.999288100050762,1597.3833442998584,0.012392799835652113,1597.3833442998584,0.09563079988583922,2.0,7.416560600046068,1604.8368883999065,0.0012819000985473394,0.09904050012119114,1610.8333941998426,1611.0035286500352,6.199028400005773,6.282430800143629,1631.0037176498445,1631.003602199955,26.19917990011163,26.299264200031757,1632.0203337999992,1634.0203174999915,1634.0203174999915,0.01605030009523034,0.11605140008032322,1664.0034443999175,30.015471200225875,1612.0038383998908,10.082830999977887,,,,,,30.098783400142565,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1664.1199741999153,-0.0006678998470306396,0.08211850002408028,6.015454099979252,1670.1032876998652,6.098761700093746,1670.2199011999182,1670.2199011999182,0.015603200066834688,0.11176489992067218,space,1.184732599882409,1671.436540799914,1671.436540799914,1.0400079190731049e-05,0.09595960006117821,num_9,1.7122072000056505,1673.1865714498563,0.0008151000365614891,0.11242850008420646,1673.4869039000478,1673.9532531498699,1674.2534341998398,1674.7532546500443,1675.0700109000318,1675.136580399936,1683.1199250000063,1683.1365660999436,1683.153261850006,-0.000395399983972311,0.0828857000451535,1684.1698386999778,1685.1328377998434,1685.3365002998617,1685.8198676998727,9.999323300085962,1693.269874499878,0.016067199874669313,1693.269874499878,0.11599089996889234,6.0,2.266534599941224,1695.5699666000437,0.0019402001053094864,0.09891290008090436,1701.5531448998954,1701.74961145001,6.2118820999749005,6.298853599932045,1721.7531960498309,1721.7363378000446,26.215311700012535,26.29905409994535,1722.7531997000333,1724.7327707000077,1724.7327707000077,0.011781700188294053,0.0986940001603216,1754.7195241998415,30.01520390016958,1702.749496199889,10.082672799937427,,,,,,,,3419,Gustatory,2025-02-04_13h56.42.995,Gustatory_Condition_v2,2022.2.5,30.00077702953423,
