Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,p_port_5.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_18.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,945.4976793006063,0.014469601213932037,0.11383140087127686,6.013801099732518,951.4974882006645,,951.5975186992437,951.5975186992437,0.013960100710391998,0.11380700021982193,space,2.345405500382185,953.980915799737,953.980915799737,4.410184919834137e-05,0.09783640131354332,num_9,3.089316299185157,957.114164750278,0.0020148009061813354,0.09807250089943409,957.4308195002377,957.8976610500365,958.1974676009268,958.6973028492182,,959.0974895004183,967.1141206007451,967.1141206007451,967.1140711504966,0.0014610998332500458,0.09797910042107105,968.1307855993509,969.1140689998865,969.2806014996022,969.7640036996454,10.031297700479627,977.264083199203,0.03420620039105415,977.264083199203,0.14779539965093136,4.0,6.88143889978528,984.1643206998706,0.0026672016829252243,0.09811470098793507,990.1806898992509,990.34736495018,6.214349001646042,6.314336201176047,,1010.347150850296,1010.347270000726,26.214294800534844,26.314267801120877,,1013.3472281005234,1013.3472281005234,0.014291401952505112,0.11424580216407776,1043.3471489995718,30.01418680138886,,,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043.4804781004786,0.014452502131462097,0.11410290189087391,1073.4803292993456,30.01402130164206,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1073.5803640000522,0.016061902046203613,0.1139949019998312,6.014134902507067,1079.5803101994097,,1079.6803287994117,1079.6803287994117,0.014140602201223373,0.11404300294816494,space,1.7178287990391254,1081.4469739999622,1081.4469739999622,3.42000275850296e-05,0.0979228988289833,num_9,3.935640700161457,1085.4469641495496,0.0020195990800857544,0.09801810048520565,1085.7469420004636,1086.2469725508242,1086.5467821992934,1087.0301315497607,1087.3302906006575,1087.430294400081,1095.4302613008767,1095.4302613008767,1095.430114249885,0.014615999534726143,0.11450590007007122,1096.4302053991705,1097.4134321007878,1097.6302426997572,1098.1469164006412,10.014467399567366,1105.5633827000856,0.01642480120062828,1105.5633827000856,0.11423389986157417,2.0,3.9656390007585287,1109.5635147001594,0.003964399918913841,0.09735730104148388,1115.5801813993603,1115.7468526504933,6.214170601218939,6.297407200559974,1116.7467832993716,1135.7467658493667,1135.746778499335,26.21395909972489,26.313934801146388,1136.7468795999885,1138.7468752004206,1138.7468752004206,0.014091001823544502,0.1138968002051115,1168.763324700296,30.030518701300025,,,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1168.8966355007142,0.031366001814603806,0.13041970133781433,6.030466701835394,1174.896652199328,,1174.996634799987,1174.996634799987,0.030504001304507256,0.13043390214443207,space,3.361750101670623,1178.396612200886,1178.396612200886,4.009902477264404e-05,0.09773020073771477,num_9,3.6018298007547855,1182.063091750443,0.0006089992821216583,0.1162647008895874,1182.3799277003855,1182.8299314502626,1183.1298565994948,1183.6465807493776,1183.9464705996215,1184.0298931002617,1192.0298890005797,1192.0298890005797,1192.0298496495932,-0.00032709911465644836,0.09941220097243786,1193.0298832003027,1194.046546800062,1194.246509399265,1194.7632034998387,10.016199799254537,1202.1796917002648,0.019132200628519058,1202.1796917002648,0.11616449989378452,5.0,1.8314148988574743,1204.046788400039,0.002711299806833267,0.09742849878966808,1210.0631284993142,1210.2297919496893,6.214116400107741,6.314108200371265,1211.229766799137,1230.2295457508415,1230.2128695994616,26.213964998722076,26.314014799892902,1231.2297139000148,1233.2296968009323,1233.2296968009323,0.014079200103878975,0.11402990110218525,1263.212762100622,30.013584800064564,,30.097046200186014,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1263.3462039995939,0.030689001083374023,0.13045040145516396,6.030617900192738,1269.3462658002973,,1269.4629145003855,1269.4629145003855,0.013934900984168053,0.11386490054428577,space,3.4399263001978397,1272.9461920000613,1272.9461920000613,5.020014941692352e-05,0.09805580042302608,num_9,2.1084716003388166,1275.09620995,0.0019437000155448914,0.0979813002049923,1275.3961506001651,1275.896092350781,,1276.6794033508747,1276.9795401003212,1277.079582799226,1285.0961550995708,1285.0961550995708,1285.096135149896,0.001454399898648262,0.09794409945607185,1286.0960556995124,1287.096146499738,1287.2626968994737,1287.7794808000326,10.0311986990273,1295.2127615995705,0.016989100724458694,1295.2127615995705,0.11463000066578388,3.0,2.4318070989102125,1297.6798002999276,0.001633601263165474,0.09923610091209412,1303.6794167999178,1303.8794196501374,6.199054900556803,6.299019301310182,1304.8793049007654,1323.862559749931,1323.8625876009464,26.21555449999869,26.315701700747013,1324.879357000813,1326.8625146001577,1326.8625146001577,0.015473902225494385,0.1156185008585453,1356.862590899691,30.01569660194218,,,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1356.9960325006396,0.01631600223481655,0.11548290215432644,6.032155901193619,1363.0124903004616,,1363.112516099587,1363.112516099587,0.03223910182714462,0.13214930146932602,space,2.797799799591303,1365.9458342995495,1365.9458342995495,3.330036997795105e-05,0.09801659919321537,num_9,4.1890587992966175,1370.1958597499877,0.002172499895095825,0.09799950011074543,1370.495747499168,1370.995812150836,1371.2957301996648,1371.795791049674,1372.0958021003753,1372.1791268996894,1380.1957869008183,1380.1957869008183,1380.195857149735,0.0012996997684240341,0.09795769862830639,,1382.2123352009803,1382.3957684002817,1382.895663600415,10.014445699751377,1390.2920912001282,0.01277099922299385,1390.2920912001282,0.09388219937682152,3.0,2.25271650031209,1392.5960176996887,0.0015789996832609177,0.09916660003364086,1398.6123644001782,1398.7790266491472,6.215940499678254,6.3158074002712965,1399.7790010999888,1418.778862049058,1418.7791121006012,26.21596479974687,26.31571989879012,1419.7789558004588,1421.7956585995853,1421.7956585995853,0.001537499949336052,0.09904760122299194,1451.7954792995006,29.999148100614548,,30.098776500672102,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1451.8954949006438,-6.010010838508606e-05,0.0989909004420042,6.032312400639057,1457.8954757992178,,1458.0287679005414,1458.0287679005414,0.03248250111937523,0.1322322003543377,space,3.434068400412798,1461.5121593996882,1461.5121593996882,3.769993782043457e-05,0.09801880083978176,num_9,3.0222948007285595,1464.5787982504814,0.0020028986036777496,0.09814449958503246,1464.8788689002395,1465.3786397494375,1465.6788343004882,1466.1619911503046,1466.4786729998887,1466.5622195005417,1474.5621646996588,1474.5621646996588,1474.5620503492653,0.014744499698281288,0.11455830000340939,1475.5787231009454,1476.5787394996732,1476.7787251006812,1477.2954575996846,10.014378098770976,1484.6785777006298,-0.0003482997417449951,1484.6785777006298,0.09779479913413525,2.0,3.7992142997682095,1488.512491600588,0.002411000430583954,0.09773620031774044,1494.511843599379,1494.6952819500118,6.214538998901844,6.314573800191283,1495.6952631995082,1514.6951039500534,1514.6952305007726,26.214522199705243,26.314462199807167,,1517.6952152997255,1517.6952152997255,0.014567200094461441,0.13112980127334595,1547.6950739994645,30.01438830047846,10.097650999203324,,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1547.8452433999628,0.031494200229644775,0.13126290030777454,1577.84497419931,30.030876901000738,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1577.9282361995429,0.01468610018491745,0.13096250034868717,6.014300301671028,1583.9282716996968,,1584.0114377997816,1584.0114377997816,0.013967500999569893,0.09748560190200806,space,2.979460099712014,1587.0449425000697,1587.0449425000697,2.3799017071723938e-05,0.09843269921839237,num_9,3.233483400195837,1590.3283517502248,0.0021637994796037674,0.09775609895586967,1590.6282521001995,1591.1114546500146,1591.4282235000283,1591.9282112505286,1592.2282787002623,1592.3282674998045,1600.3281853999943,1600.3281853999943,1600.3282058492302,0.001352500170469284,0.09779660031199455,1601.344736000523,1602.3449390009046,1602.4947370998561,1602.9784005004913,10.014305800199509,1610.444787800312,0.01706469990313053,1610.444787800312,0.11422649957239628,2.0,4.364760799333453,1614.845126900822,0.0016735997051000595,0.09926969930529594,1620.8450301997364,1621.01151204966,6.199110999703407,6.299157500267029,1622.0281320996583,1641.0279080506414,1641.0280393008143,26.21581380069256,26.332349000498652,1642.028024399653,1644.0075972992927,1644.0075972992927,0.011731000617146492,0.095243901014328,1674.0113420002162,29.999103501439095,,30.098648700863123,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1674.144538000226,-0.0006366986781358719,0.09887600131332874,6.015587700530887,1680.161213800311,,1680.2613862007856,1680.2613862007856,0.01564900204539299,0.11555080115795135,space,3.2249178998172283,1683.544558700174,1683.544558700174,6.0498714447021484e-05,0.09814279899001122,num_9,2.9903503004461527,1686.5779573500156,0.0021896008402109146,0.09806380048394203,1686.8779790997505,1687.361080750078,1687.677884100005,1688.161088849604,1688.477964900434,1688.5778279993683,1696.5779154002666,1696.5779154002666,1696.5778055500239,0.0014952998608350754,0.0979945007711649,,1698.577796600759,1698.7777910996228,1699.2610602993518,10.014588199555874,1706.7110060993582,0.03414200060069561,1706.7110060993582,0.13110440038144588,3.0,4.631274899467826,1711.3777844998986,0.001960698515176773,0.09897519834339619,1717.3777980003506,1717.561034950614,6.215584598481655,6.315474098548293,1718.5776672009379,1737.5609261497855,1737.5609812997282,26.215568399056792,26.315735399723053,1738.57761069946,1740.5609700996429,1740.5609700996429,0.015579300001263618,0.11550959944725037,1770.5607977993786,30.015399100258946,,,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,1770.6940106991678,0.016156500205397606,0.11536280065774918,6.01533930003643,1776.6941624991596,,1776.794205199927,1776.794205199927,0.015215501189231873,0.11545650102198124,space,3.068173499777913,1779.9107773005962,1779.9107773005962,4.079937934875488e-05,0.09799890033900738,num_9,6.432116800919175,1786.3774272494018,0.002289300784468651,0.09810669906437397,1786.6773422006518,1787.1607442490756,1787.4773913994431,1787.9606840491294,1788.2606546003371,1788.360775899142,1796.3606956005096,1796.3606956005096,1796.3605568494647,0.014809699729084969,0.11472490057349205,1797.3607119005173,1798.3437980003655,1798.577643899247,1799.0773674007505,10.014635600149632,1806.4941079001874,0.016559800133109093,1806.4941079001874,0.11491619981825352,4.0,4.199041599407792,1810.7276997994632,0.002497199922800064,0.0976181011646986,1816.7440000995994,1816.9106227505952,6.214252300560474,6.314243000000715,1817.9107578992844,1836.910536750406,1836.910597100854,26.214284600690007,26.31422240100801,1837.9272149000317,1839.9273074995726,1839.9273074995726,-8.749961853027344e-05,0.09747260063886642,1869.927067099139,30.0307530015707,,,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,1870.0605264995247,0.031512102112174034,0.1307435017079115,6.013986902311444,1876.077024800703,,1876.1436976008117,1876.1436976008117,0.014099301770329475,0.11396150104701519,space,2.8470153994858265,1879.0437410995364,1879.0437410995364,4.360079765319824e-05,0.09810269996523857,num_9,3.2822987008839846,1882.3603351499885,0.0017444007098674774,0.09784260019659996,1882.6603650003672,1883.160330849886,1883.4937015995383,1883.9435613501817,1884.2603408005089,1884.3603309001774,1892.3603322003037,1892.3603322003037,1892.360302549973,0.0013471003621816635,0.09800060093402863,1893.3603502996266,1894.3602737002075,1894.5603119004518,1895.0604516994208,10.014472199603915,1902.4769521001726,0.017439400777220726,1902.4769521001726,0.11478830128908157,2.0,3.4645792003721,1905.9772954005748,0.003487398847937584,0.09804669953882694,1911.9936378002167,1912.1602250497788,6.214540999382734,6.314626099541783,1913.1603446006775,1932.1601418491452,1932.160288799554,26.21469460055232,26.31447990052402,1933.1934926994145,1935.1601410992444,1935.1601410992444,0.014620300382375717,0.11444570124149323,1965.160023700446,30.014407301321626,,,,,,,,6466,Gustatory,2024-07-03_09h53.55.475,Gustatory_Condition_v2,2022.2.5,29.960374434901183,
