Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Roll_liquid_taste.stopped,p_port_5.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,934.2371794003993,0.03299510106444359,0.13219550251960754,940.2538252994418,6.015536701306701,940.320494800806,940.320494800806,0.015728801488876343,0.11546340212225914,space,1.2286156993359327,941.5872581005096,941.5872581005096,4.930049180984497e-05,0.09786860086023808,num_9,3.185990300029516,944.8371424490585,0.0023455005139112473,0.09804539941251278,945.1370921991765,945.6203376503661,945.9205361008644,946.4371486494317,,946.8371047005057,954.8537930008024,954.8537652494385,0.017656099051237106,0.11472569964826107,955.8704406991601,956.8537345007062,957.037097800523,957.5370710995048,10.014617899432778,,964.9536461997777,0.017405400052666664,964.9536461997777,0.11470120027661324,4.0,1.9983070008456707,966.9874301999807,0.0016041994094848633,0.09935210086405277,972.9868740998209,973.1536104494705,6.215709000825882,6.315829999744892,974.170254200697,993.1536033490672,993.1535947006196,26.199160499498248,26.299093700945377,994.170395700261,996.1537212003022,996.1537212003022,-0.0007085986435413361,0.09908080101013184,1026.1533787008375,30.01566450111568,,,,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.3034610990435,0.015978701412677765,0.11568370088934898,30.032310301437974,1056.3200924992561,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
2,0,2,0,0,0,0,0,,,,,,,,,,,,1056.403694299981,0.016545601189136505,0.11578220129013062,1062.4200015999377,6.032238001003861,1062.5033365990967,1062.5033365990967,0.015712302178144455,0.1155502013862133,space,2.0940488018095493,1064.6533458996564,1064.6533458996564,3.7301331758499146e-05,0.09797650016844273,num_9,3.231426201760769,1067.9199847506359,0.002064300701022148,0.09797240048646927,1068.2365681994706,1068.7033429501578,1069.0200098007917,1069.5199670495465,1069.8201538994908,1069.9200270995498,1077.9365857001394,1077.936593450792,0.017226500436663628,0.1145773995667696,,1079.9365973994136,1080.1033529005945,1080.586471799761,10.014616400003433,,1088.036381099373,0.01722249947488308,1088.036381099373,0.11466589942574501,3.0,3.0982885006815195,1091.1700468007475,0.0015399996191263199,0.0991439986974001,1097.1698276996613,1097.353182450123,6.215746499598026,6.31576419994235,1098.3698228001595,1117.3697688506916,1117.353240000084,26.215900499373674,26.31575739942491,,1120.3530860003084,1120.3530860003084,0.01581919938325882,0.11570939980447292,1150.3529557995498,30.015577100217342,,,,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
2,0,2,0,1,0,1,0,,,,,,,,,,,,1150.4863005001098,0.01634950004518032,0.11559400148689747,1156.5029619000852,6.032245900481939,1156.6030876990408,1156.6030876990408,0.03237930126488209,0.13217030093073845,space,1.0816869996488094,1157.7363578993827,1157.7363578993827,4.1699036955833435e-05,0.09815029986202717,num_9,3.084762701764703,1160.869639149122,0.002073001116514206,0.09806500002741814,1161.1697361003608,1161.6696187501773,1161.9695660006255,1162.4696190489456,1162.7696279995143,1162.8529189005494,1170.8530391007662,1170.8529304491356,0.014842500910162926,0.11466750130057335,1171.8695659004152,1172.8695787005126,1173.069549800828,1173.5862079001963,10.014657700434327,,1180.9861207995564,0.017350101843476295,1180.9861207995564,0.1144844014197588,4.0,2.198199599981308,1183.2197510991246,0.0027473997324705124,0.09742999821901321,1189.2195002995431,1189.4027929494157,6.213851198554039,6.297483399510384,1190.4194891005754,1209.402603350766,1209.402747400105,26.214024998247623,26.31398039869964,1210.4193965997547,1212.419411700219,1212.419411700219,-0.00017750076949596405,0.09725050069391727,1242.4024158995599,30.01369269937277,1170.8530391007662,,30.097088800743222,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
2,0,2,0,2,0,2,0,,,,,,,,,,,,1242.5192699991167,0.030577199533581734,0.13050330057740211,1248.5359342992306,6.013787500560284,1248.6358938999474,1248.6358938999474,0.013960899785161018,0.11395320110023022,space,1.2491041999310255,1249.9361182991415,1249.9361182991415,4.760175943374634e-05,0.09769590012729168,num_9,3.1248155012726784,1253.1192474497482,0.0023961011320352554,0.09802320040762424,1253.4192654006183,1253.919250250049,,1254.7024280505254,1255.0192112997174,1255.1192208006978,1263.1191809996963,1263.1192234495654,0.0017342008650302887,0.09802970103919506,1264.1191623993218,1265.1191428005695,1265.302518799901,1265.8024879004806,10.014561600983143,,1273.235665699467,0.01728230156004429,1273.235665699467,0.11450839973986149,5.0,5.764955399557948,1279.0361563004553,0.0024199001491069794,0.09936789982020855,1285.0357770994306,1285.2023906504735,6.199182501062751,6.299204399809241,1286.2024659998715,1305.2189946493133,1305.2190249990672,26.215817799791694,26.31578589975834,1306.2188939005136,1308.2356908991933,1308.2356908991933,0.0015877000987529755,0.09907030127942562,1338.252202199772,30.01565060019493,1263.1191809996963,,,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
2,0,2,0,3,0,3,0,,,,,,,,,,,,1338.352201199159,0.01639690063893795,0.11568060144782066,1344.368870800361,6.032266201451421,1344.468944400549,1344.468944400549,0.032373301684856415,0.13227080181241035,space,1.3604423999786377,1345.8688516002148,1345.8688516002148,3.929995000362396e-05,0.09791260026395321,num_9,3.488467799499631,1349.40221264977,0.0022109001874923706,0.09791729971766472,1349.7021027002484,1350.1855326501652,1350.5022066999227,1350.985690450482,1351.3021520003676,1351.4021511990577,1359.4021096993238,1359.4021252507343,0.0007910002022981644,0.09783880040049553,1360.4021019004285,1361.418761299923,1361.585446400568,1362.0854369997978,10.03119339980185,,1369.5353252999485,0.03399059921503067,1369.5353252999485,0.13106760010123253,4.0,2.4649321008473635,1372.035730600357,0.002200700342655182,0.09928980097174644,1378.0520635005087,1378.2188068499788,6.215693600475788,6.2991802003234625,,1398.2186129504814,1398.2186824008822,26.215854700654745,26.315757600590587,1399.2185311000794,1401.2187702003866,1401.2187702003866,0.015977300703525543,0.11575910076498985,1431.2351462002844,29.99910020083189,1359.4021096993238,,30.098870001733303,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
2,0,2,0,4,0,4,0,,,,,,,,,,,,1431.3351952005178,7.380172610282898e-05,0.09899990074336529,1437.3351553995162,5.999382201582193,1437.435160299763,1437.435160299763,-0.0003272984176874161,0.09894370101392269,space,1.0179038997739553,1438.5018026996404,1438.5018026996404,3.42000275850296e-05,0.09829909913241863,num_9,3.447229200974107,1442.001807348989,0.002008199691772461,0.09789510071277618,1442.301680099219,1442.8017989492043,1443.1019739005715,1443.5850282499566,1443.901786800474,1444.0017597991973,1452.018388800323,1452.0184446500614,0.01710429973900318,0.11448690108954906,,1454.0183802992105,1454.1850748993456,1454.7017759997398,10.031203700229526,,1462.118517799303,0.015064800158143044,1462.118517799303,0.1144563015550375,3.0,2.7339142989367247,1464.8850763998926,0.0016581006348133087,0.09920900128781796,1470.9016753993928,1471.0683760495856,6.215862499549985,6.315814200788736,1472.0681918002665,1491.084911350347,1491.084941899404,26.19905349984765,26.29910279996693,1492.1015384998173,,1494.1016626991332,0.01751290075480938,0.11571190133690834,1524.1182062998414,30.032286101952195,,6.098869901150465,,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1524.2181061003357,0.032593000680208206,0.13224460184574127,30.032144401222467,1554.2181150000542,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
3,0,3,0,0,0,0,0,,,,,,,,,,,,1554.3013336993754,0.017254002392292023,0.11546050198376179,1560.3177988994867,6.032105101272464,1560.4013320002705,1560.4013320002705,0.01545640267431736,0.11544850282371044,space,2.0040892995893955,1562.4681944996119,1562.4681944996119,4.0899962186813354e-05,0.09697329998016357,num_9,4.4652471002191305,1566.9846467489376,0.002168400213122368,0.09784430079162121,1567.301293199882,1567.7679567506536,1568.0678950995207,1568.5678318498656,,1568.968029499054,1576.967889599502,1576.9679280502721,0.014528701081871986,0.1144833005964756,,1578.984540000558,1579.1845446992666,1579.6845113001764,10.014260100200772,10.097676400095224,1587.0843924991786,0.0011059008538722992,1587.0843924991786,0.09758440032601357,5.0,2.1646424997597933,1589.2847278993577,0.0016361009329557419,0.09875480085611343,1595.2846023999155,1595.4676784502342,6.2153061013668776,6.298693500459194,1596.4677115008235,1615.4845338502898,1615.4844035003334,26.232158301398158,26.331932300701737,1616.5010759998113,1618.4843441005796,1618.4843441005796,0.0011446010321378708,0.09861220233142376,1648.484290599823,30.03205850161612,1576.967889599502,,,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
3,0,3,0,1,0,1,0,,,,,,,,,,,,1648.6176030002534,0.032705601304769516,0.1319860015064478,1654.6175832003355,6.031938901171088,1654.7175612002611,1654.7175612002611,0.032133202999830246,0.13190970197319984,space,0.8158998005092144,1655.5842582006007,1655.5842582006007,3.559887409210205e-05,0.09779579937458038,num_9,3.532941499724984,1659.1677620505914,0.0018486995249986649,0.09791500121355057,1659.4674669001251,1659.967572650127,1660.2674465999007,1660.7507460491731,1661.0508290994912,1661.1508920993656,1669.1675269007683,1669.167485950701,0.0010867007076740265,0.0978584997355938,1670.1674684993923,1671.1842202991247,1671.350847600028,1671.8508400004357,10.014373499900103,10.097666800022125,1679.2672863993794,2.3700296878814697e-05,1679.2672863993794,0.09775010123848915,3.0,3.3320448007434607,1682.6342437006533,0.0032936986535787582,0.09727049991488457,1688.63407940045,1688.8343094496056,6.23054219968617,6.330588698387146,1689.8507911991328,1708.817355649732,1708.817344199866,26.213887298479676,26.313723599538207,,1711.8173143006861,1711.8173143006861,0.013853099197149277,0.1138129997998476,1741.8171848002821,30.013695100322366,1669.1675269007683,,,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
