Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_18.stopped,Begin_Rinse.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,980.7619206011295,0.014832701534032822,0.11414330080151558,986.7618752010167,6.014092700555921,986.8618545997888,986.8618545997888,0.014232201501727104,0.11406240053474903,space,2.4433580990880728,989.3452528007329,989.3452528007329,2.0500272512435913e-05,0.09901499934494495,num_9,5.40724310092628,994.7952054403722,0.00202300027012825,0.09787609986960888,,995.5784854404628,995.8950360994786,996.3785893395543,996.6951951999217,996.7786771003157,1004.7951462995261,1004.7951462995261,1004.7951489407569,0.001173200085759163,0.09787429869174957,1005.7949673999101,1006.7951303999871,1006.9952553007752,1007.4949431996793,10.014576399698853,1014.9116894993931,0.01707790046930313,1014.9116894993931,0.11456000059843063,1.0,2.0982980001717806,1017.0453219003975,0.001680498942732811,0.09906229935586452,1023.0450368002057,1023.2450694404542,6.199031399562955,6.299072999507189,1043.2282321397215,1043.2282843012363,26.215635299682617,26.31576049886644,1044.2281778994948,1046.2451213002205,1046.2451213002205,0.001378299668431282,0.09894059970974922,1076.2446721997112,30.015315499156713,30.09860200062394,,1024.2448993008584,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1076.344859400764,-0.0007987003773450851,0.09883370064198971,1106.327946100384,30.015298299491405,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1106.4615126997232,0.017470700666308403,0.11550960130989552,1112.4613665994257,6.015489799901843,1112.5612388011068,1112.5612388011068,0.01564140059053898,0.11537040024995804,space,2.1278248988091946,1114.7282424010336,1114.7282424010336,9.090080857276917e-05,0.09766560047864914,num_9,5.192784899845719,1119.9615361411124,0.0019822008907794952,0.09762359969317913,1120.278007099405,1120.7445283401757,,1121.5445414409041,1121.8614368997514,1121.961334200576,,1129.9781283009797,1129.9780557397753,0.017282700166106224,0.1142228003591299,,1131.9947285000235,1132.1612755004317,1132.661261100322,10.030795400962234,1140.0943916998804,0.033797601237893105,1140.0943916998804,0.13082650117576122,3.0,5.831359101459384,1145.961471401155,0.0015273988246917725,0.09913050010800362,1151.9778260998428,1152.144503440708,6.215730398893356,6.315567899495363,1172.161102540791,1172.161098100245,26.23237629979849,26.332327200099826,1173.1778060998768,,1175.1777892000973,0.01753469929099083,0.11552480049431324,1205.1942696999758,30.032284500077367,,,1153.144553700462,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1205.277599601075,0.015927201136946678,0.11565210111439228,1211.2775237001479,6.015619101002812,1211.3776453994215,1211.3776453994215,0.015482701361179352,0.11547090113162994,space,1.9516832996159792,1213.3776274006814,1213.3776274006814,4.2399391531944275e-05,0.09810869954526424,num_9,4.495256099849939,1217.910990940407,0.0018331985920667648,0.09799449890851974,1218.210900200531,1218.6940311398357,1219.0110247004777,1219.4941494408995,1219.8109315000474,1219.8942523002625,1227.8772714994848,1227.8772714994848,1227.8942308407277,0.01441659964621067,0.09775219857692719,1228.9108387995511,1229.8607071004808,1230.0941837001592,1230.6108871996403,10.014534499496222,1238.027454501018,0.016224099323153496,1238.027454501018,0.11442099884152412,2.0,3.06601469963789,1241.1278170011938,0.0017448998987674713,0.09948309883475304,1247.1274645999074,1247.2941145393997,6.19915839843452,6.299199599772692,1267.3107628393918,1267.310714500025,26.215796999633312,26.315770098939538,1268.3275588005781,1270.327376101166,1270.327376101166,0.00024480000138282776,0.11599849909543991,1300.3272824008018,30.03236600011587,,,1248.3107738010585,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1300.4605529010296,0.03302370011806488,0.13226940110325813,1306.460534401238,6.032275799661875,1306.5438736006618,1306.5438736006618,0.01562740094959736,0.1155519001185894,space,2.3775242995470762,1308.9774901010096,1308.9774901010096,2.7200207114219666e-05,0.0988583005964756,num_9,5.903280599042773,1314.9272378403693,0.002757800742983818,0.09785070084035397,1315.2270531002432,1315.7271736394614,1316.0272263996303,1316.510543840006,1316.8106129001826,1316.8936769999564,1324.910506701097,1324.910506701097,1324.910483840853,0.014526400715112686,0.11444680020213127,1325.9104961007833,1326.9104807004333,1327.1104646995664,1327.6106097996235,10.014224400743842,1335.0437844004482,0.017231499776244164,1335.0437844004482,0.11423310078680515,6.0,3.9647189993411303,1339.0438276994973,0.002002900466322899,0.09784669987857342,1345.0437167994678,1345.2269435394555,6.214614100754261,6.298087500035763,1365.2267782408744,1365.2101115994155,26.21451760083437,26.31452970020473,1366.226855199784,1368.226959099993,1368.226959099993,0.014731401577591896,0.11483450047671795,1398.2436565998942,30.031402800232172,,,,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1398.3601457010955,0.015011601150035858,0.1146353017538786,1404.3768368009478,6.031248802319169,1404.4768043998629,1404.4768043998629,0.03138190135359764,0.13118360191583633,space,3.51612520031631,1408.0268421005458,1408.0268421005458,3.170035779476166e-05,0.09756940044462681,num_9,3.295344900339842,1411.3601546399295,0.002025298774242401,0.09784589894115925,1411.6600612998009,1412.1434514410794,1412.4601252004504,1412.9432803411037,1413.2601223997772,1413.3600750006735,,1421.3767181001604,1421.3767279405147,0.017399700358510017,0.11440799944102764,,1423.3767288010567,1423.5434042010456,1424.060067800805,10.014385100454092,1431.4767601005733,0.017803700640797615,1431.4767601005733,0.11438209936022758,2.0,2.73095260001719,1434.2436126004905,0.002256600186228752,0.09819629974663258,1440.2433461993933,1440.4433740396053,6.231267601251602,6.3147375006228685,1460.4269837401807,1460.4268392007798,26.215057101100683,26.314764300361276,1461.4265379998833,1463.4265694003552,1463.4265694003552,0.01480260118842125,0.11474540084600449,1493.426440101117,30.014645101502538,,,1441.4600518997759,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1493.5429446008056,0.01480870135128498,0.09820320084691048,1499.5430248007178,6.031233601272106,1499.6597656998783,1499.6597656998783,0.014567701146006584,0.11458240263164043,space,1.8860750012099743,1501.5928702000529,1501.5928702000529,2.319924533367157e-05,0.0993540994822979,num_9,7.944521099328995,1509.576491240412,0.0019605010747909546,0.09825609996914864,1509.876267399639,1510.3597268406302,1510.6597480010241,1511.1763430405408,,1511.5428219996393,1519.5596472006291,1519.5596472006291,1519.5597297400236,0.014922501519322395,0.115021001547575,1520.576219201088,1521.5763034000993,1521.7594515010715,1522.2762982007116,10.014647100120783,1529.676111901179,1.9701197743415833e-05,1529.676111901179,0.09796510078012943,5.0,1.3990352004766464,1531.1098009999841,0.001797400414943695,0.09891810081899166,1537.1095544006675,1537.2927417401224,6.231988299638033,6.331976899877191,1557.292836939916,1557.2928289007396,26.215283200144768,26.315349999815226,1558.3094776012003,1560.292788900435,1560.292788900435,0.015273500233888626,0.11534860171377659,1590.292549001053,30.014942100271583,30.09829980134964,10.097957400605083,1538.309590799734,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590.4092258997262,-0.0009042993187904358,0.09841670095920563,1620.4093033000827,30.031786501407623,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1620.5423822999,0.03401710093021393,0.13143250159919262,1626.5424640011042,6.031637901440263,1626.6266016010195,1626.6266016010195,0.014783302322030067,0.11517980135977268,space,1.6863314993679523,1628.3760011009872,1628.3760011009872,4.469975829124451e-05,0.09785670042037964,num_9,5.065213099122047,1633.4925453402102,0.0019380003213882446,0.09782570041716099,1633.8091477993876,1634.2757330406457,1634.5756465997547,1635.0757025405765,1635.3886085003614,1635.4756761994213,1643.4925257004797,1643.4925257004797,1643.4924586396664,0.0008893013000488281,0.09762380085885525,1644.5091038011014,1645.5091162007302,1645.658976700157,1646.1422844994813,10.031052200123668,1653.6256568003446,0.032475000247359276,1653.6256568003446,0.13103970140218735,2.0,2.7663161009550095,1656.425721200183,0.002991199493408203,0.09766790084540844,1662.4423808995634,1662.609008140862,6.214263699948788,6.297491600736976,1682.6089284401387,1682.6089370008558,26.214179400354624,26.314258500933647,1683.6254235003144,1685.625473599881,1685.625473599881,-5.1099807024002075e-05,0.09749740175902843,1715.6252964995801,30.014093400910497,30.097284000366926,,1663.6255750004202,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1715.7254523001611,0.03077620081603527,0.13081940077245235,1721.7420888002962,6.014013901352882,1721.8422371000051,1721.8422371000051,0.01419680193066597,0.11402230150997639,space,4.454736400395632,1726.3420733008534,1726.3420733008534,5.669891834259033e-05,0.09796459972858429,num_9,5.378716301172972,1731.7754067406058,0.0026107989251613617,0.09806429967284203,1732.0752574000508,1732.5586040411144,1732.8752960003912,1733.3753864411265,,1733.7588612996042,1741.7753440011293,1741.7753440011293,1741.7755374405533,0.0018105991184711456,0.09856059961020947,1742.792058300227,1743.7753379996866,1743.9753335006535,1744.4753606002778,10.01456299982965,1751.8751625996083,0.00021849945187568665,1751.8751625996083,0.09790389984846115,4.0,3.5324109997600317,1755.4421151001006,0.0016981009393930435,0.09918189980089664,1761.4586722999811,1761.625273739919,6.216115200892091,6.315659100189805,1781.6251096408814,1781.6252506002784,26.21585590019822,26.31572180055082,,1784.6417331006378,1784.6417331006378,0.001456601545214653,0.0990810003131628,1814.6418276000768,29.999245900660753,30.09882340207696,10.097780199721456,,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
