Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,taste_sound_2.stopped,Roll_liquid_taste.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,919.7111556999735,0.015782700036652386,0.11545209999894723,925.711231299967,6.015424899989739,925.8111588999745,925.8111588999745,0.015402000048197806,0.11547870002686977,space,1.2288901999709196,927.0945694999536,927.0945694999536,4.930002614855766e-05,0.0980371999903582,num_9,2.2496586999623105,929.3780224299466,0.002642699982970953,0.09775790001731366,929.677731499949,930.1611360299925,930.9611617299437,931.2777358999592,931.3778191999882,939.3943963999627,939.3944470299815,0.017219600034877658,0.11441999999806285,940.4111031999928,941.3944272999652,941.5611502999673,942.0610754999798,10.01415950001683,10.097651200019754,949.4775615999824,0.0010785000049509108,949.4775615999824,0.0976653000107035,2.0,3.164195400022436,952.6776148999925,0.003002600045874715,0.09808480000356212,958.6945791000035,958.8610188299848,6.214621700055432,6.31455010001082,959.8775895999861,978.8609633299696,978.8608691999689,26.214502800023183,26.31447240000125,979.8774506999762,981.8775411999668,981.8775411999668,0.0003032000386156142,0.09789299999829382,1011.8773946999572,30.031058399996255,,930.4777834999841,,,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011.9940369999968,0.014428700029384345,0.11427800002275035,30.014021300012246,1041.977105900005,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
2,0,2,0,0,0,0,0,,,,,,,,,,,,1042.09388999996,0.01624430005904287,0.11417570005869493,1048.093814199965,6.030796500039287,1048.193879199971,1048.193879199971,0.014233300113119185,0.11412400007247925,space,0.9263715000124648,1049.1605746999849,1049.1605746999849,3.890000516548753e-05,0.09767970000393689,num_9,1.9277753999922425,1051.1272691299732,0.0019561999943107367,0.09810020000441,1051.427060099959,1051.9272869299807,1052.7272884299805,1053.0271314999554,1053.0937547999783,1061.1271443999722,1061.1271958299972,0.03143999999156222,0.13142240000888705,1062.1270637999987,1063.1103737999802,1063.3104717999813,1063.8104806999909,10.031373800011352,,1071.2603762999643,0.03292580007109791,1071.2603762999643,0.1312081000651233,3.0,3.7327029000152834,1075.0273831999511,0.002535999985411763,0.09743979998165742,1081.0437205999624,1081.2104408299842,6.21408160001738,6.314303399994969,1082.2269501999835,1101.210293329967,1101.210304499953,26.214041300001554,26.31418579997262,1102.2105333999498,1104.2102791999932,1104.2102791999932,0.014038599969353527,0.11396250000689179,1134.2268046999816,30.030534199962858,,1052.2270637999754,1061.0937962000025,,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
2,0,2,0,1,0,1,0,,,,,,,,,,,,1134.3601432999712,0.03120239998679608,0.13047229999210685,1140.3768432999495,6.013822000008076,1140.4434489999549,1140.4434489999549,0.013899200013838708,0.11381720000645146,space,0.7249322999850847,1141.2101049000048,1141.2101049000048,4.190002800896764e-05,0.09807479998562485,num_9,3.462236999999732,1144.7268288299733,0.002271000004839152,0.11490609997417778,,1145.510068929993,1146.310127429961,1146.6100374999805,1146.7100982999546,1154.7100775999716,1154.7100991299435,0.014942899986635894,0.11494960001436993,1155.7100322999759,1156.7100671999506,1156.9100057999603,1157.4100329999928,10.014609600009862,10.098026899970137,1164.8265322999796,0.001624800032004714,1164.8265322999796,0.09813540003960952,5.0,3.164021499978844,1168.0267425999627,0.003306100028567016,0.0973937000380829,1174.0266319999937,1174.2099060299865,6.214065300009679,6.314017900032923,1175.2099255999783,1194.2098231299956,1194.2099043999915,26.214143300021533,26.313961400010157,1195.209794699971,1197.2264971999684,1197.2264971999684,-0.0002758000046014786,0.09727139997994527,1227.2264335999498,30.03062979999231,,1145.810083599994,1154.7100775999716,,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
2,0,2,0,2,0,2,0,,,,,,,,,,,,1227.359688299999,0.03127670002868399,0.13045210001291707,1233.359579699987,6.030419200018514,1233.4429967000033,1233.4429967000033,0.0138322000275366,0.11375770007725805,space,0.49302449997048825,1233.9763043999556,1233.9763043999556,4.6600005589425564e-05,0.09751870000036433,num_9,7.015254999976605,1241.043191529991,0.0018837000243365765,0.0978639000095427,1241.3596044000005,1241.82620592998,1242.6263621299936,1242.9262538999901,1243.0429291999899,1251.0595500000054,1251.0596905299521,0.017509000026620924,0.11460410000290722,1252.0595614999766,1253.059547199984,1253.2094214999815,1253.7262213999638,10.014535300026182,,1261.1595171999652,0.017534400045406073,1261.1595171999652,0.11446090001845732,4.0,3.131082099978812,1264.3264366999501,0.002673799986951053,0.09790689998771995,1270.3259715999593,1270.5094617299678,6.214417600014713,6.314524799992796,1271.5094646999496,1290.509528829955,1290.5093672999647,26.214475599990692,26.3145102999988,1291.509317499993,1293.5093694999814,1293.5093694999814,0.01450639998074621,0.1144501999951899,1323.5258585999836,30.030967800004873,,,,,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
2,0,2,0,3,0,3,0,,,,,,,,,,,,1323.6591839999892,0.03169400000479072,0.1309507000260055,1329.6758322999813,6.014244400023017,1329.7424975999747,1329.7424975999747,0.01440880005247891,0.11420090007595718,space,0.16128580004442483,1329.9425169999595,1329.9425169999595,3.8300000596791506e-05,0.09792589995777234,num_9,2.5378334000124596,1332.5259130299733,0.0026206999900750816,0.09799119998933747,1332.8259800999658,1333.3090938299488,1334.1258775299707,,1334.5258282999857,1342.5424559999956,1342.5425114299928,0.0174682000069879,0.11456469999393448,1343.5591223999509,1344.5590749999974,1344.7091397999902,1345.20906199998,10.014648400014266,,1352.6422866999637,0.017305700050201267,1352.6422866999637,0.11457440000958741,4.0,2.7314799000159837,1355.40944399999,0.0036315000033937395,0.09744420001516119,1361.4256793999812,1361.592322529998,6.2142256000079215,6.314146500022616,1362.609029299987,1381.5886342299696,1381.5719275999581,26.210271600051783,26.293565100000706,1382.6088440999738,1384.5755970999599,1384.6089740999741,0.03077140002278611,0.13064420002046973,1414.625438899966,30.013841999985743,,1333.6258615999832,,,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
2,0,2,0,4,0,4,0,,,,,,,,,,,,1414.7254671999835,0.014619700028561056,0.11384550004731864,1420.7085813999875,6.0136592000490054,1420.808650699968,1420.808650699968,0.03092840005410835,0.13043360004667193,space,0.5837178000365384,1421.4421054999693,1421.4421054999693,3.4100026823580265e-05,0.09832069999538362,num_9,1.1180600000079721,1422.6089155299765,0.002381499973125756,0.09783639997476712,1422.908658899949,1423.3923142299814,1424.192000729969,1424.5087136999937,1424.6086883999524,1432.6253264999832,1432.6253992299958,0.016945799987297505,0.11440839996794239,,1434.6253600000055,1434.7924651000067,1435.308648999955,10.010662299988326,10.093940899998415,1442.6917533999658,0.014128400012850761,1442.6917533999658,0.11431160004576668,3.0,3.285491999995429,1446.025266499957,0.0029291000100784004,0.09733720001531765,1452.0419043999864,1452.2086323299504,6.213968099968042,6.31415749998996,1453.2251567000058,1472.208574529976,1472.2085879999795,26.214070499991067,26.314049599983264,1473.208354100003,1475.2082589999773,1475.2082589999773,0.013618199969641864,0.09724519995506853,1505.2249606999685,30.030381199961994,6.097021800058428,1423.7087127999985,,,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505.3582989999559,0.030648800020571798,0.1302502999897115,30.03032700001495,1535.3581520000007,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
3,0,3,0,0,0,0,0,,,,,,,,,,,,1535.4581634999486,0.032196100044529885,0.1301812000456266,1541.4581424999633,6.030164600000717,1541.5414445999777,1541.5414445999777,0.01356290007242933,0.11362560006091371,space,0.9541944999946281,1542.541451099969,1542.541451099969,3.6800047382712364e-05,0.09777520003262907,num_9,1.0102672999491915,1543.6081615299977,0.0020022999960929155,0.09791890002088621,1543.908117999963,1544.3914594299918,1545.1914579299687,1545.508377799997,1545.6081093999674,1553.608092999959,1553.608228529984,0.0009399999980814755,0.09793370001716539,1554.6246577999555,1555.6247352999635,1555.7746401999611,1556.2747080999543,10.014455199998338,10.097793499997351,1563.7079329999979,0.0010018000612035394,1563.7079329999979,0.09765940002398565,4.0,6.997626799973659,1570.7417180999764,0.003479899954982102,0.09729599999263883,1576.7415050999844,1576.9245955299762,6.214017199992668,6.313911099976394,,1596.9245316299553,1596.9245595999528,26.213907699973788,26.313821999996435,,1599.9245606999611,1599.9245606999611,0.013930999964941293,0.11382979998597875,1629.941044199979,30.030387999955565,,1544.7080985999783,1553.608092999959,,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
3,0,3,0,1,0,1,0,,,,,,,,,,,,1630.0746447999845,0.030983600008767098,0.13035839999793097,1636.091008599964,6.013633899972774,1636.1576623999863,1636.1576623999863,0.013815400016028434,0.113595400005579,space,0.626271299959626,1636.824331299984,1636.824331299984,3.860000288113952e-05,0.09780589997535571,num_9,1.4630790000082925,1638.324436029949,0.0020963000133633614,0.09796649997588247,1638.6242748999503,1639.107745229971,1639.9077293299547,1640.2075848999666,1640.3077633999637,1648.3077607000014,1648.3078183299572,0.014712499978486449,0.114351500000339,1649.3076170999557,1650.3242346000043,1650.524241099949,1651.0242219999782,10.014510400011204,,1658.440755699994,0.01691250002477318,1658.440755699994,0.11426230001961812,3.0,1.9318505999981426,1660.407865199959,0.002343099971767515,0.0987567999982275,1666.4241918000043,1666.5909179299547,6.215228800021578,6.315249899984337,1667.6074720000033,1686.5906751299685,1686.5907355999807,26.21517360000871,26.31512649997603,1687.6075227999827,1689.6074334000004,1689.6074334000004,0.0007702999864704907,0.09850500000175089,1719.607225099986,30.03166899998905,,1639.4075910999672,1648.3077607000014,,,,,,,4206,Gustatory,2025-02-27_13h02.01.887,Gustatory_Condition_v2,2022.2.5,29.962510901691026,
