Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,p_port_14.started,rest_text.stopped,Begin_Rinse.stopped,Finish_rinse.stopped,taste_sound_2.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,Rinse_Spit.stopped,Roll_liquid_taste.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,918.7117805001326,0.016426699701696634,0.14901639986783266,6.0156845999881625,924.7450743000954,924.8117375001311,924.8117375001311,0.015849299728870392,0.14934289967641234,space,2.159926699940115,927.0119581003673,927.0119581003673,4.519987851381302e-05,0.13091890001669526,num_9,1.8157489001750946,928.8451155102346,0.0018660002388060093,0.13131819991394877,929.161715300288,929.6450376100372,930.4448623102624,930.7616822002456,930.8449125001207,938.8616889002733,938.8450182103086,0.0012048999778926373,0.1313324999064207,939.8615927002393,940.8783652000129,941.0783435003832,941.5950174001046,10.014596399851143,948.9782944000326,0.01749920006841421,948.9782944000326,0.14785039983689785,1.0,0.9317585998214781,949.9452929003164,0.002701699733734131,0.1312069999985397,955.9617509003729,956.1450034100096,6.214480400085449,6.347767999861389,976.1281151100527,976.1449203002267,26.231119399890304,26.364399999845773,979.1615768000484,0.016207199543714523,0.14772759983316064,30.030972799751908,1009.1780159999616,957.1615979000926,977.1448592003435,929.9617012003437,,,,,,,938.8616889002733,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009.2614484000951,0.014472199603915215,0.14757829951122403,1039.2779826000333,30.030842799693346,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1039.3781407000497,0.03280039969831705,0.1641525994054973,6.013994799461216,1045.3945679999888,1045.461348300334,1045.461348300334,0.014131099451333284,0.1474446994252503,space,1.822139599826187,1047.3444904000498,1047.3444904000498,4.770001396536827e-05,0.1310946000739932,num_9,1.7072163000702858,1049.0780031103175,0.002349100075662136,0.13124120002612472,1049.3945878003724,1049.8778712101746,1050.6779181099962,,1051.1114165000618,1059.111272300128,1059.0946093103382,0.01735570002347231,0.1479356000199914,,1061.1279024002142,1061.2946880999953,1061.8111469000578,10.01435980014503,1069.2111812001094,0.01722919987514615,1069.2111812001094,0.14762930013239384,1.0,2.8647405998781323,1072.1112848003395,0.0015410003252327442,0.1326264003291726,1078.1278587002307,1078.3111796103883,6.215694600250572,6.349034300073981,1098.311135109933,1098.327812100295,26.21568250004202,26.348940100055188,1101.3276827000082,0.017330400180071592,0.1489499998278916,30.01559490012005,1131.3609990002587,,,,,,,,,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1131.4276760001667,0.016251000110059977,0.14898520009592175,6.015500300098211,1137.4609097000211,1137.5276433001272,1137.5276433001272,0.015593099873512983,0.14891309989616275,space,1.403724499978125,1138.994314700365,1138.994314700365,3.879982978105545e-05,0.13142129965126514,num_9,2.6970804003067315,1141.7111161103937,0.0019622999243438244,0.13109300006181002,,1142.51090061008,1143.3107789102476,,1143.7443618001416,1151.7609795001335,1151.7442591101396,0.033799500204622746,0.16447099996730685,1152.7775877001695,1153.794237300288,1153.927584100049,1154.4609201001003,10.031205400358886,1161.8607467999682,0.033924799878150225,1161.8607467999682,0.16426819982007146,4.0,2.2982700001448393,1164.194577500224,0.0015632002614438534,0.1324030002579093,1170.1941333003342,1170.37747131004,6.19900400005281,6.332390299998224,1190.377322910307,1190.3942424003035,26.23248380003497,26.34877060027793,1193.41091530025,0.01744369976222515,0.1491562998853624,30.032334699761122,1223.42731430009,,,,,,,,,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1223.510619699955,0.01660729991272092,0.1320177996531129,6.015701399650425,1229.527034000028,1229.593688200228,1229.593688200228,0.015325799584388733,0.11514299968257546,space,6.009549200069159,1235.643934899941,1235.643934899941,3.659958019852638e-05,0.13131430000066757,num_9,1.943750699982047,1237.610633009998,0.0019471999257802963,0.13136500027030706,,1238.410575509956,1239.2104918099474,,1239.6272492003627,1247.6439151000232,1247.6272559100296,0.01729500014334917,0.14810980018228292,1248.6438053003512,1249.677254000213,1249.8439251002856,1250.3605683003552,10.014501899946481,1257.7604511999525,0.03403040021657944,1257.7604511999525,0.1646595001220703,3.0,2.5651581999845803,1260.3607291001827,0.001721300184726715,0.13250580010935664,1266.377553100232,1266.5271631101612,6.215875599998981,6.3491528001613915,1286.5435722101945,1286.5605537001975,26.23261670023203,26.365722900256515,1289.5771739999764,0.017527800053358078,0.14923439966514707,29.999029600061476,1319.593591700308,1267.5437578000128,1287.560298500117,,,,,,,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1319.69377969997,0.03305259998887777,0.1656438997015357,6.032353499904275,1325.7269219001755,1325.7935974001884,1325.7935974001884,0.03242089971899986,0.1657308996655047,space,1.1383075001649559,1326.99366880022,1326.99366880022,4.190020263195038e-05,0.13119400013238192,num_9,1.8013980998657644,1328.8436699099373,0.0027021998539566994,0.1146502997726202,,1329.6434191101696,1330.4435880099888,,1330.8602840001695,1338.8936173003167,1338.8770016100723,0.034039899706840515,0.16469209967181087,1339.8934801002033,1340.9268539999612,1341.0603833999485,1341.5935137001798,10.014533099718392,1348.976707899943,0.016686799935996532,1348.976707899943,0.1480911998078227,1.0,0.9993402999825776,1350.0103345001116,0.002395499963313341,0.1309974999167025,1356.0267827003263,1356.1935163102578,6.231059399899095,6.330944899935275,1376.1934271100442,1376.2102846000344,26.231287700124085,26.364219000097364,1379.243373400066,0.03223520005121827,0.16421990003436804,30.030746600124985,1409.2598635000177,,,,,,,,,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1409.3432881003246,0.03150129970163107,0.1640800996683538,6.030749599914998,1415.376577600371,1415.4267629003152,1415.4267629003152,0.014113899786025286,0.14739889977499843,space,5.712694300338626,1421.1767234001309,1421.1767234001309,4.3200328946113586e-05,0.1311710001900792,num_9,1.8507638997398317,1423.0767031101975,0.002322399988770485,0.13109129993245006,1423.3932179003023,1423.876544710202,1424.6931815100368,,1425.0932412003167,1433.1264963001013,1433.1098761101719,0.033892800100147724,0.16443130001425743,,1435.1431817002594,1435.2765705003403,1435.8098671003245,10.014353400096297,1443.2096703001298,0.01753780012950301,1443.2096703001298,0.14752110000699759,4.0,3.8644146001897752,1447.109779200051,0.0027298997156322002,0.13091959990561008,1453.1264452999458,1453.3097595101688,6.214180700015277,6.3475351999513805,1473.2929157102014,1473.3096706001088,26.230806999839842,26.347220699768513,1476.3263448001817,0.01588489953428507,0.14745549950748682,30.013780599460006,1506.3595364000648,1454.3263535001315,,1424.1930867000483,,,,,,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1506.4262298000976,0.014232599642127752,0.14734939951449633,1536.4427629001439,30.030522699467838,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1536.5427818000317,0.03249289933592081,0.16395019926130772,6.03051449963823,1542.5760595002212,1542.6427711001597,1542.6427711001597,0.03062149928882718,0.16383629944175482,space,1.545098700094968,1544.2427512002178,1544.2427512002178,4.820013418793678e-05,0.13094120007008314,num_9,1.6570541001856327,1545.9427644102368,0.002015199977904558,0.13127769995480776,,1546.7594099100213,1547.5426554101984,,1547.9762270003557,1555.992694500368,1555.976050410373,0.033845100086182356,0.16453070007264614,1556.9926877999678,1558.0092645999976,1558.1760207000189,1558.6926982002333,10.01438990002498,1566.0758592002094,0.01665910007432103,1566.0758592002094,0.14762930013239384,1.0,1.365491499658674,1567.47630880028,0.0025100000202655792,0.13100240007042885,1573.4926347001456,1573.6593012101482,6.231004000175744,6.364338299725205,1593.6592066101264,1593.6759676001966,26.2311223000288,26.36427989974618,1596.692559500225,0.016084699891507626,0.14770429953932762,30.01435159984976,1626.7257611001842,1574.6758763003163,1594.6759831001982,1547.0761063001119,,,,,,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1626.7924184999429,0.014782799873501062,0.14755999948829412,6.014123099856079,1632.8257352001965,1632.892436500173,1632.892436500173,0.014384599402546883,0.1474465997889638,space,1.382558900397271,1634.3257836000994,1634.3257836000994,4.200031980872154e-05,0.1313672000542283,num_9,1.5094940001145005,1635.87572711003,0.0023067002184689045,0.13110440038144588,1636.1923084999435,1636.6758144101593,1637.475656410167,,1637.8923941003159,1645.9257459002547,1645.9092666101176,0.03424170007929206,0.16475960006937385,1646.9256466003135,1647.9423927003518,1648.1089937002398,1648.608920500148,10.014510800130665,1656.0089333001524,0.016543600242584944,1656.0089333001524,0.14793700026348233,3.0,1.565828800201416,1657.6092940000817,0.002516699954867363,0.13245230028405786,1663.625606900081,1663.7922043101396,6.199019300285727,6.332450500223786,1683.7922418103087,1683.8091140002944,26.199047800153494,26.332347400020808,1686.8256451999769,0.01719539985060692,0.1490021999925375,30.015579899773,1716.8587585003115,,,1636.9924407000653,,,,,,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
