loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,p_port_6.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,p_port_8.stopped,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,25.062485321052375,0.0008463999256491661,0.11194489989429712,25.659314389992506,25.975722699891776,26.259155190270395,26.55935180000961,26.84249319015071,27.159042300190777,27.159042300190777,0.02878979966044426,0.12895659962669015,42.17597540002316,15.012246599886566,42.27576840016991,0.012355999555438757,0.11221309984102845,42.74250590009615,space,7.459664799738675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.10885930014774,265.10885930014774,0.007445500232279301,0.09769379999488592,5.0,7.02461909968406,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.1923895999789,272.1923895999789,0.010378099977970123,0.11394780036062002,7.0,1.8047013003379107,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.02586970012635,274.02586970012635,0.006868400145322084,0.0991793000139296,1.0,6.443619300145656,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.50890569994226,280.50890569994226,0.006771100219339132,0.09947750018909574,4.0,3.2267093998380005,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.77603270020336,283.77603270020336,0.0007211002521216869,0.09939010022208095,3.0,5.099892300087959,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,288.90956890024245,0.000314200296998024,0.09771490003913641,294.9257984999567,6.014230000320822,,295.1426796000451,295.1426796000451,0.11541950004175305,0.23092810017988086,6.030837099999189,,301.2092670998536,301.2092670998536,301.2092670998536,0.08800389990210533,0.19779270002618432,306.90913080004975,307.1090931999497,6.030870399903506,6.131010199896991,313.10901220003143,12.030704599805176,313.2424682001583,313.2424682001583,0.03107289969921112,0.1313430001027882,up,0.4850071994587779,313.7758002001792,3.5999808460474014e-05,0.09867340000346303,,319.79237780021504,319.79237780021504,0.02632070006802678,0.11545239994302392,6.0,3.2568276999518275,,,,,,,313.20912740007043,313.20912740007043,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.092478599865,323.092478599865,0.007369800005108118,0.0975577998906374,1.0,6.32462349999696,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.47610320011154,329.47610320011154,0.007897499948740005,0.11443099984899163,1.0,2.274269400164485,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.77591500012204,331.77591500012204,0.006643699947744608,0.09917750023305416,1.0,1.8603325001895428,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.69251159997657,333.69251159997657,0.008349200244992971,0.11420040018856525,1.0,3.6068096002563834,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.32577560003847,337.32577560003847,0.006549099925905466,0.09871129970997572,5.0,3.626695199869573,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.0093449000269,341.0093449000269,0.00804589968174696,0.11439180001616478,1.0,3.207210300024599,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.242506199982,344.242506199982,0.0013529998250305653,0.0979621997103095,7.0,3.864278799854219,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,348.1427579000592,0.00023170001804828644,0.09827450010925531,354.1425429000519,6.031625799834728,,354.3422846002504,354.3422846002504,0.09296880010515451,0.19816000014543533,6.031585399992764,,360.4424549001269,360.4424549001269,360.4424549001269,0.09084860002622008,0.19818409997969866,366.14245739998296,366.3424316998571,6.031518299598247,6.131662999745458,372.34244100004435,12.031562099698931,372.475904900115,372.475904900115,0.031996999867260456,0.13155219983309507,up,0.698826499748975,373.20911600021645,4.08003106713295e-05,0.09753239993005991,,379.2256928002462,379.2256928002462,0.023816999979317188,0.11419180035591125,5.0,4.658154099714011,,,,,,,372.44258509995416,372.44258509995416,,360.34244910022244,360.34244910022244,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.9425130998716,383.9425130998716,0.009979399852454662,0.11417079996317625,1.0,2.971901400014758,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.94250669982284,386.94250669982284,0.007450500037521124,0.09778610011562705,1.0,0.8581782002002001,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.8428003001027,387.8428003001027,0.007505299989134073,0.09799630008637905,1.0,1.2581178997643292,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.14257310004905,389.14257310004905,0.006382499821484089,0.09922159975394607,1.0,2.8270649001933634,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.0090691000223,392.0090691000223,0.0076513998210430145,0.09777829982340336,1.0,1.4910431997850537,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.5424632001668,393.5424632001668,0.006487600039690733,0.09932180028408766,7.0,2.8937285002321005,,,,,,,,,,,,1981,Moral,2024-08-20_10h43.42.109,MoralCondition_v2,2022.2.5,30.002892272895973,
