Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,982.1087233000435,0.01588570000603795,0.11566560005303472,988.1086096999934,6.015721400035545,988.2419634000398,988.2419634000398,0.015582400024868548,0.11567920004017651,space,2.7434572000056505,991.0418907999992,991.0418907999992,3.160000778734684e-05,0.09823420003522187,num_9,1.8078342999797314,992.8920464500552,0.0021291000302881002,0.09806910005863756,993.2085937000811,993.6752600501059,993.9752331000054,994.4752892500255,994.7751578000607,994.8752113000955,1002.8919319000561,1002.8919319000561,1002.8922041500919,0.0015925000188872218,0.09803800005465746,1003.9085321000312,1004.8750124000944,1005.0584352000151,1005.5751765000168,10.031441500061192,,1013.0251460000873,0.034546100068837404,1013.0251460000873,0.13157349999528378,2.0,2.597987800021656,1015.6584940000903,0.0027827000012621284,0.09743249998427927,1021.6416772000957,1021.8417714500101,6.21394359995611,6.314168700017035,1022.8584543000907,1041.859038350056,1041.858442800003,26.230733999982476,26.33063670003321,1042.8583902000682,1044.8583518000087,1044.8583518000087,-0.0002581999870017171,0.09732559998519719,1074.8751329000806,30.01387090003118,,,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074.9749715999933,0.014300000038929284,0.1138251000083983,1104.9580396000529,30.013563700020313,30.097005000105128,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
2,0,2,0,0,0,0,0,,,,,,,,,,,,1105.0580678000115,-0.0006194999441504478,0.11372530006337911,1111.0580330000957,6.030268700094894,1111.1747904000804,1111.1747904000804,0.013664900092408061,0.11367600015364587,space,4.714414299931377,1115.94142310007,1115.94142310007,3.650004509836435e-05,0.09786520001944155,num_9,1.411932999966666,1117.4082105500856,0.0024253999581560493,0.09783410001546144,1117.7081066000974,1118.191388550098,1118.508075300022,1118.9914509500377,1119.308083800017,1119.39141260006,1127.3912547000218,1127.3912547000218,1127.4043720500777,0.01423390000127256,0.09742799995001405,,1129.3913855000865,1129.591468400089,1130.091277700034,10.031115500023589,,1137.541297800024,0.03380770003423095,1137.541297800024,0.1312115000328049,2.0,2.79817920003552,1140.3747053000843,0.0020673000253736973,0.09833480010274798,1146.3913003000198,1146.5580555500928,6.215100500034168,6.315191900008358,1147.5581172000384,1166.5746678500436,1166.5745603000978,26.231581400032155,26.33156400010921,,,1169.5912481000414,0.016761000151745975,0.11502390005625784,1199.6077938000672,30.03142000013031,,,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
2,0,2,0,1,0,1,0,,,,,,,,,,,,1199.6912094000727,0.01507420011330396,0.11487790010869503,1205.707765200059,6.031618100125343,1205.8077714000829,1205.8077714000829,0.03168700018431991,0.13138050015550107,space,2.4503048000624403,1208.2911197000649,1208.2911197000649,4.469999112188816e-05,0.09742350003216416,num_9,1.8946018000133336,1210.22452935006,0.0018865999300032854,0.09809039998799562,1210.524375100038,1211.0078523500124,1211.3079224000685,1211.8077432500431,1212.1242236000253,1212.2077355000656,1220.207688100054,1220.207688100054,1220.2077496499987,0.01472549990285188,0.11466269998345524,1221.2076622000895,1222.2077436000109,1222.4076238000998,1222.907720200019,10.014612399972975,,1230.340901800082,0.01786979997996241,1230.340901800082,0.11452319996897131,6.0,3.5977819999679923,1233.9745713000884,0.002285699942149222,0.09833169996272773,1239.9741504000267,1240.1576183500001,6.214872799930163,6.314686099998653,1241.157479000045,1260.1574470500927,1260.1407171000028,26.21464779996313,26.298280099988915,1261.1742087000748,1263.1408553000074,1263.1741483000806,0.031323299976065755,0.1313489000312984,1293.1907823000802,30.01454849995207,,,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
2,0,2,0,2,0,2,0,,,,,,,,,,,,1293.290971300099,0.015324700041674078,0.11471350002102554,1299.307388400077,6.031393800047226,1299.407401500037,1299.407401500037,0.031320700072683394,0.13128400000277907,space,3.0586119999643415,1302.5073588000378,1302.5073588000378,5.440006498247385e-05,0.09816190006677061,num_9,1.3179672999540344,1303.8908031500177,0.0026917000068351626,0.09817060001660138,1304.2073413000908,1304.6741542500677,1304.9907016000943,1305.4740553500596,1305.7739767000312,1305.8740582000464,1313.8740156000713,1313.8740156000713,1313.8742806500522,0.014921800000593066,0.1148370000300929,1314.8740871000336,1315.890632100054,1316.0739792000968,1316.5572500000708,10.014810899971053,,1324.0072109000757,0.017658600001595914,1324.0072109000757,0.13145179999992251,4.0,3.647991199977696,1327.6907054000767,0.0028023000340908766,0.09800280001945794,1333.7072555000195,1333.8740216500591,6.214745400007814,6.314554700045846,1334.8738389000064,1353.873868750059,1353.8738685999997,26.214599800063297,26.31448940001428,1354.873689900036,1356.87395560008,1356.87395560008,0.014662900124676526,0.11449100007303059,1386.8737229000544,30.014403300127015,,,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
2,0,2,0,3,0,3,0,,,,,,,,,,,,1387.0072563000722,0.015018200152553618,0.1145835000788793,1393.007216900005,6.014403400127776,1393.1069793000352,1393.1069793000352,0.014555900124832988,0.11433320015203208,space,2.286769300000742,1395.4404610000784,1395.4404610000784,3.450002986937761e-05,0.09815320000052452,num_9,1.5215244999853894,1397.0237819500035,0.0025548000121489167,0.09805919998325408,,1397.8069644500501,1398.1235596000915,1398.607079450041,1398.906852700049,1399.007036600029,1407.006941700005,1407.006941700005,1407.0070964500774,0.01459959999192506,0.11454619991127402,1408.0068735000677,1409.0236269000452,1409.2237056000158,1409.7236473000376,10.03120610001497,,1417.1401284000603,0.016487499931827188,1417.1401284000603,0.11445500003173947,5.0,3.531875899992883,1420.7067854000488,0.0013525000540539622,0.0991689000511542,1426.7069401000626,1426.8903378500836,6.21615470002871,6.316201700014062,1427.9070325000212,1446.8902532500215,1446.8901531000156,26.21609040000476,26.316227599978447,1447.9070913000032,1449.9068387000589,1449.9068387000589,0.0016853000270202756,0.09938100003637373,1479.923418499995,30.015917800017633,,,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
2,0,2,0,4,0,4,0,,,,,,,,,,,,1480.0234614000656,0.016609900048933923,0.11592660006135702,1486.0232978001004,6.01590620004572,1486.1233970000176,1486.1233970000176,0.01599140011239797,0.1158753001363948,space,2.2540208999998868,1488.42332000006,1488.42332000006,3.990007098764181e-05,0.09801990003325045,num_9,2.3538869000039995,1490.8401077500312,0.0022594999754801393,0.09811159991659224,1491.15669600002,1491.640244850074,1491.9568943000631,1492.4400735500967,1492.756653700024,1492.8233588000294,1500.8232638000045,1500.8232638000045,1500.8233698500553,0.014799500000663102,0.11483939993195236,1501.823290700093,1502.8232505000196,1503.0232481000712,1503.5232702000067,10.014666899922304,,1510.9570952000795,0.017183299991302192,1510.9570952000795,0.1145764000248164,2.0,1.931610899977386,1512.9234963000054,0.0016087000258266926,0.0992421000264585,1518.9232178000966,1519.0899871500442,6.199380100006238,6.282387499930337,1520.1065166000044,1539.106458650087,1539.1065553000662,26.215883899945766,26.332506399950944,1540.1230240000878,1542.123119099997,1542.123119099997,0.0015061000594869256,0.09904780006036162,1572.1061687000329,30.01538580004126,30.09881100000348,,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1572.2230128000956,-0.00034099991898983717,0.09900540008675307,1602.2395361000672,30.01548470009584,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
3,0,3,0,0,0,0,0,,,,,,,,,,,,1602.3395584000973,0.01692000008188188,0.11559330008458346,1608.3227660000557,6.015420500072651,1608.4228660000954,1608.4228660000954,-0.000372299924492836,0.09881290013436228,space,2.482528100023046,1610.9562073000707,1610.9562073000707,4.099996294826269e-05,0.09779979998711497,num_9,1.756981199956499,1612.7729595500277,0.0025788000784814358,0.09726760000921786,1613.089489200036,1613.556185250054,,1614.3561851501,,1614.7562133000465,1622.772868100088,1622.772868100088,1622.772922650096,0.0005881000543013215,0.09734560002107173,1623.7894817000488,1624.7894422000973,1624.9561342000961,1625.4561065000016,10.013965900056064,,1632.8893194000702,0.01669370010495186,1632.8893194000702,0.11403500009328127,2.0,2.0647751999786124,1634.9895782000385,0.0015695999609306455,0.09929609997197986,1640.9894029001007,1641.1728077500593,6.215890599996783,6.315883400035091,1642.1894953000592,1661.1727086500032,1661.1557590999873,26.21559369994793,26.315778600052,1662.1893725000555,1664.1559489000356,1664.1559489000356,-0.0008371999720111489,0.09915110003203154,1694.1725377000403,30.01581370003987,,6.098800000036135,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
3,0,3,0,1,0,1,0,,,,,,,,,,,,1694.3059730000095,0.016504900064319372,0.11566390004009008,1700.322497599991,5.999054600019008,1700.3891593000153,1700.3891593000153,-0.0005263999337330461,0.09895040013361722,space,1.2601829000050202,1701.6891794000985,1701.6891794000985,3.750005271285772e-05,0.09793160005938262,num_9,2.168645399971865,1703.9059301500674,0.0024098000722005963,0.11468450003303587,,1704.6891998500796,1704.9891343000345,1705.5057151500368,,1705.9059179000324,,1713.9224312000442,1713.922541750013,0.01756000006571412,0.11444709997158498,1714.9391130000586,1715.939086800092,1716.089318400016,1716.5889868000522,10.014566599973477,,1724.0222299000015,0.015837299986742437,1724.0222299000015,0.11435680009890348,6.0,2.099732300033793,1726.155705000041,0.002848200034350157,0.09760129998903722,1732.1557018000167,1732.3391100500012,6.214238199987449,6.314373000059277,1733.3390195000684,1752.3389619500376,1752.3389374000253,26.21420509996824,26.31417530006729,1753.338900700095,1755.3558150000172,1755.3558150000172,6.360001862049103e-05,0.0974870000500232,1785.3554981000489,30.030780200031586,,6.0987882000627,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
