loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,p_port_7.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,175.95730839995667,0.0005286999512463808,0.09779260004870594,181.957334500039,6.031155299860984,,182.1072933000978,0.04607349983416498,0.1477896999567747,188.10724129993469,6.0144717998337,188.17397310002707,0.017180399736389518,0.11436809971928596,0.0,1.5316058001480997,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
10,0,10,0,,,,,,,,,,,,,,,,,189.7408513999544,0.0004562998656183481,0.09745789994485676,195.75737480004318,6.014166299952194,,195.87383499997668,0.03985929978080094,0.13076569978147745,201.87396520003676,6.030793599784374,201.97387879993767,0.0333726997487247,0.13068659976124763,2.0,8.398245499935001,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
11,0,11,0,,,,,,,,,,,,,,,,,210.40743050002493,0.0006810999475419521,0.09709149994887412,216.42396609997377,6.013774799881503,,216.62408199999481,0.09615049976855516,0.21408479986712337,,6.013742999872193,222.6238814999815,0.01666409964673221,0.11358159966766834,1.0,3.1648252999875695,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
12,0,12,0,,,,,,,,,,,,,,,,,225.82419449998997,0.0004289001226425171,0.09701950009912252,231.8239770999644,6.030373600078747,,231.95736470003612,0.028827100060880184,0.13056740001775324,237.95734810014255,6.0305538000538945,238.04052549996413,0.015769599936902523,0.11367909982800484,0.0,1.1322223001625389,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
13,0,13,0,,,,,,,,,,,,,,,,,239.207463900093,0.00023819995112717152,0.09927149978466332,245.2072165000718,5.999103299807757,,245.37393569992855,0.07289329986087978,0.16596279991790652,251.3740149999503,5.99919329979457,251.40727650001645,0.001845799619331956,0.09897589962929487,0.0,1.3647982999682426,6.099178099771962,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
14,0,14,0,,,,,,,,,,,,,,,,,252.8074122001417,0.0009033000096678734,0.09646710008382797,258.8073275000788,6.029833500040695,,258.94071220001206,0.031878799898549914,0.12990089994855225,264.94061650009826,6.029744899831712,265.04050020012073,0.03288829978555441,0.1297263999003917,0.0,1.1978796999901533,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
15,0,15,0,,,,,,,,,,,,,,,,,266.2741543999873,0.00026030000299215317,0.09944729995913804,272.2739673999604,5.999099999899045,6.099129999987781,272.39053900004365,0.014205699786543846,0.11573769990354776,278.3906318000518,6.015754399821162,278.4905795000959,0.018398899817839265,0.11566179967485368,0.0,1.8316214000806212,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
16,0,16,0,,,,,,,,,,,,,,,,,280.35749810002744,0.00046820007264614105,0.09721839986741543,286.3572682000231,6.030505900038406,,286.49082860001363,0.03020049980841577,0.13048909977078438,292.4906170000322,6.030493299942464,292.5905073999893,0.033529199892655015,0.13028359971940517,1.0,2.631287499796599,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
17,0,17,0,,,,,,,,,,,,,,,,,295.2575994001236,0.0003692999016493559,0.09807950002141297,301.25716549996287,6.014601599890739,6.097954000113532,301.37425060011446,0.012846000026911497,0.11472209985367954,307.37397770001553,6.014740699902177,307.4739649000112,0.017585399793460965,0.11463269987143576,3.0,2.898158899974078,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
18,0,18,0,,,,,,,,,,,,,,,,,310.40753780002706,0.0005902999546378851,0.09745700005441904,316.4239326999523,6.014121199958026,,316.5406937999651,0.027978899888694286,0.13103579985909164,322.5405870000832,6.031026599928737,322.640517400112,0.03371469979174435,0.1308124999050051,1.0,1.3648441000841558,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
19,0,19,0,,,,,,,,,,,,,,,,,324.0407378000673,0.0006887000054121017,0.09762759995646775,330.0572500000708,6.0131557998247445,,330.17387089994736,0.0287043999414891,0.13017969974316657,336.1739096001256,6.029809499857947,336.27391580003314,0.03182709985412657,0.12999169970862567,0.0,1.2988942000083625,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
20,0,20,0,,,,,,,,,,,,,,,,,337.60748529993,0.00051099993288517,0.09750090003944933,343.6239323001355,6.013934100046754,,343.74061310011894,0.028987699886783957,0.1308460000436753,349.7237851000391,6.030826000031084,349.8405607000459,0.032672999892383814,0.13047409988939762,3.0,2.132263000123203,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
21,0,21,0,,,,,,,,,,,,,,,,,352.0075487000868,0.0006935999263077974,0.09720940003171563,358.0074803000316,6.030807900009677,,358.15745349996723,0.05052609997801483,0.14761839993298054,364.1572503999341,6.013867700006813,364.22389210015535,0.01695489976555109,0.1137757997494191,1.0,1.43127779988572,,7152,Visual,2024-08-16_13h18.28.664,Visual_Condition_v2,2022.2.5,30.034503641772133,
