loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_6.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,25.748082299920497,0.0008720000041648746,0.11346490000141785,26.07846819999395,26.345153519994348,26.94506672000862,27.245070600009058,27.545102419966135,27.895393799990416,0.014314699976239353,0.13038370001595467,42.89518729998963,15.030221300025005,42.99515649996465,0.03027840005233884,0.1301960000419058,43.44520909996936,space,1.2341704000136815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.81216139998287,138.81216139998287,0.0087057999917306,0.0970256999717094,5.0,2.5229783999966457,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.37849109998206,141.37849109998206,0.006883800029754639,0.09814660000847653,2.0,2.059243499999866,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.49538549996214,143.49538549996214,0.007561700011137873,0.11435449996497482,4.0,4.807943599997088,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.32832579995738,148.32832579995738,0.006595199985895306,0.0992285999818705,5.0,3.3936226000078022,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.7619005999877,151.7619005999877,0.007371900021098554,0.09793029999127612,6.0,2.3247592999832705,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.12855299998773,154.12855299998773,0.007393500010948628,0.09785279998322949,5.0,2.791419799963478,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.9618802999612,156.9618802999612,0.0013420999748632312,0.0977656000177376,2.0,3.297679600014817,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,160.29540559998713,0.0001412000274285674,0.09926879999693483,166.29512799996883,5.999046500015538,166.56177979998756,166.56177979998756,0.15598730003694072,0.26592870004242286,6.032368000014685,172.59506799996598,172.59506799996598,172.59506799996598,0.09131070005241781,0.19924040004843846,178.2952193999663,178.49519599997438,5.999193100025877,6.099041500070598,184.49515049997717,11.999096600047778,184.59520260000136,184.59520260000136,6.870005745440722e-05,0.09907020005630329,up,1.6759260999970138,186.31188749999274,5.1099981646984816e-05,0.097883099981118,192.3284949999652,192.3284949999652,192.3284949999652,0.014989599992986768,0.11441700003342703,3.0,3.3337925999658182,,,,,,,6.098960699979216,184.59520260000136,184.59520260000136,12.099067600036506,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.69531909999205,195.69531909999205,0.0074476999579928815,0.09766139998100698,2.0,2.0246153000043705,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.7619774999912,197.7619774999912,0.007824800035450608,0.09720340004423633,5.0,2.023890400014352,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.82865549996495,199.82865549996495,0.007214499986730516,0.09767609997652471,5.0,2.5917219999828376,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.46190840000054,202.46190840000054,0.007298199983779341,0.09792079997714609,5.0,1.625100500008557,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.1286032999633,204.1286032999633,0.006698500015772879,0.09911360003752634,5.0,1.3270946000120603,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.51197599997977,205.51197599997977,0.008070799987763166,0.11388899997109547,5.0,1.040157100011129,,,,,,,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.5785277999821,206.5785277999821,0.0012940000160597265,0.09756719996221364,3.0,3.0310724999872036,,,,,,,,4186,Moral,2024-07-22_14h23.27.774,MoralCondition_v2,2022.2.5,29.98151939033965,
