Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Finish_rinse.stopped,Roll_liquid_taste.stopped,p_port_18.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,p_port_14.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,918.6550041995943,0.03217810019850731,0.13187310006469488,6.031585500575602,924.654985900037,924.7549681998789,924.7549681998789,0.03158300090581179,0.1315610008314252,space,2.6436827993020415,927.4549890998751,927.4549890998751,5.159992724657059e-05,0.09792040009051561,num_9,2.543061099946499,930.054973929841,0.0009109992533922195,0.09955979976803064,930.3716206001118,930.8381285301409,931.1383605999872,931.6215517294593,931.921621600166,932.0213987994939,940.0383601002395,940.0382569299079,0.0159919997677207,0.1157363997772336,941.0549706993625,942.0380972996354,942.2217633994296,942.721620099619,10.015723299235106,950.171560799703,0.018676400184631348,950.171560799703,0.11554600019007921,5.0,2.2982246996834874,952.5050480002537,0.0027622003108263016,0.0979535998776555,958.5046864999458,958.6881309297867,6.214246300049126,6.314318300224841,959.6880232999101,978.6880521296523,978.68823769968,26.214433199726045,26.330966300331056,981.6880498994142,981.6880498994142,0.014225900173187256,0.1143004996702075,1011.7045702999458,30.030815199948847,979.7046011993662,940.0383601002395,,,,,,,,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011.8379871994257,0.03091950062662363,0.13073830027133226,1041.8544201999903,30.01388750039041,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1041.9210807001218,0.01598960068076849,0.11385300103574991,6.030531601049006,1047.9376908997074,1048.0377389993519,1048.0377389993519,0.030613601207733154,0.13042620103806257,space,2.3612409997731447,1050.4377472996712,1050.4377472996712,4.970002919435501e-05,0.09746959991753101,num_9,2.3600877998396754,1052.8545840295963,0.0006261002272367477,0.09900869987905025,1053.1710331998765,1053.6379182298667,1053.9543361999094,1054.4376846297644,1054.7543139001355,1054.8210308998823,1062.8209354998544,1062.820979930181,-0.0008731996640563011,0.09913260024040937,1063.8209645999596,1064.8209493998438,1065.0208208998665,1065.5209483997896,10.015785600058734,1072.9712501997128,0.01917040068656206,1072.9712501997128,0.1157114002853632,5.0,1.8976510995998979,1074.9045005999506,0.002253199927508831,0.09793960023671389,1080.887492599897,1081.0875574300997,6.214713799767196,6.314415600150824,1082.1042567994446,1101.087302429322,1101.070628799498,26.23130329977721,26.331170899793506,1104.0874052997679,1104.0874052997679,0.014481499791145325,0.11447499971836805,1134.1038985997438,30.03096739947796,1102.104062399827,1062.8209354998544,,,,,,,,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1134.2205921998248,0.015029200352728367,0.11425220035016537,6.014261200092733,1140.2205972997472,1140.3206703001633,1140.3206703001633,0.014381900429725647,0.1142314001917839,space,2.861993500031531,1143.2205766001716,1143.2205766001716,3.53008508682251e-05,0.09784200042486191,num_9,1.4813494002446532,1144.7539290298707,0.001792299561202526,0.09803649969398975,1145.0539079001173,1145.537022229936,1145.8538712002337,1146.3539707294665,1146.6538579994813,1146.7540243994445,1154.7705033998936,1154.770632229466,0.01720689982175827,0.11463109962642193,1155.7704699002206,1156.7871362995356,1156.9538410995156,1157.4369820998982,10.031237799674273,1164.8703547995538,0.017337899655103683,1164.8703547995538,0.11456829961389303,6.0,2.464848899282515,1167.3707459997386,0.0023232996463775635,0.09791729971766472,1173.3870989000425,1173.5540074293501,6.215047099627554,6.314593099988997,1174.5537318997085,1193.55349653,1193.5537588000298,26.21465119998902,26.314460899680853,1196.553604800254,1196.553604800254,0.014506099745631218,0.11454639956355095,1226.5701297996566,30.031007999554276,1194.5535949999467,,,,,,,,,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1226.7035106997937,0.03176089935004711,0.13110420014709234,6.030937199480832,1232.7034579999745,1232.803470700048,1232.803470700048,0.03105240035802126,0.13096270058304071,space,1.9387253001332283,1234.7867705002427,1234.7867705002427,3.929995000362396e-05,0.0981700997799635,num_9,2.723092599771917,1237.570079429727,0.0022297007963061333,0.09805080015212297,1237.869963400066,1238.3534234293736,1238.6533376993611,1239.170102430228,1239.4699576999992,1239.5534218996763,1247.5533865001053,1247.5533669299446,0.014755300246179104,0.11463750060647726,1248.5532267000526,1249.5366156995296,1249.7533483002335,1250.2366305999458,10.014472400769591,1257.686513999477,0.01730780117213726,1257.686513999477,0.1144287008792162,3.0,2.6316884998232126,1260.3535855999216,0.0016997000202536583,0.09921100083738565,1266.3534602997825,1266.5202214295975,6.215605300851166,6.315676900558174,,1286.5363412301056,1286.5196615001187,26.21542170085013,26.298957100138068,1289.519827899523,1289.5531596001238,0.03231510054320097,0.1322555998340249,1319.5529645001516,30.03218530025333,1287.5531717995182,1247.5533865001053,,,,,,,,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1319.6696670996025,0.01612160075455904,0.11543540097773075,6.015397100709379,1325.6695985002443,1325.7696161000058,1325.7696161000058,0.015442000702023506,0.11535570118576288,space,1.3404550002887845,1327.1696242000908,1327.1696242000908,4.2499974370002747e-05,0.09793299995362759,num_9,2.7724970998242497,1329.9863344297744,0.002429499290883541,0.09785330016165972,1330.3029616996646,1330.7695507301949,1331.0695829000324,1331.5863576295785,1331.9028981002048,1331.9697629995644,1339.969530600123,1339.9695408294908,0.014599800109863281,0.11465489957481623,,1341.9695546999574,1342.169569999911,1342.6529751000926,10.014400099404156,1350.086041700095,0.00012720003724098206,1350.086041700095,0.09777139965444803,5.0,2.7319235000759363,1352.8531766999513,0.0026540998369455338,0.0980078000575304,1358.8527619000524,1359.052799230162,6.230857900343835,6.31406810041517,1360.0527563998476,1379.0358572301454,1379.0193122001365,26.230744500644505,26.330788800492883,1382.0359600996599,1382.0359600996599,0.01408660039305687,0.11428549978882074,1412.052659499459,30.03074510022998,1380.052668100223,1339.969530600123,10.097691599279642,,,,,,,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1412.185891999863,0.031449200585484505,0.1305373003706336,6.013865800574422,1418.2025057999417,1418.2691577002406,1418.2691577002406,0.013991200365126133,0.11390610039234161,space,1.2493781000375748,1419.5691423993558,1419.5691423993558,1.8499791622161865e-05,0.09900970011949539,num_9,2.908964700065553,1422.535810029786,0.0025567002594470978,0.09813590068370104,1422.8524716999382,1423.3190290301106,1423.6189315002412,1424.1191044298,1424.4190532993525,1424.5192519994453,1432.5190514996648,1432.5190893297083,0.014775100164115429,0.11456500086933374,1433.5357270995155,1434.5191134000197,1434.7022265000269,1435.2025550995022,10.01460980065167,1442.652237500064,0.017038500867784023,1442.652237500064,0.11468130070716143,2.0,2.1652280995622277,1444.8527307994664,0.0015679998323321342,0.09937039948999882,1450.8523563994095,1451.0189865293912,6.199370600283146,6.299362599849701,,1471.0356684296391,1471.0355487000197,26.215932300314307,26.315864900127053,1474.0354867000133,1474.0354867000133,0.015894999727606773,0.11586839985102415,1504.0520502999425,29.999155200086534,1472.0522069996223,1432.5190514996648,,,,,,,,,30.099001299589872,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1504.1520625995472,5.2900053560733795e-05,0.09903409983962774,1534.1519740000367,30.032464699819684,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1534.2852392997593,0.033886500634253025,0.13238290045410395,6.032190800644457,1540.2852884000167,1540.385179899633,1540.385179899633,0.03246630076318979,0.13217630051076412,space,1.7567667998373508,1542.2018994996324,1542.2018994996324,4.1400082409381866e-05,0.09806170035153627,num_9,2.044337999075651,1544.2852888300083,0.0019519003108143806,0.09799780044704676,1544.6020887000486,1545.0684917296282,1545.368402400054,1545.8685165296308,1546.1684013996273,1546.2852739002556,1554.3018071996048,1554.3017886296846,0.017072600312530994,0.11441740021109581,,1556.3018151996657,1556.4686119994149,1556.9517230000347,10.031119800172746,1564.4183873999864,0.033894800581038,1564.4183873999864,0.1309448005631566,5.0,2.965802900493145,1567.4186921995133,0.002324500121176243,0.09785699937492609,1573.418408700265,1573.6183085299097,6.2311519999057055,6.331115200184286,1574.6182570997626,1593.601631830167,1593.6016028001904,26.21439650002867,26.314509799703956,1596.601530900225,1596.601530900225,0.014391499571502209,0.11437859944999218,1626.6180870002136,30.030907499603927,1594.6016600001603,,,,,,,,,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1626.7514503998682,0.03150099981576204,0.1308415997773409,6.014339700341225,1632.768022899516,1632.8348091002554,1632.8348091002554,0.014237100258469582,0.11415250040590763,space,2.195429499261081,1635.0847300002351,1635.0847300002351,4.0699727833271027e-05,0.09802449960261583,num_9,2.2975840996950865,1637.418073329795,0.002553899772465229,0.0976599995046854,1637.7347788996994,1638.2180426294915,1638.5347472000867,1639.0013381295837,,1639.4013540996239,1647.4181373994797,1647.4178943295963,-0.0002231001853942871,0.09775630012154579,1648.4346914002672,1649.4178495993838,1649.601297499612,1650.1012827996165,10.014398599974811,1657.5511838998646,0.03364390041679144,1657.5511838998646,0.1308738999068737,3.0,1.931644600816071,1659.5181414997205,0.0022224001586437225,0.09825639985501766,1665.5345770996064,1665.7012068300508,6.214908899739385,6.314845600165427,1666.7011858001351,1685.7009740301407,1685.68424689956,26.214611600153148,26.31474469974637,1688.7010607002303,1688.7010607002303,0.014791799709200859,0.11483460012823343,1718.7009274000302,30.014657099731266,1686.7010882999748,1647.4181373994797,,,,,,,,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
