Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,p_port_5.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,979.4510706998408,0.03284330107271671,0.13226599991321564,6.015397300943732,985.4677486009896,,985.5343450009823,985.5343450009823,0.01564120128750801,0.11540340073406696,space,1.1082016993314028,986.7010909002274,986.7010909002274,4.469975829124451e-05,0.09808219969272614,num_9,1.3181662987917662,988.0677588311955,0.0018915999680757523,0.09824920073151588,988.3843255005777,988.8509908309206,989.1509295012802,989.6508604316041,989.9508859999478,990.0510006006807,998.05099010095,998.05099010095,998.0509686311707,0.01502390019595623,0.11487200111150742,999.0510339010507,1000.0509651005268,1000.2512152008712,1000.7511483002454,10.014795500785112,1008.1841470003128,0.017756201326847076,1008.1841470003128,0.11479390040040016,4.0,2.698073100298643,1010.9176180008799,0.0023966003209352493,0.09835599921643734,1016.934199301526,1017.1009008316323,6.214952200651169,6.314989199861884,1018.100890500471,1037.1175098316744,1037.117501700297,26.23161810077727,26.33170280046761,,1040.1174750011414,1040.1174750011414,0.0007105004042387009,0.09830260090529919,1070.117515001446,30.03162730112672,,,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070.2506789006293,0.03167490102350712,0.13146990165114403,1100.267420200631,30.01462190039456,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1100.333880700171,0.016774801537394524,0.11460700072348118,6.01457430049777,1106.3338833004236,,1106.4339001998305,1106.4339001998305,0.014738202095031738,0.11472370103001595,space,0.8165148980915546,1107.30054249987,1107.30054249987,5.060061812400818e-05,0.09767840057611465,num_9,2.878133298829198,1110.2172339307144,0.0016412008553743362,0.09805710054934025,1110.5338410008699,1111.0004622312263,1111.300556300208,1111.800534230657,1112.1003593001515,1112.2171768005937,,1120.234007300809,1120.2338951313868,0.01598840020596981,0.11477600038051605,1121.2339439000934,1122.2504485007375,1122.4171187002212,1122.934461100027,10.014414601027966,1130.3338242005557,0.017624100670218468,1130.3338242005557,0.11444579996168613,4.0,1.7647273000329733,1132.1339739002287,0.0024562999606132507,0.09831570088863373,1138.1503990013152,1138.3169079301879,6.214357800781727,6.297629199922085,1139.3336566016078,1158.3337123310193,1158.333648700267,26.231198400259018,26.33100590109825,1159.3336093015969,,1161.3502968009561,0.01616560108959675,0.11450420133769512,1191.350173899904,30.014282001182437,,,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1191.4501867014915,0.015084801241755486,0.11422940157353878,6.030940400436521,1197.4669752009213,,1197.5668568015099,1197.5668568015099,0.03100620210170746,0.13088760152459145,space,4.492782300338149,1202.10047410056,1202.10047410056,6.000138819217682e-05,0.09832029975950718,num_9,1.4380840994417667,1203.5836441302672,0.0019001998007297516,0.09802250005304813,1203.8834915999323,1204.3836127305403,1204.6834336016327,1205.1667049312964,1205.4833940006793,1205.5667753014714,1213.5667557008564,1213.5667557008564,1213.5668070307001,0.014665700495243073,0.11461810022592545,1214.5834592003375,1215.5667389016598,1215.766732500866,1216.249925000593,10.01455119997263,1223.6833444014192,0.0012884996831417084,1223.6833444014192,0.09775640070438385,3.0,2.7641353998333216,1226.4836527016014,0.0023846011608839035,0.09798510000109673,1232.4665316008031,1232.6667416309938,6.214570701122284,6.3146697003394365,1233.6832705009729,1252.6665072301403,1252.6497812010348,26.23124490119517,26.331156600266695,1253.6831206008792,1255.666588500142,1255.666588500142,0.014589400961995125,0.1144333016127348,1285.683099200949,30.030992401763797,,10.097871899604797,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1285.8164645005018,0.03174130246043205,0.13110090233385563,6.014479102566838,1291.8331797011197,,1291.8997315000743,1291.8997315000743,0.014377903193235397,0.11424970254302025,space,3.143223898485303,1295.0998344011605,1295.0998344011605,5.219876766204834e-05,0.09751579910516739,num_9,1.294989999383688,1296.4332576310262,0.002170700579881668,0.09780200012028217,1296.7330189999193,1297.21635083016,1297.5329891014844,1298.0164048308507,1298.3330067005008,1298.416555300355,1306.4164655003697,1306.4164655003697,1306.416416930966,0.014616301283240318,0.11439340002834797,1307.4329707007855,1308.4330317005515,1308.6163461003453,1309.1164728011936,10.014261400327086,1316.532905401662,0.00027990154922008514,1316.532905401662,0.09770330041646957,5.0,3.265047300606966,1319.8329832013696,0.0027296990156173706,0.0979883000254631,1325.8496190011501,1326.0164214307442,6.214573599398136,6.31479249894619,1327.0329386014491,1346.0161256315187,1346.016196200624,26.21455119922757,26.314649099484086,1347.0328411012888,1349.0328933000565,1349.0328933000565,0.00032930076122283936,0.09781889989972115,1379.0327220000327,30.031079899519682,,10.097562901675701,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1379.1492928005755,0.014846401289105415,0.11438059993088245,6.0311175007373095,1385.1492481008172,,1385.2493600007147,1385.2493600007147,0.014292601495981216,0.11432550102472305,space,5.793162798509002,1391.0993313007057,1391.0993313007057,4.589930176734924e-05,0.09748570062220097,num_9,1.711904600262642,1392.8496300308034,0.0023232009261846542,0.09756669960916042,1393.149371901527,1393.64938543085,1393.949241001159,1394.4328016312793,1394.749257100746,1394.832650801167,1402.8326043002307,1402.8326043002307,1402.8326828302816,0.014224400743842125,0.11419320106506348,1403.8326997999102,1404.832623200491,1405.0326030999422,1405.5325923003256,10.030785700306296,1412.9825446009636,0.033640000969171524,1412.9825446009636,0.1308866012841463,5.0,3.0315341986715794,1416.0495024006814,0.0025021005421876907,0.09791640006005764,1422.049259699881,1422.2324799308553,6.2143713012337685,6.314528999850154,1423.2490735016763,1442.2323894305155,1442.2324055004865,26.21432190015912,26.314416700974107,1443.2490366008133,1445.2491367999464,1445.2491367999464,6.0401856899261475e-05,0.09764560125768185,1475.2656920012087,30.01413280144334,,,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1475.3656170014292,0.014817502349615097,0.11418410204350948,6.014300500974059,1481.3656302001327,,1481.4656229000539,1481.4656229000539,0.014243701472878456,0.11412710137665272,space,1.2728870008140802,1482.7822870016098,1482.7822870016098,3.8100406527519226e-05,0.09831750020384789,num_9,1.7487714998424053,1484.5823211306706,0.002452600747346878,0.09778640046715736,1484.882279401645,1485.3655529310927,1485.6823056004941,1486.1658149315044,1486.4822410009801,1486.582264199853,1494.5822383016348,1494.5822383016348,1494.5822954298928,0.0009722001850605011,0.09785469993948936,1495.5987504012883,1496.5990229006857,1496.7655333001167,1497.2655584011227,10.030998699367046,1504.7153775002807,0.03190379962325096,1504.7153775002807,0.13081200048327446,1.0,2.6668958999216557,1507.41568650119,0.0015406999737024307,0.09921490028500557,1513.4154733009636,1513.5987423313782,6.199035100638866,6.282313199713826,,1533.5987712303177,1533.5987854003906,26.215867899358273,26.315767200663686,,1536.6154405009001,1536.6154405009001,0.0013641007244586945,0.09912190027534962,1566.6152571011335,30.032313300296664,,,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1566.7485851999372,0.032582301646471024,0.1323016006499529,1596.7316117007285,30.015302300453186,30.09848360158503,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1596.798261301592,-0.0008993986994028091,0.081877201795578,6.015510201454163,1602.7984427008778,,1602.931938201189,1602.931938201189,0.015798401087522507,0.11536390148103237,space,2.246848899871111,1605.2150971014053,1605.2150971014053,4.00003045797348e-05,0.09751730039715767,num_9,2.627694698050618,1607.881994430907,0.0019765011966228485,0.09758200123906136,1608.1816996000707,1608.6652178307995,1608.9817492999136,1609.4649979313836,1609.7818354014307,1609.8818566016853,,1617.8985478002578,1617.8986790301278,0.01726660132408142,0.11423890106379986,,1619.8984086010605,1620.0650040004402,1620.5650703012943,10.014053700491786,1627.9982144013047,0.01784460060298443,1627.9982144013047,0.11422530002892017,2.0,2.5638268999755383,1630.5984847005457,0.004304500296711922,0.09746270067989826,1636.6148627009243,1636.781547931023,6.214027801528573,6.29750220105052,,1656.781581430696,1656.7815064005554,26.214046601206064,26.3141472004354,1657.7814163006842,1659.7815218009055,1659.7815218009055,0.014087902382016182,0.11410500109195709,1689.781377101317,30.013940701261163,,,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1689.914806900546,0.014684902504086494,0.11390700191259384,6.013869201764464,1695.9146859012544,,1696.014652101323,1696.014652101323,0.014006702229380608,0.11381880193948746,space,3.3718861993402243,1699.4312754012644,1699.4312754012644,3.050081431865692e-05,0.11514269933104515,num_9,1.7556294985115528,1701.2480905307457,0.0028735995292663574,0.0981649998575449,1701.5478133000433,1702.0480208313093,1702.3478447999805,1702.831194630824,,1703.247966401279,1711.2479461003095,1711.2479461003095,1711.2480941312388,0.0014485996216535568,0.09809489920735359,,1713.2479508016258,1713.448050800711,1713.9646112006158,10.031274499371648,1721.3644047006965,0.01735679991543293,1721.3644047006965,0.11467370018362999,4.0,3.3648677989840508,1724.7649381011724,0.0026666000485420227,0.09791509993374348,1730.7812353000045,1730.947888831608,6.214683400467038,6.314385801553726,1731.9644846003503,1750.9476413307711,1750.947799101472,26.214426700025797,26.31433890014887,1751.9643049016595,1753.9477810002863,1753.9477810002863,0.014434302225708961,0.13102210126817226,1783.9476426001638,30.014265801757574,,,,,,,,,6664,Gustatory,2024-07-08_09h49.10.893,Gustatory_Condition_v2,2022.2.5,29.941634686108223,
