Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,898.2187715000473,0.014461600105278194,0.113752500154078,904.2354437999893,6.0304263001307845,904.3187368999934,904.3187368999934,0.013928700122050941,0.1137348001357168,space,1.7380649999249727,906.10209020006,906.10209020006,5.2600051276385784e-05,0.09793300007004291,num_9,1.842166000045836,907.9853963600821,0.002063599997200072,0.09791000001132488,908.3020774000324,908.7686128600384,,909.5853329600417,909.9021160000702,909.9687507000053,917.9687270000577,917.9687270000577,917.9685725600342,0.01460420002695173,0.11449860001448542,918.9685850000242,919.9687026999891,920.1686684000306,920.6686927999835,10.014383099973202,10.097841300070286,928.0852774999803,0.0008770000422373414,928.0852774999803,0.09766960004344583,2.0,3.665095099946484,931.7856932000723,0.0022678000386804342,0.09808370005339384,937.7852984999772,937.9684992600581,6.214363000006415,6.297919800039381,,957.9684073600569,957.9686399999773,26.214712199987844,26.31473600002937,,960.9852455999935,960.9852455999935,0.0003049001097679138,0.09793740010354668,990.9851449000416,30.031192900030874,,,,,,,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991.1019643000327,0.01475120009854436,0.11445520003326237,1021.1184251999948,30.031064000097103,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1021.2183807999827,0.03318630007561296,0.13110010011587292,1027.2350062000332,6.014392400160432,1027.3017135000555,1027.3017135000555,0.014496900141239166,0.11437540012411773,space,1.8424903000704944,1029.2017043000087,1029.2017043000087,4.700000863522291e-05,0.09774040000047535,num_9,0.9823054000735283,1030.2184037600296,0.0028291000053286552,0.09772439999505877,1030.5185887999833,1031.001617060078,1031.3016405000817,1031.8181894600043,1032.1181889000582,1032.2016916000284,1040.201652100077,1040.201652100077,1040.2014901599964,0.014434000011533499,0.11452020006254315,1041.2017373000272,1042.1848094000015,1042.401715700049,1042.9017061999766,10.014176500029862,10.097627300070599,1050.3183050000807,0.0008874001214280725,1050.3183050000807,0.09763210010714829,3.0,2.9978119999868795,1053.35179840005,0.0016291000647470355,0.09920599998440593,1059.3515863000648,1059.5350234600833,6.2158467000117525,6.315944300033152,1060.551557800034,1079.5514689600445,1079.5515109000262,26.199159200070426,26.299136199988425,1080.5680795999942,1082.5516325000208,1082.5516325000208,0.0016550000291317701,0.09910700004547834,1112.5345332999714,30.015445700031705,30.098771900055,,,,,,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1112.6512914000778,-0.0005072999047115445,0.09878250013571233,1118.6680572000332,6.0156832000939175,1118.7513310000068,1118.7513310000068,0.015496500069275498,0.09923280007205904,space,1.880639500101097,1120.6847595999716,1120.6847595999716,4.229997284710407e-05,0.09782979998271912,num_9,1.45177759998478,1122.1846574599972,0.0008148000342771411,0.09939749992918223,1122.501397700049,1122.9512712600758,1123.2513647000305,1123.7512467600523,1124.0513042999664,1124.1514061000198,1132.16804889997,1132.16804889997,1132.1679671600346,0.01610629993956536,0.11603020003531128,,1134.1680288000498,1134.3680239000823,1134.851165900007,9.999392500030808,10.099411000031978,1142.28459080006,0.002314500045031309,1142.28459080006,0.0993362000444904,4.0,3.298040400026366,1145.6183314999798,0.002521499991416931,0.09781210008077323,1151.6179695000174,1151.8012592600776,6.214465699973516,6.314455199986696,1152.8178455000743,1171.8178582600435,1171.8178753000684,26.231080800062045,26.331030800007284,1172.8178012999706,1174.817884500022,1174.817884500022,7.440010085701942e-05,0.09774100012145936,1204.834428400034,30.01424060005229,,,,,,,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1204.934701899998,0.014765600091777742,0.11441610008478165,1210.934452900081,6.014185100095347,1211.0510022999952,1211.0510022999952,0.031052100122906268,0.13088570011314005,space,1.6133949999930337,1212.717789300019,1212.717789300019,5.2600051276385784e-05,0.09755950001999736,num_9,1.0988274000119418,1213.8510472600233,0.0021346000721678138,0.09799420007038862,1214.1510491999798,1214.6510279600393,1214.9510374000529,1215.4343616600731,1215.7510793000693,1215.8510804000543,,1223.867692800006,1223.8676449599793,0.01709620002657175,0.11464260006323457,1224.8676152999979,1225.8843496000627,1226.0344904999947,1226.5343520999886,10.014464600011706,10.097763500059955,1233.950997899985,0.00039770000148564577,1233.950997899985,0.09777410002425313,4.0,2.465000400086865,1236.4513018999714,0.0023472000611945987,0.09809009998571128,1242.4341673000017,1242.634117360029,6.214544299989939,6.297980600036681,1243.6508191999746,1262.634298460011,1262.634315000032,26.214725600089878,26.314740400062874,1263.6509167000186,1265.6509053000482,1265.6509053000482,0.00047990004532039165,0.09793310007080436,1295.6677038000198,30.014762100065127,,,,,,,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1295.7674921000144,0.01490530010778457,0.1145951000507921,1301.7841001000488,6.031156400102191,1301.884101200034,1301.884101200034,0.03126790013629943,0.13112820009700954,space,1.80412919993978,1303.7507533000316,1303.7507533000316,6.280001252889633e-05,0.09780790004879236,num_9,1.121583400061354,1304.9340479600128,0.002368499990552664,0.09795940003823489,1305.2507580000674,1305.7173157600105,1306.0173168000765,1306.5173056599801,1306.8173284999793,1306.9174244999886,1314.9340374000603,1314.9340374000603,1314.933989460033,0.0014156000688672066,0.0979081999976188,1315.9507169000572,1316.934038400068,1317.100562000065,1317.617379500065,10.0145332000684,,1325.0506769000785,0.017277500010095537,1325.0506769000785,0.11433100001886487,3.0,2.464918000041507,1327.5508643999929,0.0017198999412357807,0.09901539993006736,1333.5506519000046,1333.7505957599847,6.232326400000602,6.33227499993518,1334.7672633000184,1353.7504593599938,1353.7505717000458,26.232230499968864,26.33233929995913,,1356.7505240000319,1356.7505240000319,0.0013213000493124127,0.09892500005662441,1386.7673200999852,30.0154073999729,,,,,,,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1386.867147400044,0.016143400105647743,0.11537440004758537,1392.8840808999958,6.032319899997674,1392.9838761000428,1392.9838761000428,0.03239130007568747,0.132101200055331,space,1.6008178000338376,1394.650436899974,1394.650436899974,4.600000102072954e-05,0.09822359995450824,num_9,1.0055218000197783,1395.717078160064,0.00266519992146641,0.09814719995483756,1396.0170776000014,1396.500317660079,1396.8004680000013,1397.3002558600042,1397.6003961000824,1397.7005479000509,1405.70038569998,1405.70038569998,1405.7003267599853,0.014830100000835955,0.11481449997518212,1406.7003643000498,1407.7003718999913,1407.9004348000744,1408.417086499976,10.014606399927288,10.097965799970552,1415.8169743000763,0.0004662000574171543,1415.8169743000763,0.09804009995423257,4.0,2.931773900054395,1418.7839646000648,0.0015610000118613243,0.09926400007680058,1424.7669067999814,1424.9667870600592,6.215652100043371,6.315806000027806,1425.96688610001,1444.9502968599904,1444.9504560000496,26.19932210003026,26.299021400045604,,1447.966934200027,1447.966934200027,0.01582670002244413,0.11597850010730326,1477.9835136000765,30.032376400078647,,,,,,,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1478.1166793999728,0.03252260014414787,0.13225600006990135,1508.1333212000318,30.01551790011581,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1508.1999360000482,0.017519100103527308,0.11571710009593517,1514.2168295000447,6.03211440006271,1514.3166471000295,1514.3166471000295,0.03228710009716451,0.132101800176315,space,1.8992233000462875,1516.2501169000752,1516.2501169000752,3.520003519952297e-05,0.09762530005536973,num_9,0.8781024001073092,1517.1832909600694,0.0021856999956071377,0.0978645000141114,1517.5000969000394,1517.9665507600062,1518.2665096999845,1518.7665735599935,1519.083371100016,1519.1832807000028,1527.1833433000138,1527.1833433000138,1527.1832737600548,0.0012262000236660242,0.09799669997300953,1528.1997574999696,1529.1832739000674,1529.3832395999925,1529.8832462000428,10.031077299965546,,1537.3165521000046,0.034030399983748794,1537.3165521000046,0.13088329997844994,4.0,2.298466600012034,1539.6502687999746,0.0032458000350743532,0.09739890007767826,1545.6667114000302,1545.8330419600593,6.213813500013202,6.313678300008178,1546.8498522000154,1565.8330411600532,1565.8331342000747,26.21385470009409,26.313808100065216,1566.8498956999974,1568.8331165000563,1568.8331165000563,0.013874900061637163,0.11380950012244284,1598.8497200000565,30.0304516000906,,,,,,,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1598.9664595000213,0.014286500052548945,0.11380160006228834,1604.966316999984,6.013651200104505,1605.0663209999911,1605.0663209999911,0.013720900169573724,0.11373210011515766,space,2.173487399937585,1607.2995529000182,1607.2995529000182,4.42001037299633e-05,0.0980279000941664,num_9,1.0447203998919576,1608.3827226600029,0.001233499962836504,0.09914669999852777,1608.6829059000593,1609.1661791600404,1609.482958000037,1609.9829064599821,1610.2829495000187,1610.3496864000335,1618.3662475000601,1618.3662475000601,1618.3661825600198,0.015834399964660406,0.11582849989645183,1619.3830516000744,1620.3831096000504,1620.5662201000378,1621.0662164000096,10.015882799983956,,1628.4995948000578,0.018370999954640865,1628.4995948000578,0.1156031999271363,3.0,2.565132400020957,1631.0995352000464,0.003105300012975931,0.09725099999923259,1637.0995116999839,1637.2827053600108,6.213883099961095,6.314400400035083,1638.2828668999719,1657.2825961599942,1657.282770400052,26.213902599993162,26.314049800042994,1658.282684099977,1660.299416200025,1660.299416200025,-0.00040149991400539875,0.09722140000667423,1690.3163270000368,30.014014700078405,,,,,,,,3191,Gustatory,2025-03-03_12h34.53.313,Gustatory_Condition_v2,2022.2.5,30.015545046848022,
