loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_8.stopped,p_port_10.stopped,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.029036119580269,0.0008000999223440886,0.11409759987145662,14.328725199913606,14.628522719955072,15.228619019966573,15.52851269999519,15.828468619845808,16.145230899797752,16.145230899797752,0.030987699748948216,0.13111739978194237,31.16194639983587,15.014352499740198,31.24502049991861,0.014366299845278263,0.09765539970248938,31.7452737998683,space,1.4927432998083532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.12858319981024,189.12858319981024,0.007995299994945526,0.11454949993640184,7.0,0.8740406997967511,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0281467998866,190.0281467998866,0.006687199929729104,0.09910449991002679,7.0,0.7934051000047475,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.86156499991193,190.86156499991193,0.006738899974152446,0.09934630012139678,7.0,1.22705930005759,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.12827419978566,192.12827419978566,0.006748999934643507,0.09874880011193454,1.0,1.759816600009799,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.9284863998182,193.9284863998182,0.0011454001069068909,0.09932609996758401,1.0,2.2994268001057208,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,196.26190879987553,0.00013269996270537376,0.09912350005470216,202.26161049981602,5.999147300142795,202.44519179989584,202.44519179989584,0.07266329997219145,0.1825041000265628,6.015875200042501,208.54515559994616,208.54515559994616,208.54515559994616,0.07836439996026456,0.1824331998359412,214.24504039995372,214.44495499995537,6.0158384998794645,6.115818599937484,220.4451579998713,12.01605789992027,220.5449959000107,220.5449959000107,220.57834369991906,220.57834369991906,0.016140799736604095,0.1159071996808052,up,0.9798568000551313,221.6115671999287,2.5399960577487946e-05,0.09883629996329546,227.61147130001336,227.61147130001336,227.61147130001336,0.006862199865281582,0.09873469988815486,2.0,3.2594724998343736,,,,,,,,,6.099087800132111,208.4449098999612,208.4449098999612,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.91142829996534,230.91142829996534,0.00766750006005168,0.09760740003548563,5.0,2.790892400080338,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.7450028997846,233.7450028997846,0.007112600142136216,0.09732670010998845,2.0,2.791763699846342,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.57803299999796,236.57803299999796,0.006529300007969141,0.09934439999051392,2.0,1.5603877999819815,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.17821339983493,238.17821339983493,0.007469899952411652,0.0991418999619782,6.0,2.8596732998266816,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
