Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,p_port_18.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,980.7511382000521,0.01653839973732829,0.11586149968206882,986.7676339000463,5.9991552997380495,986.8342492002994,986.8342492002994,-0.00015300046652555466,0.09914069948717952,space,1.4317654999904335,988.3009124998935,988.3009124998935,5.660019814968109e-05,0.09771989984437823,num_9,1.7253339001908898,990.0675678100903,0.001938600093126297,0.09757990017533302,990.3841490000486,990.8508756101597,991.1508937999606,991.6507405099925,,992.0509441001341,1000.050979600288,1000.050979600288,1000.0508249100764,0.01460399990901351,0.11435250006616116,,1002.0675588999875,1002.2676727999933,1002.7675935002044,10.014527600258589,1010.1841774000786,0.01753269974142313,1010.1841774000786,0.11440620012581348,4.0,2.4314382998272777,1012.6510137002915,0.0022130999714136124,0.0980787998996675,1018.6341289998963,1018.8343953100499,6.214795799925923,6.314715299755335,1019.8341804998927,1038.8340003100689,1038.8341903002001,26.214760299772024,26.31466400017962,1039.8507560999133,1041.8508398998529,1041.8508398998529,0.00045929988846182823,0.09802249958738685,1071.8674510000274,30.014650699682534,6.099133599549532,,,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071.9674309999682,0.014804999809712172,0.1146818995475769,1101.984016200062,30.03123649954796,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1102.0673682000488,0.016384799499064684,0.11457289941608906,1108.0840210001916,6.0312443994916975,1108.1841135001741,1108.1841135001741,0.03133599925786257,0.13123369961977005,space,24.769983700010926,1133.0173305999488,1133.0173305999488,4.789978265762329e-05,0.09789259964600205,num_9,3.0565506001003087,1136.1172864103223,0.0019468003883957863,0.09790519997477531,1136.4341962002218,1136.9172160100657,1137.2339335000142,1137.7173085102345,1138.0339703001082,1138.1006674999371,1146.101275099907,1146.101275099907,1146.1005900103132,0.015258800238370895,0.11462220037356019,1147.1005648002028,1148.100662600249,1148.3006076999009,1148.8006297000684,10.0144112999551,1156.2506304001436,0.017297400161623955,1156.2506304001436,0.1310618999414146,5.0,2.2813844000920653,1158.5506222001277,0.0015094997361302376,0.0991169000044465,1164.5672403001226,1164.7337616101372,6.21582859987393,6.315882799681276,1165.7337981001474,1184.7337766100186,1184.7339157001115,26.215914399828762,26.332502199802548,1185.7503590001725,1187.733834200073,1187.733834200073,0.01583889964967966,0.11584279965609312,1217.7337695001625,30.01574879977852,,,,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1217.8837867002003,0.033076499588787556,0.13237199932336807,1223.9005636000074,6.015739699359983,1223.967259600293,1223.967259600293,0.015804999507963657,0.11574449948966503,space,0.8424777998588979,1224.8671232000925,1224.8671232000925,5.739973857998848e-05,0.09810669999569654,num_9,1.8145097997039557,1226.733702010149,0.002256200183182955,0.09800100000575185,1227.033764100168,1227.5170563102233,1227.8338784999214,1228.3170163101981,1228.6337607000023,1228.71708089998,1236.73372510029,1236.73372510029,1236.7337116102221,0.0014217998832464218,0.09792739991098642,1237.7671081000008,1238.7337636998855,1238.9170689000748,1239.417081200052,10.014622199814767,1246.8336253999732,0.0009222999215126038,1246.8336253999732,0.09785200003534555,5.0,2.2979410998523235,1249.1673158998601,0.0024187001399695873,0.0979547998867929,1255.1670431001112,1255.3501587101723,6.214506399817765,6.314610899891704,,1275.350240710331,1275.350444499869,26.21468420000747,26.314568200148642,,1278.3669994999655,1278.3669994999655,0.0003011999651789665,0.0978303998708725,1308.3836280000396,30.014440999832004,,10.097856500186026,,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1308.4836828000844,0.015172099694609642,0.11439899960532784,1314.4835508000106,6.014449099544436,1314.583583400119,1314.583583400119,0.014594199601560831,0.11449109949171543,space,1.2663594000041485,1315.8836285001598,1315.8836285001598,3.729993477463722e-05,0.09758510021492839,num_9,1.3102261000312865,1317.2502229103352,0.002338599879294634,0.09790319995954633,1317.5500399000011,1318.0502007102127,1318.3501281999052,1318.8335216102655,1319.1336735002697,1319.2335570002906,1327.2502211001702,1327.2502211001702,1327.2501632102299,0.0012877997942268848,0.09798179985955358,,1329.2671250002459,1329.4335491000675,1329.9335445999168,10.014444299973547,1337.3667697999626,0.017366699874401093,1337.3667697999626,0.11453479994088411,4.0,1.4980684001930058,1338.900451200083,0.0025702998973429203,0.09783319989219308,1344.9168222001754,1345.0834295099135,6.214520399924368,6.314496600069106,1346.0834713000804,1365.1000893103424,1365.1001233998686,26.23106610029936,26.331090500112623,1366.099961800035,1368.1001408998854,1368.1001408998854,-0.0005292999558150768,0.09768169978633523,1398.1000320999883,30.030974499881268,,,,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1398.2334741000086,0.031725899782031775,0.1307974997907877,1404.250078199897,6.014417799655348,1404.3167971000075,1404.3167971000075,0.014433099888265133,0.11452289996668696,space,1.3088695998303592,1405.6837905002758,1405.6837905002758,4.589976742863655e-05,0.09812709968537092,num_9,2.1507129003293812,1407.8834362101275,0.0018573999404907227,0.09812349965795875,1408.1833819001913,1408.6666094103362,1408.9834000999108,1409.4664647100958,1409.800354400184,1409.8666710001417,1417.8666133000515,1417.8666133000515,1417.866373609891,0.014482699800282717,0.11428309977054596,1418.8834090000018,1419.8500439999625,1420.0665620001964,1420.5499078002758,10.03145149955526,1427.9998659002595,0.017255999613553286,1427.9998659002595,0.11441029980778694,4.0,1.63153459969908,1429.6667054002173,0.002432100009173155,0.09772020019590855,1435.683372200001,1435.849942910159,6.214403099846095,6.314436899963766,1436.8498883000575,1455.8497828102204,1455.8499329001643,26.214400600176305,26.314332799986005,1456.866587900091,1458.866598600056,1458.866598600056,9.940005838871002e-05,0.09785709995776415,1488.8665565000847,30.03102369979024,,,,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1488.999746600166,0.03162249969318509,0.13091199984773993,1494.999875599984,6.030970899853855,1495.0832213000394,1495.0832213000394,0.014123799744993448,0.11422319989651442,space,0.8631950998678803,1495.9831886002794,1495.9831886002794,4.0300190448760986e-05,0.09813900012522936,num_9,1.9306312003172934,1497.9665437099989,0.0023404001258313656,0.0980647997930646,1498.283135900274,1498.7664904102216,1499.083078800235,1499.5496728100347,1499.8497754000127,1499.9498029001988,1507.949825100135,1507.949825100135,1507.9497496100607,0.014633600134402514,0.11456399969756603,1508.966510400176,1509.9664397002198,1510.1664737001993,1510.6664626002312,10.031172499991953,1518.099758000113,0.0338702998124063,1518.099758000113,0.1310692997649312,4.0,5.564818700309843,1523.700015600305,0.0022638998925685883,0.0984102999791503,1529.6997405001894,1529.8996597101445,6.231709799729288,6.331719699781388,1530.916406400036,1549.8829562101978,1549.883016699925,26.215046300087124,26.315057300031185,1550.8831442003138,1552.8830319000408,1552.8830319000408,0.015078299678862095,0.11501589976251125,1582.8995901001617,30.03163159964606,,,,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1583.016283399891,0.014957999810576439,0.11508199945092201,1613.0328657999635,30.03164209984243,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1613.132896100171,0.033504999708384275,0.13165179966017604,1619.1328858998604,6.031485299579799,1619.2161798002198,1619.2161798002198,0.015104899648576975,0.11483269929885864,space,1.4183876998722553,1620.6828622003086,1620.6828622003086,5.6700315326452255e-05,0.09756800020113587,num_9,1.7595830000936985,1622.4994786099064,0.0026060002855956554,0.09805310005322099,1622.7993351002224,1623.2827221100683,1623.5828368002549,1624.0826349101494,1624.3827957999893,1624.4828200000338,1632.4995396002196,1632.4995396002196,1632.4994577100965,0.0014652004465460777,0.09803180024027824,1633.5161653002724,1634.5161116002128,1634.68281080015,1635.1828685002401,10.014429100323468,1642.5993709000759,0.0009388001635670662,1642.5993709000759,0.09783450001850724,5.0,1.0978490002453327,1643.7330303001218,0.0024413997307419777,0.09766690013930202,1649.715981000103,1649.9327030099462,6.230816800147295,6.3308894000947475,1650.9327719998546,1669.9161088100168,1669.9160973001271,26.214221599977463,26.314097300171852,1670.9160426002927,1672.9326617000625,1672.9326617000625,-0.0001026000827550888,0.09750459995120764,1702.9494370999746,30.01405519992113,,10.097844200208783,,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1703.0324281002395,0.01413259981200099,0.11404439946636558,1709.03262560023,6.030739999841899,1709.14933260018,1709.14933260018,0.014026999473571777,0.11405929969623685,space,1.1491199997253716,1710.3493197001517,1710.3493197001517,4.110019654035568e-05,0.0980698000639677,num_9,1.6285357000306249,1712.0159362099598,0.0018443996086716652,0.09792849980294704,1712.315936599858,1712.7991465103346,1713.1162073998712,1713.6159006102475,1713.9159357002936,1714.0159702999517,,1722.0327262002975,1722.0325763101223,0.017337499652057886,0.11463319975882769,1723.032706500031,1724.0326121002436,1724.1992943002842,1724.6992985000834,10.014369199983776,1732.1158797000535,0.00081989960744977,1732.1158797000535,0.09765719948336482,5.0,52.031037599779665,1784.1827414999716,0.0035186000168323517,0.09742250014096498,1790.1990899001248,1790.3656952103133,6.214117799885571,6.314029000233859,1791.3656970001757,1810.3656180101912,1810.3657376999035,26.21405760012567,26.31400449993089,1811.3657438000664,1813.365652100183,1813.365652100183,0.013967499602586031,0.11402620002627373,1843.3656379003078,30.013955399859697,,10.09771759994328,,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
