Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_18.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,965.7672807001509,0.015213700011372566,0.11447769962251186,6.014403599780053,971.7672671000473,971.8672708999366,971.8672708999366,0.01461159996688366,0.11439839983358979,space,1.5351023995317519,973.4506175001152,973.4506175001152,5.379971116781235e-05,0.09800039976835251,num_9,3.5042057996615767,977.0006196900737,0.002121200319379568,0.0978081002831459,977.3005464999005,977.8008136899676,978.100595400203,978.5839268901851,978.900565800257,979.0007466999814,987.0008930000477,987.0008930000477,987.0005914900918,0.0014428002759814262,0.09779170015826821,988.017203700263,989.000565700233,989.1838472001255,989.6838728003204,10.014297800138593,997.1004556003027,0.0009591998532414436,997.1004556003027,0.09763780003413558,2.0,3.3976143999025226,1000.5341386999935,0.003611600026488304,0.09829179989174008,1006.5504692001268,1006.7169766902458,6.21471570013091,6.315019499976188,,1026.717001889972,1026.7170648002066,26.21483159996569,26.314769099932164,1027.71698140027,1029.7336924001575,1029.7336924001575,0.0006340998224914074,0.09809039952233434,1059.7501568002626,30.014621499925852,10.097714300267398,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059.8669344000518,0.0316828996874392,0.1313138995319605,1089.8667438002303,30.03132709953934,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1089.950136499945,0.016272799577564,0.1144681996665895,6.014505499508232,1095.950102200266,1096.0501423999667,1096.0501423999667,0.014531399589031935,0.11448859935626388,space,1.6883779997006059,1097.7834328003228,1097.7834328003228,3.9599835872650146e-05,0.09791669994592667,num_9,3.3473618999123573,1101.1668128898832,0.002130599692463875,0.09794249990954995,1101.4666976002045,1101.9668890900443,,1102.7500312902498,1103.06668130029,1103.150066500064,1111.166720600333,1111.166720600333,1111.1668634900357,0.0005614999681711197,0.09776919987052679,1112.1666240999475,1113.1833970001899,1113.3334360001609,1113.8333805003203,10.014350099954754,1121.2832110999152,0.016170299611985683,1121.2832110999152,0.11438429960981011,2.0,3.165811200160533,1124.4833248001523,0.0022058002650737762,0.09930890006944537,1130.483292300254,1130.6666198900434,6.215790099930018,6.315791199915111,,1150.6665433902758,1150.6665650000796,26.21579369995743,26.315698500256985,1151.6665179999545,1153.683176100254,1153.683176100254,0.0015775999054312706,0.09908509999513626,1183.6997684002854,30.015558999963105,,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1183.7997373002581,0.016419199761003256,0.11557170003652573,6.015518100000918,1189.7997087999247,1189.9163731001318,1189.9163731001318,0.032320099882781506,0.13223079964518547,space,1.838646799325943,1191.8163967002183,1191.8163967002183,5.5800192058086395e-05,0.09818420000374317,num_9,3.9705627993680537,1195.8330845899413,0.0019343998283147812,0.09777839994058013,1196.14975590026,1196.633099190099,1196.9496667999774,1197.4330160903278,1197.749624399934,1197.8164001000114,1205.8329883003607,1205.8329883003607,1205.8330191901418,0.0010563000105321407,0.09776479983702302,1206.849719400052,1207.832982700318,1207.9994997000322,1208.4830998000689,10.031119399704039,1215.9495157999918,0.016774799674749374,1215.9495157999918,0.11446079984307289,5.0,2.665379300247878,1218.649585600011,0.002938699908554554,0.09764129994437099,1224.64955620002,1224.8328278899658,6.214107499923557,6.31409449968487,1225.8495797002688,1244.8328416903037,1244.8328237002715,26.214125299826264,26.313994399737567,1245.84947929997,1247.832762800157,1247.832762800157,0.014024599455296993,0.11400759965181351,1277.849378600251,30.030629199463874,,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1277.9826783002354,0.03140509966760874,0.13056179974228144,6.013886999804527,1283.9993496001698,1284.0659906999208,1284.0659906999208,0.014035799540579319,0.11384599935263395,space,1.224777499679476,1285.332662800327,1285.332662800327,4.5000109821558e-05,0.09800789970904589,num_9,4.134660699404776,1289.532829390047,0.001792900264263153,0.0980616002343595,1289.8492892002687,1290.3159830902237,1290.6158914999105,1291.1158922902773,,1291.5159318000078,1299.5159299001098,1299.5159299001098,1299.5158350902143,0.014778400305658579,0.1145359999500215,,1301.5159173002467,1301.7159061003476,1302.2159107001498,10.014580700080842,1309.6324291001074,0.00044160010293126106,1309.6324291001074,0.09813910024240613,4.0,3.0318382000550628,1312.6993697001599,0.0016871001571416855,0.09916740003973246,1318.7159700999036,1318.8825433902907,6.215765700209886,6.315805500373244,1319.899196000304,1338.8787172899115,1338.8620303003117,26.211888100020587,26.29901360021904,,1341.8824440003373,1341.8824440003373,0.015789399854838848,0.11568310018628836,1371.8823061999865,30.015602900180966,10.097940300125629,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1372.0156793999486,0.016317599918693304,0.11553409975022078,6.015509100165218,1378.015593000222,1378.1156533001922,1378.1156533001922,0.015584599692374468,0.11557759996503592,space,1.9268515999428928,1380.0822791000828,1380.0822791000828,5.3099822252988815e-05,0.09764629974961281,num_9,3.7199922995641828,1383.8656334901693,0.0028130998834967613,0.09804630000144243,1384.165461699944,1384.648709690338,,1385.4489443899597,,1385.8489479003474,1393.8488934999332,1393.8488934999332,1393.8489681902806,0.014553399756550789,0.11464020004495978,1394.84895949997,1395.848879800178,1396.065575900022,1396.5655177999288,10.014462899882346,1403.9655869002454,0.0015608998946845531,1403.9655869002454,0.09769879980012774,2.0,9.263656899798661,1413.2655873000622,0.0018954002298414707,0.0986696002073586,1419.2654846999794,1419.4487492899875,6.215396400075406,6.331975500099361,,1439.448676590016,1439.4488544999622,26.21535890037194,26.3151002000086,1440.4488482000306,1442.4653757000342,1442.4653757000342,0.0009909998625516891,0.09845780022442341,1472.4820763999596,30.014993799850345,10.097853899933398,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1472.5818743999116,0.01577479997649789,0.11500729992985725,6.014990599825978,1478.5818241001107,1478.6986573003232,1478.6986573003232,0.031733499839901924,0.13162470003589988,space,0.7365772994235158,1479.4984540999867,1479.4984540999867,4.850002005696297e-05,0.09803029987961054,num_9,3.968518399633467,1483.5153012901078,0.0025542001239955425,0.09779570018872619,1483.8318324000575,1484.298491490213,1484.5984118003398,1485.098413390247,1485.3984844000079,1485.4984633000568,1493.4984055003151,1493.4984055003151,1493.4984784900676,0.014349000062793493,0.11442509992048144,1494.4986207000911,1495.4984615999274,1495.7151077999733,1496.1983054000884,10.014269500039518,1503.6150116003118,0.0004424997605383396,1503.6150116003118,0.09749489976093173,5.0,3.198285900056362,1506.8487188001163,0.0015557999722659588,0.09936999995261431,1512.8650641003624,1513.0317079901229,6.215845899656415,6.315837899688631,1514.0484070000239,1533.048337190086,1533.0482743000612,26.199109700042754,26.299049399793148,,1536.048270500265,1536.048270500265,0.0015396997332572937,0.09903629962354898,1566.031317600049,30.015439099632204,10.097588600125164,30.09896479966119,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1566.1481548999436,-9.560026228427887e-05,0.09891159972175956,1596.1646608999,30.015436799731106,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1596.26468760008,0.017276099417358637,0.11545219924300909,6.015390399377793,1602.2646477003582,1602.3646705001593,1602.3646705001593,0.015797399450093508,0.1153846993111074,space,1.1183241000398993,1603.5313448999077,1603.5313448999077,4.5800115913152695e-05,0.09766319999471307,num_9,3.7111717998050153,1607.2980026902164,0.0023719999007880688,0.0977937001734972,1607.5980505999178,1608.081225090334,1608.381245800294,1608.8811569899785,1609.181285600178,1609.2979409000836,,1617.314715700224,1617.3145974899176,0.017336399760097265,0.11438670009374619,1618.3312425003387,1619.3312888001092,1619.4812443000264,1619.9811349003576,10.014328300021589,1627.3978701001033,0.0015205997042357922,1627.3978701001033,0.09792269999161363,4.0,7.54701940016821,1634.9811424999498,0.002536699641495943,0.0979500999674201,1640.9811912002042,1641.1811591900419,6.231227499898523,6.3313389997929335,1642.1812889003195,1661.1810889902058,1661.181075700093,26.231165200006217,26.331113199703395,1662.1810126001947,,1664.197713200003,0.01630579959601164,0.11443559965118766,1694.2142572999,30.031031999737024,10.0976602002047,,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1694.3142591002397,0.0318209994584322,0.13100399961695075,6.031048699747771,1700.3142385003157,1700.414278600365,1700.414278600365,0.031085599213838577,0.1309713996015489,space,2.9565338995307684,1703.414236899931,1703.414236899931,3.9800070226192474e-05,0.09760819980874658,num_9,3.3803930995054543,1706.8309137901756,0.0020122998394072056,0.09791650017723441,1707.1308193001896,1707.6143145902547,1707.9308821000159,1708.4141705899033,1708.7308665001765,1708.830854400061,1716.8308399999514,1716.8308399999514,1716.83083219002,0.001278699841350317,0.09798429999500513,1717.8308307002299,1718.8307984001003,1718.9973546001129,1719.514154100325,10.014324800111353,1726.930671399925,0.0011666999198496342,1726.930671399925,0.09769900003448129,1.0,7.097626400180161,1734.0643917000853,0.0021806000731885433,0.09855890041217208,1740.0807268000208,1740.2474003901239,6.214812900405377,6.314789200201631,,1760.2472699900623,1760.247326800134,26.21477340022102,26.314750600140542,1761.2472326001152,1763.2472597002052,1763.2472597002052,0.014773400034755468,0.11469219997525215,1793.247152400203,30.014638899825513,10.09775729989633,30.09777340013534,,,,,,,,5914,Gustatory,2024-11-13_17h53.04.828,Gustatory_Condition_v2,2022.2.5,29.987336380585646,
