Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_18.stopped,Begin_Rinse.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,934.2112533003092,0.016330099664628506,0.11595269944518805,940.227870600298,6.032225599512458,940.3112042001449,940.3112042001449,0.01561349956318736,0.11555459955707192,space,2.196195399854332,942.5612257001922,942.5612257001922,4.829978570342064e-05,0.09801650000736117,num_9,1.9002018002793193,944.4948378602509,0.0015515000559389591,0.0975109999999404,944.8112007002346,945.2777046599891,945.5944762001745,946.0777868601959,946.4112197002396,946.4778363001533,954.4944641003385,954.4944641003385,954.4947391600814,0.001474000047892332,0.0981747000478208,955.5111533002928,956.5110627003014,956.6609845999628,957.1777894999832,10.03095080005005,964.6276418003254,0.03181760013103485,964.6276418003254,0.13093840004876256,2.0,3.767168899998069,968.4280067002401,0.0027215001173317432,0.0978724998421967,974.4278470003046,974.627682060143,6.214287800248712,6.297823300119489,994.6109153601807,994.611014700029,26.214496499858797,26.331102900207043,995.6276289001107,997.6111157000996,997.6111157000996,0.014626000076532364,0.11443910002708435,1027.6108753001317,30.014360399916768,,,975.6277394001372,,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027.7443053000607,0.014651999808847904,0.11433119978755713,1057.760781900026,30.03100229986012,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,1057.8440727000125,0.015734699554741383,0.1141994995996356,1063.8607427999377,6.031223299913108,1063.9606870003045,1063.9606870003045,0.031065399758517742,0.1307954997755587,space,2.250307799782604,1066.277357000392,1066.277357000392,3.7999823689460754e-05,0.09810839965939522,num_9,2.3737581996247172,1068.7107378599699,0.0023801997303962708,0.09789909981191158,1069.0273213000037,1069.5107172603252,1069.8273713001981,1070.2938795603345,1070.5941803003661,1070.6941026002169,1078.6941563002765,1078.6941563002765,1078.694006459927,0.014708700124174356,0.11465789983049035,1079.7106644003652,1080.6940063000657,1080.8940145000815,1081.4106706003658,10.014397299848497,1088.8104654001072,0.000609399750828743,1088.8104654001072,0.09774619992822409,2.0,5.96463319985196,1094.8106244001538,0.0024563996121287346,0.11556119984015822,1100.8272390002385,1100.9939480602275,6.215795799624175,6.315566699951887,1121.0105455602984,1121.0106998002157,26.232378299813718,26.332100600004196,1122.0271706003696,,1124.0271717002615,0.017341699451208115,0.11546999961137772,1154.0436830003746,30.032080199569464,,10.097673099953681,,,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,1154.1437447001226,0.03264209954068065,0.13200589967891574,1160.1603413000703,6.015323499683291,1160.2271288000047,1160.2271288000047,0.015502999536693096,0.11542579950764775,space,1.6083412999287248,1161.8936622999609,1161.8936622999609,5.1800161600112915e-05,0.09784980025142431,num_9,1.9417260000482202,1163.8937325600068,0.002263600006699562,0.09804819989949465,1164.2105408003554,1164.677016260242,1164.9936174000613,1165.477017560182,1165.7768759001046,1165.8769571003504,1173.893643300049,1173.893643300049,1173.8936554600018,0.001304000150412321,0.09807820012792945,1174.910286700353,1175.893638800364,1176.076956700068,1176.5771401003003,10.014644599985331,1184.0102401999757,0.017791499849408865,1184.0102401999757,0.1145750000141561,5.0,2.9312410997226834,1186.977237300016,0.003102600108832121,0.09809069987386465,1192.9935850999318,1193.1602191600482,6.2143105999566615,6.314327000174671,1213.1600271599832,1213.1601338000037,26.214317000005394,26.314237700309604,1214.176735999994,1216.1601532003842,1216.1601532003842,0.014371700119227171,0.11422770004719496,1246.1766909002326,30.030855199787766,,,1194.1604283000343,,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,1246.293325100094,0.01479079993441701,0.11408889992162585,1252.2933390000835,6.014093299861997,1252.3932855003513,1252.3932855003513,0.01423569954931736,0.11404979974031448,space,1.8657455001957715,1254.2933094003238,1254.2933094003238,4.200031980872154e-05,0.09777599992230535,num_9,2.5895974999293685,1256.9266942601184,0.0023174001835286617,0.0981006002984941,1257.2265401999466,1257.7101077601778,1258.0098840002902,1258.5098837601486,1258.8265448003076,1258.909915199969,1266.9265539003536,1266.9265539003536,1266.9266118599567,0.0014491002075374126,0.09803610015660524,,1268.9432510002516,1269.109902100172,1269.6265862002037,10.03135780012235,1277.0431118002161,0.01759910024702549,1277.0431118002161,0.11452790023759007,5.0,6.064685199875385,1283.143345599994,0.0018624002113938332,0.09867960028350353,1289.1263256999664,1289.3264871599617,6.215284400153905,6.315239700023085,1309.3264484602491,1309.3264296003617,26.215252900030464,26.315172200091183,1310.3263852000237,1312.3430492002517,1312.3430492002517,0.0009622997604310513,0.09849719982594252,1342.3429201003164,30.031746599823236,,,1290.3266239999793,,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,1342.476264399942,0.03247079998254776,0.1317794998176396,1348.476260700263,6.031665599904954,1348.5762535003014,1348.5762535003014,0.032012699637562037,0.1316565996967256,space,1.3782748999074101,1350.0095991999842,1350.0095991999842,4.650000482797623e-05,0.09826260013505816,num_9,2.321684999857098,1352.3762760601471,0.0013492000289261341,0.09844450000673532,1352.6762904999778,1353.1762605599592,1353.4761474002153,1353.9594992600846,1354.2761542000808,1354.359431100078,1362.376190900337,1362.376190900337,1362.3763914603273,0.0017821998335421085,0.09829779993742704,,1364.37620649999,1364.5761504000984,1365.0763921001926,10.014888399746269,1372.4762796000578,0.0007215999066829681,1372.4762796000578,0.09828929975628853,2.0,2.4652630002237856,1374.9763938002288,0.002491399645805359,0.09786019986495376,1380.9927419000305,1381.1594994600396,6.214424700010568,6.314478499814868,1401.1760443599428,1401.1760154999793,26.231046199798584,26.331029699649662,,1404.176138299983,1404.176138299983,0.00012479955330491066,0.09781809942796826,1434.1925718002021,30.014317699708045,,10.098247000016272,1382.1760518001392,,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,1434.292685400229,0.014858299400657415,0.11433969950303435,1440.2758458000608,6.014154099393636,1440.3759000999853,1440.3759000999853,0.03147949930280447,0.1308528995141387,space,1.3946798997931182,1441.8093774002045,1441.8093774002045,4.569999873638153e-05,0.09790479997172952,num_9,2.4417304997332394,1444.2925759601872,0.0014375997707247734,0.09886669972911477,1444.6091971001588,1445.075889160065,,1445.892438460281,1446.2090545003302,1446.2759607001208,1454.292513600085,1454.292513600085,1454.292459460115,0.0009758998639881611,0.09851799998432398,1455.3091855002567,1456.3091672002338,1456.4759124000557,1456.9759654002264,10.015223999973387,1464.4089828003198,0.017888799775391817,1464.4089828003198,0.11507959989830852,4.0,3.398268900346011,1467.842803500127,0.002639499958604574,0.09778039995580912,1473.8424100000411,1474.0258062599692,6.214205999858677,6.314169699791819,1494.0423627599607,1494.0423680003732,26.230849499814212,26.33077079989016,1495.0589984003454,1497.0423183999956,1497.0423183999956,-9.58004966378212e-05,0.09739079978317022,1527.0422050002962,30.030775799881667,,,1475.0257075000554,6.097539999522269,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527.1755603002384,0.03088319953531027,0.1306804995983839,1557.1753402999602,30.013853199779987,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,1557.2587705003098,0.01584159955382347,0.11401539947837591,1563.2758168000728,6.030907199718058,1563.3753515002318,1563.3753515002318,0.030587999615818262,0.13072119932621717,space,1.6675413004122674,1565.1088801999576,1565.1088801999576,4.83999028801918e-05,0.09757509967312217,num_9,2.3817815999500453,1567.5420874600763,0.0023805000819265842,0.0979929999448359,1567.8590870001353,1568.325254860008,1568.6253148000687,1569.12538406034,1569.4252577000298,1569.5253460002132,1577.541992700193,1577.541992700193,1577.5422717599663,0.0009758002124726772,0.09780130023136735,1578.5586709002964,1579.5586588000879,1579.725313800387,1580.22531370027,10.014301199931651,1587.6590490001254,0.01772559992969036,1587.6590490001254,0.11431019986048341,3.0,2.4642819999717176,1590.158831300214,0.002921599894762039,0.09756939997896552,1596.1586032002233,1596.3422037601936,6.214277199935168,6.2974648997187614,1616.341756560048,1616.3418252002448,26.214201799593866,26.330814099870622,1617.3583774999715,1619.3585117999464,1619.3585117999464,1.8994323909282684e-06,0.09747859975323081,1649.358309500385,30.030710799619555,,,1597.3585376003757,,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,1649.4917111000977,0.031509199645370245,0.13068239949643612,1655.4916484002024,6.030680099502206,1655.5916879000142,1655.5916879000142,0.03103369940072298,0.13063429947942495,space,1.6912365998141468,1657.3417365001515,1657.3417365001515,3.090035170316696e-05,0.09856600034981966,num_9,2.0929661002010107,1659.4917228600475,0.001979299820959568,0.09814850008115172,1659.8083573002368,1660.2750404599587,1660.5748947001994,1661.075003760075,1661.374878700357,1661.4749703002162,1669.4750670003705,1669.4750670003705,1669.4749997599515,0.014965899754315615,0.11477319989353418,1670.474891600199,1671.4916149000637,1671.6749125001952,1672.1749249999411,10.01460890006274,1679.5915582999587,0.0004511997103691101,1679.5915582999587,0.09783839993178844,3.0,2.8652956997975707,1682.4915698003024,0.0028119999915361404,0.09754059975966811,1688.4915142003447,1688.691650760034,6.2307723998092115,6.330802499782294,1708.6748135603498,1708.674786800053,26.214088200125843,26.3140452997759,1709.6746771000326,1711.6747719999403,1711.6747719999403,0.014103399589657784,0.11403789976611733,1741.6913127000444,30.030612599570304,,10.09793350007385,1689.708199399989,,,,,,,,3081,Gustatory,2024-08-26_10h59.10.389,Gustatory_Condition_v2,2022.2.5,30.006565458569014,
