Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_5.stopped,taste_sound_1.stopped,spit_sound.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,914.1214649998583,0.03144080005586147,0.13072720007039607,6.030720500042662,920.1214703998994,920.2214608998038,920.2214608998038,0.0307989998254925,0.13070530002005398,space,0.9471761998720467,921.2214654998388,921.2214654998388,3.860006108880043e-05,0.09802930010482669,num_9,2.0271220998838544,923.2881854298757,0.0017173001542687416,0.09815850015729666,924.0881456298521,924.3880895997863,924.8714654297801,925.1880204998888,925.2714369997848,933.2715304999147,933.2715304999147,933.2714642299106,0.014972800156101584,0.1148683000355959,935.2545755999163,935.4715397998225,935.9713922999799,10.014622899936512,943.3878665999509,-0.00041930004954338074,943.3878665999509,0.09792339988052845,1.0,1.5994913999456912,945.0216747999657,0.001788900000974536,0.09925689990632236,951.03801629995,951.2047320298152,6.215930199949071,6.315834499895573,952.2047359999269,971.2046481299913,971.2046040999703,26.215788299916312,26.315791599918157,972.2044963999651,974.2212643998209,974.2212643998209,0.0015946000348776579,0.09908840013667941,1004.2044288998004,30.015615500044078,30.098961499985307,,923.5880886998493,934.288118199911,10.097866400144994,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.3213331999723,-7.020006887614727e-05,0.09894139994867146,1034.3378826999106,30.01562700001523,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1034.4378937999718,0.0176187998149544,0.11570599977858365,6.015639399876818,1040.4380726998206,1040.5378691998776,1040.5378691998776,0.015853699762374163,0.11552739981561899,space,3.3584710999857634,1043.9377268999815,1043.9377268999815,3.9999838918447495e-05,0.09765959996730089,num_9,2.6539096999913454,1046.6544268300058,0.0023996999952942133,0.09789480012841523,1047.4376849298133,1047.7543131997809,1048.2377353300108,1048.5544064999558,1048.6543516998645,1056.6543023998383,1056.6543023998383,1056.6543897298397,0.001172899967059493,0.09779969998635352,1058.671032599872,1058.837698499905,1059.3376691997983,10.031119100051,1066.7875274999533,0.03325730003416538,1066.7875274999533,0.13117309985682368,1.0,1.5320749999955297,1068.354557899991,0.0016383000183850527,0.09915310004726052,1074.3709981997963,1074.5376880298136,6.215777300065383,6.315835600020364,1075.5375665999018,1094.5376174299745,1094.5375424998347,26.215744599932805,26.315943600144237,1095.537364799995,1097.5375691999216,1097.5375691999216,0.01579690002836287,0.1157041999977082,1127.5206577999052,30.015453400090337,30.099118700018153,,1046.9543106998317,1057.6545458999462,,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1127.6540729999542,0.00040369993075728416,0.09907109988853335,6.032301600091159,1133.6541050998494,1133.770733999787,1133.770733999787,0.015561699867248535,0.1157658000010997,space,0.5251638998743147,1134.3374284999445,1134.3374284999445,3.800005652010441e-05,0.09822990000247955,num_9,1.7182361998129636,1136.1042039300082,0.0024566000793129206,0.0981527001131326,1136.8873489300022,1137.1873429999687,1137.687546329922,1137.9873598997947,1138.0873974999413,1146.0873917997815,1146.0873917997815,1146.0875499298563,0.014556700130924582,0.1146569000557065,1148.0873644999228,1148.2705543998163,1148.7873886998277,10.014443800086156,1156.220608299831,0.017335599986836314,1156.220608299831,0.11420960002578795,6.0,0.9314417000859976,1157.1873666998,0.0024483001325279474,0.09800240001641214,1163.1873103999533,1163.3873378298013,6.2313166002277285,6.3479344001971185,1164.4039707998745,1183.38729882997,1183.3873720997944,26.231390200089663,26.33116400009021,1184.3872492997907,,1186.4039181999397,0.01625340012833476,0.11443160008639097,1216.4205033998005,30.031065500108525,,,1136.4042131998576,1147.0873678999487,,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1216.5205616999883,0.03164850012399256,0.13112170016393065,6.014377900166437,1222.5370955998078,1222.6037807997782,1222.6037807997782,0.014586899895220995,0.11442429991438985,space,0.4762095999903977,1223.1371195998508,1223.1371195998508,6.019999273121357e-05,0.09784659999422729,num_9,1.8710839999839664,1225.0705188299762,0.0022183998953551054,0.09804779989644885,1225.870493329945,1226.187095799949,1226.6537230300019,,1227.0537541999947,1235.0704085999168,1235.0704085999168,1235.0705750299385,0.001666399883106351,0.09810839989222586,1237.0870657998603,1237.2537210998125,1237.7704212998506,10.014699700055644,1245.1702000999358,0.0006878997664898634,1245.1702000999358,0.09814499993808568,5.0,1.4653281001374125,1246.6704084998928,0.0015757998917251825,0.09921610006131232,1252.6703032997902,1252.837073129951,6.199176899855956,6.2992157998960465,1253.8535787998699,1272.837006629794,1272.8369300998747,26.199183499906212,26.299125799909234,1273.8535285999533,1275.8370246998966,1275.8370246998966,-0.0007037001196295023,0.09933750005438924,1305.8534641999286,30.015753699932247,,,1225.3872140999883,1236.0870984999929,10.097997499862686,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1305.9868089999072,0.016014199936762452,0.11566179990768433,6.03237559995614,1312.003459899919,1312.1036978999618,1312.1036978999618,0.032450099708512425,0.1323815998621285,space,1.2080659999046475,1313.3701489998493,1313.3701489998493,4.549999721348286e-05,0.11445649992674589,num_9,2.5341998001094908,1315.9703789298655,0.002861000131815672,0.09804890002124012,1316.770180829917,1317.0867734998465,1317.5533102297923,1317.853333499981,1317.970115199918,,1325.9867627997883,1325.9869330298388,0.017571500036865473,0.11487379996106029,1327.987309699878,1328.1701080999337,1328.6700541998725,10.031276799971238,1336.0866211999673,0.015619799960404634,1336.0866211999673,0.11441499995999038,2.0,1.0332760999444872,1337.1536593998317,0.0032230999786406755,0.09717379999347031,1343.1533454000019,1343.3533909298712,6.230427699862048,6.330481599783525,,1363.3366697299061,1363.3367277998477,26.213864399818704,26.313580099958926,1364.3365863999352,1366.3532878998667,1366.3532878998667,-0.0006157001480460167,0.0970560999121517,1396.3531640998553,30.030299299862236,,,1316.2869321999606,1326.986797499936,,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1396.486840199912,0.031112299766391516,0.13013109983876348,6.013569099828601,1402.5032157998066,1402.569850699976,1402.569850699976,0.013631399720907211,0.1136647998355329,space,0.28623050008900464,1402.9031034999061,1402.9031034999061,5.439994856715202e-05,0.09809310012497008,num_9,1.784672899870202,1404.73651822994,0.0020719000604003668,0.09795979992486537,1405.5197841298068,1405.8363779999781,1406.319683629903,1406.6364366998896,1406.7364845999982,1414.7364717999008,1414.7364717999008,1414.7366558298236,0.0017955999355763197,0.0979645000770688,1416.7364399998914,1416.9364666999318,1417.4364462997764,10.014472600072622,1424.8362666999456,0.0010603000409901142,1424.8362666999456,0.09769829991273582,4.0,1.2312436997890472,1426.103305599885,0.0016135000623762608,0.09935360006056726,1432.1197945999447,1432.2863762298366,6.215675299987197,6.298944399924949,1433.2864180998877,1452.2863845297834,1452.2863201999571,26.215722399996594,26.315758799901232,1453.3029087998439,1455.2864009998739,1455.2864009998739,0.015843299916014075,0.11564270011149347,1485.3028525998816,30.032247900031507,,,1405.0364680998027,1415.7363797998987,10.097872900078073,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485.4361593998037,0.03264089999720454,0.1322577998507768,1515.452879599994,30.01539930002764,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1515.5194101999514,0.016966199735179543,0.11538459989242256,6.015591999748722,1521.5193608999252,1521.619343600003,1521.619343600003,0.015623899642378092,0.11563159967772663,space,0.31645869999192655,1521.9860719998833,1521.9860719998833,4.6999892219901085e-05,0.09791549993678927,num_9,1.8940073000267148,1523.91958272981,0.0019821999594569206,0.09776149992831051,1524.7028479297878,1525.0193895997945,1525.502668829984,1525.8027529998217,1525.9193975999951,1533.9193109998014,1533.9193109998014,1533.9195001298795,0.0010857000015676022,0.09771729982458055,1535.9360234998167,1536.1026304999832,1536.5858639997896,10.031046999851242,1544.0525932000019,0.034317099722102284,1544.0525932000019,0.13093089987523854,1.0,1.3977349000051618,1545.4859492999967,0.0023270000237971544,0.09720319998450577,1551.4860839999747,1551.685974129825,6.230718899983913,6.330477299867198,1552.7025194999296,1571.6859142299509,1571.6858168998733,26.230405299924314,26.330305599840358,1572.6857530998532,,1574.7025414998643,0.015555700054392219,0.11375540005974472,1604.719092699932,30.030220200074837,,,1524.236015399918,1534.9362619000021,,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1604.8190732998773,0.031165999826043844,0.13026399980299175,6.013848299859092,1610.835693599889,1610.9025082997978,1610.9025082997978,0.013692799722775817,0.11364419991150498,space,3.2659173000138253,1614.219171699835,1614.219171699835,3.809994086623192e-05,0.09785329992882907,num_9,1.3807349000126123,1615.6525686298264,0.0019079998601227999,0.09790829988196492,1616.43572802993,1616.7359273999464,1617.2357353299158,1617.535741899861,1617.6356724998914,1625.652373299934,1625.652373299934,1625.652437529876,0.0013474998995661736,0.09835639991797507,1627.6522941999137,1627.8523128998931,1628.352409799816,10.014392199926078,1635.7523812998552,0.0005736998282372952,1635.7523812998552,0.09789809980429709,5.0,1.798137600068003,1637.5858783998992,0.0025947000831365585,0.0980472001247108,1643.5855875997804,1643.7858281299705,6.231390899978578,6.331304100109264,1644.785741099855,1663.7689444298157,1663.7688697997946,26.214627100154757,26.31455220002681,1664.768839399796,1666.7855012000073,1666.7855012000073,0.000269200187176466,0.09789249999448657,1696.7686568999197,30.0144301999826,30.09770520008169,,1615.9524071998894,1626.6691439999267,10.09767959988676,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
