loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,,,,,,,,182.2894665999338,0.0006454996764659882,0.0968542997725308,188.2725054998882,6.0134811997413635,188.38890600018203,0.008499699644744396,0.09682079963386059,6.030151599552482,194.38917049998417,194.52245899988338,0.03286989964544773,0.13010169984772801,0.0,0.9651341997087002,6.096523699816316,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
11,0,11,0,,,,,,,,,,,,,,,,,195.5228360001929,0.0005225003696978092,0.09712229995056987,201.52247160021216,6.030479300301522,201.6722560999915,0.04810809995979071,0.14714659983292222,6.01368199987337,207.6724546002224,207.73898359993473,0.016594800166785717,0.11368050007149577,1.0,2.1645884001627564,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
12,0,12,0,,,,,,,,,,,,,,,,,209.93923550006002,0.0003689001314342022,0.09804630000144243,215.93898059986532,6.031169100198895,216.08900809986517,0.0502806999720633,0.14813109999522567,6.014282200019807,222.0721875000745,222.1556865000166,0.01673180004581809,0.1145734996534884,2.0,2.7987421001307666,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
13,0,13,0,,,,,,,,,,,,,,,,,224.98920480022207,0.0004960000514984131,0.09722049999982119,231.00566950021312,6.013601100072265,231.12237930018455,0.026892600115388632,0.13027630001306534,6.030337499920279,237.12263290025294,237.22239230014384,0.03309210017323494,0.130265099927783,2.0,1.7649640999734402,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
14,0,14,0,,,,,,,,,,,,,,,,,239.02264830004424,0.0002230997197329998,0.09954850003123283,245.03899160027504,6.015956399962306,245.1555166002363,0.043793199583888054,0.13262899965047836,5.999660599976778,251.15585889993235,251.22245720028877,0.002756199799478054,0.09963079961016774,0.0,1.1309355003759265,,6.099464699625969,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
15,0,15,0,,,,,,,,,,,,,,,,,252.38920520013198,0.0005112998187541962,0.09700869955122471,258.4056227002293,6.013618499971926,258.6225919001736,0.10113279987126589,0.23041469976305962,6.03023779951036,,264.62219090014696,0.032844099681824446,0.13020369969308376,0.0,1.2983578997664154,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
16,0,16,0,,,,,,,,,,,,,,,,,265.9558224999346,0.00045710010454058647,0.09737870004028082,271.95560760004446,6.0307380999438465,272.12240169988945,0.058670599944889545,0.16425219969823956,6.030807399656624,278.1222338001244,278.18881040019915,0.033149799797683954,0.13075169967487454,2.0,1.5316202999092638,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
17,0,17,0,,,,,,,,,,,,,,,,,279.7558293999173,0.0006014998070895672,0.09708059998229146,285.7556393998675,6.030544999986887,285.8889998998493,0.030628100037574768,0.13035180000588298,6.030336699914187,291.88881479995325,291.9720270000398,0.016261999495327473,0.1136109996587038,0.0,1.0650239996612072,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
18,0,18,0,,,,,,,,,,,,,,,,,293.07242600014433,0.0002421000972390175,0.09933379990980029,299.07215220015496,5.9990978999994695,299.205456700176,0.023790699895471334,0.1324466997757554,5.999069000128657,305.2054584999569,305.27201700024307,0.002623999956995249,0.09893690003082156,0.0,1.1306775002740324,6.0991186001338065,6.0990932998247445,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
19,0,19,0,,,,,,,,,,,,,,,,,306.4390348000452,0.0005760001949965954,0.09689779998734593,312.4388033002615,6.0302794999442995,312.5886798002757,0.046519000083208084,0.14696619985625148,6.013508600182831,318.5888934000395,318.65536640025675,0.016158599872142076,0.11369160003960133,3.0,1.7650265996344388,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
20,0,20,0,,,,,,,,,,,,,,,,,320.4555917000398,0.00031530018895864487,0.09700379986315966,326.45539680030197,6.03037799987942,326.6052858000621,0.05540559999644756,0.14698999980464578,6.013625300023705,332.60531960008666,332.67210960015655,0.016348099801689386,0.1136702997609973,2.0,0.931659699883312,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
21,0,21,0,,,,,,,,,,,,,,,,,333.63867609994486,0.0006872997619211674,0.096677599940449,339.6386275002733,6.029922999907285,339.78854099987075,0.04496479965746403,0.14657139964401722,6.013225399889052,345.7887868001126,345.8551860000007,0.015951099805533886,0.11314749950543046,0.0,1.33155080024153,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
