loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_10.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.34728930005804,222.34728930005804,0.007583499886095524,0.09855870017781854,1.0,1.558705999981612,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.94713470013812,223.94713470013812,0.006496799644082785,0.09912539971992373,5.0,3.393613699823618,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.38035199977458,227.38035199977458,0.006589199882000685,0.09912930009886622,7.0,2.2272569998167455,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.64762229984626,229.64762229984626,0.007914999965578318,0.09718920011073351,6.0,2.1570441001094878,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.84709199983627,231.84709199983627,0.0016055000014603138,0.09806430013850331,1.0,4.364410100039095,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,236.24749509990215,0.0002159997820854187,0.09875130001455545,242.2637610998936,6.015019999817014,242.4637023000978,242.4637023000978,0.10966489976271987,0.21525989985093474,6.015052599832416,248.53025289997458,248.53025289997458,248.53025289997458,0.0716887996532023,0.18197689950466156,254.23037099977955,254.43030670005828,6.015048699453473,6.115025999490172,260.4303562999703,12.015078499447554,260.56372520001605,260.56372520001605,0.015411499422043562,0.11499029956758022,up,0.8435159996151924,261.4471884998493,1.8100254237651825e-05,0.09931610012426972,267.48038640012965,267.48038640012965,0.02710700035095215,0.13260339992120862,6.0,3.4065012000501156,,,,,,,260.5305306999944,260.5305306999944,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.9136274997145,270.9136274997145,0.0070039997808635235,0.0980842998251319,3.0,3.2917380002327263,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.26375469984487,274.26375469984487,0.00802429998293519,0.11446679988875985,1.0,1.8073514001443982,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.0971519998275,276.0971519998275,0.006875900086015463,0.09903939999639988,5.0,2.459871699567884,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.59694449976087,278.59694449976087,0.006960500031709671,0.09855529991909862,1.0,2.059127999935299,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.6970802000724,280.6970802000724,0.007100800052285194,0.09970119968056679,1.0,2.4600676000118256,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.1968828998506,283.1968828998506,0.0065287998877465725,0.09957859991118312,1.0,1.3608220000751317,,,,,,,,,,,,,,,4953,Moral,2024-08-21_12h45.52.255,MoralCondition_v2,2022.2.5,29.987794951322527,
